B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,B15002I_018E,B15002I_018M,B15002I_019E,B15002I_019M,B15002I_001M,B15002I_001EA,B15002I_001MA,B15002I_002M,B15002I_002EA,B15002I_002MA,B15002I_003M,B15002I_003EA,B15002I_003MA,B15002I_004M,B15002I_004EA,B15002I_004MA,B15002I_005M,B15002I_005EA,B15002I_005MA,B15002I_006M,B15002I_006EA,B15002I_006MA,B15002I_007M,B15002I_007EA,B15002I_007MA,B15002I_008M,B15002I_008EA,B15002I_008MA,B15002I_009M,B15002I_009EA,B15002I_009MA,B15002I_010M,B15002I_010EA,B15002I_010MA,B15002I_011M,B15002I_011EA,B15002I_011MA,B15002I_012M,B15002I_012EA,B15002I_012MA,B15002I_013M,B15002I_013EA,B15002I_013MA,B15002I_014M,B15002I_014EA,B15002I_014MA,B15002I_015M,B15002I_015EA,B15002I_015MA,B15002I_016M,B15002I_016EA,B15002I_016MA,B15002I_017M,B15002I_017EA,B15002I_017MA,B15002I_018M,B15002I_018EA,B15002I_018MA,B15002I_019M,B15002I_019EA,B15002I_019MA,state
3356171,4792,1620986,3534,201479,7868,176588,8624,421934,12998,61934,4581,272300,9497,142481,7641,226608,6846,117662,6386,1735185,2942,210843,7951,144339,8218,427806,11118,51319,3834,295542,9803,180810,7750,293774,10359,130752,6085,4792,null,null,3534,null,null,7868,null,null,8624,null,null,12998,null,null,4581,null,null,9497,null,null,7641,null,null,6846,null,null,6386,null,null,2942,null,null,7951,null,null,8218,null,null,11118,null,null,3834,null,null,9803,null,null,7750,null,null,10359,null,null,6085,null,null,12
499428,3958,262767,3669,73622,5035,43726,4191,55432,5347,8659,2054,32913,3514,10527,1848,22761,2698,15127,2452,236661,3131,51568,3571,31594,3010,51584,3623,7663,1644,33154,3002,15009,2260,29641,2864,16448,2393,3958,null,null,3669,null,null,5035,null,null,4191,null,null,5347,null,null,2054,null,null,3514,null,null,1848,null,null,2698,null,null,2452,null,null,3131,null,null,3571,null,null,3010,null,null,3623,null,null,1644,null,null,3002,null,null,2260,null,null,2864,null,null,2393,null,null,13
73497,902,37378,611,1308,584,2393,719,11374,1791,1886,601,10712,1588,4690,1346,3172,832,1843,625,36119,632,772,335,2153,722,11200,1371,1322,527,8736,1180,4730,1129,4967,814,2239,678,902,null,null,611,null,null,584,null,null,719,null,null,1791,null,null,601,null,null,1588,null,null,1346,null,null,832,null,null,625,null,null,632,null,null,335,null,null,722,null,null,1371,null,null,527,null,null,1180,null,null,1129,null,null,814,null,null,678,null,null,15
99188,2211,49950,1728,9360,1316,7974,1511,12225,1908,3632,1107,8587,1645,3232,1086,3212,1064,1728,699,49238,1685,10051,1603,8237,1750,11907,2058,3402,1238,8923,1698,2597,980,2670,868,1451,684,2211,null,null,1728,null,null,1316,null,null,1511,null,null,1908,null,null,1107,null,null,1645,null,null,1086,null,null,1064,null,null,699,null,null,1685,null,null,1603,null,null,1750,null,null,2058,null,null,1238,null,null,1698,null,null,980,null,null,868,null,null,684,null,null,16
1205051,2862,618790,2026,134172,5460,81885,4366,168727,5984,31273,2752,97596,4888,31557,2883,51120,3490,22460,2335,586261,2258,118628,4771,64180,4080,139425,5060,27182,2719,97286,4050,38433,2635,68503,4027,32624,3486,2862,null,null,2026,null,null,5460,null,null,4366,null,null,5984,null,null,2752,null,null,4888,null,null,2883,null,null,3490,null,null,2335,null,null,2258,null,null,4771,null,null,4080,null,null,5060,null,null,2719,null,null,4050,null,null,2635,null,null,4027,null,null,3486,null,null,17
224064,2390,116384,2059,21551,2262,18351,2179,29547,2659,7117,1274,18081,2665,6494,1353,11016,1676,4227,1240,107680,2212,19275,2081,15247,1879,25091,2516,5371,1272,20628,2391,7570,1478,10768,1717,3730,1121,2390,null,null,2059,null,null,2262,null,null,2179,null,null,2659,null,null,1274,null,null,2665,null,null,1353,null,null,1676,null,null,1240,null,null,2212,null,null,2081,null,null,1879,null,null,2516,null,null,1272,null,null,2391,null,null,1478,null,null,1717,null,null,1121,null,null,18
85565,1960,43931,1548,11480,1527,7152,1430,9905,1579,2265,880,5702,1273,2347,783,3423,814,1657,627,41634,1492,7766,1211,7059,1437,8665,1474,2162,632,7711,1350,2713,830,4002,1343,1556,606,1960,null,null,1548,null,null,1527,null,null,1430,null,null,1579,null,null,880,null,null,1273,null,null,783,null,null,814,null,null,627,null,null,1492,null,null,1211,null,null,1437,null,null,1474,null,null,632,null,null,1350,null,null,830,null,null,1343,null,null,606,null,null,19
163361,2253,84372,1812,17708,1920,13269,1784,22848,2150,3415,901,12885,1710,3927,1030,6381,1005,3939,1012,78989,1591,15540,2021,13024,1882,17858,1774,3930,936,11834,1709,4369,824,8599,1411,3835,1091,2253,null,null,1812,null,null,1920,null,null,1784,null,null,2150,null,null,901,null,null,1710,null,null,1030,null,null,1005,null,null,1012,null,null,1591,null,null,2021,null,null,1882,null,null,1774,null,null,936,null,null,1709,null,null,824,null,null,1411,null,null,1091,null,null,20
72292,2691,40424,2001,9046,1752,5988,1180,9058,1832,1495,528,5870,1404,1761,624,4483,1022,2723,926,31868,1751,3854,838,4504,1099,8158,1577,931,432,4732,1134,1966,663,5142,1149,2581,843,2691,null,null,2001,null,null,1752,null,null,1180,null,null,1832,null,null,528,null,null,1404,null,null,624,null,null,1022,null,null,926,null,null,1751,null,null,838,null,null,1099,null,null,1577,null,null,432,null,null,1134,null,null,663,null,null,1149,null,null,843,null,null,21
136193,2915,71900,2536,12606,2177,9755,1957,20382,2247,3213,937,13165,1944,2339,742,7122,1435,3318,828,64293,2291,7508,1900,7575,1403,15006,2594,3212,1064,13906,1928,5105,1316,8310,1275,3671,979,2915,null,null,2536,null,null,2177,null,null,1957,null,null,2247,null,null,937,null,null,1944,null,null,742,null,null,1435,null,null,828,null,null,2291,null,null,1900,null,null,1403,null,null,2594,null,null,1064,null,null,1928,null,null,1316,null,null,1275,null,null,979,null,null,22
11366,1231,5220,968,311,232,279,417,944,509,780,602,1247,485,227,278,930,457,502,385,6146,943,353,271,318,274,1316,679,215,158,1595,572,632,328,1170,410,547,351,1231,null,null,968,null,null,232,null,null,417,null,null,509,null,null,602,null,null,485,null,null,278,null,null,457,null,null,385,null,null,943,null,null,271,null,null,274,null,null,679,null,null,158,null,null,572,null,null,328,null,null,410,null,null,351,null,null,23
329396,2051,171135,1997,46683,4397,21994,2771,37035,3798,4715,1284,22687,2540,6771,1577,17843,2234,13407,1938,158261,1301,33998,3686,13059,2060,34596,3496,4085,1062,25373,2397,9400,1950,20960,2624,16790,1772,2051,null,null,1997,null,null,4397,null,null,2771,null,null,3798,null,null,1284,null,null,2540,null,null,1577,null,null,2234,null,null,1938,null,null,1301,null,null,3686,null,null,2060,null,null,3496,null,null,1062,null,null,2397,null,null,1950,null,null,2624,null,null,1772,null,null,24
430798,1843,209103,1068,37483,3430,30606,3541,56701,4241,10764,1751,30932,3144,8647,2059,19874,2403,14096,1866,221695,1103,36406,2809,27881,2833,47837,3658,10036,1344,41711,3802,14436,1972,26592,2943,16796,2017,1843,null,null,1068,null,null,3430,null,null,3541,null,null,4241,null,null,1751,null,null,3144,null,null,2059,null,null,2403,null,null,1866,null,null,1103,null,null,2809,null,null,2833,null,null,3658,null,null,1344,null,null,3802,null,null,1972,null,null,2943,null,null,2017,null,null,25
247726,1920,125815,1794,22373,1824,15866,1775,26816,2182,8576,1281,24814,2087,6703,1313,13532,1669,7135,1241,121911,1471,16735,1950,14899,1743,24124,2612,6344,948,27474,2328,9583,1327,15510,1730,7242,1285,1920,null,null,1794,null,null,1824,null,null,1775,null,null,2182,null,null,1281,null,null,2087,null,null,1313,null,null,1669,null,null,1241,null,null,1471,null,null,1950,null,null,1743,null,null,2612,null,null,948,null,null,2328,null,null,1327,null,null,1730,null,null,1285,null,null,26
