C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,C01001I_001M,C01001I_001EA,C01001I_001MA,C01001I_002M,C01001I_002EA,C01001I_002MA,C01001I_003M,C01001I_003EA,C01001I_003MA,C01001I_004M,C01001I_004EA,C01001I_004MA,C01001I_005M,C01001I_005EA,C01001I_005MA,C01001I_006M,C01001I_006EA,C01001I_006MA,C01001I_007M,C01001I_007EA,C01001I_007MA,C01001I_008M,C01001I_008EA,C01001I_008MA,C01001I_009M,C01001I_009EA,C01001I_009MA,state
5126578,555,2527121,3722,644385,3080,1635794,2800,246942,1191,2599457,3561,618287,3399,1633727,3262,347443,1656,555,null,null,3722,null,null,3080,null,null,2800,null,null,1191,null,null,3561,null,null,3399,null,null,3262,null,null,1656,null,null,12
962334,2954,506577,5286,186962,4203,304304,3476,15311,1607,455757,5306,169553,4099,267008,3558,19196,1908,2954,null,null,5286,null,null,4203,null,null,3476,null,null,1607,null,null,5306,null,null,4099,null,null,3558,null,null,1908,null,null,13
148150,-555555555,76194,409,28307,410,44575,315,3312,315,71956,410,27007,411,40841,151,4108,151,-555555555,null,*****,409,null,null,410,null,null,315,null,null,315,null,null,410,null,null,411,null,null,151,null,null,151,null,null,15
207248,280,106649,1547,42058,1228,59919,1198,4672,842,100599,1570,37091,1153,58180,1401,5328,1012,280,null,null,1547,null,null,1228,null,null,1198,null,null,842,null,null,1570,null,null,1153,null,null,1401,null,null,1012,null,null,16
2178790,1616,1113937,2645,366586,2444,692562,1668,54789,1072,1064853,2543,352768,2304,645187,1477,66898,1121,1616,null,null,2645,null,null,2444,null,null,1668,null,null,1072,null,null,2543,null,null,2304,null,null,1477,null,null,1121,null,null,17
448079,1492,229397,2762,85028,2026,134837,1945,9532,1129,218682,2866,84925,2207,123399,2115,10358,834,1492,null,null,2762,null,null,2026,null,null,1945,null,null,1129,null,null,2866,null,null,2207,null,null,2115,null,null,834,null,null,18
179062,1082,92305,2035,36892,1872,53084,1341,2329,552,86757,1893,33782,1571,49762,1315,3213,641,1082,null,null,2035,null,null,1872,null,null,1341,null,null,552,null,null,1893,null,null,1571,null,null,1315,null,null,641,null,null,19
336909,914,174984,2511,67365,2194,100149,1305,7470,913,161925,2475,61597,2167,92753,1282,7575,652,914,null,null,2511,null,null,2194,null,null,1305,null,null,913,null,null,2475,null,null,2167,null,null,1282,null,null,652,null,null,20
151920,2234,79817,2104,29795,1931,48260,1850,1762,394,72103,2031,30992,1927,38809,1634,2302,591,2234,null,null,2104,null,null,1931,null,null,1850,null,null,394,null,null,2031,null,null,1927,null,null,1634,null,null,591,null,null,21
231168,2152,124573,3095,38564,3005,78778,1869,7231,941,106595,2961,33272,2586,64739,1650,8584,1022,2152,null,null,3095,null,null,3005,null,null,1869,null,null,941,null,null,2961,null,null,2586,null,null,1650,null,null,1022,null,null,22
20714,785,10515,977,3180,461,6849,856,486,327,10199,938,2836,557,6577,721,786,394,785,null,null,977,null,null,461,null,null,856,null,null,327,null,null,938,null,null,557,null,null,721,null,null,394,null,null,23
