B25093_001E,B25093_001M,B25093_002E,B25093_002M,B25093_003E,B25093_003M,B25093_004E,B25093_004M,B25093_005E,B25093_005M,B25093_006E,B25093_006M,B25093_007E,B25093_007M,B25093_008E,B25093_008M,B25093_009E,B25093_009M,B25093_010E,B25093_010M,B25093_011E,B25093_011M,B25093_012E,B25093_012M,B25093_013E,B25093_013M,B25093_014E,B25093_014M,B25093_015E,B25093_015M,B25093_016E,B25093_016M,B25093_017E,B25093_017M,B25093_018E,B25093_018M,B25093_019E,B25093_019M,B25093_020E,B25093_020M,B25093_021E,B25093_021M,B25093_022E,B25093_022M,B25093_023E,B25093_023M,B25093_024E,B25093_024M,B25093_025E,B25093_025M,B25093_026E,B25093_026M,B25093_027E,B25093_027M,B25093_028E,B25093_028M,B25093_029E,B25093_029M,B25093_001M,B25093_001EA,B25093_001MA,B25093_002M,B25093_002EA,B25093_002MA,B25093_003M,B25093_003EA,B25093_003MA,B25093_004M,B25093_004EA,B25093_004MA,B25093_005M,B25093_005EA,B25093_005MA,B25093_006M,B25093_006EA,B25093_006MA,B25093_007M,B25093_007EA,B25093_007MA,B25093_008M,B25093_008EA,B25093_008MA,B25093_009M,B25093_009EA,B25093_009MA,B25093_010M,B25093_010EA,B25093_010MA,B25093_011M,B25093_011EA,B25093_011MA,B25093_012M,B25093_012EA,B25093_012MA,B25093_013M,B25093_013EA,B25093_013MA,B25093_014M,B25093_014EA,B25093_014MA,B25093_015M,B25093_015EA,B25093_015MA,B25093_016M,B25093_016EA,B25093_016MA,B25093_017M,B25093_017EA,B25093_017MA,B25093_018M,B25093_018EA,B25093_018MA,B25093_019M,B25093_019EA,B25093_019MA,B25093_020M,B25093_020EA,B25093_020MA,B25093_021M,B25093_021EA,B25093_021MA,B25093_022M,B25093_022EA,B25093_022MA,B25093_023M,B25093_023EA,B25093_023MA,B25093_024M,B25093_024EA,B25093_024MA,B25093_025M,B25093_025EA,B25093_025MA,B25093_026M,B25093_026EA,B25093_026MA,B25093_027M,B25093_027EA,B25093_027MA,B25093_028M,B25093_028EA,B25093_028MA,B25093_029M,B25093_029EA,B25093_029MA,state
4857125,26450,26102,2319,10447,1528,3123,869,2369,784,1945,894,7254,1452,964,424,310380,8860,154399,7399,46669,3197,31067,3008,20401,2448,54884,4405,2960,1005,2580951,18732,1347875,13857,321960,8734,229028,8653,148297,7026,497169,11758,36622,3468,1939692,13491,1046669,12508,188475,5986,137802,5203,101495,5607,438217,8616,27034,2817,26450,null,null,2319,null,null,1528,null,null,869,null,null,784,null,null,894,null,null,1452,null,null,424,null,null,8860,null,null,7399,null,null,3197,null,null,3008,null,null,2448,null,null,4405,null,null,1005,null,null,18732,null,null,13857,null,null,8734,null,null,8653,null,null,7026,null,null,11758,null,null,3468,null,null,13491,null,null,12508,null,null,5986,null,null,5203,null,null,5607,null,null,8616,null,null,2817,null,null,12
2268606,20528,16505,2305,7065,1307,1706,756,1837,796,866,430,4660,1374,371,350,194433,7250,105813,5686,31181,3075,18753,2663,10817,1787,25633,2973,2236,1174,1404499,16136,831297,13390,177539,6917,109268,5325,64845,4334,206274,8372,15276,2151,653169,8278,381862,7201,62699,3692,45891,3828,32982,2942,123067,5749,6668,1407,20528,null,null,2305,null,null,1307,null,null,756,null,null,796,null,null,430,null,null,1374,null,null,350,null,null,7250,null,null,5686,null,null,3075,null,null,2663,null,null,1787,null,null,2973,null,null,1174,null,null,16136,null,null,13390,null,null,6917,null,null,5325,null,null,4334,null,null,8372,null,null,2151,null,null,8278,null,null,7201,null,null,3692,null,null,3828,null,null,2942,null,null,5749,null,null,1407,null,null,13
260626,4898,1459,558,311,217,132,152,264,330,13,21,676,428,63,105,15044,1762,5165,1169,1733,571,2348,708,1478,480,4032,984,288,416,144525,4259,64735,3079,19819,2002,15248,1872,11988,1617,31254,2454,1481,561,99598,2969,56610,2758,9571,1408,7089,1162,5026,1114,20828,1790,474,281,4898,null,null,558,null,null,217,null,null,152,null,null,330,null,null,21,null,null,428,null,null,105,null,null,1762,null,null,1169,null,null,571,null,null,708,null,null,480,null,null,984,null,null,416,null,null,4259,null,null,3079,null,null,2002,null,null,1872,null,null,1617,null,null,2454,null,null,561,null,null,2969,null,null,2758,null,null,1408,null,null,1162,null,null,1114,null,null,1790,null,null,281,null,null,15
418217,6970,4317,1062,1559,685,461,344,666,392,320,321,1180,493,131,185,44026,2979,23364,2368,8003,1551,4997,1083,2942,933,4357,1075,363,321,239953,5371,144904,5325,29787,2922,19297,2454,11016,1647,32486,2921,2463,1060,129921,2975,80193,3562,11689,1376,8325,1155,6089,1298,21973,2395,1652,817,6970,null,null,1062,null,null,685,null,null,344,null,null,392,null,null,321,null,null,493,null,null,185,null,null,2979,null,null,2368,null,null,1551,null,null,1083,null,null,933,null,null,1075,null,null,321,null,null,5371,null,null,5325,null,null,2922,null,null,2454,null,null,1647,null,null,2921,null,null,1060,null,null,2975,null,null,3562,null,null,1376,null,null,1155,null,null,1298,null,null,2395,null,null,817,null,null,16
3146858,18286,23414,2353,10674,1669,3461,952,2198,744,904,433,5479,1163,698,427,296840,6845,154318,5782,49291,3376,30919,2579,17253,2066,43419,4246,1640,767,1912248,14833,1053774,13358,257218,7598,166645,6254,106609,4178,312575,7327,15427,1736,914356,7930,481224,7614,94791,3385,69264,3051,48892,2815,212014,6176,8171,1247,18286,null,null,2353,null,null,1669,null,null,952,null,null,744,null,null,433,null,null,1163,null,null,427,null,null,6845,null,null,5782,null,null,3376,null,null,2579,null,null,2066,null,null,4246,null,null,767,null,null,14833,null,null,13358,null,null,7598,null,null,6254,null,null,4178,null,null,7327,null,null,1736,null,null,7930,null,null,7614,null,null,3385,null,null,3051,null,null,2815,null,null,6176,null,null,1247,null,null,17
1731421,12509,20926,2367,10359,1977,3253,1233,1923,569,1527,638,3698,842,166,135,181250,5706,119407,4204,25178,2645,12586,1753,7304,1464,15619,2002,1156,554,1018888,8186,680690,8747,119322,4820,65152,4323,41788,3120,105141,5502,6795,1372,510357,5841,327068,5637,49347,2775,31817,2696,23118,2016,75669,3458,3338,764,12509,null,null,2367,null,null,1977,null,null,1233,null,null,569,null,null,638,null,null,842,null,null,135,null,null,5706,null,null,4204,null,null,2645,null,null,1753,null,null,1464,null,null,2002,null,null,554,null,null,8186,null,null,8747,null,null,4820,null,null,4323,null,null,3120,null,null,5502,null,null,1372,null,null,5841,null,null,5637,null,null,2775,null,null,2696,null,null,2016,null,null,3458,null,null,764,null,null,18
881435,7975,14029,1849,7683,1323,1702,566,1518,558,922,468,2047,819,157,196,104803,3994,61670,2801,17898,1768,8991,1620,4821,1285,11197,1681,226,236,502434,6074,335575,5314,61652,3445,32731,2203,21099,2140,48981,2751,2396,695,260169,3801,164010,3882,24002,1774,17783,1733,13168,1353,39401,2324,1805,480,7975,null,null,1849,null,null,1323,null,null,566,null,null,558,null,null,468,null,null,819,null,null,196,null,null,3994,null,null,2801,null,null,1768,null,null,1620,null,null,1285,null,null,1681,null,null,236,null,null,6074,null,null,5314,null,null,3445,null,null,2203,null,null,2140,null,null,2751,null,null,695,null,null,3801,null,null,3882,null,null,1774,null,null,1733,null,null,1353,null,null,2324,null,null,480,null,null,19
729392,8711,8684,1431,4257,1107,963,387,1269,743,435,248,1487,699,273,193,79947,3838,45833,2666,14837,1977,8164,1397,3300,854,6895,1155,918,482,425603,6451,276377,6547,51310,3176,30582,2346,19227,2097,45093,2721,3014,671,215158,3757,128320,3389,22715,1798,15654,1326,11791,1409,34567,2522,2111,699,8711,null,null,1431,null,null,1107,null,null,387,null,null,743,null,null,248,null,null,699,null,null,193,null,null,3838,null,null,2666,null,null,1977,null,null,1397,null,null,854,null,null,1155,null,null,482,null,null,6451,null,null,6547,null,null,3176,null,null,2346,null,null,2097,null,null,2721,null,null,671,null,null,3757,null,null,3389,null,null,1798,null,null,1326,null,null,1409,null,null,2522,null,null,699,null,null,20
1148175,11051,11282,1449,6101,1213,1251,503,1529,712,466,321,1880,540,55,70,108201,5004,66020,4042,16051,1637,9009,1355,4166,972,12170,1970,785,413,671771,7843,427860,7984,80585,4653,41671,3042,29086,2750,83717,4733,8852,1783,356921,5088,226510,5477,31913,2462,23416,2313,15970,1837,55483,3565,3629,799,11051,null,null,1449,null,null,1213,null,null,503,null,null,712,null,null,321,null,null,540,null,null,70,null,null,5004,null,null,4042,null,null,1637,null,null,1355,null,null,972,null,null,1970,null,null,413,null,null,7843,null,null,7984,null,null,4653,null,null,3042,null,null,2750,null,null,4733,null,null,1783,null,null,5088,null,null,5477,null,null,2462,null,null,2313,null,null,1837,null,null,3565,null,null,799,null,null,21
1105710,12317,10231,1744,4871,1106,1431,759,872,584,683,465,1348,564,1026,785,117620,5417,66640,3770,14862,1808,12073,2041,6399,1596,16635,2520,1011,501,635095,10307,417928,8626,60859,3860,37993,3220,24878,1975,85742,4858,7695,1383,342764,4681,224252,5088,25161,2165,21006,2184,13135,1613,55108,2997,4102,817,12317,null,null,1744,null,null,1106,null,null,759,null,null,584,null,null,465,null,null,564,null,null,785,null,null,5417,null,null,3770,null,null,1808,null,null,2041,null,null,1596,null,null,2520,null,null,501,null,null,10307,null,null,8626,null,null,3860,null,null,3220,null,null,1975,null,null,4858,null,null,1383,null,null,4681,null,null,5088,null,null,2165,null,null,2184,null,null,1613,null,null,2997,null,null,817,null,null,22
