B28009G_001E,B28009G_001M,B28009G_002E,B28009G_002M,B28009G_003E,B28009G_003M,B28009G_004E,B28009G_004M,B28009G_005E,B28009G_005M,B28009G_006E,B28009G_006M,B28009G_001M,B28009G_001EA,B28009G_001MA,B28009G_002M,B28009G_002EA,B28009G_002MA,B28009G_003M,B28009G_003EA,B28009G_003MA,B28009G_004M,B28009G_004EA,B28009G_004MA,B28009G_005M,B28009G_005EA,B28009G_005MA,B28009G_006M,B28009G_006EA,B28009G_006MA,state
522867,21781,508898,21553,237,212,466838,19246,41823,6828,13969,2909,21781,null,null,21553,null,null,212,null,null,19246,null,null,6828,null,null,2909,null,null,12
251668,14149,243078,13817,563,406,225820,13670,16695,3153,8590,2097,14149,null,null,13817,null,null,406,null,null,13670,null,null,3153,null,null,2097,null,null,13
335366,13277,325923,13403,315,301,296575,12790,29033,5232,9443,2461,13277,null,null,13403,null,null,301,null,null,12790,null,null,5232,null,null,2461,null,null,15
41047,3148,39480,3052,7,13,36177,3116,3296,1280,1567,684,3148,null,null,3052,null,null,13,null,null,3116,null,null,1280,null,null,684,null,null,16
315625,14179,305536,14087,692,430,284534,13232,20310,4437,10089,1859,14179,null,null,14087,null,null,430,null,null,13232,null,null,4437,null,null,1859,null,null,17
153305,8632,147852,8634,409,324,136282,8556,11161,2624,5453,1674,8632,null,null,8634,null,null,324,null,null,8556,null,null,2624,null,null,1674,null,null,18
55259,3900,52368,4123,102,129,47489,4053,4777,1768,2891,1071,3900,null,null,4123,null,null,129,null,null,4053,null,null,1768,null,null,1071,null,null,19
99350,5469,95507,5353,124,136,88597,4743,6786,2024,3843,1740,5469,null,null,5353,null,null,136,null,null,4743,null,null,2024,null,null,1740,null,null,20
88576,6828,83809,6704,236,380,77980,6610,5593,1756,4767,1396,6828,null,null,6704,null,null,380,null,null,6610,null,null,1756,null,null,1396,null,null,21
90837,8598,85185,8268,0,208,77391,7896,7794,2790,5652,1729,8598,null,null,8268,null,null,208,null,null,7896,null,null,2790,null,null,1729,null,null,22
24925,2459,23340,2444,13,21,20522,2579,2805,1040,1585,729,2459,null,null,2444,null,null,21,null,null,2579,null,null,1040,null,null,729,null,null,23
196422,10850,191891,10736,153,162,181646,10731,10092,3026,4531,1525,10850,null,null,10736,null,null,162,null,null,10731,null,null,3026,null,null,1525,null,null,24
201896,11299,192759,11530,46,74,180026,11262,12687,3420,9137,2610,11299,null,null,11530,null,null,74,null,null,11262,null,null,3420,null,null,2610,null,null,25
296957,12105,284391,11797,676,375,258372,11205,25343,4601,12566,3278,12105,null,null,11797,null,null,375,null,null,11205,null,null,4601,null,null,3278,null,null,26
151900,7826,148100,7804,278,262,140067,7529,7755,2119,3800,1302,7826,null,null,7804,null,null,262,null,null,7529,null,null,2119,null,null,1302,null,null,27
33323,4798,31043,4790,0,213,27325,4345,3718,1667,2280,1004,4798,null,null,4790,null,null,213,null,null,4345,null,null,1667,null,null,1004,null,null,28
145615,8697,139839,8677,305,329,126562,8671,12972,3138,5776,1238,8697,null,null,8677,null,null,329,null,null,8671,null,null,3138,null,null,1238,null,null,29
31136,2993,30022,2939,97,106,27548,2927,2377,1049,1114,701,2993,null,null,2939,null,null,106,null,null,2927,null,null,1049,null,null,701,null,null,30
43989,4380,42576,4335,42,79,40654,4322,1880,755,1413,595,4380,null,null,4335,null,null,79,null,null,4322,null,null,755,null,null,595,null,null,31
137105,9594,134110,9503,157,128,123255,9101,10698,2682,2995,1359,9594,null,null,9503,null,null,128,null,null,9101,null,null,2682,null,null,1359,null,null,32
