B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,B15002B_001M,B15002B_001EA,B15002B_001MA,B15002B_002M,B15002B_002EA,B15002B_002MA,B15002B_003M,B15002B_003EA,B15002B_003MA,B15002B_004M,B15002B_004EA,B15002B_004MA,B15002B_005M,B15002B_005EA,B15002B_005MA,B15002B_006M,B15002B_006EA,B15002B_006MA,B15002B_007M,B15002B_007EA,B15002B_007MA,B15002B_008M,B15002B_008EA,B15002B_008MA,B15002B_009M,B15002B_009EA,B15002B_009MA,B15002B_010M,B15002B_010EA,B15002B_010MA,B15002B_011M,B15002B_011EA,B15002B_011MA,B15002B_012M,B15002B_012EA,B15002B_012MA,B15002B_013M,B15002B_013EA,B15002B_013MA,B15002B_014M,B15002B_014EA,B15002B_014MA,B15002B_015M,B15002B_015EA,B15002B_015MA,B15002B_016M,B15002B_016EA,B15002B_016MA,B15002B_017M,B15002B_017EA,B15002B_017MA,B15002B_018M,B15002B_018EA,B15002B_018MA,B15002B_019M,B15002B_019EA,B15002B_019MA,state
8256,1256,5323,1037,424,278,258,251,1207,642,702,543,1149,659,922,558,579,415,82,106,2933,646,422,261,587,485,537,452,131,231,317,268,0,172,757,464,182,181,1256,null,null,1037,null,null,278,null,null,251,null,null,642,null,null,543,null,null,659,null,null,558,null,null,415,null,null,106,null,null,646,null,null,261,null,null,485,null,null,452,null,null,231,null,null,268,null,null,172,null,null,464,null,null,181,null,null,23
1191325,5824,534365,3457,14722,1718,43983,3065,154924,5252,26616,2686,117508,4869,28781,2832,88590,5045,59241,4077,656960,3930,14899,1830,41397,3222,163927,6238,19790,2302,166457,6388,46475,3392,111525,4787,92490,4983,5824,null,null,3457,null,null,1718,null,null,3065,null,null,5252,null,null,2686,null,null,4869,null,null,2832,null,null,5045,null,null,4077,null,null,3930,null,null,1830,null,null,3222,null,null,6238,null,null,2302,null,null,6388,null,null,3392,null,null,4787,null,null,4983,null,null,24
316115,5316,148721,3241,7575,1686,14482,1952,40136,3672,8481,1551,30967,3098,10459,2108,23896,2475,12725,1727,167394,3644,12368,1841,12864,2226,41088,3594,7237,1450,36771,3041,14719,1657,25591,2355,16756,2129,5316,null,null,3241,null,null,1686,null,null,1952,null,null,3672,null,null,1551,null,null,3098,null,null,2108,null,null,2475,null,null,1727,null,null,3644,null,null,1841,null,null,2226,null,null,3594,null,null,1450,null,null,3041,null,null,1657,null,null,2355,null,null,2129,null,null,25
861144,4811,390847,3562,12618,1707,53807,3294,105196,4033,36265,2595,106316,4951,24046,2239,32626,2598,19973,2098,470297,2926,13094,1646,47671,2917,107228,4812,21455,2439,143299,5592,43654,3476,50535,3090,43361,3386,4811,null,null,3562,null,null,1707,null,null,3294,null,null,4033,null,null,2595,null,null,4951,null,null,2239,null,null,2598,null,null,2098,null,null,2926,null,null,1646,null,null,2917,null,null,4812,null,null,2439,null,null,5592,null,null,3476,null,null,3090,null,null,3386,null,null,26
180040,3083,92206,2264,4108,1178,8948,1838,18220,2028,5527,1142,26508,2766,7817,1452,13221,1848,7857,1540,87834,2000,10036,1941,9748,1676,16910,2008,3966,1031,21531,2184,9381,1982,10790,1650,5472,1051,3083,null,null,2264,null,null,1178,null,null,1838,null,null,2028,null,null,1142,null,null,2766,null,null,1452,null,null,1848,null,null,1540,null,null,2000,null,null,1941,null,null,1676,null,null,2008,null,null,1031,null,null,2184,null,null,1982,null,null,1650,null,null,1051,null,null,27
686306,5248,307047,3783,19984,2493,52584,3744,97931,5120,19971,2525,64702,4645,20747,2817,21865,2679,9263,1582,379259,3015,20304,2557,49964,3389,91199,5606,17182,2269,89647,4756,37669,2887,43739,3298,29555,2518,5248,null,null,3783,null,null,2493,null,null,3744,null,null,5120,null,null,2525,null,null,4645,null,null,2817,null,null,2679,null,null,1582,null,null,3015,null,null,2557,null,null,3389,null,null,5606,null,null,2269,null,null,4756,null,null,2887,null,null,3298,null,null,2518,null,null,28
437911,4738,199618,3659,6543,1110,24572,2611,57651,3293,13348,1613,53373,3847,13369,2182,20575,2427,10187,1568,238293,2650,5275,1046,22561,2203,58876,3743,9524,1625,70563,4307,22305,2841,30503,2687,18686,2363,4738,null,null,3659,null,null,1110,null,null,2611,null,null,3293,null,null,1613,null,null,3847,null,null,2182,null,null,2427,null,null,1568,null,null,2650,null,null,1046,null,null,2203,null,null,3743,null,null,1625,null,null,4307,null,null,2841,null,null,2687,null,null,2363,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
50875,1467,25655,1320,1029,425,2230,620,6807,1264,1724,529,6615,1238,1922,677,2850,787,2478,960,25220,980,1717,484,1939,633,4494,1126,1310,733,7024,1386,2224,824,4251,1008,2261,792,1467,null,null,1320,null,null,425,null,null,620,null,null,1264,null,null,529,null,null,1238,null,null,677,null,null,787,null,null,960,null,null,980,null,null,484,null,null,633,null,null,1126,null,null,733,null,null,1386,null,null,824,null,null,1008,null,null,792,null,null,31
166410,2662,82336,1950,2377,915,5411,1205,26346,2426,4648,1435,21843,2190,7792,1319,9479,1664,4440,1183,84074,1702,1827,645,5970,1245,21989,2057,1499,727,27120,2815,8809,1309,11337,1586,5523,1182,2662,null,null,1950,null,null,915,null,null,1205,null,null,2426,null,null,1435,null,null,2190,null,null,1319,null,null,1664,null,null,1183,null,null,1702,null,null,645,null,null,1245,null,null,2057,null,null,727,null,null,2815,null,null,1309,null,null,1586,null,null,1182,null,null,32
