B05003H_001E,B05003H_001M,B05003H_002E,B05003H_002M,B05003H_003E,B05003H_003M,B05003H_004E,B05003H_004M,B05003H_005E,B05003H_005M,B05003H_006E,B05003H_006M,B05003H_007E,B05003H_007M,B05003H_008E,B05003H_008M,B05003H_009E,B05003H_009M,B05003H_010E,B05003H_010M,B05003H_011E,B05003H_011M,B05003H_012E,B05003H_012M,B05003H_013E,B05003H_013M,B05003H_014E,B05003H_014M,B05003H_015E,B05003H_015M,B05003H_016E,B05003H_016M,B05003H_017E,B05003H_017M,B05003H_018E,B05003H_018M,B05003H_019E,B05003H_019M,B05003H_020E,B05003H_020M,B05003H_021E,B05003H_021M,B05003H_022E,B05003H_022M,B05003H_023E,B05003H_023M,B05003H_001M,B05003H_001EA,B05003H_001MA,B05003H_002M,B05003H_002EA,B05003H_002MA,B05003H_003M,B05003H_003EA,B05003H_003MA,B05003H_004M,B05003H_004EA,B05003H_004MA,B05003H_005M,B05003H_005EA,B05003H_005MA,B05003H_006M,B05003H_006EA,B05003H_006MA,B05003H_007M,B05003H_007EA,B05003H_007MA,B05003H_008M,B05003H_008EA,B05003H_008MA,B05003H_009M,B05003H_009EA,B05003H_009MA,B05003H_010M,B05003H_010EA,B05003H_010MA,B05003H_011M,B05003H_011EA,B05003H_011MA,B05003H_012M,B05003H_012EA,B05003H_012MA,B05003H_013M,B05003H_013EA,B05003H_013MA,B05003H_014M,B05003H_014EA,B05003H_014MA,B05003H_015M,B05003H_015EA,B05003H_015MA,B05003H_016M,B05003H_016EA,B05003H_016MA,B05003H_017M,B05003H_017EA,B05003H_017MA,B05003H_018M,B05003H_018EA,B05003H_018MA,B05003H_019M,B05003H_019EA,B05003H_019MA,B05003H_020M,B05003H_020EA,B05003H_020MA,B05003H_021M,B05003H_021EA,B05003H_021MA,B05003H_022M,B05003H_022EA,B05003H_022MA,B05003H_023M,B05003H_023EA,B05003H_023MA,state
11271384,6014,5525234,2811,900973,1919,884735,3258,16238,2752,3084,955,13154,2636,4624261,2468,4309799,10816,314462,10388,176564,6859,137898,8332,5746150,4256,856080,2209,839666,4287,16414,3571,4032,1726,12382,3365,4890070,2992,4515607,9938,374463,9755,234031,8689,140432,6617,6014,null,null,2811,null,null,1919,null,null,3258,null,null,2752,null,null,955,null,null,2636,null,null,2468,null,null,10816,null,null,10388,null,null,6859,null,null,8332,null,null,4256,null,null,2209,null,null,4287,null,null,3571,null,null,1726,null,null,3365,null,null,2992,null,null,9938,null,null,9755,null,null,8689,null,null,6617,null,null,12
5484889,4687,2697400,4521,565089,3999,559439,4403,5650,1277,1852,644,3798,1190,2132311,1644,2065914,5712,66397,5382,35854,3729,30543,3698,2787489,3825,542580,3339,537126,3698,5454,1545,863,411,4591,1593,2244909,1489,2170509,5511,74400,5409,39933,4061,34467,3160,4687,null,null,4521,null,null,3999,null,null,4403,null,null,1277,null,null,644,null,null,1190,null,null,1644,null,null,5712,null,null,5382,null,null,3729,null,null,3698,null,null,3825,null,null,3339,null,null,3698,null,null,1545,null,null,411,null,null,1593,null,null,1489,null,null,5511,null,null,5409,null,null,4061,null,null,3160,null,null,13
315242,457,170544,1050,21643,1019,21510,1031,133,153,61,99,72,118,148901,223,141501,1470,7400,1499,4428,1026,2972,898,144698,927,20778,918,20642,951,136,179,0,185,136,179,123920,157,115202,1380,8718,1367,4938,991,3780,881,457,null,null,1050,null,null,1019,null,null,1031,null,null,153,null,null,99,null,null,118,null,null,223,null,null,1470,null,null,1499,null,null,1026,null,null,898,null,null,927,null,null,918,null,null,951,null,null,179,null,null,185,null,null,179,null,null,157,null,null,1380,null,null,1367,null,null,991,null,null,881,null,null,15
1385885,501,691694,1171,168478,1074,167531,1213,947,511,269,330,678,472,523216,312,513738,1782,9478,1728,4379,1076,5099,1512,694191,1054,159520,1096,158201,1248,1319,822,371,340,948,600,534671,267,523282,1840,11389,1807,6434,1306,4955,1256,501,null,null,1171,null,null,1074,null,null,1213,null,null,511,null,null,330,null,null,472,null,null,312,null,null,1782,null,null,1728,null,null,1076,null,null,1512,null,null,1054,null,null,1096,null,null,1248,null,null,822,null,null,340,null,null,600,null,null,267,null,null,1840,null,null,1807,null,null,1306,null,null,1256,null,null,16
7886677,3458,3875242,2491,772140,1794,762570,2971,9570,2131,2753,968,6817,1944,3103102,1434,2889989,7602,213113,7655,139862,5631,73251,5603,4011435,2282,734140,1654,725729,2325,8411,1626,2926,1071,5485,1310,3277295,1088,3045730,7546,231565,7597,157755,5834,73810,4783,3458,null,null,2491,null,null,1794,null,null,2971,null,null,2131,null,null,968,null,null,1944,null,null,1434,null,null,7602,null,null,7655,null,null,5631,null,null,5603,null,null,2282,null,null,1654,null,null,2325,null,null,1626,null,null,1071,null,null,1310,null,null,1088,null,null,7546,null,null,7597,null,null,5834,null,null,4783,null,null,17
5273458,3121,2596881,2563,579603,1825,576726,2311,2877,1092,1261,569,1616,820,2017278,1524,1987889,4114,29389,3455,18089,2511,11300,2073,2676577,2185,545254,1709,542327,1900,2927,1221,1402,838,1525,909,2131323,1179,2098930,3241,32393,3084,21437,2509,10956,1849,3121,null,null,2563,null,null,1825,null,null,2311,null,null,1092,null,null,569,null,null,820,null,null,1524,null,null,4114,null,null,3455,null,null,2511,null,null,2073,null,null,2185,null,null,1709,null,null,1900,null,null,1221,null,null,838,null,null,909,null,null,1179,null,null,3241,null,null,3084,null,null,2509,null,null,1849,null,null,18
2708501,1895,1339476,1372,294828,1088,294403,1195,425,389,206,237,219,299,1044648,842,1032080,2199,12568,1990,7237,1606,5331,1182,1369025,1391,279217,1133,278887,1174,330,210,156,162,174,134,1089808,664,1075314,2062,14494,1898,9726,1683,4768,1019,1895,null,null,1372,null,null,1088,null,null,1195,null,null,389,null,null,237,null,null,299,null,null,842,null,null,2199,null,null,1990,null,null,1606,null,null,1182,null,null,1391,null,null,1133,null,null,1174,null,null,210,null,null,162,null,null,134,null,null,664,null,null,2062,null,null,1898,null,null,1683,null,null,1019,null,null,19
2216482,1432,1094832,1782,244418,1731,243231,1800,1187,521,305,298,882,444,850414,410,838979,1903,11435,1854,6330,1362,5105,1228,1121650,1601,232590,1465,231438,1690,1152,762,143,156,1009,743,889060,441,873469,2030,15591,2049,8606,1406,6985,1605,1432,null,null,1782,null,null,1731,null,null,1800,null,null,521,null,null,298,null,null,444,null,null,410,null,null,1903,null,null,1854,null,null,1362,null,null,1228,null,null,1601,null,null,1465,null,null,1690,null,null,762,null,null,156,null,null,743,null,null,441,null,null,2030,null,null,2049,null,null,1406,null,null,1605,null,null,20
3765752,3843,1845747,3062,407309,2314,406020,2267,1289,627,597,454,692,482,1438438,1319,1421959,2531,16479,2376,8295,1617,8184,1747,1920005,2391,388831,2041,387316,2195,1515,694,415,384,1100,581,1531174,1199,1514950,2385,16224,2058,9863,1647,6361,1372,3843,null,null,3062,null,null,2314,null,null,2267,null,null,627,null,null,454,null,null,482,null,null,1319,null,null,2531,null,null,2376,null,null,1617,null,null,1747,null,null,2391,null,null,2041,null,null,2195,null,null,694,null,null,384,null,null,581,null,null,1199,null,null,2385,null,null,2058,null,null,1647,null,null,1372,null,null,21
2754601,1816,1357580,2289,292740,2104,291360,2256,1380,890,86,103,1294,881,1064840,694,1051678,2075,13162,1917,6892,1429,6270,1440,1397021,2312,277299,2061,276483,2079,816,487,188,246,628,428,1119722,533,1104442,2519,15280,2407,8658,1759,6622,1449,1816,null,null,2289,null,null,2104,null,null,2256,null,null,890,null,null,103,null,null,881,null,null,694,null,null,2075,null,null,1917,null,null,1429,null,null,1440,null,null,2312,null,null,2061,null,null,2079,null,null,487,null,null,246,null,null,428,null,null,533,null,null,2519,null,null,2407,null,null,1759,null,null,1449,null,null,22
