C27016_001E,C27016_001M,C27016_002E,C27016_002M,C27016_003E,C27016_003M,C27016_004E,C27016_004M,C27016_005E,C27016_005M,C27016_006E,C27016_006M,C27016_007E,C27016_007M,C27016_008E,C27016_008M,C27016_009E,C27016_009M,C27016_010E,C27016_010M,C27016_011E,C27016_011M,C27016_012E,C27016_012M,C27016_013E,C27016_013M,C27016_014E,C27016_014M,C27016_015E,C27016_015M,C27016_016E,C27016_016M,C27016_017E,C27016_017M,C27016_018E,C27016_018M,C27016_019E,C27016_019M,C27016_020E,C27016_020M,C27016_021E,C27016_021M,C27016_022E,C27016_022M,C27016_023E,C27016_023M,C27016_024E,C27016_024M,C27016_025E,C27016_025M,C27016_026E,C27016_026M,C27016_027E,C27016_027M,C27016_028E,C27016_028M,C27016_029E,C27016_029M,C27016_030E,C27016_030M,C27016_031E,C27016_031M,C27016_032E,C27016_032M,C27016_033E,C27016_033M,C27016_034E,C27016_034M,C27016_035E,C27016_035M,C27016_036E,C27016_036M,C27016_037E,C27016_037M,C27016_038E,C27016_038M,C27016_039E,C27016_039M,C27016_040E,C27016_040M,C27016_041E,C27016_041M,C27016_001M,C27016_001EA,C27016_001MA,C27016_002M,C27016_002EA,C27016_002MA,C27016_003M,C27016_003EA,C27016_003MA,C27016_004M,C27016_004EA,C27016_004MA,C27016_005M,C27016_005EA,C27016_005MA,C27016_006M,C27016_006EA,C27016_006MA,C27016_007M,C27016_007EA,C27016_007MA,C27016_008M,C27016_008EA,C27016_008MA,C27016_009M,C27016_009EA,C27016_009MA,C27016_010M,C27016_010EA,C27016_010MA,C27016_011M,C27016_011EA,C27016_011MA,C27016_012M,C27016_012EA,C27016_012MA,C27016_013M,C27016_013EA,C27016_013MA,C27016_014M,C27016_014EA,C27016_014MA,C27016_015M,C27016_015EA,C27016_015MA,C27016_016M,C27016_016EA,C27016_016MA,C27016_017M,C27016_017EA,C27016_017MA,C27016_018M,C27016_018EA,C27016_018MA,C27016_019M,C27016_019EA,C27016_019MA,C27016_020M,C27016_020EA,C27016_020MA,C27016_021M,C27016_021EA,C27016_021MA,C27016_022M,C27016_022EA,C27016_022MA,C27016_023M,C27016_023EA,C27016_023MA,C27016_024M,C27016_024EA,C27016_024MA,C27016_025M,C27016_025EA,C27016_025MA,C27016_026M,C27016_026EA,C27016_026MA,C27016_027M,C27016_027EA,C27016_027MA,C27016_028M,C27016_028EA,C27016_028MA,C27016_029M,C27016_029EA,C27016_029MA,C27016_030M,C27016_030EA,C27016_030MA,C27016_031M,C27016_031EA,C27016_031MA,C27016_032M,C27016_032EA,C27016_032MA,C27016_033M,C27016_033EA,C27016_033MA,C27016_034M,C27016_034EA,C27016_034MA,C27016_035M,C27016_035EA,C27016_035MA,C27016_036M,C27016_036EA,C27016_036MA,C27016_037M,C27016_037EA,C27016_037MA,C27016_038M,C27016_038EA,C27016_038MA,C27016_039M,C27016_039EA,C27016_039MA,C27016_040M,C27016_040EA,C27016_040MA,C27016_041M,C27016_041EA,C27016_041MA,state
20145748,7639,4617143,54545,1307710,25645,1207095,23434,100615,9638,2577030,34346,1730513,27808,846517,23675,732403,14415,708546,14552,23857,3307,2519333,56938,591094,21668,544393,20886,46701,5894,1423825,35027,1031687,28739,392138,16677,504414,13910,496407,13525,8007,2276,6419765,75515,1224871,28784,1150020,26945,74851,7030,3883669,48046,3175687,42307,707982,20939,1311225,19206,1297809,19697,13416,3003,6589507,58055,956490,22164,927059,21345,29431,4954,4160313,41409,3876238,37650,284075,12713,1472704,19088,1464911,18640,7793,1977,7639,null,null,54545,null,null,25645,null,null,23434,null,null,9638,null,null,34346,null,null,27808,null,null,23675,null,null,14415,null,null,14552,null,null,3307,null,null,56938,null,null,21668,null,null,20886,null,null,5894,null,null,35027,null,null,28739,null,null,16677,null,null,13910,null,null,13525,null,null,2276,null,null,75515,null,null,28784,null,null,26945,null,null,7030,null,null,48046,null,null,42307,null,null,20939,null,null,19206,null,null,19697,null,null,3003,null,null,58055,null,null,22164,null,null,21345,null,null,4954,null,null,41409,null,null,37650,null,null,12713,null,null,19088,null,null,18640,null,null,1977,null,null,12
10005966,5761,2350664,33667,806929,18871,736408,19149,70521,8309,1305792,21090,816583,17547,489209,14512,237943,7399,233905,7092,4038,1336,1175797,35069,330656,15181,300881,14764,29775,4012,674314,21664,479447,18678,194867,11017,170827,6633,168057,6627,2770,1344,3056685,42535,718220,18896,673320,17446,44900,6123,1911206,28830,1591178,26855,320028,14839,427259,10872,422993,10787,4266,1420,3422820,43313,616992,17273,601769,16919,15223,2291,2311554,29330,2186961,28045,124593,9257,494274,9818,492558,9884,1716,1053,5761,null,null,33667,null,null,18871,null,null,19149,null,null,8309,null,null,21090,null,null,17547,null,null,14512,null,null,7399,null,null,7092,null,null,1336,null,null,35069,null,null,15181,null,null,14764,null,null,4012,null,null,21664,null,null,18678,null,null,11017,null,null,6633,null,null,6627,null,null,1344,null,null,42535,null,null,18896,null,null,17446,null,null,6123,null,null,28830,null,null,26855,null,null,14839,null,null,10872,null,null,10787,null,null,1420,null,null,43313,null,null,17273,null,null,16919,null,null,2291,null,null,29330,null,null,28045,null,null,9257,null,null,9818,null,null,9884,null,null,1053,null,null,13
1363852,2999,192872,12850,50190,5129,47780,4988,2410,1526,108060,7504,95464,6905,12596,2194,34622,2829,34248,2794,374,262,123932,10262,36888,4434,36504,4410,384,453,66958,6158,62354,5616,4604,1391,20086,2529,20044,2527,42,68,408103,14200,108914,5524,107455,5489,1459,778,241341,9406,227407,9289,13934,2260,57848,3970,57688,3960,160,142,638945,14454,105123,4986,103280,4812,1843,839,407644,10604,398215,10262,9429,1993,126178,3538,125928,3523,250,287,2999,null,null,12850,null,null,5129,null,null,4988,null,null,1526,null,null,7504,null,null,6905,null,null,2194,null,null,2829,null,null,2794,null,null,262,null,null,10262,null,null,4434,null,null,4410,null,null,453,null,null,6158,null,null,5616,null,null,1391,null,null,2529,null,null,2527,null,null,68,null,null,14200,null,null,5524,null,null,5489,null,null,778,null,null,9406,null,null,9289,null,null,2260,null,null,3970,null,null,3960,null,null,142,null,null,14454,null,null,4986,null,null,4812,null,null,839,null,null,10604,null,null,10262,null,null,1993,null,null,3538,null,null,3523,null,null,287,null,null,15
1649941,1659,361044,18091,119418,8936,113133,9150,6285,1951,200532,9667,139912,8135,60620,4613,41094,3568,39510,3425,1584,831,213541,12734,72725,6747,69025,6643,3700,1232,107686,7266,86635,5654,21051,3078,33130,3107,32894,3077,236,279,561317,20739,145939,9670,138957,9635,6982,1932,327596,11682,283814,11906,43782,4513,87782,4775,87675,4761,107,124,514039,17135,92690,8178,89636,8043,3054,1430,330921,10277,311236,9889,19685,2573,90428,3879,90428,3879,0,198,1659,null,null,18091,null,null,8936,null,null,9150,null,null,1951,null,null,9667,null,null,8135,null,null,4613,null,null,3568,null,null,3425,null,null,831,null,null,12734,null,null,6747,null,null,6643,null,null,1232,null,null,7266,null,null,5654,null,null,3078,null,null,3107,null,null,3077,null,null,279,null,null,20739,null,null,9670,null,null,9635,null,null,1932,null,null,11682,null,null,11906,null,null,4513,null,null,4775,null,null,4761,null,null,124,null,null,17135,null,null,8178,null,null,8043,null,null,1430,null,null,10277,null,null,9889,null,null,2573,null,null,3879,null,null,3879,null,null,198,null,null,16
12493182,4020,2398841,41734,750142,19765,727014,19855,23128,3169,1354185,23895,1105243,21915,248942,9874,294514,7847,288528,7606,5986,1361,1282303,34504,354728,16509,346246,16121,8482,1659,709301,18803,583104,15564,126197,8404,218274,6668,216464,6625,1810,771,3572041,40376,821408,16784,796413,16110,24995,3484,2181497,25014,1943487,21517,238010,10456,569136,10044,565160,9814,3976,1289,5239997,40828,957509,17919,944700,17570,12809,3403,3556502,27657,3444585,25332,111917,7099,725986,11256,722290,11213,3696,1249,4020,null,null,41734,null,null,19765,null,null,19855,null,null,3169,null,null,23895,null,null,21915,null,null,9874,null,null,7847,null,null,7606,null,null,1361,null,null,34504,null,null,16509,null,null,16121,null,null,1659,null,null,18803,null,null,15564,null,null,8404,null,null,6668,null,null,6625,null,null,771,null,null,40376,null,null,16784,null,null,16110,null,null,3484,null,null,25014,null,null,21517,null,null,10456,null,null,10044,null,null,9814,null,null,1289,null,null,40828,null,null,17919,null,null,17570,null,null,3403,null,null,27657,null,null,25332,null,null,7099,null,null,11256,null,null,11213,null,null,1249,null,null,17
6429624,3231,1329362,23269,432122,13141,403979,12258,28143,4001,763208,13500,602432,13553,160776,7270,134032,5550,131350,5450,2682,893,756932,24578,232736,13044,208847,11856,23889,3375,398686,13499,319408,11555,79278,5587,125510,4929,125025,5063,485,467,2133152,30861,500353,14939,469948,15363,30405,4321,1268829,18288,1132330,19034,136499,7822,363970,7781,362292,7813,1678,907,2210178,27921,379118,11765,372570,12156,6548,1531,1497294,19581,1444990,18409,52304,4604,333766,7611,332418,7604,1348,707,3231,null,null,23269,null,null,13141,null,null,12258,null,null,4001,null,null,13500,null,null,13553,null,null,7270,null,null,5550,null,null,5450,null,null,893,null,null,24578,null,null,13044,null,null,11856,null,null,3375,null,null,13499,null,null,11555,null,null,5587,null,null,4929,null,null,5063,null,null,467,null,null,30861,null,null,14939,null,null,15363,null,null,4321,null,null,18288,null,null,19034,null,null,7822,null,null,7781,null,null,7813,null,null,907,null,null,27921,null,null,11765,null,null,12156,null,null,1531,null,null,19581,null,null,18409,null,null,4604,null,null,7611,null,null,7604,null,null,707,null,null,18
3029733,2162,541028,16664,159215,9257,150726,8744,8489,2678,312549,9147,274533,8339,38016,3519,69264,3114,69008,3098,256,183,305075,11432,85077,5458,82982,5353,2095,717,156016,6745,139806,6207,16210,2279,63982,2808,63793,2797,189,145,1025330,17597,253835,8372,248920,8300,4915,1607,595482,10981,555817,10989,39665,4076,176013,5143,175886,5130,127,172,1158300,19343,213410,7321,210601,7267,2809,910,762914,12540,746279,12729,16635,2299,181976,4780,181728,4779,248,320,2162,null,null,16664,null,null,9257,null,null,8744,null,null,2678,null,null,9147,null,null,8339,null,null,3519,null,null,3114,null,null,3098,null,null,183,null,null,11432,null,null,5458,null,null,5353,null,null,717,null,null,6745,null,null,6207,null,null,2279,null,null,2808,null,null,2797,null,null,145,null,null,17597,null,null,8372,null,null,8300,null,null,1607,null,null,10981,null,null,10989,null,null,4076,null,null,5143,null,null,5130,null,null,172,null,null,19343,null,null,7321,null,null,7267,null,null,910,null,null,12540,null,null,12729,null,null,2299,null,null,4780,null,null,4779,null,null,320,null,null,19
2814727,2418,534295,15213,168062,8468,157067,8194,10995,2147,303697,9400,210626,7139,93071,5754,62536,2994,61482,3044,1054,530,329567,14556,103638,6923,96836,7040,6802,2032,177928,8746,140215,7646,37713,3497,48001,3353,47673,3374,328,269,912167,20751,236630,9520,227677,9588,8953,2211,528680,14320,471634,12966,57046,4991,146857,4677,146504,4676,353,292,1038698,20441,196257,7098,192590,6720,3667,1311,680468,13820,655109,12874,25359,3012,161973,5625,161416,5527,557,378,2418,null,null,15213,null,null,8468,null,null,8194,null,null,2147,null,null,9400,null,null,7139,null,null,5754,null,null,2994,null,null,3044,null,null,530,null,null,14556,null,null,6923,null,null,7040,null,null,2032,null,null,8746,null,null,7646,null,null,3497,null,null,3353,null,null,3374,null,null,269,null,null,20751,null,null,9520,null,null,9588,null,null,2211,null,null,14320,null,null,12966,null,null,4991,null,null,4677,null,null,4676,null,null,292,null,null,20441,null,null,7098,null,null,6720,null,null,1311,null,null,13820,null,null,12874,null,null,3012,null,null,5625,null,null,5527,null,null,378,null,null,20
4290711,3965,1113439,27106,337337,13428,322217,13171,15120,3396,645528,15428,569973,14138,75555,6106,130574,5297,129357,5315,1217,650,515336,19786,133992,8842,127611,8738,6381,1680,289602,10942,258270,10308,31332,3302,91742,5387,91742,5387,0,190,1312479,24950,287996,10643,280244,10376,7752,1430,786921,16305,727171,15589,59750,5411,237562,6232,236936,6363,626,513,1349457,24824,229927,8965,227629,8962,2298,911,914041,17757,893130,17391,20911,2545,205489,6256,205226,6266,263,248,3965,null,null,27106,null,null,13428,null,null,13171,null,null,3396,null,null,15428,null,null,14138,null,null,6106,null,null,5297,null,null,5315,null,null,650,null,null,19786,null,null,8842,null,null,8738,null,null,1680,null,null,10942,null,null,10308,null,null,3302,null,null,5387,null,null,5387,null,null,190,null,null,24950,null,null,10643,null,null,10376,null,null,1430,null,null,16305,null,null,15589,null,null,5411,null,null,6232,null,null,6363,null,null,513,null,null,24824,null,null,8965,null,null,8962,null,null,911,null,null,17757,null,null,17391,null,null,2545,null,null,6256,null,null,6266,null,null,248,null,null,21
4533461,4771,1272159,30309,414065,14413,400232,14524,13833,2855,710717,18121,515625,14995,195092,9447,147377,5837,146089,5983,1288,512,519990,18151,127781,8767,122385,8442,5396,1738,299587,11323,233479,10061,66108,5932,92622,4975,92334,4942,288,295,1325863,29379,292334,12090,283352,12097,8982,2350,816626,18851,697529,18383,119097,7559,216903,6503,216395,6459,508,319,1415449,22555,262466,9374,258158,9398,4308,1741,955859,15567,904507,15597,51352,5364,197124,6260,196799,6244,325,224,4771,null,null,30309,null,null,14413,null,null,14524,null,null,2855,null,null,18121,null,null,14995,null,null,9447,null,null,5837,null,null,5983,null,null,512,null,null,18151,null,null,8767,null,null,8442,null,null,1738,null,null,11323,null,null,10061,null,null,5932,null,null,4975,null,null,4942,null,null,295,null,null,29379,null,null,12090,null,null,12097,null,null,2350,null,null,18851,null,null,18383,null,null,7559,null,null,6503,null,null,6459,null,null,319,null,null,22555,null,null,9374,null,null,9398,null,null,1741,null,null,15567,null,null,15597,null,null,5364,null,null,6260,null,null,6244,null,null,224,null,null,22
