C17010F_001E,C17010F_001M,C17010F_002E,C17010F_002M,C17010F_003E,C17010F_003M,C17010F_004E,C17010F_004M,C17010F_005E,C17010F_005M,C17010F_006E,C17010F_006M,C17010F_007E,C17010F_007M,C17010F_008E,C17010F_008M,C17010F_009E,C17010F_009M,C17010F_010E,C17010F_010M,C17010F_011E,C17010F_011M,C17010F_012E,C17010F_012M,C17010F_013E,C17010F_013M,C17010F_014E,C17010F_014M,C17010F_015E,C17010F_015M,C17010F_016E,C17010F_016M,C17010F_017E,C17010F_017M,C17010F_001M,C17010F_001EA,C17010F_001MA,C17010F_002M,C17010F_002EA,C17010F_002MA,C17010F_003M,C17010F_003EA,C17010F_003MA,C17010F_004M,C17010F_004EA,C17010F_004MA,C17010F_005M,C17010F_005EA,C17010F_005MA,C17010F_006M,C17010F_006EA,C17010F_006MA,C17010F_007M,C17010F_007EA,C17010F_007MA,C17010F_008M,C17010F_008EA,C17010F_008MA,C17010F_009M,C17010F_009EA,C17010F_009MA,C17010F_010M,C17010F_010EA,C17010F_010MA,C17010F_011M,C17010F_011EA,C17010F_011MA,C17010F_012M,C17010F_012EA,C17010F_012MA,C17010F_013M,C17010F_013EA,C17010F_013MA,C17010F_014M,C17010F_014EA,C17010F_014MA,C17010F_015M,C17010F_015EA,C17010F_015MA,C17010F_016M,C17010F_016EA,C17010F_016MA,C17010F_017M,C17010F_017EA,C17010F_017MA,state
111822,6054,20932,2762,8109,1695,5467,1424,12823,2280,2684,1063,2166,968,10139,1887,8792,1903,90890,5851,59965,4681,33153,3596,30925,3086,11310,1969,5234,1360,19615,2444,11545,2011,6054,null,null,2762,null,null,1695,null,null,1424,null,null,2280,null,null,1063,null,null,968,null,null,1887,null,null,1903,null,null,5851,null,null,4681,null,null,3596,null,null,3086,null,null,1969,null,null,1360,null,null,2444,null,null,2011,null,null,12
58981,5429,15501,2976,8184,2122,7945,2096,7317,1895,2846,1393,2796,1427,4471,1311,4281,1253,43480,4510,31804,3956,20138,3095,11676,2175,5464,1454,4108,1318,6212,1438,3816,1024,5429,null,null,2976,null,null,2122,null,null,2096,null,null,1895,null,null,1393,null,null,1427,null,null,1311,null,null,1253,null,null,4510,null,null,3956,null,null,3095,null,null,2175,null,null,1454,null,null,1318,null,null,1438,null,null,1024,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
13422,1788,2581,1041,1256,721,693,627,1325,698,531,504,531,504,794,506,713,501,10841,1676,7301,1494,4610,1130,3540,1291,1963,916,1372,775,1577,865,1237,739,1788,null,null,1041,null,null,721,null,null,627,null,null,698,null,null,504,null,null,504,null,null,506,null,null,501,null,null,1676,null,null,1494,null,null,1130,null,null,1291,null,null,916,null,null,775,null,null,865,null,null,739,null,null,16
175951,5078,31406,3264,13203,2071,10806,1887,18203,2437,3593,964,3345,944,14610,2262,12805,1978,144545,4790,97627,4175,64739,3738,46918,3374,21957,2684,13108,2194,24961,2739,16808,2307,5078,null,null,3264,null,null,2071,null,null,1887,null,null,2437,null,null,964,null,null,944,null,null,2262,null,null,1978,null,null,4790,null,null,4175,null,null,3738,null,null,3374,null,null,2684,null,null,2194,null,null,2739,null,null,2307,null,null,17
34425,3299,7437,1515,3819,1178,3646,1169,3618,917,530,429,373,345,3088,825,2936,808,26988,2939,19445,2581,11761,2016,7543,1259,3240,816,2150,646,4303,1056,3245,983,3299,null,null,1515,null,null,1178,null,null,1169,null,null,917,null,null,429,null,null,345,null,null,825,null,null,808,null,null,2939,null,null,2581,null,null,2016,null,null,1259,null,null,816,null,null,646,null,null,1056,null,null,983,null,null,18
8528,1334,1764,759,1044,629,1044,629,720,412,55,76,55,76,665,409,665,409,6764,1254,4321,1011,2835,741,2443,872,644,371,379,311,1799,792,1465,771,1334,null,null,759,null,null,629,null,null,629,null,null,412,null,null,76,null,null,76,null,null,409,null,null,409,null,null,1254,null,null,1011,null,null,741,null,null,872,null,null,371,null,null,311,null,null,792,null,null,771,null,null,19
14895,1931,3150,873,1282,619,1115,551,1868,786,159,127,113,109,1709,782,1682,778,11745,1714,9266,1521,6155,1352,2479,788,1221,596,955,541,1258,513,957,458,1931,null,null,873,null,null,619,null,null,551,null,null,786,null,null,127,null,null,109,null,null,782,null,null,778,null,null,1714,null,null,1521,null,null,1352,null,null,788,null,null,596,null,null,541,null,null,513,null,null,458,null,null,20
6662,1442,2922,950,1411,844,1107,612,1511,560,463,371,463,371,1048,478,1013,472,3740,1161,3073,1157,2168,966,667,426,432,355,394,369,235,252,221,250,1442,null,null,950,null,null,844,null,null,612,null,null,560,null,null,371,null,null,371,null,null,478,null,null,472,null,null,1161,null,null,1157,null,null,966,null,null,426,null,null,355,null,null,369,null,null,252,null,null,250,null,null,21
14244,1956,3891,1042,2369,863,2369,863,1522,678,299,363,218,332,1223,553,1003,515,10353,1706,8661,1512,4664,1176,1692,786,762,472,318,396,930,638,648,603,1956,null,null,1042,null,null,863,null,null,863,null,null,678,null,null,363,null,null,332,null,null,553,null,null,515,null,null,1706,null,null,1512,null,null,1176,null,null,786,null,null,472,null,null,396,null,null,638,null,null,603,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
44744,3447,4960,1329,1666,628,1464,649,3294,1072,913,540,913,540,2381,905,2253,898,39784,3483,24285,2795,16260,1972,15499,2593,7318,1539,4865,1279,8181,1914,5582,1468,3447,null,null,1329,null,null,628,null,null,649,null,null,1072,null,null,540,null,null,540,null,null,905,null,null,898,null,null,3483,null,null,2795,null,null,1972,null,null,2593,null,null,1539,null,null,1279,null,null,1914,null,null,1468,null,null,24
