C17024_001E,C17024_001M,C17024_002E,C17024_002M,C17024_003E,C17024_003M,C17024_004E,C17024_004M,C17024_005E,C17024_005M,C17024_006E,C17024_006M,C17024_007E,C17024_007M,C17024_008E,C17024_008M,C17024_009E,C17024_009M,C17024_010E,C17024_010M,C17024_011E,C17024_011M,C17024_012E,C17024_012M,C17024_013E,C17024_013M,C17024_014E,C17024_014M,C17024_015E,C17024_015M,C17024_016E,C17024_016M,C17024_017E,C17024_017M,C17024_018E,C17024_018M,C17024_019E,C17024_019M,C17024_020E,C17024_020M,C17024_021E,C17024_021M,C17024_022E,C17024_022M,C17024_023E,C17024_023M,C17024_024E,C17024_024M,C17024_025E,C17024_025M,C17024_026E,C17024_026M,C17024_027E,C17024_027M,C17024_028E,C17024_028M,C17024_001M,C17024_001EA,C17024_001MA,C17024_002M,C17024_002EA,C17024_002MA,C17024_003M,C17024_003EA,C17024_003MA,C17024_004M,C17024_004EA,C17024_004MA,C17024_005M,C17024_005EA,C17024_005MA,C17024_006M,C17024_006EA,C17024_006MA,C17024_007M,C17024_007EA,C17024_007MA,C17024_008M,C17024_008EA,C17024_008MA,C17024_009M,C17024_009EA,C17024_009MA,C17024_010M,C17024_010EA,C17024_010MA,C17024_011M,C17024_011EA,C17024_011MA,C17024_012M,C17024_012EA,C17024_012MA,C17024_013M,C17024_013EA,C17024_013MA,C17024_014M,C17024_014EA,C17024_014MA,C17024_015M,C17024_015EA,C17024_015MA,C17024_016M,C17024_016EA,C17024_016MA,C17024_017M,C17024_017EA,C17024_017MA,C17024_018M,C17024_018EA,C17024_018MA,C17024_019M,C17024_019EA,C17024_019MA,C17024_020M,C17024_020EA,C17024_020MA,C17024_021M,C17024_021EA,C17024_021MA,C17024_022M,C17024_022EA,C17024_022MA,C17024_023M,C17024_023EA,C17024_023MA,C17024_024M,C17024_024EA,C17024_024MA,C17024_025M,C17024_025EA,C17024_025MA,C17024_026M,C17024_026EA,C17024_026MA,C17024_027M,C17024_027EA,C17024_027MA,C17024_028M,C17024_028EA,C17024_028MA,state
20191342,6143,4080165,6661,370157,17362,488554,22569,297238,14043,742855,23488,730441,23429,494430,17308,306902,13603,649588,17080,12090431,5908,785126,20794,911299,26732,572212,19468,1738110,37559,2203990,37422,1697044,31422,1251195,29720,2931455,36732,4020746,4299,139870,8108,278506,8986,199045,8110,619396,14698,762741,17529,548484,13036,415056,13785,1057648,17887,6143,null,null,6661,null,null,17362,null,null,22569,null,null,14043,null,null,23488,null,null,23429,null,null,17308,null,null,13603,null,null,17080,null,null,5908,null,null,20794,null,null,26732,null,null,19468,null,null,37559,null,null,37422,null,null,31422,null,null,29720,null,null,36732,null,null,4299,null,null,8108,null,null,8986,null,null,8110,null,null,14698,null,null,17529,null,null,13036,null,null,13785,null,null,17887,null,null,12
10040201,4550,2472797,5263,252964,15381,313041,14678,159763,11699,411817,18190,428328,16631,289892,13038,195042,9658,421950,15220,6237101,4831,432541,15041,470726,13889,259014,11693,824933,24073,1075588,26477,853235,23078,672812,20394,1648252,26672,1330303,3964,41966,3638,91775,5086,62529,3672,212500,7889,238282,8965,188977,8911,128848,6022,365426,8847,4550,null,null,5263,null,null,15381,null,null,14678,null,null,11699,null,null,18190,null,null,16631,null,null,13038,null,null,9658,null,null,15220,null,null,4831,null,null,15041,null,null,13889,null,null,11693,null,null,24073,null,null,26477,null,null,23078,null,null,20394,null,null,26672,null,null,3964,null,null,3638,null,null,5086,null,null,3672,null,null,7889,null,null,8965,null,null,8911,null,null,6022,null,null,8847,null,null,13
1389442,1866,301115,1920,15689,2876,14818,3244,11867,2712,44704,4905,61274,5299,47640,4947,36886,4041,68237,4788,849593,1025,41131,4642,36582,4612,21132,3440,80534,6739,129718,7542,121850,8639,113995,8153,304651,10680,238734,714,8088,1581,13261,2005,9304,1556,24055,2747,31697,3388,26151,2327,32233,2906,93945,4099,1866,null,null,1920,null,null,2876,null,null,3244,null,null,2712,null,null,4905,null,null,5299,null,null,4947,null,null,4041,null,null,4788,null,null,1025,null,null,4642,null,null,4612,null,null,3440,null,null,6739,null,null,7542,null,null,8639,null,null,8153,null,null,10680,null,null,714,null,null,1581,null,null,2005,null,null,1556,null,null,2747,null,null,3388,null,null,2327,null,null,2906,null,null,4099,null,null,15
1652592,1607,430772,2200,30052,4397,46214,5875,28816,4439,87061,8078,86831,7080,59108,7133,37564,4770,55126,7058,969386,1955,62846,5074,73030,6060,42874,4826,130038,8256,181703,9913,147432,9453,112419,8359,219044,10374,252434,1794,9164,1961,16139,2406,10961,1903,37960,3223,47384,3298,40398,3657,30095,2880,60333,3716,1607,null,null,2200,null,null,4397,null,null,5875,null,null,4439,null,null,8078,null,null,7080,null,null,7133,null,null,4770,null,null,7058,null,null,1955,null,null,5074,null,null,6060,null,null,4826,null,null,8256,null,null,9913,null,null,9453,null,null,8359,null,null,10374,null,null,1794,null,null,1961,null,null,2406,null,null,1903,null,null,3223,null,null,3298,null,null,3657,null,null,2880,null,null,3716,null,null,16
12502057,3937,2883787,4142,220334,11973,291345,14185,160579,10865,432612,17162,447395,16608,374013,13634,280930,11132,676579,14913,7810360,3774,454767,13587,488918,14290,272253,11113,848446,21179,1144957,22617,1040019,19965,913902,19956,2647098,24919,1807910,3613,63705,4354,102439,4830,80547,4327,266097,7054,319091,7877,250045,7410,196247,6810,529739,10020,3937,null,null,4142,null,null,11973,null,null,14185,null,null,10865,null,null,17162,null,null,16608,null,null,13634,null,null,11132,null,null,14913,null,null,3774,null,null,13587,null,null,14290,null,null,11113,null,null,21179,null,null,22617,null,null,19965,null,null,19956,null,null,24919,null,null,3613,null,null,4354,null,null,4830,null,null,4327,null,null,7054,null,null,7877,null,null,7410,null,null,6810,null,null,10020,null,null,17
6432804,3045,1544329,4422,133661,9922,167495,12315,89921,7532,273781,13796,285366,11553,214987,10539,138076,8239,241042,9401,3931197,3510,249647,10398,281678,9855,153786,8231,477431,14402,687237,16776,582667,14651,479012,13988,1019739,19263,957278,2718,25876,2387,47720,3155,39014,2940,146932,5095,204996,6547,158974,6760,109397,5140,224369,7006,3045,null,null,4422,null,null,9922,null,null,12315,null,null,7532,null,null,13796,null,null,11553,null,null,10539,null,null,8239,null,null,9401,null,null,3510,null,null,10398,null,null,9855,null,null,8231,null,null,14402,null,null,16776,null,null,14651,null,null,13988,null,null,19263,null,null,2718,null,null,2387,null,null,3155,null,null,2940,null,null,5095,null,null,6547,null,null,6760,null,null,5140,null,null,7006,null,null,18
3031338,2083,711566,3077,44427,4338,60605,6213,36320,4226,102940,5782,144606,7968,109229,5528,81780,6055,131659,6628,1828537,2647,103757,5457,113776,5411,61417,5125,189837,7618,318284,9658,277608,8942,241259,9133,522599,11823,491235,2015,11269,1582,22544,1850,22747,1851,76686,2874,98178,4562,77835,3386,53212,2460,128764,4771,2083,null,null,3077,null,null,4338,null,null,6213,null,null,4226,null,null,5782,null,null,7968,null,null,5528,null,null,6055,null,null,6628,null,null,2647,null,null,5457,null,null,5411,null,null,5125,null,null,7618,null,null,9658,null,null,8942,null,null,9133,null,null,11823,null,null,2015,null,null,1582,null,null,1850,null,null,1851,null,null,2874,null,null,4562,null,null,3386,null,null,2460,null,null,4771,null,null,19
2825864,1863,704613,3076,40279,4287,59044,6264,46629,4676,125748,7769,136910,7662,99746,6241,73519,5531,122738,6409,1701884,3235,99943,5835,109755,6244,63347,4571,211448,9087,279864,9801,253282,10445,206022,9937,478223,11921,419367,2077,11296,1804,22227,1891,17834,1795,59180,3865,78327,4226,68530,3606,48096,3245,113877,5444,1863,null,null,3076,null,null,4287,null,null,6264,null,null,4676,null,null,7769,null,null,7662,null,null,6241,null,null,5531,null,null,6409,null,null,3235,null,null,5835,null,null,6244,null,null,4571,null,null,9087,null,null,9801,null,null,10445,null,null,9937,null,null,11921,null,null,2077,null,null,1804,null,null,1891,null,null,1795,null,null,3865,null,null,4226,null,null,3606,null,null,3245,null,null,5444,null,null,20
4298953,3416,989252,4592,116423,8748,131357,8596,59249,5276,164300,8913,161570,9395,126426,8085,83408,5753,146519,6990,2644334,3380,204829,8306,267297,11474,116923,6774,348691,11817,427452,13528,362750,11465,306605,12851,609787,14637,665367,2166,18155,2078,55999,3702,35809,2901,112353,5662,138397,4811,99165,4813,64294,4368,141195,5960,3416,null,null,4592,null,null,8748,null,null,8596,null,null,5276,null,null,8913,null,null,9395,null,null,8085,null,null,5753,null,null,6990,null,null,3380,null,null,8306,null,null,11474,null,null,6774,null,null,11817,null,null,13528,null,null,11465,null,null,12851,null,null,14637,null,null,2166,null,null,2078,null,null,3702,null,null,2901,null,null,5662,null,null,4811,null,null,4813,null,null,4368,null,null,5960,null,null,21
4546017,4194,1096646,4810,136953,10943,176973,11040,72740,7679,155180,9686,165392,9736,126942,8930,95671,7034,166795,8270,2795345,3391,233679,10609,285784,12781,137176,9090,356809,11978,450539,14198,371155,14925,293055,13203,667148,16390,654026,2581,24842,2504,59956,3798,37743,3283,117458,5354,127467,6263,89436,4490,58095,4034,139029,5670,4194,null,null,4810,null,null,10943,null,null,11040,null,null,7679,null,null,9686,null,null,9736,null,null,8930,null,null,7034,null,null,8270,null,null,3391,null,null,10609,null,null,12781,null,null,9090,null,null,11978,null,null,14198,null,null,14925,null,null,13203,null,null,16390,null,null,2581,null,null,2504,null,null,3798,null,null,3283,null,null,5354,null,null,6263,null,null,4490,null,null,4034,null,null,5670,null,null,22
