B23024_001E,B23024_001M,B23024_002E,B23024_002M,B23024_003E,B23024_003M,B23024_004E,B23024_004M,B23024_005E,B23024_005M,B23024_006E,B23024_006M,B23024_007E,B23024_007M,B23024_008E,B23024_008M,B23024_009E,B23024_009M,B23024_010E,B23024_010M,B23024_011E,B23024_011M,B23024_012E,B23024_012M,B23024_013E,B23024_013M,B23024_014E,B23024_014M,B23024_015E,B23024_015M,B23024_016E,B23024_016M,B23024_017E,B23024_017M,B23024_018E,B23024_018M,B23024_019E,B23024_019M,B23024_020E,B23024_020M,B23024_021E,B23024_021M,B23024_022E,B23024_022M,B23024_023E,B23024_023M,B23024_024E,B23024_024M,B23024_025E,B23024_025M,B23024_026E,B23024_026M,B23024_027E,B23024_027M,B23024_028E,B23024_028M,B23024_029E,B23024_029M,B23024_030E,B23024_030M,B23024_031E,B23024_031M,B23024_001M,B23024_001EA,B23024_001MA,B23024_002M,B23024_002EA,B23024_002MA,B23024_003M,B23024_003EA,B23024_003MA,B23024_004M,B23024_004EA,B23024_004MA,B23024_005M,B23024_005EA,B23024_005MA,B23024_006M,B23024_006EA,B23024_006MA,B23024_007M,B23024_007EA,B23024_007MA,B23024_008M,B23024_008EA,B23024_008MA,B23024_009M,B23024_009EA,B23024_009MA,B23024_010M,B23024_010EA,B23024_010MA,B23024_011M,B23024_011EA,B23024_011MA,B23024_012M,B23024_012EA,B23024_012MA,B23024_013M,B23024_013EA,B23024_013MA,B23024_014M,B23024_014EA,B23024_014MA,B23024_015M,B23024_015EA,B23024_015MA,B23024_016M,B23024_016EA,B23024_016MA,B23024_017M,B23024_017EA,B23024_017MA,B23024_018M,B23024_018EA,B23024_018MA,B23024_019M,B23024_019EA,B23024_019MA,B23024_020M,B23024_020EA,B23024_020MA,B23024_021M,B23024_021EA,B23024_021MA,B23024_022M,B23024_022EA,B23024_022MA,B23024_023M,B23024_023EA,B23024_023MA,B23024_024M,B23024_024EA,B23024_024MA,B23024_025M,B23024_025EA,B23024_025MA,B23024_026M,B23024_026EA,B23024_026MA,B23024_027M,B23024_027EA,B23024_027MA,B23024_028M,B23024_028EA,B23024_028MA,B23024_029M,B23024_029EA,B23024_029MA,B23024_030M,B23024_030EA,B23024_030MA,B23024_031M,B23024_031EA,B23024_031MA,state
11664760,8616,1607260,29794,322574,12783,68313,5113,0,221,68313,5113,45201,4269,23112,3192,254261,10078,1284686,25024,703164,17486,562,427,702602,17531,560587,15429,142015,7081,581522,16934,10057500,31233,907815,15857,390946,10852,1734,729,389212,10843,353028,10393,36184,3754,516869,13362,9149685,30658,7766563,30642,42964,4226,7723599,30436,7425013,30865,298586,10012,1383122,24459,8616,null,null,29794,null,null,12783,null,null,5113,null,null,221,null,null,5113,null,null,4269,null,null,3192,null,null,10078,null,null,25024,null,null,17486,null,null,427,null,null,17531,null,null,15429,null,null,7081,null,null,16934,null,null,31233,null,null,15857,null,null,10852,null,null,729,null,null,10843,null,null,10393,null,null,3754,null,null,13362,null,null,30658,null,null,30642,null,null,4226,null,null,30436,null,null,30865,null,null,10012,null,null,24459,null,null,12
5992057,8388,855057,18035,177196,8231,37512,3843,0,218,37512,3843,22851,3039,14661,2383,139684,6667,677861,17200,381154,11498,780,528,380374,11417,299182,9602,81192,6413,296707,12116,5137000,19901,503930,14041,230116,9546,1682,750,228434,9523,209229,8599,19205,2714,273814,9524,4633070,21962,3968470,23358,31319,3650,3937151,23485,3798969,23374,138182,7409,664600,15905,8388,null,null,18035,null,null,8231,null,null,3843,null,null,218,null,null,3843,null,null,3039,null,null,2383,null,null,6667,null,null,17200,null,null,11498,null,null,528,null,null,11417,null,null,9602,null,null,6413,null,null,12116,null,null,19901,null,null,14041,null,null,9546,null,null,750,null,null,9523,null,null,8599,null,null,2714,null,null,9524,null,null,21962,null,null,23358,null,null,3650,null,null,23485,null,null,23374,null,null,7409,null,null,15905,null,null,13
823975,1987,74781,6448,15085,2604,3120,1082,0,185,3120,1082,2242,987,878,481,11965,2075,59696,5255,29348,3471,349,220,28999,3471,22801,2929,6198,1537,30348,3510,749194,6583,51192,3483,26577,2681,1091,564,25486,2612,23963,2517,1523,539,24615,2345,698002,6619,606064,7434,23961,2473,582103,7864,564012,7713,18091,2200,91938,4411,1987,null,null,6448,null,null,2604,null,null,1082,null,null,185,null,null,1082,null,null,987,null,null,481,null,null,2075,null,null,5255,null,null,3471,null,null,220,null,null,3471,null,null,2929,null,null,1537,null,null,3510,null,null,6583,null,null,3483,null,null,2681,null,null,564,null,null,2612,null,null,2517,null,null,539,null,null,2345,null,null,6619,null,null,7434,null,null,2473,null,null,7864,null,null,7713,null,null,2200,null,null,4411,null,null,15
928614,2979,126829,7933,30130,3621,7640,1725,54,99,7586,1709,5715,1366,1871,878,22490,2667,96699,6432,58070,5583,0,198,58070,5583,49408,4806,8662,1830,38629,3983,801785,8049,81701,4071,46085,3931,104,169,45981,3927,43212,3700,2769,917,35616,3251,720084,8123,606889,9174,2493,765,604396,9071,588704,9055,15692,2321,113195,5544,2979,null,null,7933,null,null,3621,null,null,1725,null,null,99,null,null,1709,null,null,1366,null,null,878,null,null,2667,null,null,6432,null,null,5583,null,null,198,null,null,5583,null,null,4806,null,null,1830,null,null,3983,null,null,8049,null,null,4071,null,null,3931,null,null,169,null,null,3927,null,null,3700,null,null,917,null,null,3251,null,null,8123,null,null,9174,null,null,765,null,null,9071,null,null,9055,null,null,2321,null,null,5544,null,null,16
7529371,5282,892034,19231,176711,7254,41274,3257,0,185,41274,3257,26642,2667,14632,1552,135437,6278,715323,18080,423568,12946,30,50,423538,12947,319491,11425,104047,5836,291755,10121,6637337,19563,484908,11846,234847,8264,456,288,234391,8246,211266,7372,23125,2359,250061,8024,6152429,22991,5348304,24447,8171,1294,5340133,24621,5130757,25397,209376,7321,804125,15466,5282,null,null,19231,null,null,7254,null,null,3257,null,null,185,null,null,3257,null,null,2667,null,null,1552,null,null,6278,null,null,18080,null,null,12946,null,null,50,null,null,12947,null,null,11425,null,null,5836,null,null,10121,null,null,19563,null,null,11846,null,null,8264,null,null,288,null,null,8246,null,null,7372,null,null,2359,null,null,8024,null,null,22991,null,null,24447,null,null,1294,null,null,24621,null,null,25397,null,null,7321,null,null,15466,null,null,17
3789372,5599,502125,12572,125965,5604,29406,2999,0,192,29406,2999,19020,2127,10386,1921,96559,4787,376160,11504,222092,7668,157,248,221935,7657,185037,6630,36898,3416,154068,7963,3287247,13123,344878,9169,162985,6098,0,192,162985,6098,151658,5932,11327,1706,181893,6772,2942369,14940,2580865,14397,2984,910,2577881,14358,2498855,14748,79026,4725,361504,9316,5599,null,null,12572,null,null,5604,null,null,2999,null,null,192,null,null,2999,null,null,2127,null,null,1921,null,null,4787,null,null,11504,null,null,7668,null,null,248,null,null,7657,null,null,6630,null,null,3416,null,null,7963,null,null,13123,null,null,9169,null,null,6098,null,null,192,null,null,6098,null,null,5932,null,null,1706,null,null,6772,null,null,14940,null,null,14397,null,null,910,null,null,14358,null,null,14748,null,null,4725,null,null,9316,null,null,18
1762309,3832,204600,7635,41538,3328,11191,1720,0,159,11191,1720,7898,1416,3293,933,30347,2503,163062,7129,101129,5476,0,159,101129,5476,86237,4982,14892,1883,61933,4624,1557709,7986,128280,5434,74550,3981,234,178,74316,3978,69943,3900,4373,1023,53730,3245,1429429,9371,1283747,9092,1145,379,1282602,9084,1252670,9874,29932,2885,145682,5898,3832,null,null,7635,null,null,3328,null,null,1720,null,null,159,null,null,1720,null,null,1416,null,null,933,null,null,2503,null,null,7129,null,null,5476,null,null,159,null,null,5476,null,null,4982,null,null,1883,null,null,4624,null,null,7986,null,null,5434,null,null,3981,null,null,178,null,null,3978,null,null,3900,null,null,1023,null,null,3245,null,null,9371,null,null,9092,null,null,379,null,null,9084,null,null,9874,null,null,2885,null,null,5898,null,null,19
1633072,4132,191953,8315,41848,2903,11807,1383,0,174,11807,1383,8287,1225,3520,686,30041,2841,150105,7708,93733,5734,192,164,93541,5738,79966,5012,13575,2401,56372,4097,1441119,8422,140630,4458,79049,3765,838,578,78211,3736,73373,3566,4838,991,61581,3299,1300489,9132,1144130,8466,9632,1290,1134498,8487,1103435,8794,31063,3424,156359,5515,4132,null,null,8315,null,null,2903,null,null,1383,null,null,174,null,null,1383,null,null,1225,null,null,686,null,null,2841,null,null,7708,null,null,5734,null,null,164,null,null,5738,null,null,5012,null,null,2401,null,null,4097,null,null,8422,null,null,4458,null,null,3765,null,null,578,null,null,3736,null,null,3566,null,null,991,null,null,3299,null,null,9132,null,null,8466,null,null,1290,null,null,8487,null,null,8794,null,null,3424,null,null,5515,null,null,20
2545613,5577,446378,13503,144083,6710,27314,2857,0,190,27314,2857,18574,2493,8740,1419,116769,6068,302295,11684,162935,7871,296,311,162639,7852,131471,7695,31168,3264,139360,7141,2099235,14422,283201,9589,120213,5963,776,509,119437,5928,111444,5817,7993,1208,162988,7073,1816034,15573,1556122,15812,7085,1397,1549037,15528,1497686,16167,51351,4494,259912,7344,5577,null,null,13503,null,null,6710,null,null,2857,null,null,190,null,null,2857,null,null,2493,null,null,1419,null,null,6068,null,null,11684,null,null,7871,null,null,311,null,null,7852,null,null,7695,null,null,3264,null,null,7141,null,null,14422,null,null,9589,null,null,5963,null,null,509,null,null,5928,null,null,5817,null,null,1208,null,null,7073,null,null,15573,null,null,15812,null,null,1397,null,null,15528,null,null,16167,null,null,4494,null,null,7344,null,null,21
2684011,6822,488695,15072,118476,6144,25011,2804,0,208,25011,2804,16453,2228,8558,1642,93465,5626,370219,13527,204472,9672,344,487,204128,9662,160760,8401,43368,4166,165747,8590,2195316,14983,256850,8299,114273,6132,739,469,113534,6029,101476,5742,12058,1984,142577,5786,1938466,16579,1629761,16058,11460,1855,1618301,16362,1554601,16199,63700,4853,308705,9789,6822,null,null,15072,null,null,6144,null,null,2804,null,null,208,null,null,2804,null,null,2228,null,null,1642,null,null,5626,null,null,13527,null,null,9672,null,null,487,null,null,9662,null,null,8401,null,null,4166,null,null,8590,null,null,14983,null,null,8299,null,null,6132,null,null,469,null,null,6029,null,null,5742,null,null,1984,null,null,5786,null,null,16579,null,null,16058,null,null,1855,null,null,16362,null,null,16199,null,null,4853,null,null,9789,null,null,22
