C23002F_001E,C23002F_001M,C23002F_002E,C23002F_002M,C23002F_003E,C23002F_003M,C23002F_004E,C23002F_004M,C23002F_005E,C23002F_005M,C23002F_006E,C23002F_006M,C23002F_007E,C23002F_007M,C23002F_008E,C23002F_008M,C23002F_009E,C23002F_009M,C23002F_010E,C23002F_010M,C23002F_011E,C23002F_011M,C23002F_012E,C23002F_012M,C23002F_013E,C23002F_013M,C23002F_014E,C23002F_014M,C23002F_015E,C23002F_015M,C23002F_016E,C23002F_016M,C23002F_017E,C23002F_017M,C23002F_018E,C23002F_018M,C23002F_019E,C23002F_019M,C23002F_020E,C23002F_020M,C23002F_021E,C23002F_021M,C23002F_022E,C23002F_022M,C23002F_023E,C23002F_023M,C23002F_024E,C23002F_024M,C23002F_025E,C23002F_025M,C23002F_026E,C23002F_026M,C23002F_027E,C23002F_027M,C23002F_001M,C23002F_001EA,C23002F_001MA,C23002F_002M,C23002F_002EA,C23002F_002MA,C23002F_003M,C23002F_003EA,C23002F_003MA,C23002F_004M,C23002F_004EA,C23002F_004MA,C23002F_005M,C23002F_005EA,C23002F_005MA,C23002F_006M,C23002F_006EA,C23002F_006MA,C23002F_007M,C23002F_007EA,C23002F_007MA,C23002F_008M,C23002F_008EA,C23002F_008MA,C23002F_009M,C23002F_009EA,C23002F_009MA,C23002F_010M,C23002F_010EA,C23002F_010MA,C23002F_011M,C23002F_011EA,C23002F_011MA,C23002F_012M,C23002F_012EA,C23002F_012MA,C23002F_013M,C23002F_013EA,C23002F_013MA,C23002F_014M,C23002F_014EA,C23002F_014MA,C23002F_015M,C23002F_015EA,C23002F_015MA,C23002F_016M,C23002F_016EA,C23002F_016MA,C23002F_017M,C23002F_017EA,C23002F_017MA,C23002F_018M,C23002F_018EA,C23002F_018MA,C23002F_019M,C23002F_019EA,C23002F_019MA,C23002F_020M,C23002F_020EA,C23002F_020MA,C23002F_021M,C23002F_021EA,C23002F_021MA,C23002F_022M,C23002F_022EA,C23002F_022MA,C23002F_023M,C23002F_023EA,C23002F_023MA,C23002F_024M,C23002F_024EA,C23002F_024MA,C23002F_025M,C23002F_025EA,C23002F_025MA,C23002F_026M,C23002F_026EA,C23002F_026MA,C23002F_027M,C23002F_027EA,C23002F_027MA,state
439112,19470,222552,10603,204977,10459,173762,9567,876,522,172886,9605,162189,9245,10697,2221,31215,3701,17575,2303,2720,1001,2665,990,55,106,14855,2150,216560,11520,192543,10418,130251,8109,536,596,129715,8219,119563,7635,10152,2142,62292,5388,24017,3070,2238,810,2202,803,36,60,21779,2823,19470,null,null,10603,null,null,10459,null,null,9567,null,null,522,null,null,9605,null,null,9245,null,null,2221,null,null,3701,null,null,2303,null,null,1001,null,null,990,null,null,106,null,null,2150,null,null,11520,null,null,10418,null,null,8109,null,null,596,null,null,8219,null,null,7635,null,null,2142,null,null,5388,null,null,3070,null,null,810,null,null,803,null,null,60,null,null,2823,null,null,12
203757,13977,110172,7588,107096,7472,87668,6698,728,320,86940,6713,84629,6622,2311,962,19428,2896,3076,1055,1681,824,1636,820,45,76,1395,682,93585,7773,90234,7655,53603,5704,177,213,53426,5701,49916,5446,3510,1206,36631,4309,3351,1210,319,386,319,386,0,218,3032,1139,13977,null,null,7588,null,null,7472,null,null,6698,null,null,320,null,null,6713,null,null,6622,null,null,962,null,null,2896,null,null,1055,null,null,824,null,null,820,null,null,76,null,null,682,null,null,7773,null,null,7655,null,null,5704,null,null,213,null,null,5701,null,null,5446,null,null,1206,null,null,4309,null,null,1210,null,null,386,null,null,386,null,null,218,null,null,1139,null,null,13
9965,1831,5915,1321,5602,1301,4727,1134,1067,425,3660,1050,3460,1068,200,193,875,463,313,253,125,150,125,150,0,185,188,179,4050,997,3682,965,1843,609,32,53,1811,612,1768,609,43,72,1839,597,368,225,71,106,71,106,0,185,297,203,1831,null,null,1321,null,null,1301,null,null,1134,null,null,425,null,null,1050,null,null,1068,null,null,193,null,null,463,null,null,253,null,null,150,null,null,150,null,null,185,null,null,179,null,null,997,null,null,965,null,null,609,null,null,53,null,null,612,null,null,609,null,null,72,null,null,597,null,null,225,null,null,106,null,null,106,null,null,185,null,null,203,null,null,15
43601,4404,22951,2622,21789,2522,18829,2453,0,198,18829,2453,17852,2290,977,777,2960,922,1162,535,321,260,321,260,0,198,841,535,20650,2414,19922,2389,13424,2075,0,198,13424,2075,12434,2117,990,755,6498,1319,728,354,154,179,154,179,0,198,574,326,4404,null,null,2622,null,null,2522,null,null,2453,null,null,198,null,null,2453,null,null,2290,null,null,777,null,null,922,null,null,535,null,null,260,null,null,260,null,null,198,null,null,535,null,null,2414,null,null,2389,null,null,2075,null,null,198,null,null,2075,null,null,2117,null,null,755,null,null,1319,null,null,354,null,null,179,null,null,179,null,null,198,null,null,326,null,null,16
589837,16952,302827,9432,283878,9262,242376,7888,1077,664,241299,7945,227328,7822,13971,2219,41502,4167,18949,2029,4434,899,4300,892,134,173,14515,1836,287010,9777,265241,9352,175156,7508,0,185,175156,7508,160056,7347,15100,2353,90085,5783,21769,2127,1510,547,1458,533,52,87,20259,2128,16952,null,null,9432,null,null,9262,null,null,7888,null,null,664,null,null,7945,null,null,7822,null,null,2219,null,null,4167,null,null,2029,null,null,899,null,null,892,null,null,173,null,null,1836,null,null,9777,null,null,9352,null,null,7508,null,null,185,null,null,7508,null,null,7347,null,null,2353,null,null,5783,null,null,2127,null,null,547,null,null,533,null,null,87,null,null,2128,null,null,17
105664,7336,58092,4381,54455,4392,45328,4112,0,192,45328,4112,43222,4097,2106,812,9127,1651,3637,739,684,458,667,461,17,33,2953,634,47572,3831,43557,3679,26202,2882,175,261,26027,2909,24019,2764,2008,817,17355,2186,4015,915,468,312,430,306,38,70,3547,990,7336,null,null,4381,null,null,4392,null,null,4112,null,null,192,null,null,4112,null,null,4097,null,null,812,null,null,1651,null,null,739,null,null,458,null,null,461,null,null,33,null,null,634,null,null,3831,null,null,3679,null,null,2882,null,null,261,null,null,2909,null,null,2764,null,null,817,null,null,2186,null,null,915,null,null,312,null,null,306,null,null,70,null,null,990,null,null,18
30323,3335,15920,2025,15460,1944,13061,1706,72,119,12989,1701,12218,1658,771,429,2399,736,460,230,0,159,0,159,0,159,460,230,14403,1859,13868,1898,9181,1626,30,51,9151,1628,8243,1468,908,488,4687,1101,535,382,94,145,94,145,0,159,441,358,3335,null,null,2025,null,null,1944,null,null,1706,null,null,119,null,null,1701,null,null,1658,null,null,429,null,null,736,null,null,230,null,null,159,null,null,159,null,null,159,null,null,230,null,null,1859,null,null,1898,null,null,1626,null,null,51,null,null,1628,null,null,1468,null,null,488,null,null,1101,null,null,382,null,null,145,null,null,145,null,null,159,null,null,358,null,null,19
52394,5236,27586,3141,26129,3059,22991,2869,95,117,22896,2875,22091,2765,805,348,3138,882,1457,524,556,366,556,366,0,174,901,450,24808,2751,23027,2571,16012,2101,0,174,16012,2101,14808,1902,1204,806,7015,1543,1781,565,443,341,443,341,0,174,1338,475,5236,null,null,3141,null,null,3059,null,null,2869,null,null,117,null,null,2875,null,null,2765,null,null,348,null,null,882,null,null,524,null,null,366,null,null,366,null,null,174,null,null,450,null,null,2751,null,null,2571,null,null,2101,null,null,174,null,null,2101,null,null,1902,null,null,806,null,null,1543,null,null,565,null,null,341,null,null,341,null,null,174,null,null,475,null,null,20
25353,3682,14273,2439,13550,2295,10760,1972,153,148,10607,1949,10320,1952,287,237,2790,981,723,538,206,217,206,217,0,190,517,506,11080,1919,10767,1890,6278,1593,14,30,6264,1595,5417,1369,847,581,4489,1230,313,294,108,105,108,105,0,190,205,269,3682,null,null,2439,null,null,2295,null,null,1972,null,null,148,null,null,1949,null,null,1952,null,null,237,null,null,981,null,null,538,null,null,217,null,null,217,null,null,190,null,null,506,null,null,1919,null,null,1890,null,null,1593,null,null,30,null,null,1595,null,null,1369,null,null,581,null,null,1230,null,null,294,null,null,105,null,null,105,null,null,190,null,null,269,null,null,21
49080,4571,29360,3152,28303,3074,22833,2483,1032,337,21801,2440,20948,2453,853,480,5470,1291,1057,479,415,290,415,290,0,208,642,421,19720,2229,18880,2132,10452,1829,0,208,10452,1829,9311,1786,1141,675,8428,1752,840,456,0,208,0,208,0,208,840,456,4571,null,null,3152,null,null,3074,null,null,2483,null,null,337,null,null,2440,null,null,2453,null,null,480,null,null,1291,null,null,479,null,null,290,null,null,290,null,null,208,null,null,421,null,null,2229,null,null,2132,null,null,1829,null,null,208,null,null,1829,null,null,1786,null,null,675,null,null,1752,null,null,456,null,null,208,null,null,208,null,null,208,null,null,456,null,null,22
