B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,B12001_001M,B12001_001EA,B12001_001MA,B12001_002M,B12001_002EA,B12001_002MA,B12001_003M,B12001_003EA,B12001_003MA,B12001_004M,B12001_004EA,B12001_004MA,B12001_005M,B12001_005EA,B12001_005MA,B12001_006M,B12001_006EA,B12001_006MA,B12001_007M,B12001_007EA,B12001_007MA,B12001_008M,B12001_008EA,B12001_008MA,B12001_009M,B12001_009EA,B12001_009MA,B12001_010M,B12001_010EA,B12001_010MA,B12001_011M,B12001_011EA,B12001_011MA,B12001_012M,B12001_012EA,B12001_012MA,B12001_013M,B12001_013EA,B12001_013MA,B12001_014M,B12001_014EA,B12001_014MA,B12001_015M,B12001_015EA,B12001_015MA,B12001_016M,B12001_016EA,B12001_016MA,B12001_017M,B12001_017EA,B12001_017MA,B12001_018M,B12001_018EA,B12001_018MA,B12001_019M,B12001_019EA,B12001_019MA,state
17195240,5550,8325278,5933,2929277,19817,4160874,23212,3697317,23296,463557,16514,166198,7214,297359,13921,273455,10202,961672,13062,8869962,5030,2541569,21512,4113410,27919,3610395,29338,503015,13401,240879,8371,262136,9953,918024,13176,1296959,18978,5550,null,null,5933,null,null,19817,null,null,23212,null,null,23296,null,null,16514,null,null,7214,null,null,13921,null,null,10202,null,null,13062,null,null,5030,null,null,21512,null,null,27919,null,null,29338,null,null,13401,null,null,8371,null,null,9953,null,null,13176,null,null,18978,null,null,12
8232061,4501,3957018,5359,1458472,16645,2005846,19344,1808387,21456,197459,8941,71998,5915,125461,6522,97763,5005,394937,12220,4275043,5948,1344777,14673,2016151,17909,1788532,20017,227619,8883,115681,6529,111938,5864,359603,8585,554512,12566,4501,null,null,5359,null,null,16645,null,null,19344,null,null,21456,null,null,8941,null,null,5915,null,null,6522,null,null,5005,null,null,12220,null,null,5948,null,null,14673,null,null,17909,null,null,20017,null,null,8883,null,null,6529,null,null,5864,null,null,8585,null,null,12566,null,null,13
1168033,1222,583715,1510,223677,5630,296174,6256,260671,6441,35503,3068,7270,1631,28233,2431,15727,1628,48137,3318,584318,1217,170598,4641,296169,5881,258781,5120,37388,3065,8984,1648,28404,2534,59756,2785,57795,3358,1222,null,null,1510,null,null,5630,null,null,6256,null,null,6441,null,null,3068,null,null,1631,null,null,2431,null,null,1628,null,null,3318,null,null,1217,null,null,4641,null,null,5881,null,null,5120,null,null,3065,null,null,1648,null,null,2534,null,null,2785,null,null,3358,null,null,15
1320797,1891,655592,2247,201696,6339,364068,7830,337648,7910,26420,3261,7103,1547,19317,2973,16316,1826,73512,4961,665205,2447,162455,6087,363988,8360,337047,8379,26941,3047,8883,1819,18058,2350,47890,2629,90872,5074,1891,null,null,2247,null,null,6339,null,null,7830,null,null,7910,null,null,3261,null,null,1547,null,null,2973,null,null,1826,null,null,4961,null,null,2447,null,null,6087,null,null,8360,null,null,8379,null,null,3047,null,null,1819,null,null,2350,null,null,2629,null,null,5074,null,null,16
10394067,3072,5056969,4040,1940750,14617,2542911,16665,2346860,18643,196051,7438,70776,4257,125275,6706,134223,5297,439085,9038,5337098,4147,1747773,13976,2518832,17764,2311325,17401,207507,6725,98837,4471,108670,5318,474517,7807,595976,11236,3072,null,null,4040,null,null,14617,null,null,16665,null,null,18643,null,null,7438,null,null,4257,null,null,6706,null,null,5297,null,null,9038,null,null,4147,null,null,13976,null,null,17764,null,null,17401,null,null,6725,null,null,4471,null,null,5318,null,null,7807,null,null,11236,null,null,17
5331071,3783,2600798,4287,901195,10269,1329844,11820,1244588,11154,85256,5165,31583,2870,53673,4334,69974,3679,299785,8114,2730273,4074,778923,9235,1335723,12638,1244424,13179,91299,5354,43802,3589,47497,3945,243320,5628,372307,8832,3783,null,null,4287,null,null,10269,null,null,11820,null,null,11154,null,null,5165,null,null,2870,null,null,4334,null,null,3679,null,null,8114,null,null,4074,null,null,9235,null,null,12638,null,null,13179,null,null,5354,null,null,3589,null,null,3945,null,null,5628,null,null,8832,null,null,18
2529447,2234,1245027,3140,415556,7499,672907,8097,638125,8132,34782,2423,11784,1824,22998,2068,32991,2416,123573,4485,1284420,2575,337782,6183,676349,8657,639555,8909,36794,2700,16903,2025,19891,1851,121189,3778,149100,5135,2234,null,null,3140,null,null,7499,null,null,8097,null,null,8132,null,null,2423,null,null,1824,null,null,2068,null,null,2416,null,null,4485,null,null,2575,null,null,6183,null,null,8657,null,null,8909,null,null,2700,null,null,2025,null,null,1851,null,null,3778,null,null,5135,null,null,19
2310304,2733,1142169,3270,386511,7231,602347,8584,563603,8693,38744,3236,11980,1710,26764,2568,32076,2454,121235,4982,1168135,3002,308531,6833,605787,8897,561425,9697,44362,3809,18501,2218,25861,3005,107476,4164,146341,5297,2733,null,null,3270,null,null,7231,null,null,8584,null,null,8693,null,null,3236,null,null,1710,null,null,2568,null,null,2454,null,null,4982,null,null,3002,null,null,6833,null,null,8897,null,null,9697,null,null,3809,null,null,2218,null,null,3005,null,null,4164,null,null,5297,null,null,20
3600690,3442,1752576,4457,579303,8578,904227,11465,830958,12299,73269,5206,30931,3278,42338,3836,55953,3554,213093,7142,1848114,3452,488955,7772,910265,10168,828078,11385,82187,4812,48445,3631,33742,3094,185390,4352,263504,6866,3442,null,null,4457,null,null,8578,null,null,11465,null,null,12299,null,null,5206,null,null,3278,null,null,3836,null,null,3554,null,null,7142,null,null,3452,null,null,7772,null,null,10168,null,null,11385,null,null,4812,null,null,3631,null,null,3094,null,null,4352,null,null,6866,null,null,21
3751715,3855,1815491,4285,725764,9677,844779,11041,756196,10985,88583,5279,39465,3358,49118,4402,48297,3106,196651,6785,1936224,3795,641451,10549,846416,12782,747568,12726,98848,6535,57167,4740,41681,3539,182517,5448,265840,9597,3855,null,null,4285,null,null,9677,null,null,11041,null,null,10985,null,null,5279,null,null,3358,null,null,4402,null,null,3106,null,null,6785,null,null,3795,null,null,10549,null,null,12782,null,null,12726,null,null,6535,null,null,4740,null,null,3539,null,null,5448,null,null,9597,null,null,22
1123728,1151,544729,1571,177638,4869,275399,6656,259025,6791,16374,2339,5348,1247,11026,2024,16574,1802,75118,4249,578999,1344,149838,4326,284439,6022,265318,6087,19121,2532,7016,1457,12105,2210,56060,2453,88662,4172,1151,null,null,1571,null,null,4869,null,null,6656,null,null,6791,null,null,2339,null,null,1247,null,null,2024,null,null,1802,null,null,4249,null,null,1344,null,null,4326,null,null,6022,null,null,6087,null,null,2532,null,null,1457,null,null,2210,null,null,2453,null,null,4172,null,null,23
4902314,1692,2346134,2637,903101,10228,1191620,12412,1068249,12898,123371,6383,50855,4099,72516,4653,54054,3485,197359,6584,2556180,2429,850257,10994,1191446,14325,1063012,13439,128434,5941,57937,3883,70497,4888,217954,5682,296523,7520,1692,null,null,2637,null,null,10228,null,null,12412,null,null,12898,null,null,6383,null,null,4099,null,null,4653,null,null,3485,null,null,6584,null,null,2429,null,null,10994,null,null,14325,null,null,13439,null,null,5941,null,null,3883,null,null,4888,null,null,5682,null,null,7520,null,null,24
