B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,B12002H_001M,B12002H_001EA,B12002H_001MA,B12002H_002M,B12002H_002EA,B12002H_002MA,B12002H_003M,B12002H_003EA,B12002H_003MA,B12002H_004M,B12002H_004EA,B12002H_004MA,B12002H_005M,B12002H_005EA,B12002H_005MA,B12002H_006M,B12002H_006EA,B12002H_006MA,B12002H_007M,B12002H_007EA,B12002H_007MA,B12002H_008M,B12002H_008EA,B12002H_008MA,B12002H_009M,B12002H_009EA,B12002H_009MA,B12002H_010M,B12002H_010EA,B12002H_010MA,B12002H_011M,B12002H_011EA,B12002H_011MA,B12002H_012M,B12002H_012EA,B12002H_012MA,B12002H_013M,B12002H_013EA,B12002H_013MA,state
9837724,4887,4789355,2416,1395173,13793,2513551,18013,70716,4378,197019,7818,612896,11126,5048369,3516,1105807,13692,2440530,21410,88740,5553,642547,11069,770745,14406,4887,null,null,2416,null,null,13793,null,null,18013,null,null,4378,null,null,7818,null,null,11126,null,null,3516,null,null,13692,null,null,21410,null,null,5553,null,null,11069,null,null,14406,null,null,12
4580224,3176,2236339,2935,653906,11138,1242575,12905,29290,3476,64057,3974,246511,8503,2343885,2993,520290,8362,1239974,12920,43333,3756,230774,6805,309514,9489,3176,null,null,2935,null,null,11138,null,null,12905,null,null,3476,null,null,3974,null,null,8503,null,null,2993,null,null,8362,null,null,12920,null,null,3756,null,null,6805,null,null,9489,null,null,13
278002,691,151567,573,48942,3196,81018,3316,1258,536,4304,957,16045,1930,126435,456,29609,1840,66566,2380,901,576,11237,1218,18122,1712,691,null,null,573,null,null,3196,null,null,3316,null,null,536,null,null,957,null,null,1930,null,null,456,null,null,1840,null,null,2380,null,null,576,null,null,1218,null,null,1712,null,null,15
1114794,464,552621,1149,157772,5196,311016,6923,5145,1194,14874,1693,63814,4712,562173,1012,124859,4880,306317,7296,5950,1473,44185,2598,80862,4637,464,null,null,1149,null,null,5196,null,null,6923,null,null,1194,null,null,1693,null,null,4712,null,null,1012,null,null,4880,null,null,7296,null,null,1473,null,null,2598,null,null,4637,null,null,16
6654660,2238,3243326,1759,1061195,11457,1740683,14226,30944,2746,96628,4142,313876,8685,3411334,1524,898620,9764,1720318,14988,36994,3227,343924,6545,411478,10404,2238,null,null,1759,null,null,11457,null,null,14226,null,null,2746,null,null,4142,null,null,8685,null,null,1524,null,null,9764,null,null,14988,null,null,3227,null,null,6545,null,null,10404,null,null,17
4351459,2361,2123998,1980,661199,8045,1123615,10135,22558,2504,61665,3329,254961,7866,2227461,1604,549119,7106,1119328,11351,28484,3195,213154,5207,317376,8731,2361,null,null,1980,null,null,8045,null,null,10135,null,null,2504,null,null,3329,null,null,7866,null,null,1604,null,null,7106,null,null,11351,null,null,3195,null,null,5207,null,null,8731,null,null,18
2234337,1330,1096120,1134,343851,6294,601336,7623,9660,1649,30141,2149,111132,4403,1138217,1038,272445,5177,602319,8074,13966,1909,115779,3608,133708,4631,1330,null,null,1134,null,null,6294,null,null,7623,null,null,1649,null,null,2149,null,null,4403,null,null,1038,null,null,5177,null,null,8074,null,null,1909,null,null,3608,null,null,4631,null,null,19
1821231,1008,893260,1244,271508,5650,489990,6753,6854,1136,27407,2237,97501,4502,927971,1273,218626,5443,484068,7540,11087,1577,94505,3591,119685,4847,1008,null,null,1244,null,null,5650,null,null,6753,null,null,1136,null,null,2237,null,null,4502,null,null,1273,null,null,5443,null,null,7540,null,null,1577,null,null,3591,null,null,4847,null,null,20
3110879,2450,1510641,1996,455799,6925,789575,10661,25588,2895,51121,3296,188558,6704,1600238,1873,371999,6971,783267,10475,40960,3259,169032,3793,234980,6447,2450,null,null,1996,null,null,6925,null,null,10661,null,null,2895,null,null,3296,null,null,6704,null,null,1873,null,null,6971,null,null,10475,null,null,3259,null,null,3793,null,null,6447,null,null,21
2284236,1178,1115345,1465,360578,7424,576242,8229,17762,2378,32584,2576,128179,4710,1168891,1393,289094,5625,569253,8914,26381,3335,118892,4194,165271,6909,1178,null,null,1465,null,null,7424,null,null,8229,null,null,2378,null,null,2576,null,null,4710,null,null,1393,null,null,5625,null,null,8914,null,null,3335,null,null,4194,null,null,6909,null,null,22
1060128,433,514087,343,162451,4627,258924,6794,5143,1215,16011,1865,71558,4196,546041,468,135895,4180,264888,5995,5785,1304,54732,2471,84741,4018,433,null,null,343,null,null,4627,null,null,6794,null,null,1215,null,null,1865,null,null,4196,null,null,468,null,null,4180,null,null,5995,null,null,1304,null,null,2471,null,null,4018,null,null,23
2623767,1356,1273942,1068,401687,6536,700248,8445,19979,1890,35602,2764,116426,5167,1349825,829,344650,5784,694082,9092,22309,2077,132202,3800,156582,5281,1356,null,null,1068,null,null,6536,null,null,8445,null,null,1890,null,null,2764,null,null,5167,null,null,829,null,null,5784,null,null,9092,null,null,2077,null,null,3800,null,null,5281,null,null,24
4239143,5021,2032214,2657,746135,9271,1030112,11880,21257,2791,58636,3437,176074,7744,2206929,3188,690004,7764,1025978,11415,32420,2913,206965,5695,251562,7157,5021,null,null,2657,null,null,9271,null,null,11880,null,null,2791,null,null,3437,null,null,7744,null,null,3188,null,null,7764,null,null,11415,null,null,2913,null,null,5695,null,null,7157,null,null,25
6280143,1652,3080612,1151,989714,9830,1630419,10528,25455,2339,93670,3460,341354,7447,3199531,1285,812365,9256,1634819,12427,31582,2159,307583,5741,413182,7231,1652,null,null,1151,null,null,9830,null,null,10528,null,null,2339,null,null,3460,null,null,7447,null,null,1285,null,null,9256,null,null,12427,null,null,2159,null,null,5741,null,null,7231,null,null,26
3701336,1720,1823327,1213,596809,7645,991227,9456,12300,1708,46051,2513,176940,5708,1878009,815,482752,6716,1000933,9415,14186,1477,163268,3599,216870,5877,1720,null,null,1213,null,null,7645,null,null,9456,null,null,1708,null,null,2513,null,null,5708,null,null,815,null,null,6716,null,null,9415,null,null,1477,null,null,3599,null,null,5877,null,null,27
1404528,1528,683314,1964,189920,6003,380066,6363,12385,2421,21008,2417,79935,4504,721214,1715,150716,5069,377331,7960,15024,2549,86291,4019,91852,4237,1528,null,null,1964,null,null,6003,null,null,6363,null,null,2421,null,null,2417,null,null,4504,null,null,1715,null,null,5069,null,null,7960,null,null,2549,null,null,4019,null,null,4237,null,null,28
4021088,1832,1959673,1782,593854,8353,1049155,10748,28260,2763,65814,3681,222590,7150,2061415,1611,488614,7305,1050163,10644,35979,2994,210165,5526,276494,7721,1832,null,null,1782,null,null,8353,null,null,10748,null,null,2763,null,null,3681,null,null,7150,null,null,1611,null,null,7305,null,null,10644,null,null,2994,null,null,5526,null,null,7721,null,null,29
753196,538,379071,530,119078,3556,202794,5276,3286,846,10475,1271,43438,3254,374125,642,85950,3689,201060,5214,4709,1158,33540,2508,48866,3171,538,null,null,530,null,null,3556,null,null,5276,null,null,846,null,null,1271,null,null,3254,null,null,642,null,null,3689,null,null,5214,null,null,1158,null,null,2508,null,null,3171,null,null,30
1245575,797,611558,897,189516,4228,338545,5346,4155,943,18718,1516,60624,3264,634017,727,156327,4046,330298,5922,5612,961,64660,2749,77120,4003,797,null,null,897,null,null,4228,null,null,5346,null,null,943,null,null,1516,null,null,3264,null,null,727,null,null,4046,null,null,5922,null,null,961,null,null,2749,null,null,4003,null,null,31
