C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,C15010B_001M,C15010B_001EA,C15010B_001MA,C15010B_002M,C15010B_002EA,C15010B_002MA,C15010B_003M,C15010B_003EA,C15010B_003MA,C15010B_004M,C15010B_004EA,C15010B_004MA,C15010B_005M,C15010B_005EA,C15010B_005MA,C15010B_006M,C15010B_006EA,C15010B_006MA,state
380139,10015,103552,6583,52711,4672,89975,5092,51215,4349,82686,4810,10015,null,null,6583,null,null,4672,null,null,5092,null,null,4349,null,null,4810,null,null,12
476552,12654,139399,6954,46437,4633,130605,7224,61521,5243,98590,6288,12654,null,null,6954,null,null,4633,null,null,7224,null,null,5243,null,null,6288,null,null,13
4151,1033,1662,833,40,69,1306,653,150,166,993,501,1033,null,null,833,null,null,69,null,null,653,null,null,166,null,null,501,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
249798,7681,72366,4713,24373,2711,58803,4041,30160,2637,64096,4572,7681,null,null,4713,null,null,2711,null,null,4041,null,null,2637,null,null,4572,null,null,17
58300,4241,14667,1953,7348,1506,15585,2279,8594,1719,12106,1812,4241,null,null,1953,null,null,1506,null,null,2279,null,null,1719,null,null,1812,null,null,18
11831,1870,4206,1382,1498,765,1757,590,1163,466,3207,811,1870,null,null,1382,null,null,765,null,null,590,null,null,466,null,null,811,null,null,19
20853,2386,5094,1388,2351,872,5435,1351,3001,1029,4972,1233,2386,null,null,1388,null,null,872,null,null,1351,null,null,1029,null,null,1233,null,null,20
32442,3217,7202,1422,2524,836,9142,1779,5361,1225,8213,1399,3217,null,null,1422,null,null,836,null,null,1779,null,null,1225,null,null,1399,null,null,21
137417,6668,34608,3367,14889,2365,27743,3284,28452,3021,31725,2962,6668,null,null,3367,null,null,2365,null,null,3284,null,null,3021,null,null,2962,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
351846,9241,123683,5793,37885,3777,84580,4135,32423,2570,73275,4354,9241,null,null,5793,null,null,3777,null,null,4135,null,null,2570,null,null,4354,null,null,24
78968,4709,29102,2849,9348,1683,17057,2534,4133,1059,19328,2658,4709,null,null,2849,null,null,1683,null,null,2534,null,null,1059,null,null,2658,null,null,25
