B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,B10001_001M,B10001_001EA,B10001_001MA,B10001_002M,B10001_002EA,B10001_002MA,B10001_003M,B10001_003EA,B10001_003MA,B10001_004M,B10001_004EA,B10001_004MA,state
373692,14811,155055,8305,127101,7885,91536,6911,14811,null,null,8305,null,null,7885,null,null,6911,null,null,12
235194,15427,99249,7986,81133,7160,54812,5622,15427,null,null,7986,null,null,7160,null,null,5622,null,null,13
53781,5074,24248,2923,16182,2030,13351,2352,5074,null,null,2923,null,null,2030,null,null,2352,null,null,15
23801,3512,10753,1928,7766,1765,5282,1150,3512,null,null,1928,null,null,1765,null,null,1150,null,null,16
210685,9241,91122,5557,69396,4419,50167,4447,9241,null,null,5557,null,null,4419,null,null,4447,null,null,17
116047,9518,47189,4866,38359,4163,30499,3877,9518,null,null,4866,null,null,4163,null,null,3877,null,null,18
33163,3514,12696,1730,11189,2029,9278,1609,3514,null,null,1730,null,null,2029,null,null,1609,null,null,19
34916,3374,15479,2097,11510,1540,7927,1152,3374,null,null,2097,null,null,1540,null,null,1152,null,null,20
91898,5463,34477,3697,32121,3208,25300,2619,5463,null,null,3697,null,null,3208,null,null,2619,null,null,21
122696,7903,48265,4381,39744,4545,34687,3755,7903,null,null,4381,null,null,4545,null,null,3755,null,null,22
14828,2511,5476,1350,5124,1363,4228,1107,2511,null,null,1350,null,null,1363,null,null,1107,null,null,23
111049,7568,49502,4454,36297,3374,25250,2694,7568,null,null,4454,null,null,3374,null,null,2694,null,null,24
87220,6731,41725,4101,27443,3003,18052,2208,6731,null,null,4101,null,null,3003,null,null,2208,null,null,25
151403,8884,65401,4726,48475,4479,37527,3470,8884,null,null,4726,null,null,4479,null,null,3470,null,null,26
50778,3958,22680,2171,16657,2050,11441,1838,3958,null,null,2171,null,null,2050,null,null,1838,null,null,27
92879,5909,37804,3712,29444,3636,25631,3184,5909,null,null,3712,null,null,3636,null,null,3184,null,null,28
105016,6385,44485,3291,33428,3030,27103,3238,6385,null,null,3291,null,null,3030,null,null,3238,null,null,29
16510,2162,6951,1277,5777,1250,3782,776,2162,null,null,1277,null,null,1250,null,null,776,null,null,30
23536,3058,9331,1836,8331,1533,5874,1028,3058,null,null,1836,null,null,1533,null,null,1028,null,null,31
49373,5252,22918,3280,16667,2614,9788,1861,5252,null,null,3280,null,null,2614,null,null,1861,null,null,32
17968,2778,7599,1544,5407,1172,4962,1424,2778,null,null,1544,null,null,1172,null,null,1424,null,null,33
128874,7175,58256,4032,43014,3562,27604,3358,7175,null,null,4032,null,null,3562,null,null,3358,null,null,34
53845,3785,21100,2430,16285,1957,16460,2494,3785,null,null,2430,null,null,1957,null,null,2494,null,null,35
345528,15250,164668,9175,109522,7154,71338,5345,15250,null,null,9175,null,null,7154,null,null,5345,null,null,36
177173,8923,70685,5940,59696,4986,46792,3734,8923,null,null,5940,null,null,4986,null,null,3734,null,null,37
6214,1562,2992,838,2173,1011,1049,350,1562,null,null,838,null,null,1011,null,null,350,null,null,38
188920,8493,72479,4381,65217,4709,51224,4053,8493,null,null,4381,null,null,4709,null,null,4053,null,null,39
81892,5726,31051,2688,28968,3184,21873,2002,5726,null,null,2688,null,null,3184,null,null,2002,null,null,40
52567,5087,24620,3136,15974,2348,11973,2413,5087,null,null,3136,null,null,2348,null,null,2413,null,null,41
195405,9377,86484,5546,63017,4809,45904,3782,9377,null,null,5546,null,null,4809,null,null,3782,null,null,42
16296,2886,7475,1872,4561,1366,4260,1330,2886,null,null,1872,null,null,1366,null,null,1330,null,null,44
115452,7564,42764,3886,40547,4448,32141,3690,7564,null,null,3886,null,null,4448,null,null,3690,null,null,45
12868,2215,5275,973,5014,1238,2579,804,2215,null,null,973,null,null,1238,null,null,804,null,null,46
145208,8813,52528,4371,50970,4327,41710,3759,8813,null,null,4371,null,null,4327,null,null,3759,null,null,47
674531,21321,307936,12977,219467,10796,147128,8432,21321,null,null,12977,null,null,10796,null,null,8432,null,null,48
52415,5418,24227,3625,16558,2460,11630,1427,5418,null,null,3625,null,null,2460,null,null,1427,null,null,49
8359,1588,2692,680,3209,840,2458,868,1588,null,null,680,null,null,840,null,null,868,null,null,50
142748,8052,59176,5088,51942,4262,31630,2808,8052,null,null,5088,null,null,4262,null,null,2808,null,null,51
92804,6233,44928,4335,26897,2815,20979,2244,6233,null,null,4335,null,null,2815,null,null,2244,null,null,53
40552,4103,15859,2360,13091,1985,11602,1813,4103,null,null,2360,null,null,1985,null,null,1813,null,null,54
59217,3991,25856,2309,19901,2070,13460,1890,3991,null,null,2309,null,null,2070,null,null,1890,null,null,55
10265,2558,3836,1244,4631,1544,1798,542,2558,null,null,1244,null,null,1544,null,null,542,null,null,56
101895,6972,37070,3479,33542,3272,31283,4016,6972,null,null,3479,null,null,3272,null,null,4016,null,null,72
119693,6241,50490,4489,38273,3551,30930,2657,6241,null,null,4489,null,null,3551,null,null,2657,null,null,01
13857,2070,5727,985,4405,1108,3725,936,2070,null,null,985,null,null,1108,null,null,936,null,null,02
158528,8873,66146,4392,52664,4471,39718,3887,8873,null,null,4392,null,null,4471,null,null,3887,null,null,04
71302,4650,28285,2653,23675,2720,19342,2117,4650,null,null,2653,null,null,2720,null,null,2117,null,null,05
831793,21660,395044,12169,268990,10436,167759,8760,21660,null,null,12169,null,null,10436,null,null,8760,null,null,06
76729,6411,33604,3714,24361,3130,18764,2226,6411,null,null,3714,null,null,3130,null,null,2226,null,null,08
45451,3988,19557,2417,14253,2038,11641,1938,3988,null,null,2417,null,null,2038,null,null,1938,null,null,09
16179,3093,7000,1816,4516,1092,4663,1240,3093,null,null,1816,null,null,1092,null,null,1240,null,null,10
12971,2277,6672,1409,3904,1171,2395,779,2277,null,null,1409,null,null,1171,null,null,779,null,null,11
