B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,B15002G_001M,B15002G_001EA,B15002G_001MA,B15002G_002M,B15002G_002EA,B15002G_002MA,B15002G_003M,B15002G_003EA,B15002G_003MA,B15002G_004M,B15002G_004EA,B15002G_004MA,B15002G_005M,B15002G_005EA,B15002G_005MA,B15002G_006M,B15002G_006EA,B15002G_006MA,B15002G_007M,B15002G_007EA,B15002G_007MA,B15002G_008M,B15002G_008EA,B15002G_008MA,B15002G_009M,B15002G_009EA,B15002G_009MA,B15002G_010M,B15002G_010EA,B15002G_010MA,B15002G_011M,B15002G_011EA,B15002G_011MA,B15002G_012M,B15002G_012EA,B15002G_012MA,B15002G_013M,B15002G_013EA,B15002G_013MA,B15002G_014M,B15002G_014EA,B15002G_014MA,B15002G_015M,B15002G_015EA,B15002G_015MA,B15002G_016M,B15002G_016EA,B15002G_016MA,B15002G_017M,B15002G_017EA,B15002G_017MA,B15002G_018M,B15002G_018EA,B15002G_018MA,B15002G_019M,B15002G_019EA,B15002G_019MA,state
228102,9879,114275,6125,7921,1753,11605,2006,23677,3235,5546,1368,23927,2912,9844,2174,19050,2313,12705,2086,113827,7149,6385,1484,8311,1556,20015,3003,4740,1069,27041,3267,15047,2225,20587,3018,11701,1794,9879,null,null,6125,null,null,1753,null,null,2006,null,null,3235,null,null,1368,null,null,2912,null,null,2174,null,null,2313,null,null,2086,null,null,7149,null,null,1484,null,null,1556,null,null,3003,null,null,1069,null,null,3267,null,null,2225,null,null,3018,null,null,1794,null,null,12
96984,6542,45037,3789,2815,1095,4049,1243,7227,1402,2225,731,12090,1763,3761,1199,7709,1632,5161,1298,51947,4605,1672,622,2897,959,6381,1492,1508,750,13832,2287,6316,1386,13076,2067,6265,1344,6542,null,null,3789,null,null,1095,null,null,1243,null,null,1402,null,null,731,null,null,1763,null,null,1199,null,null,1632,null,null,1298,null,null,4605,null,null,622,null,null,959,null,null,1492,null,null,750,null,null,2287,null,null,1386,null,null,2067,null,null,1344,null,null,13
180113,7916,91901,5296,973,402,5057,1015,32885,3783,3710,1041,21544,2275,9688,1741,12944,1836,5100,1104,88212,4169,648,355,3976,1034,25662,2665,2766,721,23152,2102,10431,1838,14099,1635,7478,1180,7916,null,null,5296,null,null,402,null,null,1015,null,null,3783,null,null,1041,null,null,2275,null,null,1741,null,null,1836,null,null,1104,null,null,4169,null,null,355,null,null,1034,null,null,2665,null,null,721,null,null,2102,null,null,1838,null,null,1635,null,null,1180,null,null,15
18274,2229,8330,1669,632,426,1072,623,1231,467,872,544,1521,801,581,432,1358,573,1063,549,9944,1375,261,293,314,202,1588,627,407,295,3277,931,1151,622,1768,780,1178,735,2229,null,null,1669,null,null,426,null,null,623,null,null,467,null,null,544,null,null,801,null,null,432,null,null,573,null,null,549,null,null,1375,null,null,293,null,null,202,null,null,627,null,null,295,null,null,931,null,null,622,null,null,780,null,null,735,null,null,16
126159,6788,59101,4244,3171,859,3378,905,10104,1571,2603,791,13368,1988,5682,1324,12302,1769,8493,1200,67058,3965,2585,862,3536,876,8665,1570,1882,560,16483,1951,7355,1226,16580,1872,9972,1272,6788,null,null,4244,null,null,859,null,null,905,null,null,1571,null,null,791,null,null,1988,null,null,1324,null,null,1769,null,null,1200,null,null,3965,null,null,862,null,null,876,null,null,1570,null,null,560,null,null,1951,null,null,1226,null,null,1872,null,null,1272,null,null,17
50495,3936,22282,2506,653,445,2579,800,4917,1090,2052,732,5554,1228,1951,856,3326,998,1250,521,28213,2587,907,410,2504,632,6126,1518,874,442,7573,1140,3441,938,4031,1050,2757,754,3936,null,null,2506,null,null,445,null,null,800,null,null,1090,null,null,732,null,null,1228,null,null,856,null,null,998,null,null,521,null,null,2587,null,null,410,null,null,632,null,null,1518,null,null,442,null,null,1140,null,null,938,null,null,1050,null,null,754,null,null,18
18059,2090,8202,1421,230,163,976,465,1772,594,339,201,1470,491,692,337,1687,671,1036,595,9857,1602,71,79,646,397,1362,515,424,292,2946,1057,1190,540,2180,614,1038,428,2090,null,null,1421,null,null,163,null,null,465,null,null,594,null,null,201,null,null,491,null,null,337,null,null,671,null,null,595,null,null,1602,null,null,79,null,null,397,null,null,515,null,null,292,null,null,1057,null,null,540,null,null,614,null,null,428,null,null,19
32593,2666,14183,1729,917,464,1111,459,2788,756,884,448,3822,780,1299,588,2221,695,1141,441,18410,1774,578,411,1002,412,3102,783,502,326,4931,1193,1823,621,3990,838,2482,858,2666,null,null,1729,null,null,464,null,null,459,null,null,756,null,null,448,null,null,780,null,null,588,null,null,695,null,null,441,null,null,1774,null,null,411,null,null,412,null,null,783,null,null,326,null,null,1193,null,null,621,null,null,838,null,null,858,null,null,20
27423,2952,12334,1724,529,328,1071,421,2290,662,1116,641,2907,972,1180,514,2143,745,1098,440,15089,2005,761,331,822,392,2809,864,1117,535,4361,1164,1649,603,2310,854,1260,519,2952,null,null,1724,null,null,328,null,null,421,null,null,662,null,null,641,null,null,972,null,null,514,null,null,745,null,null,440,null,null,2005,null,null,331,null,null,392,null,null,864,null,null,535,null,null,1164,null,null,603,null,null,854,null,null,519,null,null,21
35295,4004,16306,2089,1857,597,963,500,3059,936,1115,442,4099,1114,1189,701,2972,911,1052,484,18989,2826,419,290,1685,1003,3687,1188,865,472,6035,1699,2004,776,2976,990,1318,609,4004,null,null,2089,null,null,597,null,null,500,null,null,936,null,null,442,null,null,1114,null,null,701,null,null,911,null,null,484,null,null,2826,null,null,290,null,null,1003,null,null,1188,null,null,472,null,null,1699,null,null,776,null,null,990,null,null,609,null,null,22
12336,1641,5555,1050,269,270,734,399,984,463,783,524,1565,639,226,164,531,325,463,323,6781,1124,95,158,377,280,1067,480,462,371,2476,765,631,347,1223,569,450,339,1641,null,null,1050,null,null,270,null,null,399,null,null,463,null,null,524,null,null,639,null,null,164,null,null,325,null,null,323,null,null,1124,null,null,158,null,null,280,null,null,480,null,null,371,null,null,765,null,null,347,null,null,569,null,null,339,null,null,23
78290,5429,35675,3879,1619,751,2186,1165,6393,1319,1576,696,7226,1680,2734,925,7455,1375,6486,1295,42615,3117,1969,878,1176,484,4912,1303,435,271,10433,1556,4522,1180,10152,1438,9016,1347,5429,null,null,3879,null,null,751,null,null,1165,null,null,1319,null,null,696,null,null,1680,null,null,925,null,null,1375,null,null,1295,null,null,3117,null,null,878,null,null,484,null,null,1303,null,null,271,null,null,1556,null,null,1180,null,null,1438,null,null,1347,null,null,24
93924,7672,47414,4511,6600,1886,3850,984,11914,1925,2015,854,8058,1711,1941,786,7824,1460,5212,1015,46510,4622,6766,1542,3024,895,7501,1766,1291,599,8076,1293,3696,904,8611,1680,7545,1386,7672,null,null,4511,null,null,1886,null,null,984,null,null,1925,null,null,854,null,null,1711,null,null,786,null,null,1460,null,null,1015,null,null,4622,null,null,1542,null,null,895,null,null,1766,null,null,599,null,null,1293,null,null,904,null,null,1680,null,null,1386,null,null,25
117743,4811,57160,3273,2173,682,4343,817,10855,1434,3511,942,16934,2090,5126,910,8643,1470,5575,1126,60583,3299,2533,800,5709,1294,10933,1570,3596,924,15337,1741,6212,999,10147,1399,6116,1163,4811,null,null,3273,null,null,682,null,null,817,null,null,1434,null,null,942,null,null,2090,null,null,910,null,null,1470,null,null,1126,null,null,3299,null,null,800,null,null,1294,null,null,1570,null,null,924,null,null,1741,null,null,999,null,null,1399,null,null,1163,null,null,26
52638,3831,24725,2524,740,328,1465,619,4216,960,2104,707,6635,1100,1981,602,4278,1095,3306,760,27913,2536,919,557,1575,565,3472,865,1393,639,7439,1281,3628,1003,5633,1022,3854,834,3831,null,null,2524,null,null,328,null,null,619,null,null,960,null,null,707,null,null,1100,null,null,602,null,null,1095,null,null,760,null,null,2536,null,null,557,null,null,565,null,null,865,null,null,639,null,null,1281,null,null,1003,null,null,1022,null,null,834,null,null,27
12921,2334,5601,1289,331,308,818,444,797,371,211,219,1691,777,711,592,476,357,566,375,7320,1484,602,346,937,452,1031,478,239,208,1828,730,888,474,1078,429,717,492,2334,null,null,1289,null,null,308,null,null,444,null,null,371,null,null,219,null,null,777,null,null,592,null,null,357,null,null,375,null,null,1484,null,null,346,null,null,452,null,null,478,null,null,208,null,null,730,null,null,474,null,null,429,null,null,492,null,null,28
55755,3667,27225,2553,709,477,3405,798,6029,1264,1091,495,7469,1477,1862,744,4317,1017,2343,691,28530,2600,1326,536,1660,639,4920,1053,879,400,9705,1700,2873,868,4884,1258,2283,663,3667,null,null,2553,null,null,477,null,null,798,null,null,1264,null,null,495,null,null,1477,null,null,744,null,null,1017,null,null,691,null,null,2600,null,null,536,null,null,639,null,null,1053,null,null,400,null,null,1700,null,null,868,null,null,1258,null,null,663,null,null,29
