B18101F_001E,B18101F_001M,B18101F_002E,B18101F_002M,B18101F_003E,B18101F_003M,B18101F_004E,B18101F_004M,B18101F_005E,B18101F_005M,B18101F_006E,B18101F_006M,B18101F_007E,B18101F_007M,B18101F_008E,B18101F_008M,B18101F_009E,B18101F_009M,B18101F_010E,B18101F_010M,B18101F_001M,B18101F_001EA,B18101F_001MA,B18101F_002M,B18101F_002EA,B18101F_002MA,B18101F_003M,B18101F_003EA,B18101F_003MA,B18101F_004M,B18101F_004EA,B18101F_004MA,B18101F_005M,B18101F_005EA,B18101F_005MA,B18101F_006M,B18101F_006EA,B18101F_006MA,B18101F_007M,B18101F_007EA,B18101F_007MA,B18101F_008M,B18101F_008EA,B18101F_008MA,B18101F_009M,B18101F_009EA,B18101F_009MA,B18101F_010M,B18101F_010EA,B18101F_010MA,state
566051,25457,144661,10250,6717,1595,137944,10028,380365,17259,30311,3475,350054,16047,41025,4411,13237,2158,27788,3460,25457,null,null,10250,null,null,1595,null,null,10028,null,null,17259,null,null,3475,null,null,16047,null,null,4411,null,null,2158,null,null,3460,null,null,12
294248,22186,107919,10828,5217,2087,102702,10206,180167,12976,11607,1885,168560,12518,6162,1776,2114,872,4048,1499,22186,null,null,10828,null,null,2087,null,null,10206,null,null,12976,null,null,1885,null,null,12518,null,null,1776,null,null,872,null,null,1499,null,null,13
10979,2462,2707,1320,201,236,2506,1276,7680,1609,524,317,7156,1579,592,347,283,224,309,227,2462,null,null,1320,null,null,236,null,null,1276,null,null,1609,null,null,317,null,null,1579,null,null,347,null,null,224,null,null,227,null,null,15
66066,7295,24889,3952,1262,661,23627,3758,39287,4013,3077,1121,36210,4190,1890,665,873,564,1017,454,7295,null,null,3952,null,null,661,null,null,3758,null,null,4013,null,null,1121,null,null,4190,null,null,665,null,null,564,null,null,454,null,null,16
820533,24819,263149,12324,5913,1466,257236,12267,517328,15102,26928,3016,490400,14519,40056,3176,12043,1933,28013,2726,24819,null,null,12324,null,null,1466,null,null,12267,null,null,15102,null,null,3016,null,null,14519,null,null,3176,null,null,1933,null,null,2726,null,null,17
155926,11053,57032,5118,1709,682,55323,5183,91393,7056,8794,1887,82599,6682,7501,1162,2075,805,5426,1086,11053,null,null,5118,null,null,682,null,null,5183,null,null,7056,null,null,1887,null,null,6682,null,null,1162,null,null,805,null,null,1086,null,null,18
41848,4616,13702,2186,285,218,13417,2193,27196,3018,2021,703,25175,2844,950,450,60,77,890,450,4616,null,null,2186,null,null,218,null,null,2193,null,null,3018,null,null,703,null,null,2844,null,null,450,null,null,77,null,null,450,null,null,19
73612,7766,25079,3936,1416,665,23663,3791,45404,4609,2744,747,42660,4615,3129,932,1324,656,1805,795,7766,null,null,3936,null,null,665,null,null,3791,null,null,4609,null,null,747,null,null,4615,null,null,932,null,null,656,null,null,795,null,null,20
36479,5215,13281,2677,557,370,12724,2578,22218,3288,2635,1164,19583,2896,980,606,386,478,594,405,5215,null,null,2677,null,null,370,null,null,2578,null,null,3288,null,null,1164,null,null,2896,null,null,606,null,null,478,null,null,405,null,null,21
65205,6381,21128,3137,578,607,20550,3301,42189,4176,3063,1261,39126,4117,1888,664,944,467,944,432,6381,null,null,3137,null,null,607,null,null,3301,null,null,4176,null,null,1261,null,null,4117,null,null,664,null,null,467,null,null,432,null,null,22
2446,826,627,334,0,172,627,334,1551,639,432,240,1119,534,268,185,149,133,119,136,826,null,null,334,null,null,172,null,null,334,null,null,639,null,null,240,null,null,534,null,null,185,null,null,133,null,null,136,null,null,23
228802,12466,70502,5390,2421,782,68081,5359,149533,8648,5603,1355,143930,8677,8767,1583,2215,1019,6552,1261,12466,null,null,5390,null,null,782,null,null,5359,null,null,8648,null,null,1355,null,null,8677,null,null,1583,null,null,1019,null,null,1261,null,null,24
281205,15976,79259,6951,5584,1494,73675,6656,186048,10589,19704,2870,166344,9606,15898,2058,7823,1614,8075,1433,15976,null,null,6951,null,null,1494,null,null,6656,null,null,10589,null,null,2870,null,null,9606,null,null,2058,null,null,1614,null,null,1433,null,null,25
118206,9009,39699,4683,2115,903,37584,4687,73157,5552,9237,1566,63920,5076,5350,1129,2347,656,3003,794,9009,null,null,4683,null,null,903,null,null,4687,null,null,5552,null,null,1566,null,null,5076,null,null,1129,null,null,656,null,null,794,null,null,26
111329,6979,40305,3837,2115,960,38190,3750,67627,4017,4187,1137,63440,3973,3397,1014,1319,604,2078,675,6979,null,null,3837,null,null,960,null,null,3750,null,null,4017,null,null,1137,null,null,3973,null,null,1014,null,null,604,null,null,675,null,null,27
28403,4205,10884,2198,239,267,10645,2135,16051,3097,2115,860,13936,2924,1468,1081,306,283,1162,980,4205,null,null,2198,null,null,267,null,null,2135,null,null,3097,null,null,860,null,null,2924,null,null,1081,null,null,283,null,null,980,null,null,28
70077,6282,28071,3505,582,299,27489,3454,39311,3740,3014,1104,36297,3550,2695,813,770,404,1925,794,6282,null,null,3505,null,null,299,null,null,3454,null,null,3740,null,null,1104,null,null,3550,null,null,813,null,null,404,null,null,794,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
37706,5861,14066,2897,556,397,13510,2873,21862,3255,2098,788,19764,2928,1778,681,684,454,1094,505,5861,null,null,2897,null,null,397,null,null,2873,null,null,3255,null,null,788,null,null,2928,null,null,681,null,null,454,null,null,505,null,null,31
270299,14525,84830,6799,5171,1827,79659,6153,173982,9662,15015,2645,158967,8844,11487,1883,5016,1433,6471,1560,14525,null,null,6799,null,null,1827,null,null,6153,null,null,9662,null,null,2645,null,null,8844,null,null,1883,null,null,1433,null,null,1560,null,null,32
7521,2073,2144,896,0,187,2144,896,5185,1472,518,377,4667,1415,192,164,85,118,107,117,2073,null,null,896,null,null,187,null,null,896,null,null,1472,null,null,377,null,null,1415,null,null,164,null,null,118,null,null,117,null,null,33
539434,20685,160953,8686,6530,2135,154423,8001,348612,14076,29767,3406,318845,13772,29869,2946,11001,1439,18868,2635,20685,null,null,8686,null,null,2135,null,null,8001,null,null,14076,null,null,3406,null,null,13772,null,null,2946,null,null,1439,null,null,2635,null,null,34
201948,10744,50702,5405,2235,945,48467,5295,127932,6723,19478,2965,108454,6244,23314,2617,11915,1909,11399,1843,10744,null,null,5405,null,null,945,null,null,5295,null,null,6723,null,null,2965,null,null,6244,null,null,2617,null,null,1909,null,null,1843,null,null,35
1755919,34895,488615,14381,22067,3273,466548,14145,1144265,23569,106596,5761,1037669,22727,123039,5874,48951,3634,74088,4891,34895,null,null,14381,null,null,3273,null,null,14145,null,null,23569,null,null,5761,null,null,22727,null,null,5874,null,null,3634,null,null,4891,null,null,36
300836,14256,111901,7013,3620,1149,108281,6885,180877,8862,10300,2283,170577,8720,8058,1675,2853,1033,5205,1414,14256,null,null,7013,null,null,1149,null,null,6885,null,null,8862,null,null,2283,null,null,8720,null,null,1675,null,null,1033,null,null,1414,null,null,37
