C21001E_001E,C21001E_001M,C21001E_002E,C21001E_002M,C21001E_003E,C21001E_003M,C21001E_004E,C21001E_004M,C21001E_005E,C21001E_005M,C21001E_006E,C21001E_006M,C21001E_007E,C21001E_007M,C21001E_008E,C21001E_008M,C21001E_009E,C21001E_009M,C21001E_010E,C21001E_010M,C21001E_011E,C21001E_011M,C21001E_012E,C21001E_012M,C21001E_013E,C21001E_013M,C21001E_014E,C21001E_014M,C21001E_015E,C21001E_015M,C21001E_001M,C21001E_001EA,C21001E_001MA,C21001E_002M,C21001E_002EA,C21001E_002MA,C21001E_003M,C21001E_003EA,C21001E_003MA,C21001E_004M,C21001E_004EA,C21001E_004MA,C21001E_005M,C21001E_005EA,C21001E_005MA,C21001E_006M,C21001E_006EA,C21001E_006MA,C21001E_007M,C21001E_007EA,C21001E_007MA,C21001E_008M,C21001E_008EA,C21001E_008MA,C21001E_009M,C21001E_009EA,C21001E_009MA,C21001E_010M,C21001E_010EA,C21001E_010MA,C21001E_011M,C21001E_011EA,C21001E_011MA,C21001E_012M,C21001E_012EA,C21001E_012MA,C21001E_013M,C21001E_013EA,C21001E_013MA,C21001E_014M,C21001E_014EA,C21001E_014MA,C21001E_015M,C21001E_015EA,C21001E_015MA,state
9898,1976,4784,1341,4223,1341,725,424,3498,1226,561,343,356,252,205,249,5114,1326,4058,1142,72,119,3986,1143,1056,619,264,322,792,519,1976,null,null,1341,null,null,1341,null,null,424,null,null,1226,null,null,343,null,null,252,null,null,249,null,null,1326,null,null,1142,null,null,119,null,null,1143,null,null,619,null,null,322,null,null,519,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
103379,3864,51611,2775,44251,2691,4716,1079,39535,2819,7360,639,2038,528,5322,720,51768,1861,43569,1711,724,486,42845,1724,8199,681,12,23,8187,683,3864,null,null,2775,null,null,2691,null,null,1079,null,null,2819,null,null,639,null,null,528,null,null,720,null,null,1861,null,null,1711,null,null,486,null,null,1724,null,null,681,null,null,23,null,null,683,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3851,1137,2320,718,2029,691,249,188,1780,642,291,197,184,170,107,109,1531,703,1411,651,107,130,1304,643,120,147,0,185,120,147,1137,null,null,718,null,null,691,null,null,188,null,null,642,null,null,197,null,null,170,null,null,109,null,null,703,null,null,651,null,null,130,null,null,643,null,null,147,null,null,185,null,null,147,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
