B19313F_001E,B19313F_001M,B19313F_001M,B19313F_001EA,B19313F_001MA,state
10754556700,535537626,535537626,null,null,12
4463540200,471941648,471941648,null,null,13
290761300,76722247,76722247,null,null,15
989249400,206428333,206428333,null,null,16
13693418600,496617765,496617765,null,null,17
2445208200,242248934,242248934,null,null,18
653166100,88973082,88973082,null,null,19
1235353300,173598790,173598790,null,null,20
578824100,113550019,113550019,null,null,21
1108773600,153634802,153634802,null,null,22
66400800,54149005,54149005,null,null,23
4443923500,327549294,327549294,null,null,24
5477920300,415431804,415431804,null,null,25
1946059500,173751868,173751868,null,null,26
1965910800,243699291,243699291,null,null,27
470098700,133930788,133930788,null,null,28
1171518100,155854916,155854916,null,null,29
62159100,27247842,27247842,null,null,30
556106400,84037438,84037438,null,null,31
4305673200,310760474,310760474,null,null,32
310580200,119837414,119837414,null,null,33
10156614000,571416026,571416026,null,null,34
3783983200,445083673,445083673,null,null,35
30435912000,918227261,918227261,null,null,36
4092632800,289264484,289264484,null,null,37
113573900,53156897,53156897,null,null,38
1856122500,237906393,237906393,null,null,39
1470433500,137546965,137546965,null,null,40
2030280400,180504380,180504380,null,null,41
3827931600,285752140,285752140,null,null,42
899771000,110481189,110481189,null,null,44
1064386300,149674445,149674445,null,null,45
96643300,30251547,30251547,null,null,46
991430000,121691010,121691010,null,null,47
27927618600,919565587,919565587,null,null,48
2483639400,166987179,166987179,null,null,49
49922500,28834460,28834460,null,null,50
4453553400,337366245,337366245,null,null,51
5766176200,309543371,309543371,null,null,53
136005400,57078548,57078548,null,null,54
1931001300,157312331,157312331,null,null,55
103664300,34105039,34105039,null,null,56
5494574400,278353386,278353386,null,null,72
997481200,190681562,190681562,null,null,01
257521900,65015828,65015828,null,null,02
8841088600,425985260,425985260,null,null,04
1067119800,119283881,119283881,null,null,05
95553862300,1566041709,1566041709,null,null,06
4479157900,285277196,285277196,null,null,08
3073662900,254201308,254201308,null,null,09
246519800,84986018,84986018,null,null,10
952947200,197783645,197783645,null,null,11
