B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,B08503_001M,B08503_001EA,B08503_001MA,B08503_002M,B08503_002EA,B08503_002MA,B08503_003M,B08503_003EA,B08503_003MA,B08503_004M,B08503_004EA,B08503_004MA,B08503_005M,B08503_005EA,B08503_005MA,B08503_006M,B08503_006EA,B08503_006MA,B08503_007M,B08503_007EA,B08503_007MA,state
42.8,0.1,43.0,0.2,38.8,0.5,38.2,2.0,35.8,1.5,39.4,1.4,49.6,0.6,0.1,null,null,0.2,null,null,0.5,null,null,2.0,null,null,1.5,null,null,1.4,null,null,0.6,null,null,12
41.6,0.2,41.9,0.3,37.6,0.6,36.2,1.6,31.6,2.5,37.9,2.3,46.8,0.6,0.2,null,null,0.3,null,null,0.6,null,null,1.6,null,null,2.5,null,null,2.3,null,null,0.6,null,null,13
42.1,0.3,42.2,0.4,41.9,1.0,43.6,2.9,32.7,2.8,36.2,2.3,50.4,1.2,0.3,null,null,0.4,null,null,1.0,null,null,2.9,null,null,2.8,null,null,2.3,null,null,1.2,null,null,15
40.6,0.3,40.6,0.4,37.2,2.1,50.4,7.1,31.4,4.6,37.5,3.1,48.1,1.7,0.3,null,null,0.4,null,null,2.1,null,null,7.1,null,null,4.6,null,null,3.1,null,null,1.7,null,null,16
41.7,0.2,42.7,0.2,39.5,0.5,36.3,0.3,31.9,0.6,37.7,0.8,47.2,0.5,0.2,null,null,0.2,null,null,0.5,null,null,0.3,null,null,0.6,null,null,0.8,null,null,0.5,null,null,17
41.9,0.2,42.4,0.2,36.9,0.7,33.8,4.1,28.0,2.2,38.1,2.6,47.7,1.0,0.2,null,null,0.2,null,null,0.7,null,null,4.1,null,null,2.2,null,null,2.6,null,null,1.0,null,null,18
41.7,0.3,42.3,0.3,38.5,1.1,33.2,2.6,27.6,2.0,39.8,2.4,48.5,1.3,0.3,null,null,0.3,null,null,1.1,null,null,2.6,null,null,2.0,null,null,2.4,null,null,1.3,null,null,19
41.6,0.2,42.0,0.3,36.7,0.8,35.4,10.5,30.8,3.5,38.9,2.7,49.4,1.3,0.2,null,null,0.3,null,null,0.8,null,null,10.5,null,null,3.5,null,null,2.7,null,null,1.3,null,null,20
41.3,0.3,41.9,0.3,36.5,0.9,37.0,3.8,30.2,2.2,37.2,2.3,47.3,1.1,0.3,null,null,0.3,null,null,0.9,null,null,3.8,null,null,2.2,null,null,2.3,null,null,1.1,null,null,21
40.8,0.3,41.3,0.3,37.4,0.7,37.5,2.7,34.4,3.5,35.8,1.3,46.6,2.0,0.3,null,null,0.3,null,null,0.7,null,null,2.7,null,null,3.5,null,null,1.3,null,null,2.0,null,null,22
45.0,0.4,45.5,0.4,37.8,2.6,33.8,14.2,31.6,2.3,37.2,5.9,49.9,2.0,0.4,null,null,0.4,null,null,2.6,null,null,14.2,null,null,2.3,null,null,5.9,null,null,2.0,null,null,23
42.5,0.2,43.4,0.2,39.2,0.8,36.6,1.5,30.7,0.8,36.0,1.5,47.3,0.8,0.2,null,null,0.2,null,null,0.8,null,null,1.5,null,null,0.8,null,null,1.5,null,null,0.8,null,null,24
42.9,0.2,44.9,0.2,38.0,0.6,35.8,0.5,29.4,0.6,35.0,1.2,48.3,0.7,0.2,null,null,0.2,null,null,0.6,null,null,0.5,null,null,0.6,null,null,1.2,null,null,0.7,null,null,25
42.5,0.2,43.2,0.2,37.3,0.5,33.4,1.0,29.1,1.2,36.8,1.7,47.9,0.6,0.2,null,null,0.2,null,null,0.5,null,null,1.0,null,null,1.2,null,null,1.7,null,null,0.6,null,null,26
41.9,0.2,42.5,0.3,37.4,0.7,36.7,1.4,34.6,2.2,36.0,1.4,47.5,0.6,0.2,null,null,0.3,null,null,0.7,null,null,1.4,null,null,2.2,null,null,1.4,null,null,0.6,null,null,27
41.6,0.4,41.8,0.4,39.5,1.2,36.7,9.6,40.8,4.1,45.0,2.2,47.6,4.1,0.4,null,null,0.4,null,null,1.2,null,null,9.6,null,null,4.1,null,null,2.2,null,null,4.1,null,null,28
41.6,0.2,41.9,0.2,39.1,0.7,36.2,1.4,30.4,1.8,39.7,3.0,46.2,0.8,0.2,null,null,0.2,null,null,0.7,null,null,1.4,null,null,1.8,null,null,3.0,null,null,0.8,null,null,29
42.4,0.4,42.8,0.6,37.9,1.5,35.2,4.7,37.5,2.8,38.3,6.9,49.3,2.1,0.4,null,null,0.6,null,null,1.5,null,null,4.7,null,null,2.8,null,null,6.9,null,null,2.1,null,null,30
41.8,0.3,42.1,0.4,37.3,0.9,34.2,4.1,35.9,3.4,37.9,2.9,49.6,1.8,0.3,null,null,0.4,null,null,0.9,null,null,4.1,null,null,3.4,null,null,2.9,null,null,1.8,null,null,31
41.4,0.3,41.7,0.4,39.2,1.0,37.4,3.2,36.4,4.0,41.8,4.4,47.4,1.2,0.3,null,null,0.4,null,null,1.0,null,null,3.2,null,null,4.0,null,null,4.4,null,null,1.2,null,null,32
45.2,0.3,45.7,0.4,40.2,2.2,28.5,4.7,27.9,4.0,35.8,2.6,50.8,1.2,0.3,null,null,0.4,null,null,2.2,null,null,4.7,null,null,4.0,null,null,2.6,null,null,1.2,null,null,33
44.0,0.2,44.9,0.2,40.1,0.6,38.7,0.7,35.7,0.8,39.0,1.1,49.3,0.7,0.2,null,null,0.2,null,null,0.6,null,null,0.7,null,null,0.8,null,null,1.1,null,null,0.7,null,null,34
41.5,0.5,41.5,0.5,39.9,1.3,40.4,6.8,32.6,2.1,38.7,4.9,50.1,1.6,0.5,null,null,0.5,null,null,1.3,null,null,6.8,null,null,2.1,null,null,4.9,null,null,1.6,null,null,35
42.3,0.2,45.0,0.1,41.2,0.5,38.9,0.3,37.1,0.6,39.6,1.2,46.9,0.6,0.2,null,null,0.1,null,null,0.5,null,null,0.3,null,null,0.6,null,null,1.2,null,null,0.6,null,null,36
42.1,0.2,42.6,0.2,37.5,0.5,34.0,1.5,28.1,1.4,40.6,1.9,46.3,0.6,0.2,null,null,0.2,null,null,0.5,null,null,1.5,null,null,1.4,null,null,1.9,null,null,0.6,null,null,37
39.5,0.4,39.8,0.5,35.5,1.3,28.1,9.3,39.9,7.7,33.9,6.8,48.1,2.4,0.4,null,null,0.5,null,null,1.3,null,null,9.3,null,null,7.7,null,null,6.8,null,null,2.4,null,null,38
42.5,0.2,43.2,0.2,36.9,0.7,36.3,2.0,27.2,1.3,35.8,1.6,47.8,0.7,0.2,null,null,0.2,null,null,0.7,null,null,2.0,null,null,1.3,null,null,1.6,null,null,0.7,null,null,39
40.9,0.2,41.3,0.2,37.4,0.8,36.6,5.2,30.9,2.2,40.2,2.8,45.8,1.1,0.2,null,null,0.2,null,null,0.8,null,null,5.2,null,null,2.2,null,null,2.8,null,null,1.1,null,null,40
41.4,0.2,42.2,0.4,38.1,0.8,35.8,0.9,33.0,1.6,37.0,1.5,48.4,1.2,0.2,null,null,0.4,null,null,0.8,null,null,0.9,null,null,1.6,null,null,1.5,null,null,1.2,null,null,41
43.4,0.2,44.6,0.2,38.5,0.7,36.9,0.8,31.4,0.6,36.7,1.1,47.6,0.6,0.2,null,null,0.2,null,null,0.7,null,null,0.8,null,null,0.6,null,null,1.1,null,null,0.6,null,null,42
43.3,0.5,44.3,0.6,39.3,2.0,36.1,9.1,28.1,2.6,32.8,4.2,47.4,2.7,0.5,null,null,0.6,null,null,2.0,null,null,9.1,null,null,2.6,null,null,4.2,null,null,2.7,null,null,44
41.5,0.3,42.2,0.3,37.7,0.6,41.2,2.6,24.3,1.3,38.1,4.4,47.4,2.0,0.3,null,null,0.3,null,null,0.6,null,null,2.6,null,null,1.3,null,null,4.4,null,null,2.0,null,null,45
41.9,0.5,42.1,0.6,35.9,1.1,44.7,16.4,36.1,3.8,44.6,5.4,52.0,2.3,0.5,null,null,0.6,null,null,1.1,null,null,16.4,null,null,3.8,null,null,5.4,null,null,2.3,null,null,46
41.8,0.2,42.1,0.2,37.3,0.7,45.1,2.8,30.1,1.8,40.4,4.4,47.4,1.0,0.2,null,null,0.2,null,null,0.7,null,null,2.8,null,null,1.8,null,null,4.4,null,null,1.0,null,null,47
40.5,0.1,40.7,0.1,37.3,0.4,38.5,0.9,32.9,1.2,38.4,1.3,46.2,0.5,0.1,null,null,0.1,null,null,0.4,null,null,0.9,null,null,1.2,null,null,1.3,null,null,0.5,null,null,48
37.8,0.3,38.2,0.3,34.7,0.9,32.9,2.8,25.7,1.5,33.6,3.2,43.2,1.3,0.3,null,null,0.3,null,null,0.9,null,null,2.8,null,null,1.5,null,null,3.2,null,null,1.3,null,null,49
44.7,0.4,45.2,0.4,40.2,2.4,31.0,7.1,30.6,3.6,34.1,7.8,51.9,1.9,0.4,null,null,0.4,null,null,2.4,null,null,7.1,null,null,3.6,null,null,7.8,null,null,1.9,null,null,50
