B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,B25032F_001M,B25032F_001EA,B25032F_001MA,B25032F_002M,B25032F_002EA,B25032F_002MA,B25032F_003M,B25032F_003EA,B25032F_003MA,B25032F_004M,B25032F_004EA,B25032F_004MA,B25032F_005M,B25032F_005EA,B25032F_005MA,B25032F_006M,B25032F_006EA,B25032F_006MA,B25032F_007M,B25032F_007EA,B25032F_007MA,B25032F_008M,B25032F_008EA,B25032F_008MA,B25032F_009M,B25032F_009EA,B25032F_009MA,B25032F_010M,B25032F_010EA,B25032F_010MA,B25032F_011M,B25032F_011EA,B25032F_011MA,state
155110,6741,65794,4193,10900,1769,6114,1470,8944,1646,14011,1950,13244,1948,10983,2511,12824,2060,12078,1940,218,352,6741,null,null,4193,null,null,1769,null,null,1470,null,null,1646,null,null,1950,null,null,1948,null,null,2511,null,null,2060,null,null,1940,null,null,352,null,null,12
74279,5675,37762,4420,3424,1275,1520,687,3863,1194,6146,1908,4327,1278,2918,1088,2341,994,11978,1814,0,218,5675,null,null,4420,null,null,1275,null,null,687,null,null,1194,null,null,1908,null,null,1278,null,null,1088,null,null,994,null,null,1814,null,null,218,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
16329,1899,8779,1510,471,339,399,338,1427,578,494,414,1231,814,139,264,89,110,3285,1038,15,28,1899,null,null,1510,null,null,339,null,null,338,null,null,578,null,null,414,null,null,814,null,null,264,null,null,110,null,null,1038,null,null,28,null,null,16
214464,6607,97045,4530,7602,1500,34905,2763,32021,2458,22010,2845,8393,1807,3740,1021,4464,1056,4284,1093,0,185,6607,null,null,4530,null,null,1500,null,null,2763,null,null,2458,null,null,2845,null,null,1807,null,null,1021,null,null,1056,null,null,1093,null,null,185,null,null,17
42437,3160,28152,2851,1406,666,2194,806,2345,865,2201,904,2696,973,1023,617,185,204,2235,711,0,192,3160,null,null,2851,null,null,666,null,null,806,null,null,865,null,null,904,null,null,973,null,null,617,null,null,204,null,null,711,null,null,192,null,null,18
11840,1560,6514,1143,232,247,562,316,1114,489,655,530,737,418,339,286,77,99,1610,816,0,159,1560,null,null,1143,null,null,247,null,null,316,null,null,489,null,null,530,null,null,418,null,null,286,null,null,99,null,null,816,null,null,159,null,null,19
20091,2347,12979,1803,383,203,1185,478,1140,563,855,579,1208,658,700,621,102,130,1539,638,0,174,2347,null,null,1803,null,null,203,null,null,478,null,null,563,null,null,579,null,null,658,null,null,621,null,null,130,null,null,638,null,null,174,null,null,20
9313,1474,3848,1007,754,523,125,147,1266,751,440,348,803,506,183,150,205,272,1689,906,0,190,1474,null,null,1007,null,null,523,null,null,147,null,null,751,null,null,348,null,null,506,null,null,150,null,null,272,null,null,906,null,null,190,null,null,21
20095,2374,8440,1603,335,255,1475,785,2599,888,1500,950,1299,733,621,396,258,216,3522,1013,46,79,2374,null,null,1603,null,null,255,null,null,785,null,null,888,null,null,950,null,null,733,null,null,396,null,null,216,null,null,1013,null,null,79,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
54131,3403,21641,2161,9127,1997,505,432,1428,634,5504,1344,11372,2032,1999,810,2027,714,528,456,0,198,3403,null,null,2161,null,null,1997,null,null,432,null,null,634,null,null,1344,null,null,2032,null,null,810,null,null,714,null,null,456,null,null,198,null,null,24
90234,5020,18251,2852,5592,1378,15802,2419,23361,2647,8981,1603,6676,1515,4660,1087,6365,1505,248,209,298,163,5020,null,null,2852,null,null,1378,null,null,2419,null,null,2647,null,null,1603,null,null,1515,null,null,1087,null,null,1505,null,null,209,null,null,163,null,null,25
34198,2703,22651,2176,1558,637,3104,885,1266,585,1672,628,799,400,575,329,848,460,1725,549,0,168,2703,null,null,2176,null,null,637,null,null,885,null,null,585,null,null,628,null,null,400,null,null,329,null,null,460,null,null,549,null,null,168,null,null,26
27541,2053,9356,1605,1582,561,2350,837,937,492,1133,642,2311,798,2731,880,2893,1093,4248,1025,0,149,2053,null,null,1605,null,null,561,null,null,837,null,null,492,null,null,642,null,null,798,null,null,880,null,null,1093,null,null,1025,null,null,149,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
17504,2092,9755,1543,1076,617,782,719,2100,1024,1041,734,767,516,309,288,526,455,1148,633,0,187,2092,null,null,1543,null,null,617,null,null,719,null,null,1024,null,null,734,null,null,516,null,null,288,null,null,455,null,null,633,null,null,187,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
10354,1717,6713,1391,349,282,287,270,589,378,422,314,422,254,74,89,162,180,1120,497,216,318,1717,null,null,1391,null,null,282,null,null,270,null,null,378,null,null,314,null,null,254,null,null,89,null,null,180,null,null,497,null,null,318,null,null,31
73943,4192,35149,2915,2998,828,1580,748,10634,1821,8584,1781,5788,1440,2570,971,2022,700,4582,1026,36,66,4192,null,null,2915,null,null,828,null,null,748,null,null,1821,null,null,1781,null,null,1440,null,null,971,null,null,700,null,null,1026,null,null,66,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
151413,6087,39641,3446,14723,2102,34662,3523,22344,2467,11044,1804,8485,1582,8783,1679,10288,1770,1327,937,116,184,6087,null,null,3446,null,null,2102,null,null,3523,null,null,2467,null,null,1804,null,null,1582,null,null,1679,null,null,1770,null,null,937,null,null,184,null,null,34
68705,3889,39657,3341,2179,690,1233,566,2671,1078,1791,840,1150,489,1004,630,1722,820,17034,2029,264,311,3889,null,null,3341,null,null,690,null,null,566,null,null,1078,null,null,840,null,null,489,null,null,630,null,null,820,null,null,2029,null,null,311,null,null,35
502697,10946,70278,4105,19319,2454,68306,4249,52528,3832,33601,2832,33920,3619,102873,6218,119532,6484,1936,791,404,405,10946,null,null,4105,null,null,2454,null,null,4249,null,null,3832,null,null,2832,null,null,3619,null,null,6218,null,null,6484,null,null,791,null,null,405,null,null,36
77260,4385,32110,3284,3769,1168,1900,1155,2275,884,6312,1482,6636,1481,2293,995,910,485,21055,2826,0,203,4385,null,null,3284,null,null,1168,null,null,1155,null,null,884,null,null,1482,null,null,1481,null,null,995,null,null,485,null,null,2826,null,null,203,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
32459,2878,18968,2288,1650,665,3243,1206,1611,694,2228,835,1839,870,535,297,1364,482,969,536,52,91,2878,null,null,2288,null,null,665,null,null,1206,null,null,694,null,null,835,null,null,870,null,null,297,null,null,482,null,null,536,null,null,91,null,null,39
28291,2039,18722,1911,428,445,617,379,973,350,1691,582,1593,636,493,314,262,184,3418,739,94,120,2039,null,null,1911,null,null,445,null,null,379,null,null,350,null,null,582,null,null,636,null,null,314,null,null,184,null,null,739,null,null,120,null,null,40
28528,2619,13748,1657,1443,711,1882,761,2005,950,1987,898,2510,1061,832,578,873,461,3248,1132,0,201,2619,null,null,1657,null,null,711,null,null,761,null,null,950,null,null,898,null,null,1061,null,null,578,null,null,461,null,null,1132,null,null,201,null,null,41
73961,4091,16189,2185,35398,2578,5943,1442,4840,1261,4300,1130,1862,676,2254,1003,1542,679,1596,914,37,66,4091,null,null,2185,null,null,2578,null,null,1442,null,null,1261,null,null,1130,null,null,676,null,null,1003,null,null,679,null,null,914,null,null,66,null,null,42
16782,1905,2385,725,769,306,4561,1002,4436,915,1582,790,938,566,126,122,1725,556,260,296,0,208,1905,null,null,725,null,null,306,null,null,1002,null,null,915,null,null,790,null,null,566,null,null,122,null,null,556,null,null,296,null,null,208,null,null,44
21295,2668,10799,2011,934,645,336,325,564,425,1530,823,1621,911,779,683,167,205,4565,1167,0,207,2668,null,null,2011,null,null,645,null,null,325,null,null,425,null,null,823,null,null,911,null,null,683,null,null,205,null,null,1167,null,null,207,null,null,45
