C17001B_001E,C17001B_001M,C17001B_002E,C17001B_002M,C17001B_003E,C17001B_003M,C17001B_004E,C17001B_004M,C17001B_005E,C17001B_005M,C17001B_006E,C17001B_006M,C17001B_007E,C17001B_007M,C17001B_008E,C17001B_008M,C17001B_009E,C17001B_009M,C17001B_010E,C17001B_010M,C17001B_011E,C17001B_011M,C17001B_012E,C17001B_012M,C17001B_013E,C17001B_013M,C17001B_014E,C17001B_014M,C17001B_015E,C17001B_015M,C17001B_016E,C17001B_016M,C17001B_017E,C17001B_017M,C17001B_018E,C17001B_018M,C17001B_019E,C17001B_019M,C17001B_001M,C17001B_001EA,C17001B_001MA,C17001B_002M,C17001B_002EA,C17001B_002MA,C17001B_003M,C17001B_003EA,C17001B_003MA,C17001B_004M,C17001B_004EA,C17001B_004MA,C17001B_005M,C17001B_005EA,C17001B_005MA,C17001B_006M,C17001B_006EA,C17001B_006MA,C17001B_007M,C17001B_007EA,C17001B_007MA,C17001B_008M,C17001B_008EA,C17001B_008MA,C17001B_009M,C17001B_009EA,C17001B_009MA,C17001B_010M,C17001B_010EA,C17001B_010MA,C17001B_011M,C17001B_011EA,C17001B_011MA,C17001B_012M,C17001B_012EA,C17001B_012MA,C17001B_013M,C17001B_013EA,C17001B_013MA,C17001B_014M,C17001B_014EA,C17001B_014MA,C17001B_015M,C17001B_015EA,C17001B_015MA,C17001B_016M,C17001B_016EA,C17001B_016MA,C17001B_017M,C17001B_017EA,C17001B_017MA,C17001B_018M,C17001B_018EA,C17001B_018MA,C17001B_019M,C17001B_019EA,C17001B_019MA,state
3195175,22363,727850,26056,317886,13117,138064,8329,155939,8339,23883,2849,409964,17187,137567,9808,229627,10463,42770,3294,2467325,29519,1179520,16458,287215,9702,771741,11352,120564,3552,1287805,18303,277228,10654,851694,12053,158883,3613,22363,null,null,26056,null,null,13117,null,null,8329,null,null,8339,null,null,2849,null,null,17187,null,null,9808,null,null,10463,null,null,3294,null,null,29519,null,null,16458,null,null,9702,null,null,11352,null,null,3552,null,null,18303,null,null,10654,null,null,12053,null,null,3613,null,null,12
3141677,15292,707745,21851,298253,11411,134215,7870,145038,7121,19000,2314,409492,15141,137485,8260,240979,9370,31028,2669,2433932,25810,1141189,14351,288106,10779,753482,7916,99601,2974,1292743,16871,283377,9699,855769,10429,153597,3314,15292,null,null,21851,null,null,11411,null,null,7870,null,null,7121,null,null,2314,null,null,15141,null,null,8260,null,null,9370,null,null,2669,null,null,25810,null,null,14351,null,null,10779,null,null,7916,null,null,2974,null,null,16871,null,null,9699,null,null,10429,null,null,3314,null,null,13
22915,2164,1997,965,1056,610,188,252,868,488,0,185,941,661,38,76,903,636,0,185,20918,2245,13594,1653,2376,913,10468,1270,750,277,7324,1205,1710,548,5475,979,139,143,2164,null,null,965,null,null,610,null,null,252,null,null,488,null,null,185,null,null,661,null,null,76,null,null,636,null,null,185,null,null,2245,null,null,1653,null,null,913,null,null,1270,null,null,277,null,null,1205,null,null,548,null,null,979,null,null,143,null,null,15
10940,2028,2742,2196,1723,1290,744,640,979,734,0,198,1019,970,334,313,685,695,0,198,8198,1997,5022,1425,1311,689,3630,1103,81,136,3176,1363,1830,980,1300,664,46,63,2028,null,null,2196,null,null,1290,null,null,640,null,null,734,null,null,198,null,null,970,null,null,313,null,null,695,null,null,198,null,null,1997,null,null,1425,null,null,689,null,null,1103,null,null,136,null,null,1363,null,null,980,null,null,664,null,null,63,null,null,16
1732448,9526,458785,17575,199697,9101,83466,6025,104574,5435,11657,1274,259088,10556,81656,5011,153460,6915,23972,1895,1273663,17745,593305,9447,136844,6130,387230,6484,69231,1725,680358,11383,135993,5790,441116,7277,103249,2263,9526,null,null,17575,null,null,9101,null,null,6025,null,null,5435,null,null,1274,null,null,10556,null,null,5011,null,null,6915,null,null,1895,null,null,17745,null,null,9447,null,null,6130,null,null,6484,null,null,1725,null,null,11383,null,null,5790,null,null,7277,null,null,2263,null,null,17
591254,7531,169046,13112,74022,6612,40661,5037,30197,2957,3164,890,95024,7676,32243,4263,57953,4353,4828,863,422208,12703,205036,6791,49819,5228,134338,3926,20879,1200,217172,8029,50221,4897,137167,4264,29784,1325,7531,null,null,13112,null,null,6612,null,null,5037,null,null,2957,null,null,890,null,null,7676,null,null,4263,null,null,4353,null,null,863,null,null,12703,null,null,6791,null,null,5228,null,null,3926,null,null,1200,null,null,8029,null,null,4897,null,null,4264,null,null,1325,null,null,18
105338,3391,37621,4685,17307,2619,9316,1760,7799,1719,192,178,20314,2934,7616,1452,12386,1970,312,201,67717,5065,37382,2677,9636,1487,25308,1954,2438,437,30335,3480,8686,1534,18882,2621,2767,567,3391,null,null,4685,null,null,2619,null,null,1760,null,null,1719,null,null,178,null,null,2934,null,null,1452,null,null,1970,null,null,201,null,null,5065,null,null,2677,null,null,1487,null,null,1954,null,null,437,null,null,3480,null,null,1534,null,null,2621,null,null,567,null,null,19
156077,4805,38249,5085,16365,2562,6018,1746,9728,1771,619,285,21884,3138,7660,1757,12754,1938,1470,477,117828,6720,62266,3581,15673,2144,40174,2519,6419,899,55562,4091,12992,2420,35368,2244,7202,841,4805,null,null,5085,null,null,2562,null,null,1746,null,null,1771,null,null,285,null,null,3138,null,null,1757,null,null,1938,null,null,477,null,null,6720,null,null,3581,null,null,2144,null,null,2519,null,null,899,null,null,4091,null,null,2420,null,null,2244,null,null,841,null,null,20
345021,6564,104234,8402,45749,4364,20965,2738,23183,2999,1601,477,58485,5485,21601,2809,32821,3225,4063,816,240787,8638,119570,5108,27177,2801,79541,3796,12852,1162,121217,5531,24624,2787,80678,3564,15915,913,6564,null,null,8402,null,null,4364,null,null,2738,null,null,2999,null,null,477,null,null,5485,null,null,2809,null,null,3225,null,null,816,null,null,8638,null,null,5108,null,null,2801,null,null,3796,null,null,1162,null,null,5531,null,null,2787,null,null,3564,null,null,913,null,null,21
1449776,7594,496144,16903,214313,9312,99862,6801,102038,5588,12413,1649,281831,9872,98343,5869,159383,6757,24105,2019,953632,17146,458108,9806,105491,7353,301042,5586,51575,2049,495524,10121,101916,5600,323254,7425,70354,2150,7594,null,null,16903,null,null,9312,null,null,6801,null,null,5588,null,null,1649,null,null,9872,null,null,5869,null,null,6757,null,null,2019,null,null,17146,null,null,9806,null,null,7353,null,null,5586,null,null,2049,null,null,10121,null,null,5600,null,null,7425,null,null,2150,null,null,22
