B16004_001E,B16004_001M,B16004_002E,B16004_002M,B16004_003E,B16004_003M,B16004_004E,B16004_004M,B16004_005E,B16004_005M,B16004_006E,B16004_006M,B16004_007E,B16004_007M,B16004_008E,B16004_008M,B16004_009E,B16004_009M,B16004_010E,B16004_010M,B16004_011E,B16004_011M,B16004_012E,B16004_012M,B16004_013E,B16004_013M,B16004_014E,B16004_014M,B16004_015E,B16004_015M,B16004_016E,B16004_016M,B16004_017E,B16004_017M,B16004_018E,B16004_018M,B16004_019E,B16004_019M,B16004_020E,B16004_020M,B16004_021E,B16004_021M,B16004_022E,B16004_022M,B16004_023E,B16004_023M,B16004_024E,B16004_024M,B16004_025E,B16004_025M,B16004_026E,B16004_026M,B16004_027E,B16004_027M,B16004_028E,B16004_028M,B16004_029E,B16004_029M,B16004_030E,B16004_030M,B16004_031E,B16004_031M,B16004_032E,B16004_032M,B16004_033E,B16004_033M,B16004_034E,B16004_034M,B16004_035E,B16004_035M,B16004_036E,B16004_036M,B16004_037E,B16004_037M,B16004_038E,B16004_038M,B16004_039E,B16004_039M,B16004_040E,B16004_040M,B16004_041E,B16004_041M,B16004_042E,B16004_042M,B16004_043E,B16004_043M,B16004_044E,B16004_044M,B16004_045E,B16004_045M,B16004_046E,B16004_046M,B16004_047E,B16004_047M,B16004_048E,B16004_048M,B16004_049E,B16004_049M,B16004_050E,B16004_050M,B16004_051E,B16004_051M,B16004_052E,B16004_052M,B16004_053E,B16004_053M,B16004_054E,B16004_054M,B16004_055E,B16004_055M,B16004_056E,B16004_056M,B16004_057E,B16004_057M,B16004_058E,B16004_058M,B16004_059E,B16004_059M,B16004_060E,B16004_060M,B16004_061E,B16004_061M,B16004_062E,B16004_062M,B16004_063E,B16004_063M,B16004_064E,B16004_064M,B16004_065E,B16004_065M,B16004_066E,B16004_066M,B16004_067E,B16004_067M,B16004_001M,B16004_001EA,B16004_001MA,B16004_002M,B16004_002EA,B16004_002MA,B16004_003M,B16004_003EA,B16004_003MA,B16004_004M,B16004_004EA,B16004_004MA,B16004_005M,B16004_005EA,B16004_005MA,B16004_006M,B16004_006EA,B16004_006MA,B16004_007M,B16004_007EA,B16004_007MA,B16004_008M,B16004_008EA,B16004_008MA,B16004_009M,B16004_009EA,B16004_009MA,B16004_010M,B16004_010EA,B16004_010MA,B16004_011M,B16004_011EA,B16004_011MA,B16004_012M,B16004_012EA,B16004_012MA,B16004_013M,B16004_013EA,B16004_013MA,B16004_014M,B16004_014EA,B16004_014MA,B16004_015M,B16004_015EA,B16004_015MA,B16004_016M,B16004_016EA,B16004_016MA,B16004_017M,B16004_017EA,B16004_017MA,B16004_018M,B16004_018EA,B16004_018MA,B16004_019M,B16004_019EA,B16004_019MA,B16004_020M,B16004_020EA,B16004_020MA,B16004_021M,B16004_021EA,B16004_021MA,B16004_022M,B16004_022EA,B16004_022MA,B16004_023M,B16004_023EA,B16004_023MA,B16004_024M,B16004_024EA,B16004_024MA,B16004_025M,B16004_025EA,B16004_025MA,B16004_026M,B16004_026EA,B16004_026MA,B16004_027M,B16004_027EA,B16004_027MA,B16004_028M,B16004_028EA,B16004_028MA,B16004_029M,B16004_029EA,B16004_029MA,B16004_030M,B16004_030EA,B16004_030MA,B16004_031M,B16004_031EA,B16004_031MA,B16004_032M,B16004_032EA,B16004_032MA,B16004_033M,B16004_033EA,B16004_033MA,B16004_034M,B16004_034EA,B16004_034MA,B16004_035M,B16004_035EA,B16004_035MA,B16004_036M,B16004_036EA,B16004_036MA,B16004_037M,B16004_037EA,B16004_037MA,B16004_038M,B16004_038EA,B16004_038MA,B16004_039M,B16004_039EA,B16004_039MA,B16004_040M,B16004_040EA,B16004_040MA,B16004_041M,B16004_041EA,B16004_041MA,B16004_042M,B16004_042EA,B16004_042MA,B16004_043M,B16004_043EA,B16004_043MA,B16004_044M,B16004_044EA,B16004_044MA,B16004_045M,B16004_045EA,B16004_045MA,B16004_046M,B16004_046EA,B16004_046MA,B16004_047M,B16004_047EA,B16004_047MA,B16004_048M,B16004_048EA,B16004_048MA,B16004_049M,B16004_049EA,B16004_049MA,B16004_050M,B16004_050EA,B16004_050MA,B16004_051M,B16004_051EA,B16004_051MA,B16004_052M,B16004_052EA,B16004_052MA,B16004_053M,B16004_053EA,B16004_053MA,B16004_054M,B16004_054EA,B16004_054MA,B16004_055M,B16004_055EA,B16004_055MA,B16004_056M,B16004_056EA,B16004_056MA,B16004_057M,B16004_057EA,B16004_057MA,B16004_058M,B16004_058EA,B16004_058MA,B16004_059M,B16004_059EA,B16004_059MA,B16004_060M,B16004_060EA,B16004_060MA,B16004_061M,B16004_061EA,B16004_061MA,B16004_062M,B16004_062EA,B16004_062MA,B16004_063M,B16004_063EA,B16004_063MA,B16004_064M,B16004_064EA,B16004_064MA,B16004_065M,B16004_065EA,B16004_065MA,B16004_066M,B16004_066EA,B16004_066MA,B16004_067M,B16004_067EA,B16004_067MA,state
19494972,2952,3027673,4366,2163515,15651,673926,11793,555201,12946,73966,5696,34171,3408,10588,2093,134924,8693,115919,7876,12522,2435,5619,1448,864,651,36338,4041,29172,3766,6016,1406,1111,487,39,68,18970,3580,14991,3371,2501,1154,1116,658,362,574,12376535,5617,8482813,31057,2906972,20069,1608994,25648,513863,11828,475485,15367,308630,14512,669248,22218,435146,17470,148660,8541,69413,6552,16029,2509,224133,8800,128955,6757,61445,5798,28351,2987,5382,1376,93369,8691,66362,6705,19767,3084,5791,1665,1449,891,4090764,4013,3238335,11112,567753,5662,158983,6669,112240,6082,146660,6501,149870,6520,216194,9157,118650,7177,45088,3958,34986,4225,17470,3401,49650,3671,22588,2501,12958,2311,9905,1825,4199,1350,18832,2436,10843,1676,4757,1216,2599,1075,633,494,2952,null,null,4366,null,null,15651,null,null,11793,null,null,12946,null,null,5696,null,null,3408,null,null,2093,null,null,8693,null,null,7876,null,null,2435,null,null,1448,null,null,651,null,null,4041,null,null,3766,null,null,1406,null,null,487,null,null,68,null,null,3580,null,null,3371,null,null,1154,null,null,658,null,null,574,null,null,5617,null,null,31057,null,null,20069,null,null,25648,null,null,11828,null,null,15367,null,null,14512,null,null,22218,null,null,17470,null,null,8541,null,null,6552,null,null,2509,null,null,8800,null,null,6757,null,null,5798,null,null,2987,null,null,1376,null,null,8691,null,null,6705,null,null,3084,null,null,1665,null,null,891,null,null,4013,null,null,11112,null,null,5662,null,null,6669,null,null,6082,null,null,6501,null,null,6520,null,null,9157,null,null,7177,null,null,3958,null,null,4225,null,null,3401,null,null,3671,null,null,2501,null,null,2311,null,null,1825,null,null,1350,null,null,2436,null,null,1676,null,null,1216,null,null,1075,null,null,494,null,null,12
9655493,4445,1855732,4692,1566120,10333,206900,6990,167372,6884,29777,3297,8331,1603,1420,886,37487,4673,31296,4421,4701,1491,1236,543,254,285,30280,3680,25030,3283,3022,1059,1921,925,307,279,14945,4484,11364,4046,2251,943,1330,1191,0,218,6440627,4798,5469141,15994,529766,8428,239068,9504,115024,7484,123284,7455,52390,5235,188852,11738,135809,9667,34622,4136,14588,2526,3833,1332,173871,7861,92569,6298,47673,4313,26233,3473,7396,2394,78997,9071,56837,6954,16502,2885,3962,1685,1696,1145,1359134,4105,1268783,4798,31554,2569,12347,1566,8011,1555,5954,1379,5242,1496,30282,3315,18586,2719,5402,1309,4139,1249,2155,885,21836,2634,4822,1213,4795,1049,8724,1993,3495,1088,6679,1873,3124,1022,926,563,1726,813,903,680,4445,null,null,4692,null,null,10333,null,null,6990,null,null,6884,null,null,3297,null,null,1603,null,null,886,null,null,4673,null,null,4421,null,null,1491,null,null,543,null,null,285,null,null,3680,null,null,3283,null,null,1059,null,null,925,null,null,279,null,null,4484,null,null,4046,null,null,943,null,null,1191,null,null,218,null,null,4798,null,null,15994,null,null,8428,null,null,9504,null,null,7484,null,null,7455,null,null,5235,null,null,11738,null,null,9667,null,null,4136,null,null,2526,null,null,1332,null,null,7861,null,null,6298,null,null,4313,null,null,3473,null,null,2394,null,null,9071,null,null,6954,null,null,2885,null,null,1685,null,null,1145,null,null,4105,null,null,4798,null,null,2569,null,null,1566,null,null,1555,null,null,1379,null,null,1496,null,null,3315,null,null,2719,null,null,1309,null,null,1249,null,null,885,null,null,2634,null,null,1213,null,null,1049,null,null,1993,null,null,1088,null,null,1873,null,null,1022,null,null,563,null,null,813,null,null,680,null,null,13
1337835,28,217043,756,173188,4603,4524,1540,2897,925,1543,1205,84,104,0,185,1797,818,1371,730,426,344,0,185,0,185,36120,4254,23987,3534,8831,2066,3212,1584,90,148,1414,686,1206,608,208,326,0,185,0,185,877251,884,638501,9478,21687,2916,16351,2382,4106,1151,1107,825,123,158,12111,1916,9869,1719,2016,708,226,197,0,185,197736,9257,101782,6863,61124,5186,31266,3532,3564,1026,7216,1816,6742,1784,474,286,0,185,0,185,243541,614,171331,3818,2600,795,1661,647,787,551,152,123,0,185,2786,878,2095,764,555,294,136,186,0,185,65052,3570,22179,2421,19334,2108,19658,2510,3881,1212,1772,715,1502,681,270,248,0,185,0,185,28,null,null,756,null,null,4603,null,null,1540,null,null,925,null,null,1205,null,null,104,null,null,185,null,null,818,null,null,730,null,null,344,null,null,185,null,null,185,null,null,4254,null,null,3534,null,null,2066,null,null,1584,null,null,148,null,null,686,null,null,608,null,null,326,null,null,185,null,null,185,null,null,884,null,null,9478,null,null,2916,null,null,2382,null,null,1151,null,null,825,null,null,158,null,null,1916,null,null,1719,null,null,708,null,null,197,null,null,185,null,null,9257,null,null,6863,null,null,5186,null,null,3532,null,null,1026,null,null,1816,null,null,1784,null,null,286,null,null,185,null,null,185,null,null,614,null,null,3818,null,null,795,null,null,647,null,null,551,null,null,123,null,null,185,null,null,878,null,null,764,null,null,294,null,null,186,null,null,185,null,null,3570,null,null,2421,null,null,2108,null,null,2510,null,null,1212,null,null,715,null,null,681,null,null,248,null,null,185,null,null,185,null,null,15
1568997,1710,322314,2066,281494,3545,33382,2971,23122,2833,6872,2101,3069,1364,319,287,3799,1165,3007,1050,697,490,95,145,0,198,2325,872,1717,707,608,447,0,198,0,198,1314,1035,1291,1022,0,198,23,41,0,198,990521,1970,875283,4887,85538,4034,48830,4106,16970,2541,14665,2014,5073,1529,17950,3188,12225,2481,3874,1099,1455,715,396,414,7449,1555,3960,1125,2163,793,677,353,649,415,4301,1616,2118,858,1982,1279,201,160,0,198,256162,1730,242212,2149,7940,1345,3637,955,1316,574,773,481,2214,777,3653,1116,2721,863,386,315,284,232,262,302,1389,667,638,415,380,297,115,192,256,290,968,491,651,350,317,319,0,198,0,198,1710,null,null,2066,null,null,3545,null,null,2971,null,null,2833,null,null,2101,null,null,1364,null,null,287,null,null,1165,null,null,1050,null,null,490,null,null,145,null,null,198,null,null,872,null,null,707,null,null,447,null,null,198,null,null,198,null,null,1035,null,null,1022,null,null,198,null,null,41,null,null,198,null,null,1970,null,null,4887,null,null,4034,null,null,4106,null,null,2541,null,null,2014,null,null,1529,null,null,3188,null,null,2481,null,null,1099,null,null,715,null,null,414,null,null,1555,null,null,1125,null,null,793,null,null,353,null,null,415,null,null,1616,null,null,858,null,null,1279,null,null,160,null,null,198,null,null,1730,null,null,2149,null,null,1345,null,null,955,null,null,574,null,null,481,null,null,777,null,null,1116,null,null,863,null,null,315,null,null,232,null,null,302,null,null,667,null,null,415,null,null,297,null,null,192,null,null,290,null,null,491,null,null,350,null,null,319,null,null,198,null,null,198,null,null,16
12032049,2349,2153229,2636,1639503,12007,368740,9072,315886,8749,33610,3613,16793,2317,2451,854,83170,5551,70980,5045,9537,1350,2231,657,422,321,39252,3107,30501,2708,5365,1256,3114,939,272,272,22564,4406,19538,3970,2319,1426,610,456,97,160,8005990,3403,6053850,18387,1145369,10991,653821,11886,216077,8471,210683,7522,64788,4912,455441,13530,299189,10482,101757,5495,44803,4398,9692,2090,261171,7241,156192,5376,67681,4572,30413,2827,6885,1697,90159,8677,58938,6635,22491,3640,7049,1764,1681,702,1872830,3297,1577452,5471,110269,2795,34748,2737,24276,2443,30932,2854,20313,2481,119659,5270,53927,3679,29733,2415,24816,2478,11183,1969,53282,2762,20108,2443,14959,1839,11689,1870,6526,1242,12168,1809,5164,1104,3102,840,2302,811,1600,862,2349,null,null,2636,null,null,12007,null,null,9072,null,null,8749,null,null,3613,null,null,2317,null,null,854,null,null,5551,null,null,5045,null,null,1350,null,null,657,null,null,321,null,null,3107,null,null,2708,null,null,1256,null,null,939,null,null,272,null,null,4406,null,null,3970,null,null,1426,null,null,456,null,null,160,null,null,3403,null,null,18387,null,null,10991,null,null,11886,null,null,8471,null,null,7522,null,null,4912,null,null,13530,null,null,10482,null,null,5495,null,null,4398,null,null,2090,null,null,7241,null,null,5376,null,null,4572,null,null,2827,null,null,1697,null,null,8677,null,null,6635,null,null,3640,null,null,1764,null,null,702,null,null,3297,null,null,5471,null,null,2795,null,null,2737,null,null,2443,null,null,2854,null,null,2481,null,null,5270,null,null,3679,null,null,2415,null,null,2478,null,null,1969,null,null,2762,null,null,2443,null,null,1839,null,null,1870,null,null,1242,null,null,1809,null,null,1104,null,null,840,null,null,811,null,null,862,null,null,17
6212686,3036,1157166,3955,1036467,7240,79402,5120,66197,5064,8505,2118,4353,1331,347,217,22578,2912,15556,2624,4863,1454,1791,570,368,246,12955,1951,8813,1845,2181,790,1540,775,421,372,5764,2427,5230,2342,316,309,112,189,106,162,4062181,3450,3683369,10188,206102,6864,111751,5742,39705,3294,47452,4026,7194,1743,84751,5701,63203,5277,16283,2447,4286,1499,979,540,66165,4397,31471,3262,19033,2501,10368,1670,5293,1816,21794,3538,13429,1963,6116,2070,1874,691,375,427,993339,2635,950036,2883,16607,1342,7425,1250,4329,999,2985,744,1868,757,18277,1980,12715,1615,3307,838,1873,729,382,332,6449,1089,2414,751,1705,647,1491,535,839,486,1970,1055,1377,925,178,186,0,192,415,528,3036,null,null,3955,null,null,7240,null,null,5120,null,null,5064,null,null,2118,null,null,1331,null,null,217,null,null,2912,null,null,2624,null,null,1454,null,null,570,null,null,246,null,null,1951,null,null,1845,null,null,790,null,null,775,null,null,372,null,null,2427,null,null,2342,null,null,309,null,null,189,null,null,162,null,null,3450,null,null,10188,null,null,6864,null,null,5742,null,null,3294,null,null,4026,null,null,1743,null,null,5701,null,null,5277,null,null,2447,null,null,1499,null,null,540,null,null,4397,null,null,3262,null,null,2501,null,null,1670,null,null,1816,null,null,3538,null,null,1963,null,null,2070,null,null,691,null,null,427,null,null,2635,null,null,2883,null,null,1342,null,null,1250,null,null,999,null,null,744,null,null,757,null,null,1980,null,null,1615,null,null,838,null,null,729,null,null,332,null,null,1089,null,null,751,null,null,647,null,null,535,null,null,486,null,null,1055,null,null,925,null,null,186,null,null,192,null,null,528,null,null,18
2937206,1804,529480,2382,477637,3536,30902,2205,24087,2241,4684,1367,1691,637,440,249,8936,1870,7124,1662,1465,615,347,232,0,159,6804,1267,4371,1034,1702,621,731,599,0,159,5201,1664,2459,767,2057,1483,685,589,0,159,1893984,2438,1733353,5725,82808,3306,39863,2869,18054,2119,17132,1910,7759,1816,33669,3638,21768,2588,6710,1433,4300,1340,891,533,32906,2789,12785,1692,11374,2058,7706,1692,1041,629,11248,2264,5567,1511,3407,1156,1672,879,602,486,513742,1794,500062,2051,4496,790,2619,785,819,410,465,291,593,456,5337,1031,3589,756,850,486,428,339,470,278,2812,770,1070,593,221,179,1036,575,485,356,1035,746,531,299,17,20,214,346,273,349,1804,null,null,2382,null,null,3536,null,null,2205,null,null,2241,null,null,1367,null,null,637,null,null,249,null,null,1870,null,null,1662,null,null,615,null,null,232,null,null,159,null,null,1267,null,null,1034,null,null,621,null,null,599,null,null,159,null,null,1664,null,null,767,null,null,1483,null,null,589,null,null,159,null,null,2438,null,null,5725,null,null,3306,null,null,2869,null,null,2119,null,null,1910,null,null,1816,null,null,3638,null,null,2588,null,null,1433,null,null,1340,null,null,533,null,null,2789,null,null,1692,null,null,2058,null,null,1692,null,null,629,null,null,2264,null,null,1511,null,null,1156,null,null,879,null,null,486,null,null,1794,null,null,2051,null,null,790,null,null,785,null,null,410,null,null,291,null,null,456,null,null,1031,null,null,756,null,null,486,null,null,339,null,null,278,null,null,770,null,null,593,null,null,179,null,null,575,null,null,356,null,null,746,null,null,299,null,null,20,null,null,346,null,null,349,null,null,19
2709883,1979,517513,2276,441644,3903,58771,3357,50774,3587,6115,1748,1388,654,494,436,7865,1503,6878,1431,538,446,130,184,319,438,7209,1424,5547,1231,1086,609,388,312,188,199,2024,783,1052,500,837,585,135,174,0,174,1754699,3285,1535262,7525,141721,4710,69538,4173,28582,2532,29120,3153,14481,2796,30423,3551,22375,3021,5363,1388,1819,894,866,1224,38383,4498,18182,2566,12975,2355,6443,1718,783,433,8910,2094,6129,1688,1616,778,753,327,412,299,437671,2077,417072,2294,10295,1332,4811,1150,2230,766,1518,790,1736,726,5002,971,3850,768,550,305,445,327,157,227,4497,588,887,404,1745,451,1009,418,856,425,805,519,769,536,36,57,0,174,0,174,1979,null,null,2276,null,null,3903,null,null,3357,null,null,3587,null,null,1748,null,null,654,null,null,436,null,null,1503,null,null,1431,null,null,446,null,null,184,null,null,438,null,null,1424,null,null,1231,null,null,609,null,null,312,null,null,199,null,null,783,null,null,500,null,null,585,null,null,174,null,null,174,null,null,3285,null,null,7525,null,null,4710,null,null,4173,null,null,2532,null,null,3153,null,null,2796,null,null,3551,null,null,3021,null,null,1388,null,null,894,null,null,1224,null,null,4498,null,null,2566,null,null,2355,null,null,1718,null,null,433,null,null,2094,null,null,1688,null,null,778,null,null,327,null,null,299,null,null,2077,null,null,2294,null,null,1332,null,null,1150,null,null,766,null,null,790,null,null,726,null,null,971,null,null,768,null,null,305,null,null,327,null,null,227,null,null,588,null,null,404,null,null,451,null,null,418,null,null,425,null,null,519,null,null,536,null,null,57,null,null,174,null,null,174,null,null,20
4164025,2784,739508,3715,692369,5637,25465,2633,20439,2202,3542,1017,1484,671,0,190,10045,2511,7769,2371,1855,756,421,294,0,190,4972,1102,3356,785,1044,477,572,487,0,190,6657,2413,3938,1861,2280,1241,393,358,46,78,2736992,3378,2580332,6045,76013,3939,39855,3139,16154,2081,15694,2188,4310,1370,41111,4817,26955,3610,10505,2091,2518,910,1133,578,25682,2141,12907,1619,7281,1388,5120,1102,374,226,13854,2695,5568,1446,5311,1650,2217,852,758,449,687525,2148,674257,2322,4769,1058,2065,667,853,400,1058,374,793,549,5549,1096,3882,842,755,380,417,296,495,356,2356,572,889,341,579,288,663,355,225,211,594,346,306,189,156,182,0,190,132,217,2784,null,null,3715,null,null,5637,null,null,2633,null,null,2202,null,null,1017,null,null,671,null,null,190,null,null,2511,null,null,2371,null,null,756,null,null,294,null,null,190,null,null,1102,null,null,785,null,null,477,null,null,487,null,null,190,null,null,2413,null,null,1861,null,null,1241,null,null,358,null,null,78,null,null,3378,null,null,6045,null,null,3939,null,null,3139,null,null,2081,null,null,2188,null,null,1370,null,null,4817,null,null,3610,null,null,2091,null,null,910,null,null,578,null,null,2141,null,null,1619,null,null,1388,null,null,1102,null,null,226,null,null,2695,null,null,1446,null,null,1650,null,null,852,null,null,449,null,null,2148,null,null,2322,null,null,1058,null,null,667,null,null,400,null,null,374,null,null,549,null,null,1096,null,null,842,null,null,380,null,null,296,null,null,356,null,null,572,null,null,341,null,null,288,null,null,355,null,null,211,null,null,346,null,null,189,null,null,182,null,null,190,null,null,217,null,null,21
4374703,3568,810318,3613,759082,5477,33044,3260,25095,3206,6245,1837,1128,706,576,385,7337,1641,5739,1415,1401,820,197,212,0,208,7491,1021,6120,1127,801,549,221,242,349,506,3364,2054,2433,1837,217,229,714,780,0,208,2890206,3354,2651793,7652,122691,5234,64903,4800,22561,2996,24488,2757,10739,2896,65386,4834,52980,4440,9400,1559,2617,1012,389,325,39358,3017,20112,2648,10155,1687,7133,1716,1958,1287,10978,2341,6315,1520,3487,1339,829,444,347,367,674179,2520,610850,3251,11425,1439,5507,1149,2811,852,2074,782,1033,757,45004,2859,36477,2500,7173,1509,1339,545,15,26,5665,913,2125,796,1505,428,1666,546,369,225,1235,585,994,554,241,313,0,208,0,208,3568,null,null,3613,null,null,5477,null,null,3260,null,null,3206,null,null,1837,null,null,706,null,null,385,null,null,1641,null,null,1415,null,null,820,null,null,212,null,null,208,null,null,1021,null,null,1127,null,null,549,null,null,242,null,null,506,null,null,2054,null,null,1837,null,null,229,null,null,780,null,null,208,null,null,3354,null,null,7652,null,null,5234,null,null,4800,null,null,2996,null,null,2757,null,null,2896,null,null,4834,null,null,4440,null,null,1559,null,null,1012,null,null,325,null,null,3017,null,null,2648,null,null,1687,null,null,1716,null,null,1287,null,null,2341,null,null,1520,null,null,1339,null,null,444,null,null,367,null,null,2520,null,null,3251,null,null,1439,null,null,1149,null,null,852,null,null,782,null,null,757,null,null,2859,null,null,2500,null,null,1509,null,null,545,null,null,26,null,null,913,null,null,796,null,null,428,null,null,546,null,null,225,null,null,585,null,null,554,null,null,313,null,null,208,null,null,208,null,null,22
