C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,C15002D_001M,C15002D_001EA,C15002D_001MA,C15002D_002M,C15002D_002EA,C15002D_002MA,C15002D_003M,C15002D_003EA,C15002D_003MA,C15002D_004M,C15002D_004EA,C15002D_004MA,C15002D_005M,C15002D_005EA,C15002D_005MA,C15002D_006M,C15002D_006EA,C15002D_006MA,C15002D_007M,C15002D_007EA,C15002D_007MA,C15002D_008M,C15002D_008EA,C15002D_008MA,C15002D_009M,C15002D_009EA,C15002D_009MA,C15002D_010M,C15002D_010EA,C15002D_010MA,C15002D_011M,C15002D_011EA,C15002D_011MA,state
402415,5676,172577,3505,21215,2381,25481,2350,35143,3117,90738,4132,229838,3631,34167,2625,42118,3627,42706,3766,110847,4322,5676,null,null,3505,null,null,2381,null,null,2350,null,null,3117,null,null,4132,null,null,3631,null,null,2625,null,null,3627,null,null,3766,null,null,4322,null,null,12
271011,4511,126191,2685,15195,2188,16332,2213,16286,2067,78378,3299,144820,3055,20595,1785,22148,2500,24038,2818,78039,3005,4511,null,null,2685,null,null,2188,null,null,2213,null,null,2067,null,null,3299,null,null,3055,null,null,1785,null,null,2500,null,null,2818,null,null,3005,null,null,13
426716,6350,191756,4031,18980,2278,55381,3897,54754,3080,62641,3385,234960,3414,27132,2618,59974,3322,64528,3381,83326,3271,6350,null,null,4031,null,null,2278,null,null,3897,null,null,3080,null,null,3385,null,null,3414,null,null,2618,null,null,3322,null,null,3381,null,null,3271,null,null,15
15651,1558,6654,1066,539,374,1252,640,1962,858,2901,852,8997,1124,1147,469,1637,670,2494,946,3719,979,1558,null,null,1066,null,null,374,null,null,640,null,null,858,null,null,852,null,null,1124,null,null,469,null,null,670,null,null,946,null,null,979,null,null,16
478425,4144,224788,2443,16380,2197,21262,2425,34646,3022,152500,4656,253637,2815,27887,2606,27933,2555,38849,3106,158968,3748,4144,null,null,2443,null,null,2197,null,null,2425,null,null,3022,null,null,4656,null,null,2815,null,null,2606,null,null,2555,null,null,3106,null,null,3748,null,null,17
83957,2867,39389,1786,5949,1274,5273,1275,4702,1145,23465,2106,44568,1859,8718,1546,8446,1353,5942,1172,21462,1694,2867,null,null,1786,null,null,1274,null,null,1275,null,null,1145,null,null,2106,null,null,1859,null,null,1546,null,null,1353,null,null,1172,null,null,1694,null,null,18
44570,2026,22584,1424,3199,981,3909,1121,2867,962,12609,1398,21986,1361,4476,961,3333,968,3329,838,10848,1385,2026,null,null,1424,null,null,981,null,null,1121,null,null,962,null,null,1398,null,null,1361,null,null,961,null,null,968,null,null,838,null,null,1385,null,null,19
50988,2722,23648,1688,3103,990,2831,828,4191,1139,13523,1833,27340,1579,4808,895,5638,1755,4516,1046,12378,1437,2722,null,null,1688,null,null,990,null,null,828,null,null,1139,null,null,1833,null,null,1579,null,null,895,null,null,1755,null,null,1046,null,null,1437,null,null,20
39780,2112,16848,1187,2318,874,2783,676,2243,792,9504,1134,22932,1628,3300,795,4563,983,4009,1078,11060,1391,2112,null,null,1187,null,null,874,null,null,676,null,null,792,null,null,1134,null,null,1628,null,null,795,null,null,983,null,null,1078,null,null,1391,null,null,21
53602,2339,26158,1614,4691,934,5027,1321,4060,1032,12380,1424,27444,1912,5660,1059,6275,1423,4764,1092,10745,1380,2339,null,null,1614,null,null,934,null,null,1321,null,null,1032,null,null,1424,null,null,1912,null,null,1059,null,null,1423,null,null,1092,null,null,1380,null,null,22
12254,1249,4535,830,702,339,766,522,1129,814,1938,594,7719,1057,897,487,1495,693,2102,862,3225,931,1249,null,null,830,null,null,339,null,null,522,null,null,814,null,null,594,null,null,1057,null,null,487,null,null,693,null,null,862,null,null,931,null,null,23
268482,2577,123522,1976,9548,1590,11817,1694,20053,2342,82104,3181,144960,1895,15798,1590,18568,2432,24808,2592,85786,3733,2577,null,null,1976,null,null,1590,null,null,1694,null,null,2342,null,null,3181,null,null,1895,null,null,1590,null,null,2432,null,null,2592,null,null,3733,null,null,24
294451,3551,139023,2078,18921,2080,18595,2500,15989,2200,85518,2985,155428,2076,24999,2017,21780,2565,19965,2448,88684,3144,3551,null,null,2078,null,null,2080,null,null,2500,null,null,2200,null,null,2985,null,null,2076,null,null,2017,null,null,2565,null,null,2448,null,null,3144,null,null,25
189523,2640,90319,1705,8681,1489,9294,1395,11445,1708,60899,2046,99204,1840,13276,1672,12267,1675,15151,1847,58510,2037,2640,null,null,1705,null,null,1489,null,null,1395,null,null,1708,null,null,2046,null,null,1840,null,null,1672,null,null,1675,null,null,1847,null,null,2037,null,null,26
154563,2676,73023,1700,12530,1526,12641,1570,16668,1955,31184,2224,81540,1828,20437,2199,10275,1292,17568,1995,33260,2273,2676,null,null,1700,null,null,1526,null,null,1570,null,null,1955,null,null,2224,null,null,1828,null,null,2199,null,null,1292,null,null,1995,null,null,2273,null,null,27
18529,2000,6834,1534,1417,641,792,633,855,479,3770,1133,11695,1541,1420,573,2916,1024,3136,1291,4223,1393,2000,null,null,1534,null,null,641,null,null,633,null,null,479,null,null,1133,null,null,1541,null,null,573,null,null,1024,null,null,1291,null,null,1393,null,null,28
77588,2577,34424,1630,3119,1067,4306,953,3974,927,23025,1922,43164,1860,6839,1353,6708,1303,6891,1128,22726,1882,2577,null,null,1630,null,null,1067,null,null,953,null,null,927,null,null,1922,null,null,1860,null,null,1353,null,null,1303,null,null,1128,null,null,1882,null,null,29
5326,1050,1482,569,85,152,69,109,325,312,1003,499,3844,818,148,141,1098,587,608,408,1990,759,1050,null,null,569,null,null,152,null,null,109,null,null,312,null,null,499,null,null,818,null,null,141,null,null,587,null,null,408,null,null,759,null,null,30
23787,1781,11214,980,2843,796,1603,429,1641,523,5127,951,12573,1053,3376,753,2005,580,2228,596,4964,1061,1781,null,null,980,null,null,796,null,null,429,null,null,523,null,null,951,null,null,1053,null,null,753,null,null,580,null,null,596,null,null,1061,null,null,31
185203,3202,79085,1678,7519,1437,16866,2101,25359,2403,29341,2626,106118,2488,10637,1572,24661,2798,30623,2960,40197,3045,3202,null,null,1678,null,null,1437,null,null,2101,null,null,2403,null,null,2626,null,null,2488,null,null,1572,null,null,2798,null,null,2960,null,null,3045,null,null,32
21475,1354,10287,1093,1154,552,2551,1048,743,502,5839,1227,11188,843,978,435,2426,788,1850,688,5934,1001,1354,null,null,1093,null,null,552,null,null,1048,null,null,502,null,null,1227,null,null,843,null,null,435,null,null,788,null,null,688,null,null,1001,null,null,33
599087,3670,285337,2432,13966,1597,27100,2523,38608,3317,205663,4626,313750,1964,28234,2253,36142,2939,42103,3475,207271,4493,3670,null,null,2432,null,null,1597,null,null,2523,null,null,3317,null,null,4626,null,null,1964,null,null,2253,null,null,2939,null,null,3475,null,null,4493,null,null,34
23167,1793,10139,1478,1065,573,1486,691,1940,795,5648,1001,13028,1004,1107,624,3540,1026,2418,687,5963,966,1793,null,null,1478,null,null,573,null,null,691,null,null,795,null,null,1001,null,null,1004,null,null,624,null,null,1026,null,null,687,null,null,966,null,null,35
1188298,7411,551804,4033,107749,4759,101323,4747,85914,4343,256818,6018,636494,4464,144658,5750,113687,5329,86579,4571,291570,7173,7411,null,null,4033,null,null,4759,null,null,4747,null,null,4343,null,null,6018,null,null,4464,null,null,5750,null,null,5329,null,null,4571,null,null,7173,null,null,36
181455,2924,85797,2106,8712,1590,12079,1984,12097,1602,52909,2470,95658,2061,14876,1721,14505,1646,15512,1547,50765,2073,2924,null,null,2106,null,null,1590,null,null,1984,null,null,1602,null,null,2470,null,null,2061,null,null,1721,null,null,1646,null,null,1547,null,null,2073,null,null,37
4905,1061,2002,533,371,242,396,295,201,146,1034,428,2903,815,625,299,715,515,306,196,1257,578,1061,null,null,533,null,null,242,null,null,295,null,null,146,null,null,428,null,null,815,null,null,299,null,null,515,null,null,196,null,null,578,null,null,38
160629,2761,76217,2335,8114,1719,8629,1438,11013,1850,48461,3119,84412,1894,11316,1514,12562,1656,13870,2024,46664,2502,2761,null,null,2335,null,null,1719,null,null,1438,null,null,1850,null,null,3119,null,null,1894,null,null,1514,null,null,1656,null,null,2024,null,null,2502,null,null,39
50989,1736,22196,1452,3022,801,3744,920,5040,938,10390,1246,28793,1209,4656,875,5389,1052,6850,1013,11898,1158,1736,null,null,1452,null,null,801,null,null,920,null,null,938,null,null,1246,null,null,1209,null,null,875,null,null,1052,null,null,1013,null,null,1158,null,null,40
119827,3124,53095,2113,6176,1146,7618,1387,11392,1649,27909,1836,66732,2109,11194,1340,9664,1625,12871,1750,33003,2106,3124,null,null,2113,null,null,1146,null,null,1387,null,null,1649,null,null,1836,null,null,2109,null,null,1340,null,null,1625,null,null,1750,null,null,2106,null,null,41
281606,3277,131709,2416,20681,2021,17145,2072,14684,1799,79199,2811,149897,2350,27064,2275,27060,2940,19344,2197,76429,3121,3277,null,null,2416,null,null,2021,null,null,2072,null,null,1799,null,null,2811,null,null,2350,null,null,2275,null,null,2940,null,null,2197,null,null,3121,null,null,42
22693,1361,11214,889,709,363,2909,911,2009,890,5587,1050,11479,903,1356,443,1890,893,2476,954,5757,1035,1361,null,null,889,null,null,363,null,null,911,null,null,890,null,null,1050,null,null,903,null,null,443,null,null,893,null,null,954,null,null,1035,null,null,44
53050,2791,22223,1883,1865,792,5833,1451,3877,973,10648,1165,30827,2063,4919,1349,6369,1239,6638,1185,12901,1812,2791,null,null,1883,null,null,792,null,null,1451,null,null,973,null,null,1165,null,null,2063,null,null,1349,null,null,1239,null,null,1185,null,null,1812,null,null,45
7145,940,3214,630,722,348,647,293,244,234,1601,484,3931,769,1235,399,1020,644,283,195,1393,516,940,null,null,630,null,null,348,null,null,293,null,null,234,null,null,484,null,null,769,null,null,399,null,null,644,null,null,195,null,null,516,null,null,46
76429,2696,33264,1699,3905,951,5506,1332,3709,969,20144,1940,43165,2051,6585,1102,7560,1360,7077,1387,21943,2074,2696,null,null,1699,null,null,951,null,null,1332,null,null,969,null,null,1940,null,null,2051,null,null,1102,null,null,1360,null,null,1387,null,null,2074,null,null,47
883132,7032,418249,4155,41726,3849,51407,3876,72564,3855,252552,6211,464883,4458,67863,4672,70780,5081,78070,5559,248170,7402,7032,null,null,4155,null,null,3849,null,null,3876,null,null,3855,null,null,6211,null,null,4458,null,null,4672,null,null,5081,null,null,5559,null,null,7402,null,null,48
46290,1872,21453,1120,3010,1112,3543,1255,4114,871,10786,1306,24837,1339,3404,1152,4733,1184,5611,1129,11089,1328,1872,null,null,1120,null,null,1112,null,null,1255,null,null,871,null,null,1306,null,null,1339,null,null,1152,null,null,1184,null,null,1129,null,null,1328,null,null,49
6184,753,2358,572,487,336,209,200,226,230,1436,551,3826,490,556,348,1062,453,515,310,1693,530,753,null,null,572,null,null,336,null,null,200,null,null,230,null,null,551,null,null,490,null,null,348,null,null,453,null,null,310,null,null,530,null,null,50
