B98014_001E,B98014_001EA,state
null,null,12
null,null,13
null,null,15
null,null,16
null,null,17
null,null,18
null,null,19
null,null,20
null,null,21
null,null,22
null,null,23
null,null,24
null,null,25
null,null,26
null,null,27
null,null,28
null,null,29
null,null,30
null,null,31
null,null,32
null,null,33
null,null,34
null,null,35
null,null,36
null,null,37
null,null,38
null,null,39
null,null,40
null,null,41
null,null,42
null,null,44
null,null,45
null,null,46
null,null,47
null,null,48
null,null,49
null,null,50
null,null,51
null,null,53
null,null,54
null,null,55
null,null,56
null,null,72
null,null,01
null,null,02
null,null,04
null,null,05
null,null,06
null,null,08
null,null,09
null,null,10
null,null,11
