B20017I_001E,B20017I_001M,B20017I_002E,B20017I_002M,B20017I_003E,B20017I_003M,B20017I_004E,B20017I_004M,B20017I_005E,B20017I_005M,B20017I_006E,B20017I_006M,B20017I_007E,B20017I_007M,B20017I_001M,B20017I_001EA,B20017I_001MA,B20017I_002M,B20017I_002EA,B20017I_002MA,B20017I_003M,B20017I_003EA,B20017I_003MA,B20017I_004M,B20017I_004EA,B20017I_004MA,B20017I_005M,B20017I_005EA,B20017I_005MA,B20017I_006M,B20017I_006EA,B20017I_006MA,B20017I_007M,B20017I_007EA,B20017I_007MA,state
25256,288,27431,494,32810,1025,12309,327,21783,286,30384,370,10871,238,288,null,null,494,null,null,1025,null,null,327,null,null,286,null,null,370,null,null,238,null,null,12
22481,673,25530,719,30167,777,11825,1024,19197,1209,25843,1211,9555,904,673,null,null,719,null,null,777,null,null,1024,null,null,1209,null,null,1211,null,null,904,null,null,13
31516,1282,35143,2980,45834,5576,12169,2549,27382,3042,38426,2357,13330,2347,1282,null,null,2980,null,null,5576,null,null,2549,null,null,3042,null,null,2357,null,null,2347,null,null,15
22136,823,26524,1470,31948,1543,7315,2257,17210,1379,24729,1724,8894,2649,823,null,null,1470,null,null,1543,null,null,2257,null,null,1379,null,null,1724,null,null,2649,null,null,16
26012,282,29809,771,35336,625,12660,877,21923,288,30582,477,10801,354,282,null,null,771,null,null,625,null,null,877,null,null,288,null,null,477,null,null,354,null,null,17
24389,1217,27984,2069,33246,2222,13303,3214,18868,1369,27590,2368,6997,762,1217,null,null,2069,null,null,2222,null,null,3214,null,null,1369,null,null,2368,null,null,762,null,null,18
25794,1307,30536,1873,37170,1831,7320,2088,20854,1636,28528,2462,7410,1503,1307,null,null,1873,null,null,1831,null,null,2088,null,null,1636,null,null,2462,null,null,1503,null,null,19
23895,807,28500,1522,35199,1682,10226,1473,19326,1398,26577,859,8722,1236,807,null,null,1522,null,null,1682,null,null,1473,null,null,1398,null,null,859,null,null,1236,null,null,20
22532,1435,26548,2097,31146,1154,11291,1669,17001,1666,27242,2386,8734,1410,1435,null,null,2097,null,null,1154,null,null,1669,null,null,1666,null,null,2386,null,null,1410,null,null,21
25082,2185,30752,1375,35896,1198,16570,1945,17885,3020,31922,4796,8861,1339,2185,null,null,1375,null,null,1198,null,null,1945,null,null,3020,null,null,4796,null,null,1339,null,null,22
26841,5737,34560,9597,45949,7523,15357,18056,16504,8270,35762,1830,5077,2721,5737,null,null,9597,null,null,7523,null,null,18056,null,null,8270,null,null,1830,null,null,2721,null,null,23
28804,1769,31833,906,38372,2467,13606,1333,23972,1527,32379,2759,11924,613,1769,null,null,906,null,null,2467,null,null,1333,null,null,1527,null,null,2759,null,null,613,null,null,24
25622,665,30403,808,39998,2021,12056,537,21579,478,35158,1395,10915,641,665,null,null,808,null,null,2021,null,null,537,null,null,478,null,null,1395,null,null,641,null,null,25
22484,1136,26617,1324,35679,1895,10728,934,19091,1324,31189,692,9041,808,1136,null,null,1324,null,null,1895,null,null,934,null,null,1324,null,null,692,null,null,808,null,null,26
25124,968,28009,1488,35291,1220,11291,1778,21055,887,30590,1288,9503,1179,968,null,null,1488,null,null,1220,null,null,1778,null,null,887,null,null,1288,null,null,1179,null,null,27
21633,2765,27976,4837,31692,3538,15309,3401,15956,1619,27669,5226,9999,1594,2765,null,null,4837,null,null,3538,null,null,3401,null,null,1619,null,null,5226,null,null,1594,null,null,28
25354,1222,29700,1896,35762,1473,10286,1535,20112,1329,27980,3833,10108,1347,1222,null,null,1896,null,null,1473,null,null,1535,null,null,1329,null,null,3833,null,null,1347,null,null,29
20985,1436,21729,1664,31525,9964,12248,1516,18600,5104,28080,4817,8514,3389,1436,null,null,1664,null,null,9964,null,null,1516,null,null,5104,null,null,4817,null,null,3389,null,null,30
