B25010_001E,B25010_001M,B25010_002E,B25010_002M,B25010_003E,B25010_003M,B25010_001M,B25010_001EA,B25010_001MA,B25010_002M,B25010_002EA,B25010_002MA,B25010_003M,B25010_003EA,B25010_003MA,state
2.66,0.02,2.64,0.01,2.71,0.02,0.02,null,null,0.01,null,null,0.02,null,null,12
2.73,0.02,2.77,0.02,2.67,0.04,0.02,null,null,0.02,null,null,0.04,null,null,13
3.04,0.04,3.16,0.06,2.87,0.06,0.04,null,null,0.06,null,null,0.06,null,null,15
2.71,0.03,2.77,0.03,2.56,0.06,0.03,null,null,0.03,null,null,0.06,null,null,16
2.59,0.01,2.71,0.02,2.36,0.03,0.01,null,null,0.02,null,null,0.03,null,null,17
2.54,0.02,2.63,0.02,2.37,0.03,0.02,null,null,0.02,null,null,0.03,null,null,18
2.43,0.02,2.53,0.03,2.21,0.05,0.02,null,null,0.03,null,null,0.05,null,null,19
2.55,0.03,2.65,0.03,2.36,0.04,0.03,null,null,0.03,null,null,0.04,null,null,20
2.51,0.02,2.57,0.02,2.39,0.04,0.02,null,null,0.02,null,null,0.04,null,null,21
2.65,0.03,2.73,0.03,2.50,0.04,0.03,null,null,0.03,null,null,0.04,null,null,22
2.44,0.03,2.55,0.03,2.15,0.06,0.03,null,null,0.03,null,null,0.06,null,null,23
2.68,0.02,2.75,0.02,2.53,0.03,0.02,null,null,0.02,null,null,0.03,null,null,24
2.54,0.01,2.71,0.02,2.26,0.02,0.01,null,null,0.02,null,null,0.02,null,null,25
2.50,0.02,2.58,0.01,2.29,0.02,0.02,null,null,0.01,null,null,0.02,null,null,26
2.51,0.02,2.62,0.01,2.22,0.03,0.02,null,null,0.01,null,null,0.03,null,null,27
2.65,0.02,2.67,0.03,2.63,0.05,0.02,null,null,0.03,null,null,0.05,null,null,28
2.49,0.02,2.59,0.02,2.31,0.02,0.02,null,null,0.02,null,null,0.02,null,null,29
2.44,0.03,2.52,0.04,2.25,0.05,0.03,null,null,0.04,null,null,0.05,null,null,30
2.48,0.02,2.60,0.02,2.26,0.05,0.02,null,null,0.02,null,null,0.05,null,null,31
2.75,0.02,2.78,0.04,2.72,0.03,0.02,null,null,0.04,null,null,0.03,null,null,32
2.48,0.03,2.61,0.03,2.18,0.06,0.03,null,null,0.03,null,null,0.06,null,null,33
2.74,0.01,2.83,0.02,2.59,0.03,0.01,null,null,0.02,null,null,0.03,null,null,34
2.69,0.03,2.72,0.04,2.62,0.07,0.03,null,null,0.04,null,null,0.07,null,null,35
2.66,0.01,2.80,0.02,2.50,0.01,0.01,null,null,0.02,null,null,0.01,null,null,36
2.55,0.02,2.58,0.02,2.48,0.03,0.02,null,null,0.02,null,null,0.03,null,null,37
2.32,0.03,2.51,0.04,1.99,0.06,0.03,null,null,0.04,null,null,0.06,null,null,38
2.44,0.01,2.54,0.01,2.26,0.02,0.01,null,null,0.01,null,null,0.02,null,null,39
2.60,0.02,2.65,0.02,2.50,0.03,0.02,null,null,0.02,null,null,0.03,null,null,40
2.55,0.02,2.63,0.02,2.42,0.03,0.02,null,null,0.02,null,null,0.03,null,null,41
2.50,0.01,2.61,0.01,2.27,0.02,0.01,null,null,0.01,null,null,0.02,null,null,42
2.48,0.03,2.66,0.04,2.24,0.06,0.03,null,null,0.04,null,null,0.06,null,null,44
2.57,0.02,2.59,0.02,2.52,0.04,0.02,null,null,0.02,null,null,0.04,null,null,45
2.49,0.03,2.62,0.04,2.22,0.07,0.03,null,null,0.04,null,null,0.07,null,null,46
2.54,0.01,2.59,0.02,2.46,0.04,0.01,null,null,0.02,null,null,0.04,null,null,47
2.86,0.01,2.99,0.02,2.66,0.03,0.01,null,null,0.02,null,null,0.03,null,null,48
3.19,0.03,3.30,0.02,2.92,0.05,0.03,null,null,0.02,null,null,0.05,null,null,49
2.35,0.02,2.48,0.04,2.05,0.06,0.02,null,null,0.04,null,null,0.06,null,null,50
2.62,0.02,2.68,0.02,2.50,0.03,0.02,null,null,0.02,null,null,0.03,null,null,51
2.58,0.01,2.67,0.02,2.43,0.03,0.01,null,null,0.02,null,null,0.03,null,null,53
2.47,0.02,2.51,0.03,2.36,0.05,0.02,null,null,0.03,null,null,0.05,null,null,54
2.42,0.01,2.55,0.02,2.17,0.02,0.01,null,null,0.02,null,null,0.02,null,null,55
2.55,0.05,2.64,0.06,2.37,0.11,0.05,null,null,0.06,null,null,0.11,null,null,56
2.79,0.02,2.85,0.03,2.67,0.05,0.02,null,null,0.03,null,null,0.05,null,null,72
2.56,0.02,2.61,0.03,2.45,0.04,0.02,null,null,0.03,null,null,0.04,null,null,01
2.87,0.04,2.97,0.05,2.69,0.08,0.04,null,null,0.05,null,null,0.08,null,null,02
2.69,0.02,2.68,0.02,2.70,0.03,0.02,null,null,0.02,null,null,0.03,null,null,04
2.54,0.02,2.59,0.02,2.44,0.04,0.02,null,null,0.02,null,null,0.04,null,null,05
2.97,0.01,3.01,0.01,2.92,0.01,0.01,null,null,0.01,null,null,0.01,null,null,06
2.57,0.01,2.64,0.02,2.45,0.03,0.01,null,null,0.02,null,null,0.03,null,null,08
2.55,0.02,2.68,0.03,2.31,0.04,0.02,null,null,0.03,null,null,0.04,null,null,09
2.64,0.03,2.68,0.05,2.54,0.07,0.03,null,null,0.05,null,null,0.07,null,null,10
2.28,0.03,2.41,0.06,2.19,0.05,0.03,null,null,0.06,null,null,0.05,null,null,11
