B25100_001E,B25100_001M,B25100_002E,B25100_002M,B25100_003E,B25100_003M,B25100_004E,B25100_004M,B25100_005E,B25100_005M,B25100_006E,B25100_006M,B25100_007E,B25100_007M,B25100_008E,B25100_008M,B25100_009E,B25100_009M,B25100_010E,B25100_010M,B25100_011E,B25100_011M,B25100_012E,B25100_012M,B25100_013E,B25100_013M,B25100_001M,B25100_001EA,B25100_001MA,B25100_002M,B25100_002EA,B25100_002MA,B25100_003M,B25100_003EA,B25100_003MA,B25100_004M,B25100_004EA,B25100_004MA,B25100_005M,B25100_005EA,B25100_005MA,B25100_006M,B25100_006EA,B25100_006MA,B25100_007M,B25100_007EA,B25100_007MA,B25100_008M,B25100_008EA,B25100_008MA,B25100_009M,B25100_009EA,B25100_009MA,B25100_010M,B25100_010EA,B25100_010MA,B25100_011M,B25100_011EA,B25100_011MA,B25100_012M,B25100_012EA,B25100_012MA,B25100_013M,B25100_013EA,B25100_013MA,state
4857125,26450,2773911,24056,843026,15962,678722,13813,410505,10736,818487,12813,23171,3023,2083214,20877,623511,11697,321153,7971,250795,7430,843346,14797,44409,3324,26450,null,null,24056,null,null,15962,null,null,13813,null,null,10736,null,null,12813,null,null,3023,null,null,20877,null,null,11697,null,null,7971,null,null,7430,null,null,14797,null,null,3324,null,null,12
2268606,20528,1475331,16819,634690,12495,362805,8992,179471,6944,288379,8590,9986,1840,793275,12274,309901,8656,129343,4563,87686,3738,251780,7573,14565,2335,20528,null,null,16819,null,null,12495,null,null,8992,null,null,6944,null,null,8590,null,null,1840,null,null,12274,null,null,8656,null,null,4563,null,null,3738,null,null,7573,null,null,2335,null,null,13
260626,4898,171834,4886,11862,1450,20514,1799,26268,2278,112157,4022,1033,570,88792,3432,5681,936,6389,1115,6942,1308,68507,3182,1273,548,4898,null,null,4886,null,null,1450,null,null,1799,null,null,2278,null,null,4022,null,null,570,null,null,3432,null,null,936,null,null,1115,null,null,1308,null,null,3182,null,null,548,null,null,15
418217,6970,269728,6096,77874,4125,73307,4479,44966,3636,70429,3705,3152,1370,148489,4829,45107,3047,26868,2393,17706,2049,57351,3333,1457,554,6970,null,null,6096,null,null,4125,null,null,4479,null,null,3636,null,null,3705,null,null,1370,null,null,4829,null,null,3047,null,null,2393,null,null,2049,null,null,3333,null,null,554,null,null,16
3146858,18286,2013765,17881,897700,14294,485571,10567,237821,6604,382136,9735,10537,1601,1133093,13337,429658,8459,198633,5827,126252,5224,363151,7583,15399,1895,18286,null,null,17881,null,null,14294,null,null,10567,null,null,6604,null,null,9735,null,null,1601,null,null,13337,null,null,8459,null,null,5827,null,null,5224,null,null,7583,null,null,1895,null,null,17
1731421,12509,1134794,12254,589301,8558,276714,7443,114457,6070,149959,5860,4363,1281,596627,8299,262498,6111,111716,4319,65408,4250,149913,5716,7092,1266,12509,null,null,12254,null,null,8558,null,null,7443,null,null,6070,null,null,5860,null,null,1281,null,null,8299,null,null,6111,null,null,4319,null,null,4250,null,null,5716,null,null,1266,null,null,18
881435,7975,534153,6991,286442,5990,130461,4932,50430,3368,65555,3612,1265,420,347282,6064,155767,4489,61769,3046,39765,2266,86662,3934,3319,814,7975,null,null,6991,null,null,5990,null,null,4932,null,null,3368,null,null,3612,null,null,420,null,null,6064,null,null,4489,null,null,3046,null,null,2266,null,null,3934,null,null,814,null,null,19
729392,8711,436010,8186,231687,5523,107080,4142,40637,2715,54067,3215,2539,651,293382,6586,140265,5065,55169,2904,28649,1932,65522,3636,3777,841,8711,null,null,8186,null,null,5523,null,null,4142,null,null,2715,null,null,3215,null,null,651,null,null,6586,null,null,5065,null,null,2904,null,null,1932,null,null,3636,null,null,841,null,null,20
1148175,11051,674045,9323,326345,7271,162789,5656,75084,4430,106024,4807,3803,923,474130,8104,198652,6406,78289,3678,50979,3096,136692,4820,9518,1586,11051,null,null,9323,null,null,7271,null,null,5656,null,null,4430,null,null,4807,null,null,923,null,null,8104,null,null,6406,null,null,3678,null,null,3096,null,null,4820,null,null,1586,null,null,21
1105710,12317,579291,10107,247837,7626,139398,5546,67366,4545,121323,6521,3367,1063,526419,9930,204805,6532,80592,3906,57526,3350,173029,5956,10467,1627,12317,null,null,10107,null,null,7626,null,null,5546,null,null,4545,null,null,6521,null,null,1063,null,null,9930,null,null,6532,null,null,3906,null,null,3350,null,null,5956,null,null,1627,null,null,22
382116,6101,236910,5376,83280,4151,63427,3561,31472,2289,58181,3132,550,267,145206,4109,45243,2903,23423,2125,16571,1422,58400,2980,1569,561,6101,null,null,5376,null,null,4151,null,null,3561,null,null,2289,null,null,3132,null,null,267,null,null,4109,null,null,2903,null,null,2125,null,null,1422,null,null,2980,null,null,561,null,null,23
1445953,10330,1063518,11390,278582,7752,297754,6554,177818,5580,305575,7597,3789,973,382435,7731,85307,4129,65499,3480,48920,3065,179051,4988,3658,909,10330,null,null,11390,null,null,7752,null,null,6554,null,null,5580,null,null,7597,null,null,973,null,null,7731,null,null,4129,null,null,3480,null,null,3065,null,null,4988,null,null,909,null,null,24
1598930,10736,1112272,11002,227137,7245,292887,7815,198218,7022,390334,8219,3696,896,486658,7915,67084,3208,69681,3273,62654,2967,281693,5981,5546,1137,10736,null,null,11002,null,null,7245,null,null,7815,null,null,7022,null,null,8219,null,null,896,null,null,7915,null,null,3208,null,null,3273,null,null,2967,null,null,5981,null,null,1137,null,null,25
2731283,14647,1656541,13588,839323,9563,379767,7581,165716,5522,264481,7605,7254,1230,1074742,11054,467371,8710,183383,5058,117352,3535,289962,7019,16674,1459,14647,null,null,13588,null,null,9563,null,null,7581,null,null,5522,null,null,7605,null,null,1230,null,null,11054,null,null,8710,null,null,5058,null,null,3535,null,null,7019,null,null,1459,null,null,26
