C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,C15010_001M,C15010_001EA,C15010_001MA,C15010_002M,C15010_002EA,C15010_002MA,C15010_003M,C15010_003EA,C15010_003MA,C15010_004M,C15010_004EA,C15010_004MA,C15010_005M,C15010_005EA,C15010_005MA,C15010_006M,C15010_006EA,C15010_006MA,state
4208456,34554,1321701,20514,432861,14355,1002581,18621,566225,11996,885088,15978,34554,null,null,20514,null,null,14355,null,null,18621,null,null,11996,null,null,15978,null,null,12
2066276,21565,655751,13142,190302,7431,507118,12187,268106,9448,444999,12627,21565,null,null,13142,null,null,7431,null,null,12187,null,null,9448,null,null,12627,null,null,13
316593,7306,115988,4793,32736,2459,62923,3475,38087,2820,66859,3481,7306,null,null,4793,null,null,2459,null,null,3475,null,null,2820,null,null,3481,null,null,15
300410,8458,102632,5042,33691,3227,47906,3528,47269,3252,68912,5538,8458,null,null,5042,null,null,3227,null,null,3528,null,null,3252,null,null,5538,null,null,16
2942285,18873,958953,14970,283557,6954,637491,13094,385847,8169,676437,12592,18873,null,null,14970,null,null,6954,null,null,13094,null,null,8169,null,null,12592,null,null,17
1124846,14973,328541,8414,134891,5610,231785,7177,192505,6594,237124,7131,14973,null,null,8414,null,null,5610,null,null,7177,null,null,6594,null,null,7131,null,null,18
593162,10655,174465,5518,59116,3499,126643,5732,108785,5118,124153,5474,10655,null,null,5518,null,null,3499,null,null,5732,null,null,5118,null,null,5474,null,null,19
621426,10463,183279,6388,62926,3200,129203,5053,113403,4690,132615,5573,10463,null,null,6388,null,null,3200,null,null,5053,null,null,4690,null,null,5573,null,null,20
702341,12345,199533,6693,81884,4653,146772,5814,114145,5071,160007,7453,12345,null,null,6693,null,null,4653,null,null,5814,null,null,5071,null,null,7453,null,null,21
727906,13783,204092,7328,90705,4626,148633,6032,122526,6208,161950,6268,13783,null,null,7328,null,null,4626,null,null,6032,null,null,6208,null,null,6268,null,null,22
291138,7923,94084,4730,31382,2523,41801,3307,45823,3130,78048,4301,7923,null,null,4730,null,null,2523,null,null,3307,null,null,3130,null,null,4301,null,null,23
1621129,15612,665862,13076,141516,5893,297642,8463,156015,5934,360094,9651,15612,null,null,13076,null,null,5893,null,null,8463,null,null,5934,null,null,9651,null,null,24
2020346,14327,817924,12168,168557,6497,364579,10502,178680,6500,490606,9821,14327,null,null,12168,null,null,6497,null,null,10502,null,null,6500,null,null,9821,null,null,25
1909830,18538,629134,10656,205751,5612,408130,9414,267743,5794,399072,8337,18538,null,null,10656,null,null,5612,null,null,9414,null,null,5794,null,null,8337,null,null,26
1296984,12959,434280,8101,128965,4148,254811,6790,176151,6365,302777,6490,12959,null,null,8101,null,null,4148,null,null,6790,null,null,6365,null,null,6490,null,null,27
426263,10988,111916,6174,50784,3498,89841,4970,90874,5711,82848,4579,10988,null,null,6174,null,null,3498,null,null,4970,null,null,5711,null,null,4579,null,null,28
1172650,14636,352993,7901,115480,5167,253666,5754,196509,6756,254002,8055,14636,null,null,7901,null,null,5167,null,null,5754,null,null,6756,null,null,8055,null,null,29
220606,5957,78919,3928,26978,2877,34074,3071,36967,2922,43668,3152,5957,null,null,3928,null,null,2877,null,null,3071,null,null,2922,null,null,3152,null,null,30
390972,7489,108287,4339,45956,2794,83260,3115,75117,3370,78352,3829,7489,null,null,4339,null,null,2794,null,null,3115,null,null,3370,null,null,3829,null,null,31
471775,11941,148408,6897,49666,3776,109635,5967,59296,4030,104770,5180,11941,null,null,6897,null,null,3776,null,null,5967,null,null,4030,null,null,5180,null,null,32
346678,7542,126314,5381,30866,2852,65475,3575,40169,2742,83854,4753,7542,null,null,5381,null,null,2852,null,null,3575,null,null,2742,null,null,4753,null,null,33
2379802,19873,884338,15016,204546,7086,514652,10879,276014,8590,500252,10967,19873,null,null,15016,null,null,7086,null,null,10879,null,null,8590,null,null,10967,null,null,34
378233,9110,137710,5661,35635,3206,56395,3866,59484,3856,89009,4535,9110,null,null,5661,null,null,3206,null,null,3866,null,null,3856,null,null,4535,null,null,35
4867812,31361,1660002,18313,436594,10203,913317,16009,538654,10566,1319245,19100,31361,null,null,18313,null,null,10203,null,null,16009,null,null,10566,null,null,19100,null,null,36
2091105,20777,701722,12025,205115,7159,424588,10015,277228,7932,482452,11343,20777,null,null,12025,null,null,7159,null,null,10015,null,null,7932,null,null,11343,null,null,37
146323,4872,39022,2637,19826,1695,28504,2393,30564,2583,28407,3167,4872,null,null,2637,null,null,1695,null,null,2393,null,null,2583,null,null,3167,null,null,38
2179681,20361,657535,11531,247831,8137,470287,9487,350417,8214,453611,10981,20361,null,null,11531,null,null,8137,null,null,9487,null,null,8214,null,null,10981,null,null,39
648665,11090,184770,5490,69776,3362,144682,5216,118166,4489,131271,4405,11090,null,null,5490,null,null,3362,null,null,5216,null,null,4489,null,null,4405,null,null,40
934530,13156,369129,9263,81895,3978,134496,5448,97330,4933,251680,7505,13156,null,null,9263,null,null,3978,null,null,5448,null,null,4933,null,null,7505,null,null,41
2747737,20961,911183,14679,292374,7782,532343,9938,406919,8567,604918,11037,20961,null,null,14679,null,null,7782,null,null,9938,null,null,8567,null,null,11037,null,null,42
250265,7406,90307,4403,24036,2131,41634,3455,29791,2326,64497,4074,7406,null,null,4403,null,null,2131,null,null,3455,null,null,2326,null,null,4074,null,null,44
