B17010_001E,B17010_001M,B17010_002E,B17010_002M,B17010_003E,B17010_003M,B17010_004E,B17010_004M,B17010_005E,B17010_005M,B17010_006E,B17010_006M,B17010_007E,B17010_007M,B17010_008E,B17010_008M,B17010_009E,B17010_009M,B17010_010E,B17010_010M,B17010_011E,B17010_011M,B17010_012E,B17010_012M,B17010_013E,B17010_013M,B17010_014E,B17010_014M,B17010_015E,B17010_015M,B17010_016E,B17010_016M,B17010_017E,B17010_017M,B17010_018E,B17010_018M,B17010_019E,B17010_019M,B17010_020E,B17010_020M,B17010_021E,B17010_021M,B17010_022E,B17010_022M,B17010_023E,B17010_023M,B17010_024E,B17010_024M,B17010_025E,B17010_025M,B17010_026E,B17010_026M,B17010_027E,B17010_027M,B17010_028E,B17010_028M,B17010_029E,B17010_029M,B17010_030E,B17010_030M,B17010_031E,B17010_031M,B17010_032E,B17010_032M,B17010_033E,B17010_033M,B17010_034E,B17010_034M,B17010_035E,B17010_035M,B17010_036E,B17010_036M,B17010_037E,B17010_037M,B17010_038E,B17010_038M,B17010_039E,B17010_039M,B17010_040E,B17010_040M,B17010_041E,B17010_041M,B17010_001M,B17010_001EA,B17010_001MA,B17010_002M,B17010_002EA,B17010_002MA,B17010_003M,B17010_003EA,B17010_003MA,B17010_004M,B17010_004EA,B17010_004MA,B17010_005M,B17010_005EA,B17010_005MA,B17010_006M,B17010_006EA,B17010_006MA,B17010_007M,B17010_007EA,B17010_007MA,B17010_008M,B17010_008EA,B17010_008MA,B17010_009M,B17010_009EA,B17010_009MA,B17010_010M,B17010_010EA,B17010_010MA,B17010_011M,B17010_011EA,B17010_011MA,B17010_012M,B17010_012EA,B17010_012MA,B17010_013M,B17010_013EA,B17010_013MA,B17010_014M,B17010_014EA,B17010_014MA,B17010_015M,B17010_015EA,B17010_015MA,B17010_016M,B17010_016EA,B17010_016MA,B17010_017M,B17010_017EA,B17010_017MA,B17010_018M,B17010_018EA,B17010_018MA,B17010_019M,B17010_019EA,B17010_019MA,B17010_020M,B17010_020EA,B17010_020MA,B17010_021M,B17010_021EA,B17010_021MA,B17010_022M,B17010_022EA,B17010_022MA,B17010_023M,B17010_023EA,B17010_023MA,B17010_024M,B17010_024EA,B17010_024MA,B17010_025M,B17010_025EA,B17010_025MA,B17010_026M,B17010_026EA,B17010_026MA,B17010_027M,B17010_027EA,B17010_027MA,B17010_028M,B17010_028EA,B17010_028MA,B17010_029M,B17010_029EA,B17010_029MA,B17010_030M,B17010_030EA,B17010_030MA,B17010_031M,B17010_031EA,B17010_031MA,B17010_032M,B17010_032EA,B17010_032MA,B17010_033M,B17010_033EA,B17010_033MA,B17010_034M,B17010_034EA,B17010_034MA,B17010_035M,B17010_035EA,B17010_035MA,B17010_036M,B17010_036EA,B17010_036MA,B17010_037M,B17010_037EA,B17010_037MA,B17010_038M,B17010_038EA,B17010_038MA,B17010_039M,B17010_039EA,B17010_039MA,B17010_040M,B17010_040EA,B17010_040MA,B17010_041M,B17010_041EA,B17010_041MA,state
4864461,24241,509616,11766,212586,8397,106281,5705,15272,2209,33299,3629,57710,4217,106305,5243,297030,9329,50695,3961,35494,3330,8383,1615,7796,1571,19315,2540,15201,1844,246335,8534,201218,8052,33902,3258,56166,4148,111150,6026,45117,4045,4354845,24292,3301208,22640,1125821,15950,204766,8520,197664,7534,723391,14757,2175387,17357,1053637,16811,314178,9800,147860,7012,29993,3602,18914,3111,98953,5130,166318,6058,739459,13289,394270,10843,57809,4446,55404,4856,281057,9012,345189,10092,24241,null,null,11766,null,null,8397,null,null,5705,null,null,2209,null,null,3629,null,null,4217,null,null,5243,null,null,9329,null,null,3961,null,null,3330,null,null,1615,null,null,1571,null,null,2540,null,null,1844,null,null,8534,null,null,8052,null,null,3258,null,null,4148,null,null,6026,null,null,4045,null,null,24292,null,null,22640,null,null,15950,null,null,8520,null,null,7534,null,null,14757,null,null,17357,null,null,16811,null,null,9800,null,null,7012,null,null,3602,null,null,3111,null,null,5130,null,null,6058,null,null,13289,null,null,10843,null,null,4446,null,null,4856,null,null,9012,null,null,10092,null,null,12
2479003,18252,296261,9486,98369,5596,59481,4731,9527,1824,23389,3188,26565,2723,38888,3489,197892,8132,31403,3648,21341,2759,3870,1120,7033,1733,10438,2142,10062,1915,166489,7280,143141,7256,23423,2875,43011,3950,76707,5476,23348,2373,2182742,17899,1649727,17956,713513,10695,124573,6156,132309,6812,456631,10970,936214,13670,533015,12699,143559,6820,76409,4840,18160,2766,8908,2017,49341,4081,67150,4993,389456,10800,225088,8827,33560,3744,29046,3477,162482,7381,164368,7113,18252,null,null,9486,null,null,5596,null,null,4731,null,null,1824,null,null,3188,null,null,2723,null,null,3489,null,null,8132,null,null,3648,null,null,2759,null,null,1120,null,null,1733,null,null,2142,null,null,1915,null,null,7280,null,null,7256,null,null,2875,null,null,3950,null,null,5476,null,null,2373,null,null,17899,null,null,17956,null,null,10695,null,null,6156,null,null,6812,null,null,10970,null,null,13670,null,null,12699,null,null,6820,null,null,4840,null,null,2766,null,null,2017,null,null,4081,null,null,4993,null,null,10800,null,null,8827,null,null,3744,null,null,3477,null,null,7381,null,null,7113,null,null,13
315505,5105,18826,2161,9188,1635,4920,1262,907,514,1553,702,2460,765,4268,980,9638,1405,1456,499,820,343,180,194,61,77,579,295,636,403,8182,1367,6938,1211,1306,598,2259,714,3373,793,1244,572,296679,5251,227048,4442,95999,4223,19082,1867,20021,2036,56896,3073,131049,4614,69631,4306,24561,2657,12859,1895,2864,880,2453,935,7542,1509,11702,1820,45070,3331,22123,2287,2356,692,4032,1163,15735,1960,22947,2193,5105,null,null,2161,null,null,1635,null,null,1262,null,null,514,null,null,702,null,null,765,null,null,980,null,null,1405,null,null,499,null,null,343,null,null,194,null,null,77,null,null,295,null,null,403,null,null,1367,null,null,1211,null,null,598,null,null,714,null,null,793,null,null,572,null,null,5251,null,null,4442,null,null,4223,null,null,1867,null,null,2036,null,null,3073,null,null,4614,null,null,4306,null,null,2657,null,null,1895,null,null,880,null,null,935,null,null,1509,null,null,1820,null,null,3331,null,null,2287,null,null,692,null,null,1163,null,null,1960,null,null,2193,null,null,15
411617,7286,41274,3641,18995,2493,10652,1900,2641,797,3620,976,4391,1190,8343,1358,22279,2652,4329,1196,3786,1105,217,177,993,552,2576,978,543,339,17950,2358,16007,2140,3319,844,4393,1131,8295,1413,1943,731,370343,7745,309911,7489,123857,5555,19338,2278,32540,2850,71979,3680,186054,6459,60432,4200,23065,2770,13879,2350,3348,1063,2673,941,7858,1848,9186,1718,37367,2831,21501,2513,2414,817,2365,783,16722,2456,15866,1800,7286,null,null,3641,null,null,2493,null,null,1900,null,null,797,null,null,976,null,null,1190,null,null,1358,null,null,2652,null,null,1196,null,null,1105,null,null,177,null,null,552,null,null,978,null,null,339,null,null,2358,null,null,2140,null,null,844,null,null,1131,null,null,1413,null,null,731,null,null,7745,null,null,7489,null,null,5555,null,null,2278,null,null,2850,null,null,3680,null,null,6459,null,null,4200,null,null,2770,null,null,2350,null,null,1063,null,null,941,null,null,1848,null,null,1718,null,null,2831,null,null,2513,null,null,817,null,null,783,null,null,2456,null,null,1800,null,null,16
3100613,17145,293044,9264,100093,4879,57751,3846,8100,1543,16818,1902,32833,2881,42342,3205,192951,7560,30567,2824,23116,2798,5367,1486,6262,1380,11487,1980,7451,1274,162384,6885,135014,5993,22010,2501,37727,3427,75277,4307,27370,2582,2807569,16895,2166693,16751,910390,11562,161775,5358,168874,6587,579741,9924,1256303,12647,640876,13610,193591,7947,98627,5657,21505,3195,12355,1794,64767,4478,94964,4988,447285,9858,243595,7864,33871,3280,27985,2405,181739,7938,203690,7089,17145,null,null,9264,null,null,4879,null,null,3846,null,null,1543,null,null,1902,null,null,2881,null,null,3205,null,null,7560,null,null,2824,null,null,2798,null,null,1486,null,null,1380,null,null,1980,null,null,1274,null,null,6885,null,null,5993,null,null,2501,null,null,3427,null,null,4307,null,null,2582,null,null,16895,null,null,16751,null,null,11562,null,null,5358,null,null,6587,null,null,9924,null,null,12647,null,null,13610,null,null,7947,null,null,5657,null,null,3195,null,null,1794,null,null,4478,null,null,4988,null,null,9858,null,null,7864,null,null,3280,null,null,2405,null,null,7938,null,null,7089,null,null,17
1645758,11176,157720,5867,55277,3038,34325,2249,5218,1074,14224,1825,14883,1659,20952,1952,102443,5331,15008,2308,12528,2083,3041,1028,2098,740,7389,1591,2480,808,87435,5238,78347,4595,16724,2262,20393,2533,41230,3185,9088,1618,1488038,11737,1169978,10886,462483,8203,86273,4268,95921,4712,280289,6035,707495,8633,318060,8570,106359,4548,58786,3581,12467,1780,8966,1725,37353,3138,47573,3281,211701,7092,122623,5942,18471,2264,16981,2235,87171,5047,89078,4313,11176,null,null,5867,null,null,3038,null,null,2249,null,null,1074,null,null,1825,null,null,1659,null,null,1952,null,null,5331,null,null,2308,null,null,2083,null,null,1028,null,null,740,null,null,1591,null,null,808,null,null,5238,null,null,4595,null,null,2262,null,null,2533,null,null,3185,null,null,1618,null,null,11737,null,null,10886,null,null,8203,null,null,4268,null,null,4712,null,null,6035,null,null,8633,null,null,8570,null,null,4548,null,null,3581,null,null,1780,null,null,1725,null,null,3138,null,null,3281,null,null,7092,null,null,5942,null,null,2264,null,null,2235,null,null,5047,null,null,4313,null,null,18
795043,8419,60129,3265,20998,2375,11927,1854,1045,476,5370,1324,5512,1081,9071,1307,39131,2825,6280,1066,4746,1010,1093,448,944,455,2709,751,1534,473,32851,2569,30442,2553,8371,1384,7358,1234,14713,2016,2409,680,734914,8832,609995,7937,242445,5772,45849,3063,50927,3592,145669,4713,367550,6869,124919,4495,43987,2954,27946,2449,7527,1436,4220,921,16199,1747,16041,1930,80932,4023,52637,3640,8792,1469,6498,1137,37347,2785,28295,2243,8419,null,null,3265,null,null,2375,null,null,1854,null,null,476,null,null,1324,null,null,1081,null,null,1307,null,null,2825,null,null,1066,null,null,1010,null,null,448,null,null,455,null,null,751,null,null,473,null,null,2569,null,null,2553,null,null,1384,null,null,1234,null,null,2016,null,null,680,null,null,8832,null,null,7937,null,null,5772,null,null,3063,null,null,3592,null,null,4713,null,null,6869,null,null,4495,null,null,2954,null,null,2449,null,null,1436,null,null,921,null,null,1747,null,null,1930,null,null,4023,null,null,3640,null,null,1469,null,null,1137,null,null,2785,null,null,2243,null,null,19
716005,8245,56464,3559,20734,1946,11601,1525,1598,494,4187,1085,5816,1184,9133,1330,35730,2988,6011,1519,4347,1134,885,420,823,442,2639,915,1664,828,29719,2531,25113,2173,6003,1078,6788,1285,12322,1659,4606,1111,659541,7653,535236,7871,219283,5300,44556,2719,45171,3147,129556,4362,315953,6186,124305,4891,43449,2979,26770,2660,6022,1239,3338,1061,17410,2036,16679,2008,80856,4034,50491,3340,8978,1434,5613,1053,35900,3290,30365,2266,8245,null,null,3559,null,null,1946,null,null,1525,null,null,494,null,null,1085,null,null,1184,null,null,1330,null,null,2988,null,null,1519,null,null,1134,null,null,420,null,null,442,null,null,915,null,null,828,null,null,2531,null,null,2173,null,null,1078,null,null,1285,null,null,1659,null,null,1111,null,null,7653,null,null,7871,null,null,5300,null,null,2719,null,null,3147,null,null,4362,null,null,6186,null,null,4891,null,null,2979,null,null,2660,null,null,1239,null,null,1061,null,null,2036,null,null,2008,null,null,4034,null,null,3340,null,null,1434,null,null,1053,null,null,3290,null,null,2266,null,null,20
1121404,10897,156782,6330,56164,3756,29580,2474,4029,1107,10632,1801,14919,1898,26584,2683,100618,4974,16984,2193,12061,1767,1806,643,2855,849,7400,1558,4923,1069,83634,4275,70394,4295,13003,2009,17502,2325,39889,3022,13240,1844,964622,12227,755905,11789,295250,7314,55853,3633,52921,3603,186476,5905,460655,8437,208717,6421,66445,3535,36469,3224,6436,1408,3275,833,26758,2646,29976,3005,142272,5746,78097,4328,12956,2018,9289,1616,55852,3827,64175,3767,10897,null,null,6330,null,null,3756,null,null,2474,null,null,1107,null,null,1801,null,null,1898,null,null,2683,null,null,4974,null,null,2193,null,null,1767,null,null,643,null,null,849,null,null,1558,null,null,1069,null,null,4275,null,null,4295,null,null,2009,null,null,2325,null,null,3022,null,null,1844,null,null,12227,null,null,11789,null,null,7314,null,null,3633,null,null,3603,null,null,5905,null,null,8437,null,null,6421,null,null,3535,null,null,3224,null,null,1408,null,null,833,null,null,2646,null,null,3005,null,null,5746,null,null,4328,null,null,2018,null,null,1616,null,null,3827,null,null,3767,null,null,21
1097712,12285,168708,7561,46072,3731,23668,3099,3373,1129,5719,1739,14576,2301,22404,2134,122636,6570,17939,2736,11972,2551,4186,1300,1287,714,6499,1889,5967,1000,104697,5572,89685,5274,15453,2486,25757,3355,48475,3580,15012,2255,929004,11536,689386,10219,277027,6979,52554,3911,54398,3782,170075,6186,412359,8102,239618,9107,68658,4910,37689,3875,8968,1719,4677,1361,24044,2781,30969,2519,170960,6982,92225,5530,14869,2583,12367,2333,64989,4520,78735,5047,12285,null,null,7561,null,null,3731,null,null,3099,null,null,1129,null,null,1739,null,null,2301,null,null,2134,null,null,6570,null,null,2736,null,null,2551,null,null,1300,null,null,714,null,null,1889,null,null,1000,null,null,5572,null,null,5274,null,null,2486,null,null,3355,null,null,3580,null,null,2255,null,null,11536,null,null,10219,null,null,6979,null,null,3911,null,null,3782,null,null,6186,null,null,8102,null,null,9107,null,null,4910,null,null,3875,null,null,1719,null,null,1361,null,null,2781,null,null,2519,null,null,6982,null,null,5530,null,null,2583,null,null,2333,null,null,4520,null,null,5047,null,null,22
