B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,B08105F_001M,B08105F_001EA,B08105F_001MA,B08105F_002M,B08105F_002EA,B08105F_002MA,B08105F_003M,B08105F_003EA,B08105F_003MA,B08105F_004M,B08105F_004EA,B08105F_004MA,B08105F_005M,B08105F_005EA,B08105F_005MA,B08105F_006M,B08105F_006EA,B08105F_006MA,B08105F_007M,B08105F_007EA,B08105F_007MA,state
283091,13479,211280,10594,41374,4698,8187,2091,6085,1689,8481,2258,7684,2101,13479,null,null,10594,null,null,4698,null,null,2091,null,null,1689,null,null,2258,null,null,2101,null,null,12
133620,9623,86480,7462,33853,4871,2915,1477,2467,1064,3963,1500,3942,1263,9623,null,null,7462,null,null,4871,null,null,1477,null,null,1064,null,null,1500,null,null,1263,null,null,13
6322,1385,3709,1007,1233,579,423,290,511,323,226,205,220,187,1385,null,null,1007,null,null,579,null,null,290,null,null,323,null,null,205,null,null,187,null,null,15
30446,3742,24195,3154,4396,1466,21,38,837,537,437,393,560,410,3742,null,null,3154,null,null,1466,null,null,38,null,null,537,null,null,393,null,null,410,null,null,16
386052,12428,266946,10269,54649,4881,36147,4112,10829,2129,10544,2444,6937,1664,12428,null,null,10269,null,null,4881,null,null,4112,null,null,2129,null,null,2444,null,null,1664,null,null,17
66806,5675,50715,4356,10321,2187,2168,914,1570,761,1370,654,662,421,5675,null,null,4356,null,null,2187,null,null,914,null,null,761,null,null,654,null,null,421,null,null,18
20356,2672,14255,2367,3933,963,527,418,799,377,398,250,444,300,2672,null,null,2367,null,null,963,null,null,418,null,null,377,null,null,250,null,null,300,null,null,19
36954,3869,28134,3424,5850,1505,149,237,714,396,1349,620,758,639,3869,null,null,3424,null,null,1505,null,null,237,null,null,396,null,null,620,null,null,639,null,null,20
15928,2638,11100,2133,3260,1492,119,168,672,420,478,433,299,299,2638,null,null,2133,null,null,1492,null,null,168,null,null,420,null,null,433,null,null,299,null,null,21
31256,3361,19129,2727,8921,2612,204,234,1157,609,1276,603,569,426,3361,null,null,2727,null,null,2612,null,null,234,null,null,609,null,null,603,null,null,426,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
123168,8177,71333,7266,27597,4154,17935,2457,2430,1152,2212,1231,1661,599,8177,null,null,7266,null,null,4154,null,null,2457,null,null,1152,null,null,1231,null,null,599,null,null,24
134045,8321,81038,7011,18135,3014,16085,2059,7399,1613,7050,1778,4338,1151,8321,null,null,7011,null,null,3014,null,null,2059,null,null,1613,null,null,1778,null,null,1151,null,null,25
52733,4440,37410,3101,11476,2822,888,517,1211,610,815,529,933,448,4440,null,null,3101,null,null,2822,null,null,517,null,null,610,null,null,529,null,null,448,null,null,26
55176,4017,35014,3058,12965,2458,2648,1023,2020,707,1292,744,1237,531,4017,null,null,3058,null,null,2458,null,null,1023,null,null,707,null,null,744,null,null,531,null,null,27
11865,2677,8306,2369,2397,1018,10,20,386,394,678,527,88,99,2677,null,null,2369,null,null,1018,null,null,20,null,null,394,null,null,527,null,null,99,null,null,28
30329,3332,24010,2900,3991,1289,85,102,665,574,260,294,1318,578,3332,null,null,2900,null,null,1289,null,null,102,null,null,574,null,null,294,null,null,578,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
16427,2485,11130,1997,4031,1269,126,206,155,158,560,402,425,306,2485,null,null,1997,null,null,1269,null,null,206,null,null,158,null,null,402,null,null,306,null,null,31
134966,7804,103071,6187,17101,2510,7301,1582,2125,816,3434,1274,1934,1017,7804,null,null,6187,null,null,2510,null,null,1582,null,null,816,null,null,1274,null,null,1017,null,null,32
4394,1369,3200,1215,476,369,0,187,443,385,0,187,275,309,1369,null,null,1215,null,null,369,null,null,187,null,null,385,null,null,187,null,null,309,null,null,33
258640,11355,140583,8190,39228,5017,40425,5005,15268,2695,17126,2869,6010,1563,11355,null,null,8190,null,null,5017,null,null,5005,null,null,2695,null,null,2869,null,null,1563,null,null,34
87452,5978,72835,5219,7954,1766,1219,685,1377,575,924,524,3143,938,5978,null,null,5219,null,null,1766,null,null,685,null,null,575,null,null,524,null,null,938,null,null,35
777089,19698,229357,10641,58329,5889,375679,13528,64400,5405,23186,3031,26138,3921,19698,null,null,10641,null,null,5889,null,null,13528,null,null,5405,null,null,3031,null,null,3921,null,null,36
136392,8158,96370,6316,27838,4354,2299,1038,3905,994,2712,1180,3268,1380,8158,null,null,6316,null,null,4354,null,null,1038,null,null,994,null,null,1180,null,null,1380,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
47187,4557,34911,4079,7388,1421,1576,642,1659,792,984,510,669,312,4557,null,null,4079,null,null,1421,null,null,642,null,null,792,null,null,510,null,null,312,null,null,39
47061,3562,36102,3299,7570,1460,107,105,788,373,1641,561,853,443,3562,null,null,3299,null,null,1460,null,null,105,null,null,373,null,null,561,null,null,443,null,null,40
61540,5803,40248,4580,12324,2421,3134,1297,1913,637,2079,906,1842,761,5803,null,null,4580,null,null,2421,null,null,1297,null,null,637,null,null,906,null,null,761,null,null,41
98925,6392,61361,5403,18148,2830,8969,1947,6016,1550,2755,1058,1676,721,6392,null,null,5403,null,null,2830,null,null,1947,null,null,1550,null,null,1058,null,null,721,null,null,42
27885,3264,18449,3339,5674,1838,1808,765,1132,713,632,572,190,277,3264,null,null,3339,null,null,1838,null,null,765,null,null,713,null,null,572,null,null,277,null,null,44
35676,5225,26374,4649,6995,1829,173,162,869,691,966,781,299,261,5225,null,null,4649,null,null,1829,null,null,162,null,null,691,null,null,781,null,null,261,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
32105,3155,23704,2882,6170,1435,119,97,716,386,1019,475,377,347,3155,null,null,2882,null,null,1435,null,null,97,null,null,386,null,null,475,null,null,347,null,null,47
753577,22352,578685,19271,119828,9509,12716,2424,12108,2223,13048,2399,17192,2424,22352,null,null,19271,null,null,9509,null,null,2424,null,null,2223,null,null,2399,null,null,2424,null,null,48
83939,5563,58957,4523,16344,3071,3141,1530,2766,1101,829,495,1902,873,5563,null,null,4523,null,null,3071,null,null,1530,null,null,1101,null,null,495,null,null,873,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
123241,6550,80420,5611,19561,3682,9146,1829,3603,1271,6416,2685,4095,1499,6550,null,null,5611,null,null,3682,null,null,1829,null,null,1271,null,null,2685,null,null,1499,null,null,51
163608,6853,106980,5619,28212,3297,10241,2296,6279,1574,3444,1135,8452,2552,6853,null,null,5619,null,null,3297,null,null,2296,null,null,1574,null,null,1135,null,null,2552,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
