C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,C23002H_001M,C23002H_001EA,C23002H_001MA,C23002H_002M,C23002H_002EA,C23002H_002MA,C23002H_003M,C23002H_003EA,C23002H_003MA,C23002H_004M,C23002H_004EA,C23002H_004MA,C23002H_005M,C23002H_005EA,C23002H_005MA,C23002H_006M,C23002H_006EA,C23002H_006MA,C23002H_007M,C23002H_007EA,C23002H_007MA,C23002H_008M,C23002H_008EA,C23002H_008MA,C23002H_009M,C23002H_009EA,C23002H_009MA,C23002H_010M,C23002H_010EA,C23002H_010MA,C23002H_011M,C23002H_011EA,C23002H_011MA,C23002H_012M,C23002H_012EA,C23002H_012MA,C23002H_013M,C23002H_013EA,C23002H_013MA,C23002H_014M,C23002H_014EA,C23002H_014MA,C23002H_015M,C23002H_015EA,C23002H_015MA,C23002H_016M,C23002H_016EA,C23002H_016MA,C23002H_017M,C23002H_017EA,C23002H_017MA,C23002H_018M,C23002H_018EA,C23002H_018MA,C23002H_019M,C23002H_019EA,C23002H_019MA,C23002H_020M,C23002H_020EA,C23002H_020MA,C23002H_021M,C23002H_021EA,C23002H_021MA,C23002H_022M,C23002H_022EA,C23002H_022MA,C23002H_023M,C23002H_023EA,C23002H_023MA,C23002H_024M,C23002H_024EA,C23002H_024MA,C23002H_025M,C23002H_025EA,C23002H_025MA,C23002H_026M,C23002H_026EA,C23002H_026MA,C23002H_027M,C23002H_027EA,C23002H_027MA,state
9730743,6016,4733866,3402,3329964,3409,2537709,14974,36187,3867,2501522,15185,2368328,15387,133194,7071,792255,15164,1403902,774,244509,9156,235550,9332,8959,1494,1159393,8963,4996877,4834,3353729,4811,2283447,14509,5766,1356,2277681,14522,2163514,15156,114167,6480,1070282,14544,1643148,506,192765,6566,186173,6379,6592,1189,1450383,6590,6016,null,null,3402,null,null,3409,null,null,14974,null,null,3867,null,null,15185,null,null,15387,null,null,7071,null,null,15164,null,null,774,null,null,9156,null,null,9332,null,null,1494,null,null,8963,null,null,4834,null,null,4811,null,null,14509,null,null,1356,null,null,14522,null,null,15156,null,null,6480,null,null,14544,null,null,506,null,null,6566,null,null,6379,null,null,1189,null,null,6590,null,null,12
4512636,3935,2201368,3355,1770746,3325,1395132,9121,25976,2887,1369156,9673,1308139,9962,61017,4390,375614,9516,430622,584,95062,4075,93552,4006,1510,540,335560,4064,2311268,3053,1777520,2987,1194780,10237,3163,848,1191617,10319,1132669,10640,58948,4395,582740,10147,533748,627,70761,3730,68540,3665,2221,793,462987,3658,3935,null,null,3355,null,null,3325,null,null,9121,null,null,2887,null,null,9673,null,null,9962,null,null,4390,null,null,9516,null,null,584,null,null,4075,null,null,4006,null,null,540,null,null,4064,null,null,3053,null,null,2987,null,null,10237,null,null,848,null,null,10319,null,null,10640,null,null,4395,null,null,10147,null,null,627,null,null,3730,null,null,3665,null,null,793,null,null,3658,null,null,13
276231,714,150607,464,117431,422,97550,2009,19123,1784,78427,2414,74642,2569,3785,1028,19881,1915,33176,149,9962,1316,9703,1339,259,177,23214,1295,125624,537,93592,536,67507,1968,2263,747,65244,2039,61951,1939,3293,750,26085,1845,32032,89,7002,968,6799,968,203,200,25030,965,714,null,null,464,null,null,422,null,null,2009,null,null,1784,null,null,2414,null,null,2569,null,null,1028,null,null,1915,null,null,149,null,null,1316,null,null,1339,null,null,177,null,null,1295,null,null,537,null,null,536,null,null,1968,null,null,747,null,null,2039,null,null,1939,null,null,750,null,null,1845,null,null,89,null,null,968,null,null,968,null,null,200,null,null,965,null,null,15
1095053,1927,542328,1523,429886,1524,344046,5377,2129,631,341917,5338,327207,5923,14710,2313,85840,5417,112442,64,22790,1723,21567,1769,1223,622,89652,1744,552725,1601,426991,1613,289452,5022,250,223,289202,5032,277100,4881,12102,1911,137539,5099,125734,141,13834,1658,13362,1637,472,328,111900,1634,1927,null,null,1523,null,null,1524,null,null,5377,null,null,631,null,null,5338,null,null,5923,null,null,2313,null,null,5417,null,null,64,null,null,1723,null,null,1769,null,null,622,null,null,1744,null,null,1601,null,null,1613,null,null,5022,null,null,223,null,null,5032,null,null,4881,null,null,1911,null,null,5099,null,null,141,null,null,1658,null,null,1637,null,null,328,null,null,1634,null,null,16
6561658,4221,3194272,3223,2563501,3217,2096952,7047,9925,1379,2087027,7326,1984448,8200,102579,4722,466549,7800,630771,301,141374,3882,136853,4024,4521,891,489397,3859,3367386,2798,2557653,2808,1909129,12338,1834,601,1907295,12360,1824881,11873,82414,3977,648524,12519,809733,307,113435,3870,110011,3812,3424,873,696298,3908,4221,null,null,3223,null,null,3217,null,null,7047,null,null,1379,null,null,7326,null,null,8200,null,null,4722,null,null,7800,null,null,301,null,null,3882,null,null,4024,null,null,891,null,null,3859,null,null,2798,null,null,2808,null,null,12338,null,null,601,null,null,12360,null,null,11873,null,null,3977,null,null,12519,null,null,307,null,null,3870,null,null,3812,null,null,873,null,null,3908,null,null,17
4282558,4550,2087136,3272,1693784,3233,1347057,7715,2162,689,1344895,7663,1281889,7655,63006,3611,346727,7659,393352,676,83633,3664,82304,3654,1329,464,309719,3747,2195422,2564,1694916,2541,1223888,9658,64,126,1223824,9662,1172482,10392,51342,3786,471028,10153,500506,525,68347,3326,66759,3381,1588,604,432159,3325,4550,null,null,3272,null,null,3233,null,null,7715,null,null,689,null,null,7663,null,null,7655,null,null,3611,null,null,7659,null,null,676,null,null,3664,null,null,3654,null,null,464,null,null,3747,null,null,2564,null,null,2541,null,null,9658,null,null,126,null,null,9662,null,null,10392,null,null,3786,null,null,10153,null,null,525,null,null,3326,null,null,3381,null,null,604,null,null,3325,null,null,18
2201686,2048,1081664,1570,862140,1604,719553,5172,1184,433,718369,5286,690253,6153,28116,2784,142587,5032,219524,181,57403,2314,56240,2247,1163,450,162121,2323,1120022,1483,844714,1510,660358,5410,96,99,660262,5422,639211,6079,21051,2402,184356,5484,275308,347,42464,2497,41613,2473,851,354,232844,2521,2048,null,null,1570,null,null,1604,null,null,5172,null,null,433,null,null,5286,null,null,6153,null,null,2784,null,null,5032,null,null,181,null,null,2314,null,null,2247,null,null,450,null,null,2323,null,null,1483,null,null,1510,null,null,5410,null,null,99,null,null,5422,null,null,6079,null,null,2402,null,null,5484,null,null,347,null,null,2497,null,null,2473,null,null,354,null,null,2521,null,null,19
1794599,2354,879121,1818,703561,1794,575431,3582,9132,1217,566299,3781,542246,4275,24053,2649,128130,3947,175560,124,45506,2359,44694,2353,812,339,130054,2346,915478,1813,697415,1800,517274,4930,685,441,516589,4974,498198,5367,18391,2003,180141,5142,218063,107,35723,2222,35333,2222,390,228,182340,2221,2354,null,null,1818,null,null,1794,null,null,3582,null,null,1217,null,null,3781,null,null,4275,null,null,2649,null,null,3947,null,null,124,null,null,2359,null,null,2353,null,null,339,null,null,2346,null,null,1813,null,null,1800,null,null,4930,null,null,441,null,null,4974,null,null,5367,null,null,2003,null,null,5142,null,null,107,null,null,2222,null,null,2222,null,null,228,null,null,2221,null,null,20
3064453,3497,1487959,2529,1205729,2374,883036,8173,8803,1201,874233,8275,819701,8387,54532,3881,322693,7785,282230,495,52406,2816,50457,2786,1949,633,229824,2809,1576494,2530,1221230,2479,803432,9108,1074,649,802358,9149,761339,8953,41019,3459,417798,8996,355264,163,43649,3065,42585,3047,1064,524,311615,3065,3497,null,null,2529,null,null,2374,null,null,8173,null,null,1201,null,null,8275,null,null,8387,null,null,3881,null,null,7785,null,null,495,null,null,2816,null,null,2786,null,null,633,null,null,2809,null,null,2530,null,null,2479,null,null,9108,null,null,649,null,null,9149,null,null,8953,null,null,3459,null,null,8996,null,null,163,null,null,3065,null,null,3047,null,null,524,null,null,3065,null,null,21
2250246,2545,1098238,2100,884593,2118,680708,6958,8538,1271,672170,7209,630985,7645,41185,3454,203885,7596,213645,303,47874,2537,47103,2633,771,359,165771,2556,1152008,2096,886242,2088,581873,7719,1145,591,580728,7770,551444,7893,29284,3030,304369,8321,265766,165,38954,2501,38344,2511,610,299,226812,2511,2545,null,null,2100,null,null,2118,null,null,6958,null,null,1271,null,null,7209,null,null,7645,null,null,3454,null,null,7596,null,null,303,null,null,2537,null,null,2633,null,null,359,null,null,2556,null,null,2096,null,null,2088,null,null,7719,null,null,591,null,null,7770,null,null,7893,null,null,3030,null,null,8321,null,null,165,null,null,2501,null,null,2511,null,null,299,null,null,2511,null,null,22
