B10051G_001E,B10051G_001M,B10051G_002E,B10051G_002M,B10051G_003E,B10051G_003M,B10051G_004E,B10051G_004M,B10051G_005E,B10051G_005M,B10051G_006E,B10051G_006M,B10051G_007E,B10051G_007M,B10051G_001M,B10051G_001EA,B10051G_001MA,B10051G_002M,B10051G_002EA,B10051G_002MA,B10051G_003M,B10051G_003EA,B10051G_003MA,B10051G_004M,B10051G_004EA,B10051G_004MA,B10051G_005M,B10051G_005EA,B10051G_005MA,B10051G_006M,B10051G_006EA,B10051G_006MA,B10051G_007M,B10051G_007EA,B10051G_007MA,state
7801,2006,2693,853,1006,566,1687,707,5108,1636,1659,836,3449,1300,2006,null,null,853,null,null,566,null,null,707,null,null,1636,null,null,836,null,null,1300,null,null,12
3701,1301,618,337,375,209,243,254,3083,1253,1820,951,1263,719,1301,null,null,337,null,null,209,null,null,254,null,null,1253,null,null,951,null,null,719,null,null,13
10722,1699,3602,1032,1894,561,1708,764,7120,1331,3128,1164,3992,737,1699,null,null,1032,null,null,561,null,null,764,null,null,1331,null,null,1164,null,null,737,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3010,912,1139,490,265,174,874,464,1871,679,498,364,1373,638,912,null,null,490,null,null,174,null,null,464,null,null,679,null,null,364,null,null,638,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
2916,934,615,291,521,312,94,113,2301,918,1000,565,1301,705,934,null,null,291,null,null,312,null,null,113,null,null,918,null,null,565,null,null,705,null,null,24
1483,594,445,343,445,343,0,203,1038,478,117,116,921,460,594,null,null,343,null,null,343,null,null,203,null,null,478,null,null,116,null,null,460,null,null,25
3520,969,2132,706,1720,707,412,316,1388,636,650,418,738,373,969,null,null,706,null,null,707,null,null,316,null,null,636,null,null,418,null,null,373,null,null,26
1754,823,566,415,488,395,78,74,1188,708,408,285,780,643,823,null,null,415,null,null,395,null,null,74,null,null,708,null,null,285,null,null,643,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
2045,668,1131,596,409,302,722,531,914,475,501,332,413,331,668,null,null,596,null,null,302,null,null,531,null,null,475,null,null,332,null,null,331,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
1985,775,609,382,411,302,198,208,1376,640,711,497,665,438,775,null,null,382,null,null,302,null,null,208,null,null,640,null,null,497,null,null,438,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3535,915,1223,736,1001,699,222,257,2312,690,433,325,1879,583,915,null,null,736,null,null,699,null,null,257,null,null,690,null,null,325,null,null,583,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
10193,2239,2724,926,1179,494,1545,702,7469,1954,2548,1016,4921,1432,2239,null,null,926,null,null,494,null,null,702,null,null,1954,null,null,1016,null,null,1432,null,null,36
3787,1076,1747,799,1193,575,554,538,2040,685,707,439,1333,651,1076,null,null,799,null,null,575,null,null,538,null,null,685,null,null,439,null,null,651,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
5165,1402,2060,810,1369,649,691,402,3105,1082,1901,943,1204,615,1402,null,null,810,null,null,649,null,null,402,null,null,1082,null,null,943,null,null,615,null,null,39
4117,794,2466,595,1543,485,923,395,1651,447,773,343,878,294,794,null,null,595,null,null,485,null,null,395,null,null,447,null,null,343,null,null,294,null,null,40
