B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,B05003_001M,B05003_001EA,B05003_001MA,B05003_002M,B05003_002EA,B05003_002MA,B05003_003M,B05003_003EA,B05003_003MA,B05003_004M,B05003_004EA,B05003_004MA,B05003_005M,B05003_005EA,B05003_005MA,B05003_006M,B05003_006EA,B05003_006MA,B05003_007M,B05003_007EA,B05003_007MA,B05003_008M,B05003_008EA,B05003_008MA,B05003_009M,B05003_009EA,B05003_009MA,B05003_010M,B05003_010EA,B05003_010MA,B05003_011M,B05003_011EA,B05003_011MA,B05003_012M,B05003_012EA,B05003_012MA,B05003_013M,B05003_013EA,B05003_013MA,B05003_014M,B05003_014EA,B05003_014MA,B05003_015M,B05003_015EA,B05003_015MA,B05003_016M,B05003_016EA,B05003_016MA,B05003_017M,B05003_017EA,B05003_017MA,B05003_018M,B05003_018EA,B05003_018MA,B05003_019M,B05003_019EA,B05003_019MA,B05003_020M,B05003_020EA,B05003_020MA,B05003_021M,B05003_021EA,B05003_021MA,B05003_022M,B05003_022EA,B05003_022MA,B05003_023M,B05003_023EA,B05003_023MA,state
20612439,-555555555,10070860,6755,2118912,5842,2010085,9397,108827,7718,28518,3296,80309,6464,7951948,4890,6073660,22334,1878288,21743,995689,17309,882599,19239,10541579,6755,2026228,6267,1909442,9039,116786,6576,30146,3459,86640,5992,8515351,3918,6382741,20696,2132610,21149,1280472,19095,852138,16740,-555555555,null,*****,6755,null,null,5842,null,null,9397,null,null,7718,null,null,3296,null,null,6464,null,null,4890,null,null,22334,null,null,21743,null,null,17309,null,null,19239,null,null,6755,null,null,6267,null,null,9039,null,null,6576,null,null,3459,null,null,5992,null,null,3918,null,null,20696,null,null,21149,null,null,19095,null,null,16740,null,null,12
10310371,-555555555,5018150,8005,1282178,6434,1247693,8231,34485,4325,6315,1468,28170,3899,3735972,4640,3250181,10569,485791,10369,194446,9740,291345,8152,5292221,8005,1228432,6209,1194599,7522,33833,3928,9263,2012,24570,3156,4063789,4564,3579586,12878,484203,12403,217068,10099,267135,9572,-555555555,null,*****,8005,null,null,6434,null,null,8231,null,null,4325,null,null,1468,null,null,3899,null,null,4640,null,null,10569,null,null,10369,null,null,9740,null,null,8152,null,null,8005,null,null,6209,null,null,7522,null,null,3928,null,null,2012,null,null,3156,null,null,4564,null,null,12878,null,null,12403,null,null,10099,null,null,9572,null,null,13
1428557,-555555555,718057,1805,158524,1681,150713,2246,7811,1716,2180,883,5631,1544,559533,874,458653,5939,100880,6181,60241,4004,40639,4868,710500,1805,149241,1596,141880,2410,7361,1863,2065,1182,5296,1387,561259,803,414826,6680,146433,6506,84911,4773,61522,4605,-555555555,null,*****,1805,null,null,1681,null,null,2246,null,null,1716,null,null,883,null,null,1544,null,null,874,null,null,5939,null,null,6181,null,null,4004,null,null,4868,null,null,1805,null,null,1596,null,null,2410,null,null,1863,null,null,1182,null,null,1387,null,null,803,null,null,6680,null,null,6506,null,null,4773,null,null,4605,null,null,15
1683140,-555555555,841203,2599,224361,2246,221404,2437,2957,925,751,455,2206,802,616842,1998,572430,3223,44412,2890,16822,2156,27590,2511,841937,2599,212096,2275,207705,2499,4391,1348,1964,842,2427,892,629841,1903,583648,3624,46193,3485,18362,2540,27831,2805,-555555555,null,*****,2599,null,null,2246,null,null,2437,null,null,925,null,null,455,null,null,802,null,null,1998,null,null,3223,null,null,2890,null,null,2156,null,null,2511,null,null,2599,null,null,2275,null,null,2499,null,null,1348,null,null,842,null,null,892,null,null,1903,null,null,3624,null,null,3485,null,null,2540,null,null,2805,null,null,16
12801539,-555555555,6289724,4413,1492728,3583,1450176,5627,42552,4321,11710,1888,30842,3853,4796996,3185,3946753,12237,850243,11992,408499,9158,441744,10997,6511815,4413,1429991,3469,1386489,5240,43502,3917,14853,2277,28649,3359,5081824,3291,4234647,12033,847177,12015,448559,10183,398618,8679,-555555555,null,*****,4413,null,null,3583,null,null,5627,null,null,4321,null,null,1888,null,null,3853,null,null,3185,null,null,12237,null,null,11992,null,null,9158,null,null,10997,null,null,4413,null,null,3469,null,null,5240,null,null,3917,null,null,2277,null,null,3359,null,null,3291,null,null,12033,null,null,12015,null,null,10183,null,null,8679,null,null,17
6633053,-555555555,3267337,5176,809323,4382,794132,4846,15191,2423,3222,917,11969,2121,2458014,3433,2295264,6977,162750,5773,61758,3833,100992,4936,3365716,5176,768210,4655,752584,4766,15626,2646,6069,1782,9557,2021,2597506,3113,2441904,5752,155602,5156,68379,3754,87223,4575,-555555555,null,*****,5176,null,null,4382,null,null,4846,null,null,2423,null,null,917,null,null,2121,null,null,3433,null,null,6977,null,null,5773,null,null,3833,null,null,4936,null,null,5176,null,null,4655,null,null,4766,null,null,2646,null,null,1782,null,null,2021,null,null,3113,null,null,5752,null,null,5156,null,null,3754,null,null,4575,null,null,18
3134693,-555555555,1556668,2984,373649,2451,365807,2614,7842,1599,2341,863,5501,1357,1183019,2608,1108440,3752,74579,3513,27642,2326,46937,3274,1578025,2984,353318,2430,345371,2928,7947,1822,2069,764,5878,1615,1224707,2254,1154886,3337,69821,2955,29964,2475,39857,2786,-555555555,null,*****,2984,null,null,2451,null,null,2614,null,null,1599,null,null,863,null,null,1357,null,null,2608,null,null,3752,null,null,3513,null,null,2326,null,null,3274,null,null,2984,null,null,2430,null,null,2928,null,null,1822,null,null,764,null,null,1615,null,null,2254,null,null,3337,null,null,2955,null,null,2475,null,null,2786,null,null,19
2907289,-555555555,1448853,4227,367670,3702,360324,3995,7346,1696,2027,729,5319,1363,1081183,2675,986864,3846,94319,3913,35022,2993,59297,3599,1458436,4227,347249,3878,339824,4186,7425,1708,2937,1082,4488,1272,1111187,2497,1014755,4816,96432,3858,41270,3103,55162,3043,-555555555,null,*****,4227,null,null,3702,null,null,3995,null,null,1696,null,null,729,null,null,1363,null,null,2675,null,null,3846,null,null,3913,null,null,2993,null,null,3599,null,null,4227,null,null,3878,null,null,4186,null,null,1708,null,null,1082,null,null,1272,null,null,2497,null,null,4816,null,null,3858,null,null,3103,null,null,3043,null,null,20
4436974,-555555555,2179814,4640,518132,3255,508234,3602,9898,1960,3274,1096,6624,1504,1661682,3800,1590379,4994,71303,3811,25777,2391,45526,3685,2257160,4640,494325,3433,485636,3806,8689,1947,2475,782,6214,1961,1762835,2954,1696761,3869,66074,3769,29387,2638,36687,3108,-555555555,null,*****,4640,null,null,3255,null,null,3602,null,null,1960,null,null,1096,null,null,1504,null,null,3800,null,null,4994,null,null,3811,null,null,2391,null,null,3685,null,null,4640,null,null,3433,null,null,3806,null,null,1947,null,null,782,null,null,1961,null,null,2954,null,null,3869,null,null,3769,null,null,2638,null,null,3108,null,null,21
4681666,-555555555,2291880,4966,572737,5531,564071,5754,8666,1793,1040,494,7626,1653,1719143,2905,1629013,5308,90130,4736,37181,3118,52949,4654,2389786,4966,544544,4991,538392,4862,6152,1427,1214,655,4938,1306,1845242,2603,1760269,4628,84973,4486,40253,3190,44720,3744,-555555555,null,*****,4966,null,null,5531,null,null,5754,null,null,1793,null,null,494,null,null,1653,null,null,2905,null,null,5308,null,null,4736,null,null,3118,null,null,4654,null,null,4966,null,null,4991,null,null,4862,null,null,1427,null,null,655,null,null,1306,null,null,2603,null,null,4628,null,null,4486,null,null,3190,null,null,3744,null,null,22
