C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,C17010D_001M,C17010D_001EA,C17010D_001MA,C17010D_002M,C17010D_002EA,C17010D_002MA,C17010D_003M,C17010D_003EA,C17010D_003MA,C17010D_004M,C17010D_004EA,C17010D_004MA,C17010D_005M,C17010D_005EA,C17010D_005MA,C17010D_006M,C17010D_006EA,C17010D_006MA,C17010D_007M,C17010D_007EA,C17010D_007MA,C17010D_008M,C17010D_008EA,C17010D_008MA,C17010D_009M,C17010D_009EA,C17010D_009MA,C17010D_010M,C17010D_010EA,C17010D_010MA,C17010D_011M,C17010D_011EA,C17010D_011MA,C17010D_012M,C17010D_012EA,C17010D_012MA,C17010D_013M,C17010D_013EA,C17010D_013MA,C17010D_014M,C17010D_014EA,C17010D_014MA,C17010D_015M,C17010D_015EA,C17010D_015MA,C17010D_016M,C17010D_016EA,C17010D_016MA,C17010D_017M,C17010D_017EA,C17010D_017MA,state
123366,4154,10421,2021,6673,1747,3757,1197,3748,1014,704,473,612,445,3044,933,2393,780,112945,4081,93952,3919,48231,3377,18993,2056,5806,1192,1719,605,13187,1765,5875,1402,4154,null,null,2021,null,null,1747,null,null,1197,null,null,1014,null,null,473,null,null,445,null,null,933,null,null,780,null,null,4081,null,null,3919,null,null,3377,null,null,2056,null,null,1192,null,null,605,null,null,1765,null,null,1402,null,null,12
95239,3066,8832,1725,6062,1266,4307,1146,2770,1112,681,678,47,87,2089,811,1612,734,86407,3339,75457,2957,44837,2255,10950,1833,3794,1016,2061,802,7156,1432,2485,797,3066,null,null,1725,null,null,1266,null,null,1146,null,null,1112,null,null,678,null,null,87,null,null,811,null,null,734,null,null,3339,null,null,2957,null,null,2255,null,null,1833,null,null,1016,null,null,802,null,null,1432,null,null,797,null,null,13
127434,3571,5389,1137,3272,917,1631,735,2117,699,225,150,40,71,1892,676,1309,631,122045,3618,91591,3649,34753,2499,30454,2590,9297,1551,3265,975,21157,2094,9240,1633,3571,null,null,1137,null,null,917,null,null,735,null,null,699,null,null,150,null,null,71,null,null,676,null,null,631,null,null,3618,null,null,3649,null,null,2499,null,null,2590,null,null,1551,null,null,975,null,null,2094,null,null,1633,null,null,15
4346,982,622,408,332,282,294,277,290,266,0,198,0,198,290,266,208,232,3724,962,2958,779,1557,566,766,585,502,497,316,459,264,287,221,276,982,null,null,408,null,null,282,null,null,277,null,null,266,null,null,198,null,null,198,null,null,266,null,null,232,null,null,962,null,null,779,null,null,566,null,null,585,null,null,497,null,null,459,null,null,287,null,null,276,null,null,16
164070,3845,13109,1636,10014,1594,4901,1210,3095,811,586,265,233,189,2509,747,1771,754,150961,3906,130926,3829,71742,3151,20035,2204,5481,1208,2166,755,14554,1700,7027,1358,3845,null,null,1636,null,null,1594,null,null,1210,null,null,811,null,null,265,null,null,189,null,null,747,null,null,754,null,null,3906,null,null,3829,null,null,3151,null,null,2204,null,null,1208,null,null,755,null,null,1700,null,null,1358,null,null,17
28298,1838,3698,918,2469,897,1869,837,1229,496,31,54,0,192,1198,504,855,396,24600,1767,20763,1912,12114,1672,3837,1028,2328,860,985,577,1509,565,971,473,1838,null,null,918,null,null,897,null,null,837,null,null,496,null,null,54,null,null,192,null,null,504,null,null,396,null,null,1767,null,null,1912,null,null,1672,null,null,1028,null,null,860,null,null,577,null,null,565,null,null,473,null,null,18
15947,1369,895,575,669,463,336,272,226,261,0,159,0,159,226,261,226,261,15052,1335,12265,1460,8311,1212,2787,882,1335,650,434,382,1452,574,1103,500,1369,null,null,575,null,null,463,null,null,272,null,null,261,null,null,159,null,null,159,null,null,261,null,null,261,null,null,1335,null,null,1460,null,null,1212,null,null,882,null,null,650,null,null,382,null,null,574,null,null,500,null,null,19
17641,1521,1444,601,996,482,778,461,448,308,0,174,0,174,448,308,400,307,16197,1556,13422,1476,7265,1333,2775,876,861,526,388,357,1914,633,1219,520,1521,null,null,601,null,null,482,null,null,461,null,null,308,null,null,174,null,null,174,null,null,308,null,null,307,null,null,1556,null,null,1476,null,null,1333,null,null,876,null,null,526,null,null,357,null,null,633,null,null,520,null,null,20
13215,1297,1212,646,933,571,879,559,279,273,0,190,0,190,279,273,185,215,12003,1171,10383,1053,6311,850,1620,673,367,359,62,91,1253,524,851,540,1297,null,null,646,null,null,571,null,null,559,null,null,273,null,null,190,null,null,190,null,null,273,null,null,215,null,null,1171,null,null,1053,null,null,850,null,null,673,null,null,359,null,null,91,null,null,524,null,null,540,null,null,21
16795,1577,2040,682,1216,533,540,339,824,463,179,216,139,206,645,396,537,386,14755,1572,12621,1658,6606,1290,2134,640,643,389,112,104,1491,497,661,364,1577,null,null,682,null,null,533,null,null,339,null,null,463,null,null,216,null,null,206,null,null,396,null,null,386,null,null,1572,null,null,1658,null,null,1290,null,null,640,null,null,389,null,null,104,null,null,497,null,null,364,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
93693,3023,4374,970,3128,836,1375,595,1246,517,417,308,279,278,829,440,479,380,89319,2952,76807,2956,39194,2289,12512,2006,4209,1149,1196,543,8303,1605,4057,1248,3023,null,null,970,null,null,836,null,null,595,null,null,517,null,null,308,null,null,278,null,null,440,null,null,380,null,null,2952,null,null,2956,null,null,2289,null,null,2006,null,null,1149,null,null,543,null,null,1605,null,null,1248,null,null,24
97424,3108,9071,1549,5804,1334,2750,942,3267,934,465,345,94,147,2802,884,1676,582,88353,3358,74254,3240,43145,2244,14099,1792,5590,1363,2794,939,8509,1491,4204,1062,3108,null,null,1549,null,null,1334,null,null,942,null,null,934,null,null,345,null,null,147,null,null,884,null,null,582,null,null,3358,null,null,3240,null,null,2244,null,null,1792,null,null,1363,null,null,939,null,null,1491,null,null,1062,null,null,25
66772,1795,6801,1020,5114,964,3355,744,1687,557,561,368,235,228,1126,458,731,366,59971,1872,53810,2093,30935,1978,6161,1357,2293,816,736,424,3868,953,1683,696,1795,null,null,1020,null,null,964,null,null,744,null,null,557,null,null,368,null,null,228,null,null,458,null,null,366,null,null,1872,null,null,2093,null,null,1978,null,null,1357,null,null,816,null,null,424,null,null,953,null,null,696,null,null,26
52111,2093,5376,1078,2892,749,2533,759,2484,875,571,345,331,236,1913,807,1688,779,46735,2263,34379,2067,22243,1791,12356,1667,5040,1206,3348,1006,7316,1286,5794,1271,2093,null,null,1078,null,null,749,null,null,759,null,null,875,null,null,345,null,null,236,null,null,807,null,null,779,null,null,2263,null,null,2067,null,null,1791,null,null,1667,null,null,1206,null,null,1006,null,null,1286,null,null,1271,null,null,27
5935,959,485,350,328,269,223,267,157,202,22,9,22,9,135,201,135,201,5450,916,4531,926,2079,725,919,455,212,298,182,290,707,378,452,378,959,null,null,350,null,null,269,null,null,267,null,null,202,null,null,9,null,null,9,null,null,201,null,null,201,null,null,916,null,null,926,null,null,725,null,null,455,null,null,298,null,null,290,null,null,378,null,null,378,null,null,28
24839,1559,2950,909,1259,494,992,482,1691,772,588,435,415,409,1103,685,1014,675,21889,1532,19742,1578,11594,1341,2147,767,539,315,361,291,1608,700,903,432,1559,null,null,909,null,null,494,null,null,482,null,null,772,null,null,435,null,null,409,null,null,685,null,null,675,null,null,1532,null,null,1578,null,null,1341,null,null,767,null,null,315,null,null,291,null,null,700,null,null,432,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
7386,1007,896,517,720,461,641,439,176,197,116,157,43,74,60,104,60,104,6490,940,5559,887,3424,734,931,379,445,241,83,134,486,296,337,209,1007,null,null,517,null,null,461,null,null,439,null,null,197,null,null,157,null,null,74,null,null,104,null,null,104,null,null,940,null,null,887,null,null,734,null,null,379,null,null,241,null,null,134,null,null,296,null,null,209,null,null,31
