C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,C15010I_001M,C15010I_001EA,C15010I_001MA,C15010I_002M,C15010I_002EA,C15010I_002MA,C15010I_003M,C15010I_003EA,C15010I_003MA,C15010I_004M,C15010I_004EA,C15010I_004MA,C15010I_005M,C15010I_005EA,C15010I_005MA,C15010I_006M,C15010I_006EA,C15010I_006MA,state
2382,673,909,367,263,236,273,234,479,335,458,335,673,null,null,367,null,null,236,null,null,234,null,null,335,null,null,335,null,null,54
28219,2532,9173,1622,3149,983,5593,1042,2784,766,7520,1406,2532,null,null,1622,null,null,983,null,null,1042,null,null,766,null,null,1406,null,null,55
3354,961,719,469,466,367,729,426,378,276,1062,516,961,null,null,469,null,null,367,null,null,426,null,null,276,null,null,516,null,null,56
588494,13915,152751,5678,59654,3773,183721,7349,111339,5160,81029,5241,13915,null,null,5678,null,null,3773,null,null,7349,null,null,5160,null,null,5241,null,null,72
12730,2150,4005,1037,1191,638,3166,1212,1842,759,2526,875,2150,null,null,1037,null,null,638,null,null,1212,null,null,759,null,null,875,null,null,01
3552,985,1268,522,189,241,620,364,539,328,936,508,985,null,null,522,null,null,241,null,null,364,null,null,328,null,null,508,null,null,02
146879,6565,46059,3631,14603,2220,34135,3620,21469,2333,30613,2883,6565,null,null,3631,null,null,2220,null,null,3620,null,null,2333,null,null,2883,null,null,04
9744,2128,3503,1281,895,596,2390,792,979,481,1977,799,2128,null,null,1281,null,null,596,null,null,792,null,null,481,null,null,799,null,null,05
1057443,16920,382654,9830,80405,4663,207279,7104,82281,4345,304824,10210,16920,null,null,9830,null,null,4663,null,null,7104,null,null,4345,null,null,10210,null,null,06
101530,5406,36746,3381,8767,1664,20608,2622,11198,1931,24211,1815,5406,null,null,3381,null,null,1664,null,null,2622,null,null,1931,null,null,1815,null,null,08
56661,4162,19308,2717,5061,1310,12041,1886,5489,1189,14762,1958,4162,null,null,2717,null,null,1310,null,null,1886,null,null,1189,null,null,1958,null,null,09
7372,1381,2424,851,638,461,1837,637,1194,502,1279,551,1381,null,null,851,null,null,461,null,null,637,null,null,502,null,null,551,null,null,10
19593,2209,9691,1771,1302,639,2974,944,609,330,5017,1213,2209,null,null,1771,null,null,639,null,null,944,null,null,330,null,null,1213,null,null,11
