B27020_001E,B27020_001M,B27020_002E,B27020_002M,B27020_003E,B27020_003M,B27020_004E,B27020_004M,B27020_005E,B27020_005M,B27020_006E,B27020_006M,B27020_007E,B27020_007M,B27020_008E,B27020_008M,B27020_009E,B27020_009M,B27020_010E,B27020_010M,B27020_011E,B27020_011M,B27020_012E,B27020_012M,B27020_013E,B27020_013M,B27020_014E,B27020_014M,B27020_015E,B27020_015M,B27020_016E,B27020_016M,B27020_017E,B27020_017M,B27020_001M,B27020_001EA,B27020_001MA,B27020_002M,B27020_002EA,B27020_002MA,B27020_003M,B27020_003EA,B27020_003MA,B27020_004M,B27020_004EA,B27020_004MA,B27020_005M,B27020_005EA,B27020_005MA,B27020_006M,B27020_006EA,B27020_006MA,B27020_007M,B27020_007EA,B27020_007MA,B27020_008M,B27020_008EA,B27020_008MA,B27020_009M,B27020_009EA,B27020_009MA,B27020_010M,B27020_010EA,B27020_010MA,B27020_011M,B27020_011EA,B27020_011MA,B27020_012M,B27020_012EA,B27020_012MA,B27020_013M,B27020_013EA,B27020_013MA,B27020_014M,B27020_014EA,B27020_014MA,B27020_015M,B27020_015EA,B27020_015MA,B27020_016M,B27020_016EA,B27020_016MA,B27020_017M,B27020_017EA,B27020_017MA,state
20294479,4316,16088859,35799,14513036,51664,10366928,58412,6397017,48194,1575823,32455,4205620,35585,2319462,28462,2049479,28097,1412088,28005,868517,15657,269983,11026,1886158,29756,1187717,21535,883681,20236,363003,14648,698441,24155,4316,null,null,35799,null,null,51664,null,null,58412,null,null,48194,null,null,32455,null,null,35585,null,null,28462,null,null,28097,null,null,28005,null,null,15657,null,null,11026,null,null,29756,null,null,21535,null,null,20236,null,null,14648,null,null,24155,null,null,12
10120788,3683,9093615,21807,8119354,32619,6109240,39054,3030278,31623,974261,25803,1027173,21727,423689,17506,370891,15715,316161,14342,93561,6686,52798,5729,603484,17004,320970,13521,284364,12237,46478,4696,282514,12058,3683,null,null,21807,null,null,32619,null,null,39054,null,null,31623,null,null,25803,null,null,21727,null,null,17506,null,null,15715,null,null,14342,null,null,6686,null,null,5729,null,null,17004,null,null,13521,null,null,12237,null,null,4696,null,null,12058,null,null,13
1378730,2525,1120444,13095,1090189,13665,879583,12375,379504,10743,30255,3388,258286,12842,145820,7137,141210,7051,112758,6047,56965,4016,4610,1158,112466,9944,98658,9177,72717,7381,33021,3944,13808,2790,2525,null,null,13095,null,null,13665,null,null,12375,null,null,10743,null,null,3388,null,null,12842,null,null,7137,null,null,7051,null,null,6047,null,null,4016,null,null,1158,null,null,9944,null,null,9177,null,null,7381,null,null,3944,null,null,2790,null,null,15
1662867,795,1565711,6104,1426849,10237,1110308,15776,524039,12845,138862,7709,97156,6046,37616,4015,32503,3730,25902,3495,10594,1616,5113,1308,59540,4881,35405,3914,29606,3692,7967,1786,24135,3375,795,null,null,6104,null,null,10237,null,null,15776,null,null,12845,null,null,7709,null,null,6046,null,null,4015,null,null,3730,null,null,3495,null,null,1616,null,null,1308,null,null,4881,null,null,3914,null,null,3692,null,null,1786,null,null,3375,null,null,16
12620388,1326,10847050,23281,10382333,26431,7815436,39502,3823138,33423,464717,13513,1773338,22978,877710,15927,817092,15456,610183,13895,303258,8747,60618,6261,895628,19188,604361,16347,458663,13662,166033,9138,291267,11833,1326,null,null,23281,null,null,26431,null,null,39502,null,null,33423,null,null,13513,null,null,22978,null,null,15927,null,null,15456,null,null,13895,null,null,8747,null,null,6261,null,null,19188,null,null,16347,null,null,13662,null,null,9138,null,null,11833,null,null,17
6534914,919,6188784,10847,5737970,17125,4414327,27534,2099575,22121,450814,15151,346130,10689,138044,6621,124494,6317,100256,5391,40866,3516,13550,2482,208086,8924,142087,7648,108919,6207,36765,4504,65999,5612,919,null,null,10847,null,null,17125,null,null,27534,null,null,22121,null,null,15151,null,null,10689,null,null,6621,null,null,6317,null,null,5391,null,null,3516,null,null,2482,null,null,8924,null,null,7648,null,null,6207,null,null,4504,null,null,5612,null,null,18
3091437,506,2932301,5898,2828313,8530,2223354,16923,1032610,15414,103988,6638,159136,5768,61577,4516,57741,4650,44919,4298,19038,2665,3836,1299,97559,5662,73771,5263,58684,4486,17342,3607,23788,2954,506,null,null,5898,null,null,8530,null,null,16923,null,null,15414,null,null,6638,null,null,5768,null,null,4516,null,null,4650,null,null,4298,null,null,2665,null,null,1299,null,null,5662,null,null,5263,null,null,4486,null,null,3607,null,null,2954,null,null,19
2850862,1447,2647822,7554,2458261,9431,2015096,15080,803583,13098,189561,9094,203040,7410,79702,5328,72222,4730,62265,4816,18240,1859,7480,1501,123338,6070,71405,4875,64783,4545,9527,1865,51933,4972,1447,null,null,7554,null,null,9431,null,null,15080,null,null,13098,null,null,9094,null,null,7410,null,null,5328,null,null,4730,null,null,4816,null,null,1859,null,null,1501,null,null,6070,null,null,4875,null,null,4545,null,null,1865,null,null,4972,null,null,20
4354380,1440,4200115,7904,4012833,11028,2754655,25523,1833713,23223,187282,8542,154265,7411,59943,4470,54743,4197,40338,3609,20811,2775,5200,1499,94322,6681,63454,5598,46855,3827,18973,3881,30868,3771,1440,null,null,7904,null,null,11028,null,null,25523,null,null,23223,null,null,8542,null,null,7411,null,null,4470,null,null,4197,null,null,3609,null,null,2775,null,null,1499,null,null,6681,null,null,5598,null,null,3827,null,null,3881,null,null,3771,null,null,21
4577182,1950,4391277,7410,3989330,16648,2717304,27146,1772942,23700,401947,15120,185905,7117,78636,4451,68684,4356,54612,4093,25011,2257,9952,2302,107269,7308,49336,4718,38897,4264,12601,2361,57933,6497,1950,null,null,7410,null,null,16648,null,null,27146,null,null,23700,null,null,15120,null,null,7117,null,null,4451,null,null,4356,null,null,4093,null,null,2257,null,null,2302,null,null,7308,null,null,4718,null,null,4264,null,null,2361,null,null,6497,null,null,22
