B13002B_001E,B13002B_001M,B13002B_002E,B13002B_002M,B13002B_003E,B13002B_003M,B13002B_004E,B13002B_004M,B13002B_005E,B13002B_005M,B13002B_006E,B13002B_006M,B13002B_007E,B13002B_007M,B13002B_001M,B13002B_001EA,B13002B_001MA,B13002B_002M,B13002B_002EA,B13002B_002MA,B13002B_003M,B13002B_003EA,B13002B_003MA,B13002B_004M,B13002B_004EA,B13002B_004MA,B13002B_005M,B13002B_005EA,B13002B_005MA,B13002B_006M,B13002B_006EA,B13002B_006MA,B13002B_007M,B13002B_007EA,B13002B_007MA,state
882604,8544,46894,4224,17482,2613,29412,3102,835710,9396,219998,8520,615712,10801,8544,null,null,4224,null,null,2613,null,null,3102,null,null,9396,null,null,8520,null,null,10801,null,null,12
905494,6898,51846,4909,19840,3037,32006,3757,853648,8316,230978,8410,622670,10836,6898,null,null,4909,null,null,3037,null,null,3757,null,null,8316,null,null,8410,null,null,10836,null,null,13
6394,1086,816,518,796,527,20,33,5578,1113,2775,817,2803,997,1086,null,null,518,null,null,527,null,null,33,null,null,1113,null,null,817,null,null,997,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
477868,4529,24449,2707,5633,1495,18816,2265,453419,4845,93513,5099,359906,6348,4529,null,null,2707,null,null,1495,null,null,2265,null,null,4845,null,null,5099,null,null,6348,null,null,17
161219,3359,9047,1768,2088,929,6959,1601,152172,3718,34002,3280,118170,4147,3359,null,null,1768,null,null,929,null,null,1601,null,null,3718,null,null,3280,null,null,4147,null,null,18
29010,2055,2620,797,453,308,2167,775,26390,2046,5662,1205,20728,2049,2055,null,null,797,null,null,308,null,null,775,null,null,2046,null,null,1205,null,null,2049,null,null,19
39430,2141,1595,711,450,358,1145,640,37835,2171,10817,1800,27018,2176,2141,null,null,711,null,null,358,null,null,640,null,null,2171,null,null,1800,null,null,2176,null,null,20
91841,3337,4933,1211,1716,718,3217,1122,86908,3450,18834,2333,68074,3081,3337,null,null,1211,null,null,718,null,null,1122,null,null,3450,null,null,2333,null,null,3081,null,null,21
389275,4447,23118,2654,4989,1515,18129,2469,366157,5769,86981,5154,279176,6914,4447,null,null,2654,null,null,1515,null,null,2469,null,null,5769,null,null,5154,null,null,6914,null,null,22
5316,845,58,64,58,64,0,172,5258,857,2095,593,3163,828,845,null,null,64,null,null,64,null,null,172,null,null,857,null,null,593,null,null,828,null,null,23
473561,4138,24494,2909,12699,2162,11795,2009,449067,4642,126317,5235,322750,6746,4138,null,null,2909,null,null,2162,null,null,2009,null,null,4642,null,null,5235,null,null,6746,null,null,24
137382,3235,8246,1630,4433,1164,3813,1074,129136,3616,36151,2771,92985,3450,3235,null,null,1630,null,null,1164,null,null,1074,null,null,3616,null,null,2771,null,null,3450,null,null,25
356162,4019,20921,2756,4877,1221,16044,2364,335241,4443,63937,3927,271304,5688,4019,null,null,2756,null,null,1221,null,null,2364,null,null,4443,null,null,3927,null,null,5688,null,null,26
86660,2846,7160,1332,4286,1162,2874,1051,79500,2916,24057,2319,55443,3094,2846,null,null,1332,null,null,1162,null,null,1051,null,null,2916,null,null,2319,null,null,3094,null,null,27
303387,4222,16826,2306,4550,1129,12276,2037,286561,4736,75925,4144,210636,5428,4222,null,null,2306,null,null,1129,null,null,2037,null,null,4736,null,null,4144,null,null,5428,null,null,28
182003,3043,9630,1903,2099,767,7531,1634,172373,3427,37670,3499,134703,4656,3043,null,null,1903,null,null,767,null,null,1634,null,null,3427,null,null,3499,null,null,4656,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
22504,1253,1395,653,468,423,927,485,21109,1358,5710,1295,15399,1436,1253,null,null,653,null,null,423,null,null,485,null,null,1358,null,null,1295,null,null,1436,null,null,31
67458,2139,3301,1249,1331,710,1970,964,64157,2324,16082,2097,48075,3082,2139,null,null,1249,null,null,710,null,null,964,null,null,2324,null,null,2097,null,null,3082,null,null,32
4359,714,391,304,391,304,0,187,3968,763,1613,698,2355,713,714,null,null,304,null,null,304,null,null,187,null,null,763,null,null,698,null,null,713,null,null,33
318954,4963,13270,2352,5563,1413,7707,1654,305684,5585,79156,4339,226528,5228,4963,null,null,2352,null,null,1413,null,null,1654,null,null,5585,null,null,4339,null,null,5228,null,null,34
9974,1292,350,223,260,191,90,124,9624,1267,2273,693,7351,1206,1292,null,null,223,null,null,191,null,null,124,null,null,1267,null,null,693,null,null,1206,null,null,35
826224,6753,38759,3284,17636,2208,21123,2673,787465,7430,185484,6687,601981,8897,6753,null,null,3284,null,null,2208,null,null,2673,null,null,7430,null,null,6687,null,null,8897,null,null,36
581687,5454,26738,3300,9688,2033,17050,2475,554949,6174,138415,6525,416534,8967,5454,null,null,3300,null,null,2033,null,null,2475,null,null,6174,null,null,6525,null,null,8967,null,null,37
4999,1007,1303,899,1096,884,207,190,3696,944,1097,613,2599,837,1007,null,null,899,null,null,884,null,null,190,null,null,944,null,null,613,null,null,837,null,null,38
365533,4767,23540,2998,5140,1361,18400,2593,341993,5286,76951,4368,265042,6336,4767,null,null,2998,null,null,1361,null,null,2593,null,null,5286,null,null,4368,null,null,6336,null,null,39
73171,2154,4548,942,1795,653,2753,740,68623,2212,17668,2018,50955,2392,2154,null,null,942,null,null,653,null,null,740,null,null,2212,null,null,2018,null,null,2392,null,null,40
20384,1752,541,396,124,164,417,375,19843,1794,7235,1601,12608,1566,1752,null,null,396,null,null,164,null,null,375,null,null,1794,null,null,1601,null,null,1566,null,null,41
361410,4744,21583,2488,6567,1595,15016,2257,339827,4752,70821,4203,269006,5749,4744,null,null,2488,null,null,1595,null,null,2257,null,null,4752,null,null,4203,null,null,5749,null,null,42
18869,1469,1353,736,571,421,782,610,17516,1527,5177,1166,12339,1589,1469,null,null,736,null,null,421,null,null,610,null,null,1527,null,null,1166,null,null,1589,null,null,44
347534,3679,17556,2218,5201,1270,12355,1982,329978,3771,83152,5222,246826,5026,3679,null,null,2218,null,null,1270,null,null,1982,null,null,3771,null,null,5222,null,null,5026,null,null,45
3767,843,309,213,84,108,225,184,3458,842,741,393,2717,809,843,null,null,213,null,null,108,null,null,184,null,null,842,null,null,393,null,null,809,null,null,46
