B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,B15002A_001M,B15002A_001EA,B15002A_001MA,B15002A_002M,B15002A_002EA,B15002A_002MA,B15002A_003M,B15002A_003EA,B15002A_003MA,B15002A_004M,B15002A_004EA,B15002A_004MA,B15002A_005M,B15002A_005EA,B15002A_005MA,B15002A_006M,B15002A_006EA,B15002A_006MA,B15002A_007M,B15002A_007EA,B15002A_007MA,B15002A_008M,B15002A_008EA,B15002A_008MA,B15002A_009M,B15002A_009EA,B15002A_009MA,B15002A_010M,B15002A_010EA,B15002A_010MA,B15002A_011M,B15002A_011EA,B15002A_011MA,B15002A_012M,B15002A_012EA,B15002A_012MA,B15002A_013M,B15002A_013EA,B15002A_013MA,B15002A_014M,B15002A_014EA,B15002A_014MA,B15002A_015M,B15002A_015EA,B15002A_015MA,B15002A_016M,B15002A_016EA,B15002A_016MA,B15002A_017M,B15002A_017EA,B15002A_017MA,B15002A_018M,B15002A_018EA,B15002A_018MA,B15002A_019M,B15002A_019EA,B15002A_019MA,state
11584929,18609,5590020,11245,259749,9784,397444,12704,1317915,16153,275531,9231,1129729,16952,488623,12971,1075816,16563,645213,13423,5994909,10865,261372,9250,356949,13062,1518045,21256,219392,8091,1225317,16372,647249,13400,1149932,17076,616653,12221,18609,null,null,11245,null,null,9784,null,null,12704,null,null,16153,null,null,9231,null,null,16952,null,null,12971,null,null,16563,null,null,13423,null,null,10865,null,null,9250,null,null,13062,null,null,21256,null,null,8091,null,null,16372,null,null,13400,null,null,17076,null,null,12221,null,null,12
4196094,10337,2038096,6753,100151,5305,169807,7688,443221,11525,124187,5764,401372,9852,134067,6283,418631,9133,246660,7440,2157998,5901,82733,5017,159275,6399,483720,11985,106528,5948,434876,9152,176543,7054,442597,9369,271726,6743,10337,null,null,6753,null,null,5305,null,null,7688,null,null,11525,null,null,5764,null,null,9852,null,null,6283,null,null,9133,null,null,7440,null,null,5901,null,null,5017,null,null,6399,null,null,11985,null,null,5948,null,null,9152,null,null,7054,null,null,9369,null,null,6743,null,null,13
268335,2724,143693,1640,1995,1242,3852,1062,22665,1987,4449,1319,38355,3076,12807,1523,33855,2645,25715,2241,124642,1562,1281,592,2355,921,21549,2159,2759,780,26445,2301,15884,1933,32724,2145,21645,1891,2724,null,null,1640,null,null,1242,null,null,1062,null,null,1987,null,null,1319,null,null,3076,null,null,1523,null,null,2645,null,null,2241,null,null,1562,null,null,592,null,null,921,null,null,2159,null,null,780,null,null,2301,null,null,1933,null,null,2145,null,null,1891,null,null,15
1000599,4418,490998,2438,13469,1937,29515,2871,112405,5458,28874,3179,118912,4880,45084,3721,93121,4785,49618,3096,509601,2860,11139,1330,29272,3149,114176,5296,24773,2702,137040,5397,53011,3709,101002,4615,39188,3249,4418,null,null,2438,null,null,1937,null,null,2871,null,null,5458,null,null,3179,null,null,4880,null,null,3721,null,null,4785,null,null,3096,null,null,2860,null,null,1330,null,null,3149,null,null,5296,null,null,2702,null,null,5397,null,null,3709,null,null,4615,null,null,3249,null,null,16
6421241,12235,3122050,6295,118449,5629,174926,6734,717264,12015,127742,4822,647555,10804,240342,6711,694347,10802,401425,8730,3299191,7688,112654,3921,150953,6179,763439,11565,97566,4901,694668,10605,292079,7612,729591,9729,458241,9991,12235,null,null,6295,null,null,5629,null,null,6734,null,null,12015,null,null,4822,null,null,10804,null,null,6711,null,null,10802,null,null,8730,null,null,7688,null,null,3921,null,null,6179,null,null,11565,null,null,4901,null,null,10605,null,null,7612,null,null,9729,null,null,9991,null,null,17
3788926,6101,1833125,3829,64296,3453,141963,5262,537706,8553,107486,5147,369725,7592,138431,5448,306078,8105,167440,5138,1955801,3772,59172,3320,135722,6685,567764,7982,88513,4759,396305,7675,182835,6823,336489,7415,189001,6075,6101,null,null,3829,null,null,3453,null,null,5262,null,null,8553,null,null,5147,null,null,7592,null,null,5448,null,null,8105,null,null,5138,null,null,3772,null,null,3320,null,null,6685,null,null,7982,null,null,4759,null,null,7675,null,null,6823,null,null,7415,null,null,6075,null,null,18
1933496,3059,941006,2147,28506,2793,47826,2835,276362,6626,41244,3079,197766,5571,93676,3433,171331,5376,84295,3520,992490,2019,21993,2025,41182,2792,264842,5649,30800,2231,213238,5471,128680,4879,201826,5068,89929,4398,3059,null,null,2147,null,null,2793,null,null,2835,null,null,6626,null,null,3079,null,null,5571,null,null,3433,null,null,5376,null,null,3520,null,null,2019,null,null,2025,null,null,2792,null,null,5649,null,null,2231,null,null,5471,null,null,4879,null,null,5068,null,null,4398,null,null,19
1650245,4450,802678,3098,27101,2522,44099,2870,185242,6324,35471,2642,183725,5092,59359,3644,171159,5107,96522,3442,847567,2477,23559,1908,42315,3126,180062,5209,31047,2485,200285,5591,80869,2994,182369,5564,107061,4117,4450,null,null,3098,null,null,2522,null,null,2870,null,null,6324,null,null,2642,null,null,5092,null,null,3644,null,null,5107,null,null,3442,null,null,2477,null,null,1908,null,null,3126,null,null,5209,null,null,2485,null,null,5591,null,null,2994,null,null,5564,null,null,4117,null,null,20
2674479,4206,1289108,2836,78228,4692,115870,5235,350995,7787,95483,4937,261832,6709,89504,4588,183398,5864,113798,4147,1385371,2206,71963,3529,109831,4977,341390,7872,85724,4386,295665,7062,139804,5078,198439,6223,142555,4764,4206,null,null,2836,null,null,4692,null,null,5235,null,null,7787,null,null,4937,null,null,6709,null,null,4588,null,null,5864,null,null,4147,null,null,2206,null,null,3529,null,null,4977,null,null,7872,null,null,4386,null,null,7062,null,null,5078,null,null,6223,null,null,4764,null,null,21
2037772,5208,988383,3750,52504,3597,83555,4769,265974,8845,61810,4591,208669,7043,52228,3486,171859,5533,91784,4413,1049389,2949,36601,3129,76431,5266,298036,8064,55364,4242,216947,7557,75546,4288,193573,7421,96891,5055,5208,null,null,3750,null,null,3597,null,null,4769,null,null,8845,null,null,4591,null,null,7043,null,null,3486,null,null,5533,null,null,4413,null,null,2949,null,null,3129,null,null,5266,null,null,8064,null,null,4242,null,null,7557,null,null,4288,null,null,7421,null,null,5055,null,null,22
