C27001G_001E,C27001G_001M,C27001G_002E,C27001G_002M,C27001G_003E,C27001G_003M,C27001G_004E,C27001G_004M,C27001G_005E,C27001G_005M,C27001G_006E,C27001G_006M,C27001G_007E,C27001G_007M,C27001G_008E,C27001G_008M,C27001G_009E,C27001G_009M,C27001G_010E,C27001G_010M,C27001G_001M,C27001G_001EA,C27001G_001MA,C27001G_002M,C27001G_002EA,C27001G_002MA,C27001G_003M,C27001G_003EA,C27001G_003MA,C27001G_004M,C27001G_004EA,C27001G_004MA,C27001G_005M,C27001G_005EA,C27001G_005MA,C27001G_006M,C27001G_006EA,C27001G_006MA,C27001G_007M,C27001G_007EA,C27001G_007MA,C27001G_008M,C27001G_008EA,C27001G_008MA,C27001G_009M,C27001G_009EA,C27001G_009MA,C27001G_010M,C27001G_010EA,C27001G_010MA,state
525117,21906,241440,14198,228417,13924,13023,2599,251769,11780,200412,10705,51357,4728,31908,3280,31105,3279,803,822,21906,null,null,14198,null,null,13924,null,null,2599,null,null,11780,null,null,10705,null,null,4728,null,null,3280,null,null,3279,null,null,822,null,null,12
253693,14048,130589,9283,123520,8790,7069,1877,111364,7244,93363,6535,18001,2656,11740,2169,11615,2186,125,160,14048,null,null,9283,null,null,8790,null,null,1877,null,null,7244,null,null,6535,null,null,2656,null,null,2169,null,null,2186,null,null,160,null,null,13
335708,13165,125139,6647,122757,6653,2382,1288,185990,8669,180032,8393,5958,1253,24579,2248,24515,2246,64,82,13165,null,null,6647,null,null,6653,null,null,1288,null,null,8669,null,null,8393,null,null,1253,null,null,2248,null,null,2246,null,null,82,null,null,15
41442,3100,18450,2514,17733,2489,717,471,19948,2177,17236,1912,2712,1188,3044,873,2910,873,134,165,3100,null,null,2514,null,null,2489,null,null,471,null,null,2177,null,null,1912,null,null,1188,null,null,873,null,null,873,null,null,165,null,null,16
318610,14066,157066,9385,154014,9192,3052,1253,146724,7827,133695,7399,13029,1945,14820,1765,14745,1779,75,92,14066,null,null,9385,null,null,9192,null,null,1253,null,null,7827,null,null,7399,null,null,1945,null,null,1765,null,null,1779,null,null,92,null,null,17
156314,8717,86348,5973,82533,5995,3815,1578,63641,5047,56619,4645,7022,1712,6325,1208,6295,1200,30,51,8717,null,null,5973,null,null,5995,null,null,1578,null,null,5047,null,null,4645,null,null,1712,null,null,1208,null,null,1200,null,null,51,null,null,18
56362,3903,31741,2824,31516,2825,225,167,22416,2474,20259,2412,2157,836,2205,749,2205,749,0,159,3903,null,null,2824,null,null,2825,null,null,167,null,null,2474,null,null,2412,null,null,836,null,null,749,null,null,749,null,null,159,null,null,19
100830,5502,53514,3881,50544,3981,2970,1226,43312,3710,36130,3188,7182,1933,4004,945,3875,880,129,177,5502,null,null,3881,null,null,3981,null,null,1226,null,null,3710,null,null,3188,null,null,1933,null,null,945,null,null,880,null,null,177,null,null,20
90787,6934,50696,4258,49500,4207,1196,570,36495,4064,33944,3754,2551,937,3596,825,3596,825,0,190,6934,null,null,4258,null,null,4207,null,null,570,null,null,4064,null,null,3754,null,null,937,null,null,825,null,null,825,null,null,190,null,null,21
90812,8606,45575,5405,43720,5317,1855,1046,40042,5071,33142,4558,6900,1689,5195,1239,5152,1231,43,73,8606,null,null,5405,null,null,5317,null,null,1046,null,null,5071,null,null,4558,null,null,1689,null,null,1239,null,null,1231,null,null,73,null,null,22
25574,2537,11299,1560,11065,1580,234,212,12868,1828,10742,1611,2126,790,1407,542,1407,542,0,172,2537,null,null,1560,null,null,1580,null,null,212,null,null,1828,null,null,1611,null,null,790,null,null,542,null,null,542,null,null,172,null,null,23
197837,10934,98923,6496,95847,6228,3076,1370,90315,6291,83249,5911,7066,2037,8599,1609,8599,1609,0,198,10934,null,null,6496,null,null,6228,null,null,1370,null,null,6291,null,null,5911,null,null,2037,null,null,1609,null,null,1609,null,null,198,null,null,24
210084,11290,89832,5972,89399,5924,433,371,111356,7376,102982,6727,8374,2178,8896,1572,8896,1572,0,203,11290,null,null,5972,null,null,5924,null,null,371,null,null,7376,null,null,6727,null,null,2178,null,null,1572,null,null,1572,null,null,203,null,null,25
301676,11967,144398,7134,140780,7090,3618,1060,142736,6399,128228,6379,14508,2116,14542,1697,14413,1670,129,209,11967,null,null,7134,null,null,7090,null,null,1060,null,null,6399,null,null,6379,null,null,2116,null,null,1697,null,null,1670,null,null,209,null,null,26
155211,7910,81746,5504,79568,5405,2178,1243,69459,4473,63282,4285,6177,1158,4006,778,4006,778,0,149,7910,null,null,5504,null,null,5405,null,null,1243,null,null,4473,null,null,4285,null,null,1158,null,null,778,null,null,778,null,null,149,null,null,27
33486,4730,16901,3182,15503,2902,1398,989,14769,2445,11217,2149,3552,1267,1816,575,1816,575,0,213,4730,null,null,3182,null,null,2902,null,null,989,null,null,2445,null,null,2149,null,null,1267,null,null,575,null,null,575,null,null,213,null,null,28
148041,8658,74379,6158,70844,5845,3535,1589,65172,4777,56496,4737,8676,1649,8490,1161,8490,1161,0,187,8658,null,null,6158,null,null,5845,null,null,1589,null,null,4777,null,null,4737,null,null,1649,null,null,1161,null,null,1161,null,null,187,null,null,29
31766,2910,12373,2149,12004,2106,369,269,17403,1956,14498,1715,2905,1015,1990,668,1958,662,32,55,2910,null,null,2149,null,null,2106,null,null,269,null,null,1956,null,null,1715,null,null,1015,null,null,668,null,null,662,null,null,55,null,null,30
44345,4395,23396,2910,22130,2876,1266,598,19873,2779,16511,2519,3362,950,1076,472,1047,464,29,49,4395,null,null,2910,null,null,2876,null,null,598,null,null,2779,null,null,2519,null,null,950,null,null,472,null,null,464,null,null,49,null,null,31
137342,9572,62478,6415,60016,6270,2462,1040,67937,5106,60020,4572,7917,1863,6927,1159,6927,1159,0,210,9572,null,null,6415,null,null,6270,null,null,1040,null,null,5106,null,null,4572,null,null,1863,null,null,1159,null,null,1159,null,null,210,null,null,32
27552,2949,11248,1684,11145,1665,103,139,14354,2136,12809,2128,1545,789,1950,643,1950,643,0,187,2949,null,null,1684,null,null,1665,null,null,139,null,null,2136,null,null,2128,null,null,789,null,null,643,null,null,643,null,null,187,null,null,33
235308,12515,109576,6884,106144,6587,3432,1447,111523,7665,99516,6874,12007,2454,14209,1917,13815,1859,394,312,12515,null,null,6884,null,null,6587,null,null,1447,null,null,7665,null,null,6874,null,null,2454,null,null,1917,null,null,1859,null,null,312,null,null,34
65193,6307,25505,3525,24495,3529,1010,558,34282,3930,30748,3658,3534,957,5406,1205,5341,1217,65,76,6307,null,null,3525,null,null,3529,null,null,558,null,null,3930,null,null,3658,null,null,957,null,null,1205,null,null,1217,null,null,76,null,null,35
611297,22425,256701,11295,252366,11303,4335,1361,318740,14005,291395,12777,27345,3974,35856,3449,35243,3376,613,367,22425,null,null,11295,null,null,11303,null,null,1361,null,null,14005,null,null,12777,null,null,3974,null,null,3449,null,null,3376,null,null,367,null,null,36
261615,12882,137434,9229,134037,9273,3397,1384,114089,6613,94491,6637,19598,2614,10092,1578,9907,1523,185,287,12882,null,null,9229,null,null,9273,null,null,1384,null,null,6613,null,null,6637,null,null,2614,null,null,1578,null,null,1523,null,null,287,null,null,37
20989,2895,9773,2053,8861,1985,912,405,10946,1665,10256,1641,690,450,270,165,270,165,0,155,2895,null,null,2053,null,null,1985,null,null,405,null,null,1665,null,null,1641,null,null,450,null,null,165,null,null,165,null,null,155,null,null,38
318971,12661,165042,7873,161835,7676,3207,1051,141304,7247,127395,6952,13909,1983,12625,1642,12578,1633,47,91,12661,null,null,7873,null,null,7676,null,null,1051,null,null,7247,null,null,6952,null,null,1983,null,null,1642,null,null,1633,null,null,91,null,null,39
298266,7974,127421,5720,115341,5860,12080,1778,149873,5192,111161,4418,38712,2747,20972,1319,20758,1269,214,230,7974,null,null,5720,null,null,5860,null,null,1778,null,null,5192,null,null,4418,null,null,2747,null,null,1319,null,null,1269,null,null,230,null,null,40
203656,10632,86006,6643,83524,6696,2482,1102,107128,6272,97548,5984,9580,2063,10522,1234,10522,1234,0,201,10632,null,null,6643,null,null,6696,null,null,1102,null,null,6272,null,null,5984,null,null,2063,null,null,1234,null,null,1234,null,null,201,null,null,41
316662,14030,162168,8816,158062,8657,4106,1490,142598,6840,125754,6152,16844,3227,11896,1907,11851,1900,45,78,14030,null,null,8816,null,null,8657,null,null,1490,null,null,6840,null,null,6152,null,null,3227,null,null,1907,null,null,1900,null,null,78,null,null,42
32287,4364,14868,2439,14782,2396,86,145,16385,2581,15301,2401,1084,704,1034,488,1034,488,0,208,4364,null,null,2439,null,null,2396,null,null,145,null,null,2581,null,null,2401,null,null,704,null,null,488,null,null,488,null,null,208,null,null,44
104621,9074,57765,6710,55634,6607,2131,959,41786,4203,34276,3753,7510,1632,5070,1005,5015,1013,55,84,9074,null,null,6710,null,null,6607,null,null,959,null,null,4203,null,null,3753,null,null,1632,null,null,1005,null,null,1013,null,null,84,null,null,45
20795,2948,11348,2056,11005,2020,343,301,9035,1628,7213,1563,1822,588,412,223,412,223,0,157,2948,null,null,2056,null,null,2020,null,null,301,null,null,1628,null,null,1563,null,null,588,null,null,223,null,null,223,null,null,157,null,null,46
137914,9723,69961,6766,68175,6616,1786,824,60712,4687,52407,4295,8305,1677,7241,1339,7241,1339,0,204,9723,null,null,6766,null,null,6616,null,null,824,null,null,4687,null,null,4295,null,null,1677,null,null,1339,null,null,1339,null,null,204,null,null,47
701403,21732,328946,12798,305871,11827,23075,4460,336752,13280,270615,10813,66137,6163,35705,3236,35376,3261,329,234,21732,null,null,12798,null,null,11827,null,null,4460,null,null,13280,null,null,10813,null,null,6163,null,null,3236,null,null,3261,null,null,234,null,null,48
87295,6515,43891,4367,41796,4350,2095,1092,40961,3198,37004,3064,3957,1162,2443,806,2443,806,0,190,6515,null,null,4367,null,null,4350,null,null,1092,null,null,3198,null,null,3064,null,null,1162,null,null,806,null,null,806,null,null,190,null,null,49
12164,1631,5126,1137,4988,1127,138,138,6083,1135,5732,1082,351,241,955,383,955,383,0,151,1631,null,null,1137,null,null,1127,null,null,138,null,null,1135,null,null,1082,null,null,241,null,null,383,null,null,383,null,null,151,null,null,50
303771,12801,148804,8195,141778,8371,7026,2239,142733,7073,123773,6744,18960,3092,12234,1767,12187,1785,47,74,12801,null,null,8195,null,null,8371,null,null,2239,null,null,7073,null,null,6744,null,null,3092,null,null,1767,null,null,1785,null,null,74,null,null,51
407916,15436,185051,9551,180109,9600,4942,1439,206919,8702,189922,8584,16997,2335,15946,1757,15843,1731,103,169,15436,null,null,9551,null,null,9600,null,null,1439,null,null,8702,null,null,8584,null,null,2335,null,null,1757,null,null,1731,null,null,169,null,null,53
30371,3411,16918,2215,16720,2173,198,180,11465,1971,10911,1863,554,386,1988,712,1901,712,87,157,3411,null,null,2215,null,null,2173,null,null,180,null,null,1971,null,null,1863,null,null,386,null,null,712,null,null,712,null,null,157,null,null,54
137046,7782,76869,5465,75389,5533,1480,730,56099,3777,50447,3559,5652,1217,4078,987,4078,987,0,147,7782,null,null,5465,null,null,5533,null,null,730,null,null,3777,null,null,3559,null,null,1217,null,null,987,null,null,987,null,null,147,null,null,55
15020,2099,6996,1396,6580,1409,416,271,7308,1540,6446,1511,862,493,716,401,716,401,0,197,2099,null,null,1396,null,null,1409,null,null,271,null,null,1540,null,null,1511,null,null,493,null,null,401,null,null,401,null,null,197,null,null,56
144379,10135,34109,4320,33041,4149,1068,1064,88118,6870,79530,6646,8588,1782,22152,2948,22152,2948,0,222,10135,null,null,4320,null,null,4149,null,null,1064,null,null,6870,null,null,6646,null,null,1782,null,null,2948,null,null,2948,null,null,222,null,null,72
