B99163_001E,B99163_002E,B99163_003E,B99163_004E,B99163_005E,B99163_001EA,B99163_002EA,B99163_003EA,B99163_004EA,B99163_005EA,state
19494972,13884663,5610309,365745,5244564,null,null,null,null,null,12
9655493,8304044,1351449,81825,1269624,null,null,null,null,null,13
1337835,983020,354815,29322,325493,null,null,null,null,null,15
1568997,1398989,170008,12086,157922,null,null,null,null,null,16
12032049,9270805,2761244,169141,2592103,null,null,null,null,null,17
6212686,5669872,542814,45328,497486,null,null,null,null,null,18
2937206,2711052,226154,17945,208209,null,null,null,null,null,19
2709883,2393978,315905,22229,293676,null,null,null,null,null,20
4164025,3946958,217067,11132,205935,null,null,null,null,null,21
4374703,4021725,352978,20624,332354,null,null,null,null,null,22
1267538,1189137,78401,3707,74694,null,null,null,null,null,23
5653552,4584484,1069068,87273,981795,null,null,null,null,null,24
6452005,4924776,1527229,112135,1415094,null,null,null,null,null,25
9356637,8464804,891833,60263,831570,null,null,null,null,null,26
5168872,4571145,597727,44056,553671,null,null,null,null,null,27
2801896,2694220,107676,10391,97285,null,null,null,null,null,28
5721468,5363298,358170,24769,333401,null,null,null,null,null,29
981377,944993,36384,3277,33107,null,null,null,null,null,30
1774959,1571131,203828,18981,184847,null,null,null,null,null,31
2756697,1910576,846121,48854,797267,null,null,null,null,null,32
1270317,1172158,98159,6569,91590,null,null,null,null,null,33
8424299,5751880,2672419,189090,2483329,null,null,null,null,null,34
1955889,1281601,674288,37626,636662,null,null,null,null,null,35
18586270,12816515,5769755,492060,5277695,null,null,null,null,null,36
9552195,8449589,1102606,76351,1026255,null,null,null,null,null,37
703055,666166,36889,3686,33203,null,null,null,null,null,38
10921628,10160377,761251,50135,711116,null,null,null,null,null,39
3659465,3284055,375410,27597,347813,null,null,null,null,null,40
3858883,3272134,586749,41213,545536,null,null,null,null,null,41
12074484,10711759,1362725,106470,1256255,null,null,null,null,null,42
1002282,774234,228048,13216,214832,null,null,null,null,null,44
4671107,4352744,318363,23571,294792,null,null,null,null,null,45
804562,752497,52065,3391,48674,null,null,null,null,null,46
6247026,5809996,437030,25372,411658,null,null,null,null,null,47
25855685,16638877,9216808,501717,8715091,null,null,null,null,null,48
2797795,2370313,427482,22224,405258,null,null,null,null,null,49
594130,561274,32856,2307,30549,null,null,null,null,null,50
7908026,6624859,1283167,101429,1181738,null,null,null,null,null,51
6838056,5519246,1318810,92857,1225953,null,null,null,null,null,53
1729434,1686034,43400,4153,39247,null,null,null,null,null,54
5444618,4967315,477303,34260,443043,null,null,null,null,null,55
547628,505837,41791,1581,40210,null,null,null,null,null,56
3251554,185182,3066372,112737,2953635,null,null,null,null,null,72
4576657,4342451,234206,19655,214551,null,null,null,null,null,01
689399,575378,114021,8107,105914,null,null,null,null,null,02
6494749,4736134,1758615,147350,1611265,null,null,null,null,null,04
2799532,2595724,203808,12286,191522,null,null,null,null,null,05
36767595,20379282,16388313,1253242,15135071,null,null,null,null,null,06
5205474,4316272,889202,81251,807951,null,null,null,null,null,08
3391423,2622432,768991,54842,714149,null,null,null,null,null,09
896824,780876,115948,7030,108918,null,null,null,null,null,10
637624,528344,109280,12332,96948,null,null,null,null,null,11
