B27013_001E,B27013_001M,B27013_002E,B27013_002M,B27013_003E,B27013_003M,B27013_004E,B27013_004M,B27013_005E,B27013_005M,B27013_006E,B27013_006M,B27013_007E,B27013_007M,B27013_008E,B27013_008M,B27013_009E,B27013_009M,B27013_010E,B27013_010M,B27013_011E,B27013_011M,B27013_012E,B27013_012M,B27013_013E,B27013_013M,B27013_014E,B27013_014M,B27013_015E,B27013_015M,B27013_016E,B27013_016M,B27013_017E,B27013_017M,B27013_018E,B27013_018M,B27013_019E,B27013_019M,B27013_020E,B27013_020M,B27013_021E,B27013_021M,B27013_022E,B27013_022M,B27013_023E,B27013_023M,B27013_024E,B27013_024M,B27013_025E,B27013_025M,B27013_026E,B27013_026M,B27013_027E,B27013_027M,B27013_028E,B27013_028M,B27013_029E,B27013_029M,B27013_030E,B27013_030M,B27013_031E,B27013_031M,B27013_032E,B27013_032M,B27013_033E,B27013_033M,B27013_034E,B27013_034M,B27013_035E,B27013_035M,B27013_036E,B27013_036M,B27013_037E,B27013_037M,B27013_038E,B27013_038M,B27013_039E,B27013_039M,B27013_040E,B27013_040M,B27013_041E,B27013_041M,B27013_042E,B27013_042M,B27013_043E,B27013_043M,B27013_044E,B27013_044M,B27013_045E,B27013_045M,B27013_046E,B27013_046M,B27013_001M,B27013_001EA,B27013_001MA,B27013_002M,B27013_002EA,B27013_002MA,B27013_003M,B27013_003EA,B27013_003MA,B27013_004M,B27013_004EA,B27013_004MA,B27013_005M,B27013_005EA,B27013_005MA,B27013_006M,B27013_006EA,B27013_006MA,B27013_007M,B27013_007EA,B27013_007MA,B27013_008M,B27013_008EA,B27013_008MA,B27013_009M,B27013_009EA,B27013_009MA,B27013_010M,B27013_010EA,B27013_010MA,B27013_011M,B27013_011EA,B27013_011MA,B27013_012M,B27013_012EA,B27013_012MA,B27013_013M,B27013_013EA,B27013_013MA,B27013_014M,B27013_014EA,B27013_014MA,B27013_015M,B27013_015EA,B27013_015MA,B27013_016M,B27013_016EA,B27013_016MA,B27013_017M,B27013_017EA,B27013_017MA,B27013_018M,B27013_018EA,B27013_018MA,B27013_019M,B27013_019EA,B27013_019MA,B27013_020M,B27013_020EA,B27013_020MA,B27013_021M,B27013_021EA,B27013_021MA,B27013_022M,B27013_022EA,B27013_022MA,B27013_023M,B27013_023EA,B27013_023MA,B27013_024M,B27013_024EA,B27013_024MA,B27013_025M,B27013_025EA,B27013_025MA,B27013_026M,B27013_026EA,B27013_026MA,B27013_027M,B27013_027EA,B27013_027MA,B27013_028M,B27013_028EA,B27013_028MA,B27013_029M,B27013_029EA,B27013_029MA,B27013_030M,B27013_030EA,B27013_030MA,B27013_031M,B27013_031EA,B27013_031MA,B27013_032M,B27013_032EA,B27013_032MA,B27013_033M,B27013_033EA,B27013_033MA,B27013_034M,B27013_034EA,B27013_034MA,B27013_035M,B27013_035EA,B27013_035MA,B27013_036M,B27013_036EA,B27013_036MA,B27013_037M,B27013_037EA,B27013_037MA,B27013_038M,B27013_038EA,B27013_038MA,B27013_039M,B27013_039EA,B27013_039MA,B27013_040M,B27013_040EA,B27013_040MA,B27013_041M,B27013_041EA,B27013_041MA,B27013_042M,B27013_042EA,B27013_042MA,B27013_043M,B27013_043EA,B27013_043MA,B27013_044M,B27013_044EA,B27013_044MA,B27013_045M,B27013_045EA,B27013_045MA,B27013_046M,B27013_046EA,B27013_046MA,state
16158134,5598,6522587,36964,3637757,26206,3464184,26210,2769751,29008,694433,18904,173573,7028,107983,6064,65590,4031,2884830,21487,2768139,20897,2336881,22629,431258,14816,116691,5066,76327,3781,40364,3047,3410513,33690,1525794,23617,1306345,22528,786937,17380,519408,16093,219449,7616,112244,5262,107205,4728,1884719,22299,1691135,21970,1126647,17725,564488,15375,193584,5035,98406,4172,95178,3818,6225034,32656,2553963,22484,1133671,20156,485102,12531,648569,16994,1420292,11341,745334,9682,674958,11093,3671071,20597,1773914,19304,890619,16302,883295,17575,1897157,8077,943977,11516,953180,12225,5598,null,null,36964,null,null,26206,null,null,26210,null,null,29008,null,null,18904,null,null,7028,null,null,6064,null,null,4031,null,null,21487,null,null,20897,null,null,22629,null,null,14816,null,null,5066,null,null,3781,null,null,3047,null,null,33690,null,null,23617,null,null,22528,null,null,17380,null,null,16093,null,null,7616,null,null,5262,null,null,4728,null,null,22299,null,null,21970,null,null,17725,null,null,15375,null,null,5035,null,null,4172,null,null,3818,null,null,32656,null,null,22484,null,null,20156,null,null,12531,null,null,16994,null,null,11341,null,null,9682,null,null,11093,null,null,20597,null,null,19304,null,null,16302,null,null,17575,null,null,8077,null,null,11516,null,null,12225,null,null,12
7614462,5045,3425190,25696,1898377,16484,1823185,16403,1517316,16486,305869,11729,75192,4031,55295,3566,19897,2190,1526813,18991,1483965,18156,1305888,16598,178077,9146,42848,3202,32155,2766,10693,1774,1679018,24532,720217,14318,645677,14032,413018,12175,232659,9410,74540,3373,45628,2715,28912,2448,958801,17662,881860,16520,600795,12582,281065,10706,76941,3697,45774,2515,31167,2844,2510254,21101,969207,12585,539118,12623,228704,9842,310414,9744,430089,4990,253722,5595,176367,6588,1541047,16211,910354,15239,471290,10746,439064,12430,630693,6078,356805,8716,273888,7884,5045,null,null,25696,null,null,16484,null,null,16403,null,null,16486,null,null,11729,null,null,4031,null,null,3566,null,null,2190,null,null,18991,null,null,18156,null,null,16598,null,null,9146,null,null,3202,null,null,2766,null,null,1774,null,null,24532,null,null,14318,null,null,14032,null,null,12175,null,null,9410,null,null,3373,null,null,2715,null,null,2448,null,null,17662,null,null,16520,null,null,12582,null,null,10706,null,null,3697,null,null,2515,null,null,2844,null,null,21101,null,null,12585,null,null,12623,null,null,9842,null,null,9744,null,null,4990,null,null,5595,null,null,6588,null,null,16211,null,null,15239,null,null,10746,null,null,12430,null,null,6078,null,null,8716,null,null,7884,null,null,13
1071169,2692,489415,7484,269557,5223,252836,5084,236412,4869,16424,2578,16721,1892,14946,1689,1775,728,219858,4533,208199,4371,195490,4616,12709,2048,11659,1434,10764,1351,895,421,242895,7380,108319,4770,92139,4238,65963,3931,26176,2825,16180,1876,11867,1636,4313,977,134576,5181,118149,4745,89268,4404,28881,3051,16427,1528,12719,1457,3708,784,338859,7326,140789,4459,65331,4235,33292,3015,32039,3356,75458,2352,49359,2270,26099,1891,198070,4930,95781,4507,59590,3590,36191,3680,102289,2059,67526,2680,34763,2227,2692,null,null,7484,null,null,5223,null,null,5084,null,null,4869,null,null,2578,null,null,1892,null,null,1689,null,null,728,null,null,4533,null,null,4371,null,null,4616,null,null,2048,null,null,1434,null,null,1351,null,null,421,null,null,7380,null,null,4770,null,null,4238,null,null,3931,null,null,2825,null,null,1876,null,null,1636,null,null,977,null,null,5181,null,null,4745,null,null,4404,null,null,3051,null,null,1528,null,null,1457,null,null,784,null,null,7326,null,null,4459,null,null,4235,null,null,3015,null,null,3356,null,null,2352,null,null,2270,null,null,1891,null,null,4930,null,null,4507,null,null,3590,null,null,3680,null,null,2059,null,null,2680,null,null,2227,null,null,15
1227237,1476,516947,9158,317345,6768,304010,6543,259754,6195,44256,3842,13335,1631,10368,1371,2967,855,199602,6643,193946,6384,171083,6240,22863,3186,5656,1208,4122,1076,1534,587,319219,8318,136199,4854,116978,4638,80774,4794,36204,2982,19221,1496,12032,1388,7189,1073,183020,6664,168465,6231,122768,5400,45697,3639,14555,1658,9525,1251,5030,1183,391071,7846,149158,6271,62530,5648,29686,3582,32844,3439,86628,2080,52780,2732,33848,2627,241913,5998,128874,5494,78625,4722,50249,3722,113039,1997,68618,3117,44421,3083,1476,null,null,9158,null,null,6768,null,null,6543,null,null,6195,null,null,3842,null,null,1631,null,null,1371,null,null,855,null,null,6643,null,null,6384,null,null,6240,null,null,3186,null,null,1208,null,null,1076,null,null,587,null,null,8318,null,null,4854,null,null,4638,null,null,4794,null,null,2982,null,null,1496,null,null,1388,null,null,1073,null,null,6664,null,null,6231,null,null,5400,null,null,3639,null,null,1658,null,null,1251,null,null,1183,null,null,7846,null,null,6271,null,null,5648,null,null,3582,null,null,3439,null,null,2080,null,null,2732,null,null,2627,null,null,5998,null,null,5494,null,null,4722,null,null,3722,null,null,1997,null,null,3117,null,null,3083,null,null,16
9700525,2700,4380480,25042,2484105,16354,2389690,15744,2082832,15082,306858,8967,94415,4259,72043,3502,22372,2238,1896375,17207,1834741,16415,1618402,15685,216339,7705,61634,3134,48920,2717,12714,1506,2321998,21745,1007785,13725,893344,12484,596943,11606,296401,8193,114441,4016,74237,3185,40204,2390,1314213,17780,1198918,16667,851263,13422,347655,9191,115295,4773,78410,3735,36885,2380,2998047,19042,1186052,12079,604398,11012,276356,7541,328042,8929,581654,5416,351939,5691,229715,5370,1811995,15351,971524,14425,523729,10764,447795,10768,840471,5196,501907,7706,338564,6961,2700,null,null,25042,null,null,16354,null,null,15744,null,null,15082,null,null,8967,null,null,4259,null,null,3502,null,null,2238,null,null,17207,null,null,16415,null,null,15685,null,null,7705,null,null,3134,null,null,2717,null,null,1506,null,null,21745,null,null,13725,null,null,12484,null,null,11606,null,null,8193,null,null,4016,null,null,3185,null,null,2390,null,null,17780,null,null,16667,null,null,13422,null,null,9191,null,null,4773,null,null,3735,null,null,2380,null,null,19042,null,null,12079,null,null,11012,null,null,7541,null,null,8929,null,null,5416,null,null,5691,null,null,5370,null,null,15351,null,null,14425,null,null,10764,null,null,10768,null,null,5196,null,null,7706,null,null,6961,null,null,17
4960989,3562,2209845,16598,1267931,10373,1222195,10300,1077265,10951,144930,5516,45736,2679,34558,2374,11178,1429,941914,12974,911729,13038,817458,11599,94271,5950,30185,2612,23291,2237,6894,1219,1209953,14979,515313,8535,448264,8600,293816,7200,154448,6157,67049,3133,41921,2853,25128,2154,694640,10768,629955,10924,450001,10288,179954,8836,64685,3188,40496,2483,24189,2219,1541191,12116,614138,10160,303412,9377,133923,6894,169489,6298,310726,4026,198907,4683,111819,3918,927053,9452,488156,9553,256428,7528,231728,7287,438897,4199,278868,5247,160029,5353,3562,null,null,16598,null,null,10373,null,null,10300,null,null,10951,null,null,5516,null,null,2679,null,null,2374,null,null,1429,null,null,12974,null,null,13038,null,null,11599,null,null,5950,null,null,2612,null,null,2237,null,null,1219,null,null,14979,null,null,8535,null,null,8600,null,null,7200,null,null,6157,null,null,3133,null,null,2853,null,null,2154,null,null,10768,null,null,10924,null,null,10288,null,null,8836,null,null,3188,null,null,2483,null,null,2219,null,null,12116,null,null,10160,null,null,9377,null,null,6894,null,null,6298,null,null,4026,null,null,4683,null,null,3918,null,null,9452,null,null,9553,null,null,7528,null,null,7287,null,null,4199,null,null,5247,null,null,5353,null,null,18
2366440,1861,1132183,11037,647494,7773,618923,7705,559972,8380,58951,3883,28571,1918,21930,1726,6641,1135,484689,7394,469819,7148,426174,7269,43645,3242,14870,1476,11930,1341,2940,615,602813,10022,266415,6923,220837,6672,160251,5217,60586,4093,45578,2347,30109,2036,15469,1722,336398,7658,296998,6845,226465,5918,70533,3990,39400,2445,27302,2140,12098,1271,631444,8508,245952,5448,99244,4439,42148,2986,57096,3427,146708,2776,96699,3044,50009,2719,385492,6420,169384,5862,98472,4005,70912,4050,216108,3316,139657,3123,76451,2976,1861,null,null,11037,null,null,7773,null,null,7705,null,null,8380,null,null,3883,null,null,1918,null,null,1726,null,null,1135,null,null,7394,null,null,7148,null,null,7269,null,null,3242,null,null,1476,null,null,1341,null,null,615,null,null,10022,null,null,6923,null,null,6672,null,null,5217,null,null,4093,null,null,2347,null,null,2036,null,null,1722,null,null,7658,null,null,6845,null,null,5918,null,null,3990,null,null,2445,null,null,2140,null,null,1271,null,null,8508,null,null,5448,null,null,4439,null,null,2986,null,null,3427,null,null,2776,null,null,3044,null,null,2719,null,null,6420,null,null,5862,null,null,4005,null,null,4050,null,null,3316,null,null,3123,null,null,2976,null,null,19
2137760,2885,1011521,10551,576218,6522,549460,6052,488339,6891,61121,3820,26758,1968,21295,1837,5463,871,435303,7415,419140,7238,384239,7144,34901,3333,16163,1611,12524,1480,3639,683,524701,8907,227806,6508,193934,5966,138673,5455,55261,3627,33872,2067,22160,1930,11712,1101,296895,6971,264812,6835,200245,6297,64567,4055,32083,2171,22283,1952,9800,1176,601538,8249,238655,5707,110077,4500,53261,2958,56816,4211,128578,2933,82525,2966,46053,2359,362883,5939,180970,5412,108392,4404,72578,4602,181913,2991,121507,3162,60406,3163,2885,null,null,10551,null,null,6522,null,null,6052,null,null,6891,null,null,3820,null,null,1968,null,null,1837,null,null,871,null,null,7415,null,null,7238,null,null,7144,null,null,3333,null,null,1611,null,null,1480,null,null,683,null,null,8907,null,null,6508,null,null,5966,null,null,5455,null,null,3627,null,null,2067,null,null,1930,null,null,1101,null,null,6971,null,null,6835,null,null,6297,null,null,4055,null,null,2171,null,null,1952,null,null,1176,null,null,8249,null,null,5707,null,null,4500,null,null,2958,null,null,4211,null,null,2933,null,null,2966,null,null,2359,null,null,5939,null,null,5412,null,null,4404,null,null,4602,null,null,2991,null,null,3162,null,null,3163,null,null,20
3344394,3524,1381101,16950,776166,11221,746279,10663,645661,11340,100618,5596,29887,2026,22144,1726,7743,1051,604935,11895,585178,11725,509143,10468,76035,5622,19757,1936,16524,1845,3233,661,746311,14296,324317,8924,285911,8807,174514,7397,111397,6349,38406,2495,25621,2167,12785,1613,421994,9943,384194,9182,252836,7113,131358,5908,37800,2789,25410,2192,12390,1849,1216982,14481,504146,8937,276958,8364,93273,4534,183685,7034,227188,3336,136445,3929,90743,3825,712836,10022,400507,8758,176697,6701,223810,7219,312329,3675,192032,5242,120297,4919,3524,null,null,16950,null,null,11221,null,null,10663,null,null,11340,null,null,5596,null,null,2026,null,null,1726,null,null,1051,null,null,11895,null,null,11725,null,null,10468,null,null,5622,null,null,1936,null,null,1845,null,null,661,null,null,14296,null,null,8924,null,null,8807,null,null,7397,null,null,6349,null,null,2495,null,null,2167,null,null,1613,null,null,9943,null,null,9182,null,null,7113,null,null,5908,null,null,2789,null,null,2192,null,null,1849,null,null,14481,null,null,8937,null,null,8364,null,null,4534,null,null,7034,null,null,3336,null,null,3929,null,null,3825,null,null,10022,null,null,8758,null,null,6701,null,null,7219,null,null,3675,null,null,5242,null,null,4919,null,null,21
3461725,2923,1433780,13725,788858,9655,750459,8915,629896,9388,120563,6058,38399,2447,29209,2354,9190,1401,644922,10101,620012,10316,526792,9988,93220,5941,24910,2121,18475,1916,6435,1262,767394,13140,334548,8452,298321,8247,178854,7055,119467,6424,36227,2898,21184,2190,15043,1997,432846,9920,392580,9352,251200,7898,141380,7307,40266,2859,25157,2157,15109,1694,1260551,13330,514122,9210,301984,9150,105543,6319,196441,8640,212138,3444,112288,3640,99850,3575,746429,8522,444343,8459,202044,6713,242299,8247,302086,3798,163004,4004,139082,4045,2923,null,null,13725,null,null,9655,null,null,8915,null,null,9388,null,null,6058,null,null,2447,null,null,2354,null,null,1401,null,null,10101,null,null,10316,null,null,9988,null,null,5941,null,null,2121,null,null,1916,null,null,1262,null,null,13140,null,null,8452,null,null,8247,null,null,7055,null,null,6424,null,null,2898,null,null,2190,null,null,1997,null,null,9920,null,null,9352,null,null,7898,null,null,7307,null,null,2859,null,null,2157,null,null,1694,null,null,13330,null,null,9210,null,null,9150,null,null,6319,null,null,8640,null,null,3444,null,null,3640,null,null,3575,null,null,8522,null,null,8459,null,null,6713,null,null,8247,null,null,3798,null,null,4004,null,null,4045,null,null,22
