B17010D_001E,B17010D_001M,B17010D_002E,B17010D_002M,B17010D_003E,B17010D_003M,B17010D_004E,B17010D_004M,B17010D_005E,B17010D_005M,B17010D_006E,B17010D_006M,B17010D_007E,B17010D_007M,B17010D_008E,B17010D_008M,B17010D_009E,B17010D_009M,B17010D_010E,B17010D_010M,B17010D_011E,B17010D_011M,B17010D_012E,B17010D_012M,B17010D_013E,B17010D_013M,B17010D_014E,B17010D_014M,B17010D_015E,B17010D_015M,B17010D_016E,B17010D_016M,B17010D_017E,B17010D_017M,B17010D_018E,B17010D_018M,B17010D_019E,B17010D_019M,B17010D_020E,B17010D_020M,B17010D_021E,B17010D_021M,B17010D_022E,B17010D_022M,B17010D_023E,B17010D_023M,B17010D_024E,B17010D_024M,B17010D_025E,B17010D_025M,B17010D_026E,B17010D_026M,B17010D_027E,B17010D_027M,B17010D_028E,B17010D_028M,B17010D_029E,B17010D_029M,B17010D_030E,B17010D_030M,B17010D_031E,B17010D_031M,B17010D_032E,B17010D_032M,B17010D_033E,B17010D_033M,B17010D_034E,B17010D_034M,B17010D_035E,B17010D_035M,B17010D_036E,B17010D_036M,B17010D_037E,B17010D_037M,B17010D_038E,B17010D_038M,B17010D_039E,B17010D_039M,B17010D_040E,B17010D_040M,B17010D_041E,B17010D_041M,B17010D_001M,B17010D_001EA,B17010D_001MA,B17010D_002M,B17010D_002EA,B17010D_002MA,B17010D_003M,B17010D_003EA,B17010D_003MA,B17010D_004M,B17010D_004EA,B17010D_004MA,B17010D_005M,B17010D_005EA,B17010D_005MA,B17010D_006M,B17010D_006EA,B17010D_006MA,B17010D_007M,B17010D_007EA,B17010D_007MA,B17010D_008M,B17010D_008EA,B17010D_008MA,B17010D_009M,B17010D_009EA,B17010D_009MA,B17010D_010M,B17010D_010EA,B17010D_010MA,B17010D_011M,B17010D_011EA,B17010D_011MA,B17010D_012M,B17010D_012EA,B17010D_012MA,B17010D_013M,B17010D_013EA,B17010D_013MA,B17010D_014M,B17010D_014EA,B17010D_014MA,B17010D_015M,B17010D_015EA,B17010D_015MA,B17010D_016M,B17010D_016EA,B17010D_016MA,B17010D_017M,B17010D_017EA,B17010D_017MA,B17010D_018M,B17010D_018EA,B17010D_018MA,B17010D_019M,B17010D_019EA,B17010D_019MA,B17010D_020M,B17010D_020EA,B17010D_020MA,B17010D_021M,B17010D_021EA,B17010D_021MA,B17010D_022M,B17010D_022EA,B17010D_022MA,B17010D_023M,B17010D_023EA,B17010D_023MA,B17010D_024M,B17010D_024EA,B17010D_024MA,B17010D_025M,B17010D_025EA,B17010D_025MA,B17010D_026M,B17010D_026EA,B17010D_026MA,B17010D_027M,B17010D_027EA,B17010D_027MA,B17010D_028M,B17010D_028EA,B17010D_028MA,B17010D_029M,B17010D_029EA,B17010D_029MA,B17010D_030M,B17010D_030EA,B17010D_030MA,B17010D_031M,B17010D_031EA,B17010D_031MA,B17010D_032M,B17010D_032EA,B17010D_032MA,B17010D_033M,B17010D_033EA,B17010D_033MA,B17010D_034M,B17010D_034EA,B17010D_034MA,B17010D_035M,B17010D_035EA,B17010D_035MA,B17010D_036M,B17010D_036EA,B17010D_036MA,B17010D_037M,B17010D_037EA,B17010D_037MA,B17010D_038M,B17010D_038EA,B17010D_038MA,B17010D_039M,B17010D_039EA,B17010D_039MA,B17010D_040M,B17010D_040EA,B17010D_040MA,B17010D_041M,B17010D_041EA,B17010D_041MA,state
123366,4154,10421,2021,6673,1747,3757,1197,1029,644,849,542,1879,762,2916,1203,3748,1014,704,473,612,445,35,63,122,137,455,420,92,108,3044,933,2393,780,302,364,318,375,1773,668,651,447,112945,4081,93952,3919,48231,3377,10576,1720,8390,1690,29265,2477,45721,3002,18993,2056,5806,1192,1719,605,369,266,434,304,916,442,4087,1073,13187,1765,5875,1402,573,401,240,224,5062,1334,7312,1363,4154,null,null,2021,null,null,1747,null,null,1197,null,null,644,null,null,542,null,null,762,null,null,1203,null,null,1014,null,null,473,null,null,445,null,null,63,null,null,137,null,null,420,null,null,108,null,null,933,null,null,780,null,null,364,null,null,375,null,null,668,null,null,447,null,null,4081,null,null,3919,null,null,3377,null,null,1720,null,null,1690,null,null,2477,null,null,3002,null,null,2056,null,null,1192,null,null,605,null,null,266,null,null,304,null,null,442,null,null,1073,null,null,1765,null,null,1402,null,null,401,null,null,224,null,null,1334,null,null,1363,null,null,12
95239,3066,8832,1725,6062,1266,4307,1146,1446,790,1761,605,1100,478,1755,724,2770,1112,681,678,47,87,47,87,0,218,0,218,634,669,2089,811,1612,734,484,347,177,170,951,625,477,383,86407,3339,75457,2957,44837,2255,10989,1807,8149,1442,25699,2173,30620,2556,10950,1833,3794,1016,2061,802,78,132,303,216,1680,725,1733,603,7156,1432,2485,797,605,403,291,263,1589,638,4671,1327,3066,null,null,1725,null,null,1266,null,null,1146,null,null,790,null,null,605,null,null,478,null,null,724,null,null,1112,null,null,678,null,null,87,null,null,87,null,null,218,null,null,218,null,null,669,null,null,811,null,null,734,null,null,347,null,null,170,null,null,625,null,null,383,null,null,3339,null,null,2957,null,null,2255,null,null,1807,null,null,1442,null,null,2173,null,null,2556,null,null,1833,null,null,1016,null,null,802,null,null,132,null,null,216,null,null,725,null,null,603,null,null,1432,null,null,797,null,null,403,null,null,263,null,null,638,null,null,1327,null,null,13
127434,3571,5389,1137,3272,917,1631,735,325,401,510,556,796,379,1641,521,2117,699,225,150,40,71,0,185,0,185,40,71,185,125,1892,676,1309,631,492,468,172,139,645,392,583,351,122045,3618,91591,3649,34753,2499,5848,1127,5498,1040,23407,2208,56838,3096,30454,2590,9297,1551,3265,975,821,446,486,317,1958,763,6032,1185,21157,2094,9240,1633,1439,628,1542,633,6259,1337,11917,1370,3571,null,null,1137,null,null,917,null,null,735,null,null,401,null,null,556,null,null,379,null,null,521,null,null,699,null,null,150,null,null,71,null,null,185,null,null,185,null,null,71,null,null,125,null,null,676,null,null,631,null,null,468,null,null,139,null,null,392,null,null,351,null,null,3618,null,null,3649,null,null,2499,null,null,1127,null,null,1040,null,null,2208,null,null,3096,null,null,2590,null,null,1551,null,null,975,null,null,446,null,null,317,null,null,763,null,null,1185,null,null,2094,null,null,1633,null,null,628,null,null,633,null,null,1337,null,null,1370,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
164070,3845,13109,1636,10014,1594,4901,1210,1047,563,1334,642,2520,795,5113,1047,3095,811,586,265,233,189,0,185,110,129,123,114,353,201,2509,747,1771,754,223,210,715,579,833,396,738,322,150961,3906,130926,3829,71742,3151,16222,1698,12601,1637,42919,2437,59184,3089,20035,2204,5481,1208,2166,755,478,388,403,327,1285,585,3315,1033,14554,1700,7027,1358,1055,614,671,338,5301,1091,7527,1326,3845,null,null,1636,null,null,1594,null,null,1210,null,null,563,null,null,642,null,null,795,null,null,1047,null,null,811,null,null,265,null,null,189,null,null,185,null,null,129,null,null,114,null,null,201,null,null,747,null,null,754,null,null,210,null,null,579,null,null,396,null,null,322,null,null,3906,null,null,3829,null,null,3151,null,null,1698,null,null,1637,null,null,2437,null,null,3089,null,null,2204,null,null,1208,null,null,755,null,null,388,null,null,327,null,null,585,null,null,1033,null,null,1700,null,null,1358,null,null,614,null,null,338,null,null,1091,null,null,1326,null,null,17
28298,1838,3698,918,2469,897,1869,837,589,566,670,490,610,366,600,433,1229,496,31,54,0,192,0,192,0,192,0,192,31,54,1198,504,855,396,222,186,291,250,342,272,343,399,24600,1767,20763,1912,12114,1672,3399,929,2152,696,6563,1289,8649,1537,3837,1028,2328,860,985,577,156,211,154,186,675,475,1343,720,1509,565,971,473,263,248,61,101,647,399,538,250,1838,null,null,918,null,null,897,null,null,837,null,null,566,null,null,490,null,null,366,null,null,433,null,null,496,null,null,54,null,null,192,null,null,192,null,null,192,null,null,192,null,null,54,null,null,504,null,null,396,null,null,186,null,null,250,null,null,272,null,null,399,null,null,1767,null,null,1912,null,null,1672,null,null,929,null,null,696,null,null,1289,null,null,1537,null,null,1028,null,null,860,null,null,577,null,null,211,null,null,186,null,null,475,null,null,720,null,null,565,null,null,473,null,null,248,null,null,101,null,null,399,null,null,250,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
