C17010C_001E,C17010C_001M,C17010C_002E,C17010C_002M,C17010C_003E,C17010C_003M,C17010C_004E,C17010C_004M,C17010C_005E,C17010C_005M,C17010C_006E,C17010C_006M,C17010C_007E,C17010C_007M,C17010C_008E,C17010C_008M,C17010C_009E,C17010C_009M,C17010C_010E,C17010C_010M,C17010C_011E,C17010C_011M,C17010C_012E,C17010C_012M,C17010C_013E,C17010C_013M,C17010C_014E,C17010C_014M,C17010C_015E,C17010C_015M,C17010C_016E,C17010C_016M,C17010C_017E,C17010C_017M,C17010C_001M,C17010C_001EA,C17010C_001MA,C17010C_002M,C17010C_002EA,C17010C_002MA,C17010C_003M,C17010C_003EA,C17010C_003MA,C17010C_004M,C17010C_004EA,C17010C_004MA,C17010C_005M,C17010C_005EA,C17010C_005MA,C17010C_006M,C17010C_006EA,C17010C_006MA,C17010C_007M,C17010C_007EA,C17010C_007MA,C17010C_008M,C17010C_008EA,C17010C_008MA,C17010C_009M,C17010C_009EA,C17010C_009MA,C17010C_010M,C17010C_010EA,C17010C_010MA,C17010C_011M,C17010C_011EA,C17010C_011MA,C17010C_012M,C17010C_012EA,C17010C_012MA,C17010C_013M,C17010C_013EA,C17010C_013MA,C17010C_014M,C17010C_014EA,C17010C_014MA,C17010C_015M,C17010C_015EA,C17010C_015MA,C17010C_016M,C17010C_016EA,C17010C_016MA,C17010C_017M,C17010C_017EA,C17010C_017MA,state
11690,1748,1819,695,727,356,281,206,1092,622,107,198,100,198,985,565,750,471,9871,1554,7845,1376,2990,781,2026,659,1082,566,398,386,944,368,700,319,1748,null,null,695,null,null,356,null,null,206,null,null,622,null,null,198,null,null,198,null,null,565,null,null,471,null,null,1554,null,null,1376,null,null,781,null,null,659,null,null,566,null,null,386,null,null,368,null,null,319,null,null,12
7993,1513,2353,890,850,447,567,372,1503,766,613,449,133,134,890,544,749,532,5640,1288,3534,913,1803,730,2106,905,504,542,345,385,1602,727,669,506,1513,null,null,890,null,null,447,null,null,372,null,null,766,null,null,449,null,null,134,null,null,544,null,null,532,null,null,1288,null,null,913,null,null,730,null,null,905,null,null,542,null,null,385,null,null,727,null,null,506,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
6698,1496,1420,503,358,265,97,127,1062,465,121,122,23,50,941,477,632,414,5278,1489,3742,1292,1801,943,1536,560,453,258,409,259,1083,496,619,415,1496,null,null,503,null,null,265,null,null,127,null,null,465,null,null,122,null,null,50,null,null,477,null,null,414,null,null,1489,null,null,1292,null,null,943,null,null,560,null,null,258,null,null,259,null,null,496,null,null,415,null,null,16
7101,1233,1698,606,453,268,381,257,1245,547,75,119,0,185,1170,534,1138,535,5403,1014,4458,957,1713,517,945,356,704,310,234,112,241,193,70,81,1233,null,null,606,null,null,268,null,null,257,null,null,547,null,null,119,null,null,185,null,null,534,null,null,535,null,null,1014,null,null,957,null,null,517,null,null,356,null,null,310,null,null,112,null,null,193,null,null,81,null,null,17
4424,912,711,394,223,149,110,121,488,363,242,259,151,197,246,230,246,230,3713,889,2854,752,821,444,859,390,534,343,242,266,325,210,227,194,912,null,null,394,null,null,149,null,null,121,null,null,363,null,null,259,null,null,197,null,null,230,null,null,230,null,null,889,null,null,752,null,null,444,null,null,390,null,null,343,null,null,266,null,null,210,null,null,194,null,null,18
1882,676,301,265,6,13,0,159,295,265,280,263,274,267,15,22,15,22,1581,604,1160,502,451,285,421,258,76,68,61,67,345,249,270,243,676,null,null,265,null,null,13,null,null,159,null,null,265,null,null,263,null,null,267,null,null,22,null,null,22,null,null,604,null,null,502,null,null,285,null,null,258,null,null,68,null,null,67,null,null,249,null,null,243,null,null,19
4498,698,418,212,28,40,28,40,390,207,104,116,104,116,286,178,186,158,4080,676,2780,602,1150,340,1300,430,394,249,321,230,906,350,529,317,698,null,null,212,null,null,40,null,null,40,null,null,207,null,null,116,null,null,116,null,null,178,null,null,158,null,null,676,null,null,602,null,null,340,null,null,430,null,null,249,null,null,230,null,null,350,null,null,317,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
6541,1079,1351,569,354,298,148,233,997,482,100,130,100,130,897,458,897,458,5190,1014,3653,939,1261,458,1537,607,408,321,277,258,1129,476,431,336,1079,null,null,569,null,null,298,null,null,233,null,null,482,null,null,130,null,null,130,null,null,458,null,null,458,null,null,1014,null,null,939,null,null,458,null,null,607,null,null,321,null,null,258,null,null,476,null,null,336,null,null,22
1887,409,389,177,47,58,47,58,342,175,177,128,87,84,165,141,165,141,1498,404,1195,382,522,244,303,132,30,24,22,21,273,132,204,109,409,null,null,177,null,null,58,null,null,58,null,null,175,null,null,128,null,null,84,null,null,141,null,null,141,null,null,404,null,null,382,null,null,244,null,null,132,null,null,24,null,null,21,null,null,132,null,null,109,null,null,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
3053,809,651,453,216,211,79,134,435,352,71,118,0,203,364,305,333,301,2402,717,1638,618,911,464,764,379,180,202,66,111,584,295,291,254,809,null,null,453,null,null,211,null,null,134,null,null,352,null,null,118,null,null,203,null,null,305,null,null,301,null,null,717,null,null,618,null,null,464,null,null,379,null,null,202,null,null,111,null,null,295,null,null,254,null,null,25
11266,1311,2081,505,888,341,554,299,1193,400,205,160,194,159,988,378,806,349,9185,1200,6340,984,2533,649,2845,704,873,430,478,365,1972,627,1257,523,1311,null,null,505,null,null,341,null,null,299,null,null,400,null,null,160,null,null,159,null,null,378,null,null,349,null,null,1200,null,null,984,null,null,649,null,null,704,null,null,430,null,null,365,null,null,627,null,null,523,null,null,26
12663,1291,3162,792,685,529,162,94,2477,561,264,169,212,137,2213,579,2128,576,9501,1101,5295,858,2422,556,4206,710,1308,411,1156,392,2898,646,2057,521,1291,null,null,792,null,null,529,null,null,94,null,null,561,null,null,169,null,null,137,null,null,579,null,null,576,null,null,1101,null,null,858,null,null,556,null,null,710,null,null,411,null,null,392,null,null,646,null,null,521,null,null,27
3118,632,1111,489,384,251,204,198,727,445,53,90,0,213,674,456,611,454,2007,603,1082,459,498,258,925,436,313,296,85,112,612,307,499,288,632,null,null,489,null,null,251,null,null,198,null,null,445,null,null,90,null,null,213,null,null,456,null,null,454,null,null,603,null,null,459,null,null,258,null,null,436,null,null,296,null,null,112,null,null,307,null,null,288,null,null,28
