C23002G_001E,C23002G_001M,C23002G_002E,C23002G_002M,C23002G_003E,C23002G_003M,C23002G_004E,C23002G_004M,C23002G_005E,C23002G_005M,C23002G_006E,C23002G_006M,C23002G_007E,C23002G_007M,C23002G_008E,C23002G_008M,C23002G_009E,C23002G_009M,C23002G_010E,C23002G_010M,C23002G_011E,C23002G_011M,C23002G_012E,C23002G_012M,C23002G_013E,C23002G_013M,C23002G_014E,C23002G_014M,C23002G_015E,C23002G_015M,C23002G_016E,C23002G_016M,C23002G_017E,C23002G_017M,C23002G_018E,C23002G_018M,C23002G_019E,C23002G_019M,C23002G_020E,C23002G_020M,C23002G_021E,C23002G_021M,C23002G_022E,C23002G_022M,C23002G_023E,C23002G_023M,C23002G_024E,C23002G_024M,C23002G_025E,C23002G_025M,C23002G_026E,C23002G_026M,C23002G_027E,C23002G_027M,C23002G_001M,C23002G_001EA,C23002G_001MA,C23002G_002M,C23002G_002EA,C23002G_002MA,C23002G_003M,C23002G_003EA,C23002G_003MA,C23002G_004M,C23002G_004EA,C23002G_004MA,C23002G_005M,C23002G_005EA,C23002G_005MA,C23002G_006M,C23002G_006EA,C23002G_006MA,C23002G_007M,C23002G_007EA,C23002G_007MA,C23002G_008M,C23002G_008EA,C23002G_008MA,C23002G_009M,C23002G_009EA,C23002G_009MA,C23002G_010M,C23002G_010EA,C23002G_010MA,C23002G_011M,C23002G_011EA,C23002G_011MA,C23002G_012M,C23002G_012EA,C23002G_012MA,C23002G_013M,C23002G_013EA,C23002G_013MA,C23002G_014M,C23002G_014EA,C23002G_014MA,C23002G_015M,C23002G_015EA,C23002G_015MA,C23002G_016M,C23002G_016EA,C23002G_016MA,C23002G_017M,C23002G_017EA,C23002G_017MA,C23002G_018M,C23002G_018EA,C23002G_018MA,C23002G_019M,C23002G_019EA,C23002G_019MA,C23002G_020M,C23002G_020EA,C23002G_020MA,C23002G_021M,C23002G_021EA,C23002G_021MA,C23002G_022M,C23002G_022EA,C23002G_022MA,C23002G_023M,C23002G_023EA,C23002G_023MA,C23002G_024M,C23002G_024EA,C23002G_024MA,C23002G_025M,C23002G_025EA,C23002G_025MA,C23002G_026M,C23002G_026EA,C23002G_026MA,C23002G_027M,C23002G_027EA,C23002G_027MA,state
310483,13654,156748,7700,142628,7485,101879,6473,2340,790,99539,6477,90789,6317,8750,1574,40749,3887,14120,1508,2659,759,2311,711,348,225,11461,1386,153735,8816,135488,8091,95187,6534,476,348,94711,6502,85283,5847,9428,2027,40301,4099,18247,2692,1631,591,1495,590,136,157,16616,2601,13654,null,null,7700,null,null,7485,null,null,6473,null,null,790,null,null,6477,null,null,6317,null,null,1574,null,null,3887,null,null,1508,null,null,759,null,null,711,null,null,225,null,null,1386,null,null,8816,null,null,8091,null,null,6534,null,null,348,null,null,6502,null,null,5847,null,null,2027,null,null,4099,null,null,2692,null,null,591,null,null,590,null,null,157,null,null,2601,null,null,12
136828,8460,64891,5261,60162,5039,43239,3863,1822,809,41417,3870,38273,3631,3144,1199,16923,2732,4729,1174,828,474,828,474,0,218,3901,991,71937,5280,64669,4889,44541,4088,165,167,44376,4104,40250,4188,4126,1127,20128,2753,7268,1609,885,424,885,424,0,218,6383,1504,8460,null,null,5261,null,null,5039,null,null,3863,null,null,809,null,null,3870,null,null,3631,null,null,1199,null,null,2732,null,null,1174,null,null,474,null,null,474,null,null,218,null,null,991,null,null,5280,null,null,4889,null,null,4088,null,null,167,null,null,4104,null,null,4188,null,null,1127,null,null,2753,null,null,1609,null,null,424,null,null,424,null,null,218,null,null,1504,null,null,13
228323,9551,117040,6174,105575,5919,81824,5032,2999,892,78825,5078,73359,4541,5466,1387,23751,2542,11465,1500,3325,762,3139,683,186,233,8140,1184,111283,4751,98125,4381,71277,3961,497,233,70780,3937,67496,3799,3284,1008,26848,2463,13158,1423,2661,662,2495,617,166,150,10497,1234,9551,null,null,6174,null,null,5919,null,null,5032,null,null,892,null,null,5078,null,null,4541,null,null,1387,null,null,2542,null,null,1500,null,null,762,null,null,683,null,null,233,null,null,1184,null,null,4751,null,null,4381,null,null,3961,null,null,233,null,null,3937,null,null,3799,null,null,1008,null,null,2463,null,null,1423,null,null,662,null,null,617,null,null,150,null,null,1234,null,null,15
25612,2446,12061,1866,10612,1677,7253,1376,0,198,7253,1376,6308,1305,945,644,3359,1049,1449,745,32,60,32,60,0,198,1417,728,13551,1445,11899,1523,7251,1281,0,198,7251,1281,6411,1258,840,543,4648,1110,1652,568,357,267,357,267,0,198,1295,546,2446,null,null,1866,null,null,1677,null,null,1376,null,null,198,null,null,1376,null,null,1305,null,null,644,null,null,1049,null,null,745,null,null,60,null,null,60,null,null,198,null,null,728,null,null,1445,null,null,1523,null,null,1281,null,null,198,null,null,1281,null,null,1258,null,null,543,null,null,1110,null,null,568,null,null,267,null,null,267,null,null,198,null,null,546,null,null,16
177938,8458,86316,5237,80017,5123,61004,4410,399,428,60605,4429,53191,4216,7414,1285,19013,2618,6299,1124,1392,472,1109,345,283,342,4907,956,91622,5192,82933,5197,57810,3810,228,315,57582,3839,52304,3634,5278,1122,25123,3120,8689,1484,1887,555,1547,531,340,236,6802,1216,8458,null,null,5237,null,null,5123,null,null,4410,null,null,428,null,null,4429,null,null,4216,null,null,1285,null,null,2618,null,null,1124,null,null,472,null,null,345,null,null,342,null,null,956,null,null,5192,null,null,5197,null,null,3810,null,null,315,null,null,3839,null,null,3634,null,null,1122,null,null,3120,null,null,1484,null,null,555,null,null,531,null,null,236,null,null,1216,null,null,17
80464,5464,35950,3332,33504,3194,21887,2763,172,160,21715,2760,19994,2668,1721,613,11617,1409,2446,759,618,366,564,351,54,97,1828,617,44514,4010,40305,3973,27454,3437,0,192,27454,3437,26026,3239,1428,678,12851,1871,4209,872,685,321,640,319,45,84,3524,847,5464,null,null,3332,null,null,3194,null,null,2763,null,null,160,null,null,2760,null,null,2668,null,null,613,null,null,1409,null,null,759,null,null,366,null,null,351,null,null,97,null,null,617,null,null,4010,null,null,3973,null,null,3437,null,null,192,null,null,3437,null,null,3239,null,null,678,null,null,1871,null,null,872,null,null,321,null,null,319,null,null,84,null,null,847,null,null,18
28523,2666,12065,1842,10687,1745,7334,1337,0,159,7334,1337,6962,1315,372,256,3353,862,1378,622,263,283,263,283,0,159,1115,540,16458,2287,15567,2215,12029,1888,0,159,12029,1888,11597,1972,432,344,3538,955,891,427,18,26,18,26,0,159,873,424,2666,null,null,1842,null,null,1745,null,null,1337,null,null,159,null,null,1337,null,null,1315,null,null,256,null,null,862,null,null,622,null,null,283,null,null,283,null,null,159,null,null,540,null,null,2287,null,null,2215,null,null,1888,null,null,159,null,null,1888,null,null,1972,null,null,344,null,null,955,null,null,427,null,null,26,null,null,26,null,null,159,null,null,424,null,null,19
54992,4257,26831,2940,24891,2871,16957,1808,769,439,16188,1866,13948,1892,2240,795,7934,1727,1940,667,541,373,533,371,8,14,1399,549,28161,2446,25761,2473,18083,2034,60,79,18023,2063,17062,1962,961,565,7678,1572,2400,606,496,283,427,252,69,107,1904,544,4257,null,null,2940,null,null,2871,null,null,1808,null,null,439,null,null,1866,null,null,1892,null,null,795,null,null,1727,null,null,667,null,null,373,null,null,371,null,null,14,null,null,549,null,null,2446,null,null,2473,null,null,2034,null,null,79,null,null,2063,null,null,1962,null,null,565,null,null,1572,null,null,606,null,null,283,null,null,252,null,null,107,null,null,544,null,null,20
46018,4600,21775,3045,20260,3036,13008,2289,303,203,12705,2317,10776,2050,1929,810,7252,1616,1515,534,291,180,245,166,46,78,1224,506,24243,2797,21992,2629,14827,2329,0,190,14827,2329,12796,2153,2031,686,7165,1349,2251,641,90,148,90,148,0,190,2161,645,4600,null,null,3045,null,null,3036,null,null,2289,null,null,203,null,null,2317,null,null,2050,null,null,810,null,null,1616,null,null,534,null,null,180,null,null,166,null,null,78,null,null,506,null,null,2797,null,null,2629,null,null,2329,null,null,190,null,null,2329,null,null,2153,null,null,686,null,null,1349,null,null,641,null,null,148,null,null,148,null,null,190,null,null,645,null,null,21
51284,5243,24146,3018,21304,3048,14261,2414,479,494,13782,2381,12282,2133,1500,787,7043,1499,2842,801,409,255,409,255,0,208,2433,729,27138,3735,24776,3621,16063,3046,30,63,16033,3027,14912,2979,1121,523,8713,1624,2362,770,244,185,244,185,0,208,2118,735,5243,null,null,3018,null,null,3048,null,null,2414,null,null,494,null,null,2381,null,null,2133,null,null,787,null,null,1499,null,null,801,null,null,255,null,null,255,null,null,208,null,null,729,null,null,3735,null,null,3621,null,null,3046,null,null,63,null,null,3027,null,null,2979,null,null,523,null,null,1624,null,null,770,null,null,185,null,null,185,null,null,208,null,null,735,null,null,22
