C21007_001E,C21007_001M,C21007_002E,C21007_002M,C21007_003E,C21007_003M,C21007_004E,C21007_004M,C21007_005E,C21007_005M,C21007_006E,C21007_006M,C21007_007E,C21007_007M,C21007_008E,C21007_008M,C21007_009E,C21007_009M,C21007_010E,C21007_010M,C21007_011E,C21007_011M,C21007_012E,C21007_012M,C21007_013E,C21007_013M,C21007_014E,C21007_014M,C21007_015E,C21007_015M,C21007_016E,C21007_016M,C21007_017E,C21007_017M,C21007_018E,C21007_018M,C21007_019E,C21007_019M,C21007_020E,C21007_020M,C21007_021E,C21007_021M,C21007_022E,C21007_022M,C21007_023E,C21007_023M,C21007_024E,C21007_024M,C21007_025E,C21007_025M,C21007_026E,C21007_026M,C21007_027E,C21007_027M,C21007_028E,C21007_028M,C21007_029E,C21007_029M,C21007_030E,C21007_030M,C21007_031E,C21007_031M,C21007_001M,C21007_001EA,C21007_001MA,C21007_002M,C21007_002EA,C21007_002MA,C21007_003M,C21007_003EA,C21007_003MA,C21007_004M,C21007_004EA,C21007_004MA,C21007_005M,C21007_005EA,C21007_005MA,C21007_006M,C21007_006EA,C21007_006MA,C21007_007M,C21007_007EA,C21007_007MA,C21007_008M,C21007_008EA,C21007_008MA,C21007_009M,C21007_009EA,C21007_009MA,C21007_010M,C21007_010EA,C21007_010MA,C21007_011M,C21007_011EA,C21007_011MA,C21007_012M,C21007_012EA,C21007_012MA,C21007_013M,C21007_013EA,C21007_013MA,C21007_014M,C21007_014EA,C21007_014MA,C21007_015M,C21007_015EA,C21007_015MA,C21007_016M,C21007_016EA,C21007_016MA,C21007_017M,C21007_017EA,C21007_017MA,C21007_018M,C21007_018EA,C21007_018MA,C21007_019M,C21007_019EA,C21007_019MA,C21007_020M,C21007_020EA,C21007_020MA,C21007_021M,C21007_021EA,C21007_021MA,C21007_022M,C21007_022EA,C21007_022MA,C21007_023M,C21007_023EA,C21007_023MA,C21007_024M,C21007_024EA,C21007_024MA,C21007_025M,C21007_025EA,C21007_025MA,C21007_026M,C21007_026EA,C21007_026MA,C21007_027M,C21007_027EA,C21007_027MA,C21007_028M,C21007_028EA,C21007_028MA,C21007_029M,C21007_029EA,C21007_029MA,C21007_030M,C21007_030EA,C21007_030MA,C21007_031M,C21007_031EA,C21007_031MA,state
16065583,5652,12044837,6522,642438,14726,60150,4321,21930,2316,38220,3613,582288,13879,94202,5723,488086,13129,11402399,16095,1635638,30744,308825,11973,1326813,26624,9766761,30874,827820,15100,8938941,29750,4020746,4299,767892,9022,42260,3161,19491,2016,22769,2837,725632,8550,285192,7359,440440,9391,3252854,9789,376116,9944,150239,6653,225877,8536,2876738,12294,874956,12917,2001782,14516,5652,null,null,6522,null,null,14726,null,null,4321,null,null,2316,null,null,3613,null,null,13879,null,null,5723,null,null,13129,null,null,16095,null,null,30744,null,null,11973,null,null,26624,null,null,30874,null,null,15100,null,null,29750,null,null,4299,null,null,9022,null,null,3161,null,null,2016,null,null,2837,null,null,8550,null,null,7359,null,null,9391,null,null,9789,null,null,9944,null,null,6653,null,null,8536,null,null,12294,null,null,12917,null,null,14516,null,null,12
7533169,5032,6202866,6234,380293,11610,32709,3253,12839,2155,19870,2433,347584,10947,63893,5005,283691,10233,5822573,13092,869756,18894,168044,8139,701712,18801,4952817,21958,450583,13504,4502234,20573,1330303,3964,254659,5481,15238,2181,7946,1439,7292,1466,239421,5054,92746,4379,146675,4777,1075644,6463,118503,5299,54868,3682,63635,4416,957141,6995,330472,8640,626669,8802,5032,null,null,6234,null,null,11610,null,null,3253,null,null,2155,null,null,2433,null,null,10947,null,null,5005,null,null,10233,null,null,13092,null,null,18894,null,null,8139,null,null,18801,null,null,21958,null,null,13504,null,null,20573,null,null,3964,null,null,5481,null,null,2181,null,null,1439,null,null,1466,null,null,5054,null,null,4379,null,null,4777,null,null,6463,null,null,5299,null,null,3682,null,null,4416,null,null,6995,null,null,8640,null,null,8802,null,null,13
1062737,2718,824003,2767,58665,3409,3769,1198,1448,887,2321,800,54896,3238,7532,1464,47364,2894,765338,3846,73573,6401,13672,2384,59901,5273,691765,7359,43154,3367,648611,7367,238734,714,44357,2095,2135,1011,1168,1048,967,495,42222,2089,17265,1684,24957,2202,194377,2150,19214,2193,9526,1728,9688,1326,175163,2737,53841,2813,121322,2829,2718,null,null,2767,null,null,3409,null,null,1198,null,null,887,null,null,800,null,null,3238,null,null,1464,null,null,2894,null,null,3846,null,null,6401,null,null,2384,null,null,5273,null,null,7359,null,null,3367,null,null,7367,null,null,714,null,null,2095,null,null,1011,null,null,1048,null,null,495,null,null,2089,null,null,1684,null,null,2202,null,null,2150,null,null,2193,null,null,1728,null,null,1326,null,null,2737,null,null,2813,null,null,2829,null,null,15
1219169,1487,966735,2113,51731,3571,4198,946,1631,703,2567,791,47533,3574,7830,1487,39703,3328,915004,4434,131624,8075,29946,3602,101678,6801,783380,9125,75789,3775,707591,8881,252434,1794,57264,2630,4122,921,1953,682,2169,666,53142,2678,23463,1996,29679,2087,195170,2902,21181,2895,9308,1856,11873,2060,173989,3579,56376,3333,117613,3852,1487,null,null,2113,null,null,3571,null,null,946,null,null,703,null,null,791,null,null,3574,null,null,1487,null,null,3328,null,null,4434,null,null,8075,null,null,3602,null,null,6801,null,null,9125,null,null,3775,null,null,8881,null,null,1794,null,null,2630,null,null,921,null,null,682,null,null,666,null,null,2678,null,null,1996,null,null,2087,null,null,2902,null,null,2895,null,null,1856,null,null,2060,null,null,3579,null,null,3333,null,null,3852,null,null,16
9609395,2765,7801485,4103,260764,7710,23616,2337,9562,1426,14054,1886,237148,7281,35698,3170,201450,6653,7540721,8178,920039,19657,171676,7252,748363,18334,6620682,21042,459693,11328,6160989,23583,1807910,3613,310683,5350,16473,1783,7486,1632,8987,1290,294210,5114,110912,4127,183298,4902,1497227,5769,149671,5612,66936,4053,82735,4957,1347556,7304,426047,7607,921509,9301,2765,null,null,4103,null,null,7710,null,null,2337,null,null,1426,null,null,1886,null,null,7281,null,null,3170,null,null,6653,null,null,8178,null,null,19657,null,null,7252,null,null,18334,null,null,21042,null,null,11328,null,null,23583,null,null,3613,null,null,5350,null,null,1783,null,null,1632,null,null,1290,null,null,5114,null,null,4127,null,null,4902,null,null,5769,null,null,5612,null,null,4053,null,null,4957,null,null,7304,null,null,7607,null,null,9301,null,null,17
4885295,3589,3928017,3795,182923,5837,15201,2021,6626,1351,8575,1371,167722,5583,31108,2656,136614,4963,3745094,7361,515956,12861,121573,5625,394383,11760,3229138,13506,321813,9158,2907325,14880,957278,2718,189765,4624,9792,1220,4370,720,5422,1036,179973,4834,75695,3417,104278,4517,767513,4873,63804,3936,32984,3047,30820,2725,703709,5605,241987,6235,461722,7195,3589,null,null,3795,null,null,5837,null,null,2021,null,null,1351,null,null,1371,null,null,5583,null,null,2656,null,null,4963,null,null,7361,null,null,12861,null,null,5625,null,null,11760,null,null,13506,null,null,9158,null,null,14880,null,null,2718,null,null,4624,null,null,1220,null,null,720,null,null,1036,null,null,4834,null,null,3417,null,null,4517,null,null,4873,null,null,3936,null,null,3047,null,null,2725,null,null,5605,null,null,6235,null,null,7195,null,null,18
2318196,1904,1826961,2690,81078,3557,6980,1389,1863,609,5117,1237,74098,3216,11312,1395,62786,3090,1745883,4607,210553,7219,40462,3295,170091,6902,1535330,8236,119608,5490,1415722,9794,491235,2015,98273,3093,4939,882,2507,650,2432,599,93334,3071,33635,2123,59699,2841,392962,3379,28874,2098,13359,1530,15515,1633,364088,3359,107101,3989,256987,4454,1904,null,null,2690,null,null,3557,null,null,1389,null,null,609,null,null,1237,null,null,3216,null,null,1395,null,null,3090,null,null,4607,null,null,7219,null,null,3295,null,null,6902,null,null,8236,null,null,5490,null,null,9794,null,null,2015,null,null,3093,null,null,882,null,null,650,null,null,599,null,null,3071,null,null,2123,null,null,2841,null,null,3379,null,null,2098,null,null,1530,null,null,1633,null,null,3359,null,null,3989,null,null,4454,null,null,19
2110140,2866,1690773,3581,86216,4491,6673,1161,2249,594,4424,920,79543,4203,14221,1806,65322,3839,1604557,5383,202643,8486,40891,2938,161752,8060,1401914,9419,129349,4587,1272565,9363,419367,2077,84746,3077,4659,1042,2236,592,2423,753,80087,2811,30749,1848,49338,2251,334621,3511,28864,2121,14095,1560,14769,1831,305757,3705,99276,3310,206481,4069,2866,null,null,3581,null,null,4491,null,null,1161,null,null,594,null,null,920,null,null,4203,null,null,1806,null,null,3839,null,null,5383,null,null,8486,null,null,2938,null,null,8060,null,null,9419,null,null,4587,null,null,9363,null,null,2077,null,null,3077,null,null,1042,null,null,592,null,null,753,null,null,2811,null,null,1848,null,null,2251,null,null,3511,null,null,2121,null,null,1560,null,null,1831,null,null,3705,null,null,3310,null,null,4069,null,null,20
3301459,3530,2636092,3826,135721,5660,13498,1976,6038,1379,7460,1343,122223,5382,25633,2607,96590,4481,2500371,6430,458332,13575,142208,6646,316124,12183,2042039,14396,262472,9285,1779567,15455,665367,2166,131455,3867,8042,1323,3727,931,4315,1018,123413,3832,55470,2838,67943,3284,533912,4373,66112,3844,37632,3283,28480,2521,467800,5445,184486,5470,283314,6477,3530,null,null,3826,null,null,5660,null,null,1976,null,null,1379,null,null,1343,null,null,5382,null,null,2607,null,null,4481,null,null,6430,null,null,13575,null,null,6646,null,null,12183,null,null,14396,null,null,9285,null,null,15455,null,null,2166,null,null,3867,null,null,1323,null,null,931,null,null,1018,null,null,3832,null,null,2838,null,null,3284,null,null,4373,null,null,3844,null,null,3283,null,null,2521,null,null,5445,null,null,5470,null,null,6477,null,null,21
3436815,2922,2782789,3650,124062,5689,14129,2082,5420,1177,8709,1654,109933,5395,18765,2092,91168,5247,2658727,6669,504990,15590,116160,5976,388830,14166,2153737,16810,241886,8232,1911851,18537,654026,2581,111037,3825,8172,1106,4494,1023,3678,839,102865,3900,42457,2811,60408,3226,542989,4528,76626,3900,37551,2382,39075,3002,466363,5579,174101,5560,292262,6438,2922,null,null,3650,null,null,5689,null,null,2082,null,null,1177,null,null,1654,null,null,5395,null,null,2092,null,null,5247,null,null,6669,null,null,15590,null,null,5976,null,null,14166,null,null,16810,null,null,8232,null,null,18537,null,null,2581,null,null,3825,null,null,1106,null,null,1023,null,null,839,null,null,3900,null,null,2811,null,null,3226,null,null,4528,null,null,3900,null,null,2382,null,null,3002,null,null,5579,null,null,5560,null,null,6438,null,null,22
