B15002C_001E,B15002C_001M,B15002C_002E,B15002C_002M,B15002C_003E,B15002C_003M,B15002C_004E,B15002C_004M,B15002C_005E,B15002C_005M,B15002C_006E,B15002C_006M,B15002C_007E,B15002C_007M,B15002C_008E,B15002C_008M,B15002C_009E,B15002C_009M,B15002C_010E,B15002C_010M,B15002C_011E,B15002C_011M,B15002C_012E,B15002C_012M,B15002C_013E,B15002C_013M,B15002C_014E,B15002C_014M,B15002C_015E,B15002C_015M,B15002C_016E,B15002C_016M,B15002C_017E,B15002C_017M,B15002C_018E,B15002C_018M,B15002C_019E,B15002C_019M,B15002C_001M,B15002C_001EA,B15002C_001MA,B15002C_002M,B15002C_002EA,B15002C_002MA,B15002C_003M,B15002C_003EA,B15002C_003MA,B15002C_004M,B15002C_004EA,B15002C_004MA,B15002C_005M,B15002C_005EA,B15002C_005MA,B15002C_006M,B15002C_006EA,B15002C_006MA,B15002C_007M,B15002C_007EA,B15002C_007MA,B15002C_008M,B15002C_008EA,B15002C_008MA,B15002C_009M,B15002C_009EA,B15002C_009MA,B15002C_010M,B15002C_010EA,B15002C_010MA,B15002C_011M,B15002C_011EA,B15002C_011MA,B15002C_012M,B15002C_012EA,B15002C_012MA,B15002C_013M,B15002C_013EA,B15002C_013MA,B15002C_014M,B15002C_014EA,B15002C_014MA,B15002C_015M,B15002C_015EA,B15002C_015MA,B15002C_016M,B15002C_016EA,B15002C_016MA,B15002C_017M,B15002C_017EA,B15002C_017MA,B15002C_018M,B15002C_018EA,B15002C_018MA,B15002C_019M,B15002C_019EA,B15002C_019MA,state
37597,4119,19708,2520,2826,1337,2371,724,4279,938,1046,633,3666,882,2429,1069,1787,619,1304,530,17889,2513,1412,638,2111,950,3241,882,1312,518,4573,1085,1766,734,2304,916,1170,525,4119,null,null,2520,null,null,1337,null,null,724,null,null,938,null,null,633,null,null,882,null,null,1069,null,null,619,null,null,530,null,null,2513,null,null,638,null,null,950,null,null,882,null,null,518,null,null,1085,null,null,734,null,null,916,null,null,525,null,null,12
23396,3404,11107,2493,2800,1338,1534,897,2351,1014,670,424,1592,731,497,295,728,365,935,870,12289,2062,1628,711,1850,719,2488,992,989,547,2650,916,962,547,1340,533,382,219,3404,null,null,2493,null,null,1338,null,null,897,null,null,1014,null,null,424,null,null,731,null,null,295,null,null,365,null,null,870,null,null,2062,null,null,711,null,null,719,null,null,992,null,null,547,null,null,916,null,null,547,null,null,533,null,null,219,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
15720,1949,8082,1322,565,335,981,618,2366,694,646,348,2018,767,357,216,791,415,358,365,7638,1222,291,237,583,403,1759,596,732,393,2340,824,656,340,681,362,596,465,1949,null,null,1322,null,null,335,null,null,618,null,null,694,null,null,348,null,null,767,null,null,216,null,null,415,null,null,365,null,null,1222,null,null,237,null,null,403,null,null,596,null,null,393,null,null,824,null,null,340,null,null,362,null,null,465,null,null,16
21134,2676,11759,1982,1717,687,1390,639,2174,876,898,460,2565,749,457,209,1586,766,972,609,9375,1338,946,425,893,379,1430,511,605,397,2786,638,1167,563,1073,445,475,358,2676,null,null,1982,null,null,687,null,null,639,null,null,876,null,null,460,null,null,749,null,null,209,null,null,766,null,null,609,null,null,1338,null,null,425,null,null,379,null,null,511,null,null,397,null,null,638,null,null,563,null,null,445,null,null,358,null,null,17
13260,1739,7007,1479,459,317,1201,799,1204,565,1091,573,1484,542,318,285,665,335,585,298,6253,1229,153,109,507,286,1771,730,489,234,1539,616,673,407,689,469,432,401,1739,null,null,1479,null,null,317,null,null,799,null,null,565,null,null,573,null,null,542,null,null,285,null,null,335,null,null,298,null,null,1229,null,null,109,null,null,286,null,null,730,null,null,234,null,null,616,null,null,407,null,null,469,null,null,401,null,null,18
6651,1152,3362,926,117,111,450,280,774,471,344,263,680,321,290,236,461,324,246,253,3289,870,335,281,232,123,662,389,320,296,361,229,407,275,512,425,460,354,1152,null,null,926,null,null,111,null,null,280,null,null,471,null,null,263,null,null,321,null,null,236,null,null,324,null,null,253,null,null,870,null,null,281,null,null,123,null,null,389,null,null,296,null,null,229,null,null,275,null,null,425,null,null,354,null,null,19
13981,1783,7474,1178,235,176,965,398,1869,545,387,220,2297,542,546,372,992,481,183,135,6507,1009,227,223,820,483,1215,431,415,270,1238,397,1259,435,837,334,496,295,1783,null,null,1178,null,null,176,null,null,398,null,null,545,null,null,220,null,null,542,null,null,372,null,null,481,null,null,135,null,null,1009,null,null,223,null,null,483,null,null,431,null,null,270,null,null,397,null,null,435,null,null,334,null,null,295,null,null,20
8520,1884,3926,1016,445,408,356,347,583,464,298,331,1583,644,82,128,347,255,232,222,4594,1405,313,253,334,280,1894,758,34,83,1017,738,609,456,372,286,21,42,1884,null,null,1016,null,null,408,null,null,347,null,null,464,null,null,331,null,null,644,null,null,128,null,null,255,null,null,222,null,null,1405,null,null,253,null,null,280,null,null,758,null,null,83,null,null,738,null,null,456,null,null,286,null,null,42,null,null,21
16132,1487,7609,982,1351,522,1207,654,1957,510,856,643,1371,610,130,109,494,255,243,195,8523,1207,1070,479,1042,453,2228,625,1025,599,1676,671,792,392,619,333,71,86,1487,null,null,982,null,null,522,null,null,654,null,null,510,null,null,643,null,null,610,null,null,109,null,null,255,null,null,195,null,null,1207,null,null,479,null,null,453,null,null,625,null,null,599,null,null,671,null,null,392,null,null,333,null,null,86,null,null,22
5069,810,2561,596,108,111,175,117,345,181,270,188,1335,450,196,164,73,96,59,63,2508,533,44,41,270,227,443,262,70,69,905,352,462,298,270,156,44,71,810,null,null,596,null,null,111,null,null,117,null,null,181,null,null,188,null,null,450,null,null,164,null,null,96,null,null,63,null,null,533,null,null,41,null,null,227,null,null,262,null,null,69,null,null,352,null,null,298,null,null,156,null,null,71,null,null,23
10474,1758,4978,1135,556,328,790,435,1074,497,173,145,1010,659,632,498,308,227,435,301,5496,1341,383,277,455,290,953,610,71,91,1010,464,614,663,1084,397,926,503,1758,null,null,1135,null,null,328,null,null,435,null,null,497,null,null,145,null,null,659,null,null,498,null,null,227,null,null,301,null,null,1341,null,null,277,null,null,290,null,null,610,null,null,91,null,null,464,null,null,663,null,null,397,null,null,503,null,null,24
8700,1638,4456,1225,630,477,348,367,1182,638,418,529,826,402,419,364,488,324,145,155,4244,1012,354,340,264,219,1084,500,396,351,507,308,315,287,998,554,326,207,1638,null,null,1225,null,null,477,null,null,367,null,null,638,null,null,529,null,null,402,null,null,364,null,null,324,null,null,155,null,null,1012,null,null,340,null,null,219,null,null,500,null,null,351,null,null,308,null,null,287,null,null,554,null,null,207,null,null,25
34336,2208,16910,1450,1431,533,1663,476,3258,602,2465,711,4948,1028,1145,428,1549,583,451,248,17426,1545,1059,476,1560,603,3671,764,1220,441,5348,1108,2711,585,1070,372,787,341,2208,null,null,1450,null,null,533,null,null,476,null,null,602,null,null,711,null,null,1028,null,null,428,null,null,583,null,null,248,null,null,1545,null,null,476,null,null,603,null,null,764,null,null,441,null,null,1108,null,null,585,null,null,372,null,null,341,null,null,26
35161,1799,16181,1115,348,184,1896,483,4492,789,2556,741,4403,779,790,280,868,389,828,325,18980,1119,672,272,2437,724,2507,593,2025,534,5839,933,2271,553,1985,587,1244,372,1799,null,null,1115,null,null,184,null,null,483,null,null,789,null,null,741,null,null,779,null,null,280,null,null,389,null,null,325,null,null,1119,null,null,272,null,null,724,null,null,593,null,null,534,null,null,933,null,null,553,null,null,587,null,null,372,null,null,27
6936,1179,3132,824,179,211,863,484,614,276,275,240,704,383,162,180,119,145,216,279,3804,725,337,205,378,285,665,399,59,100,1350,599,424,296,374,268,217,200,1179,null,null,824,null,null,211,null,null,484,null,null,276,null,null,240,null,null,383,null,null,180,null,null,145,null,null,279,null,null,725,null,null,205,null,null,285,null,null,399,null,null,100,null,null,599,null,null,296,null,null,268,null,null,200,null,null,28
18485,2209,9185,1408,894,445,1322,667,1719,685,838,328,2368,628,888,410,933,408,223,174,9300,1393,283,224,1238,542,1293,524,908,554,2697,892,619,345,1814,716,448,276,2209,null,null,1408,null,null,445,null,null,667,null,null,685,null,null,328,null,null,628,null,null,410,null,null,408,null,null,174,null,null,1393,null,null,224,null,null,542,null,null,524,null,null,554,null,null,892,null,null,345,null,null,716,null,null,276,null,null,29
34821,1589,17068,1165,539,294,2439,523,4643,672,1761,555,4374,889,1448,380,1310,392,554,282,17753,1292,412,240,1843,462,3318,666,1297,419,4830,729,2716,739,2183,792,1154,487,1589,null,null,1165,null,null,294,null,null,523,null,null,672,null,null,555,null,null,889,null,null,380,null,null,392,null,null,282,null,null,1292,null,null,240,null,null,462,null,null,666,null,null,419,null,null,729,null,null,739,null,null,792,null,null,487,null,null,30
8453,1100,4221,822,312,150,502,243,787,298,753,580,927,264,341,162,436,280,163,156,4232,661,302,216,404,215,757,392,366,253,1380,334,357,162,251,131,415,316,1100,null,null,822,null,null,150,null,null,243,null,null,298,null,null,580,null,null,264,null,null,162,null,null,280,null,null,156,null,null,661,null,null,216,null,null,215,null,null,392,null,null,253,null,null,334,null,null,162,null,null,131,null,null,316,null,null,31
21522,1851,9798,1160,188,131,1024,364,2717,637,575,293,3674,783,633,322,679,343,308,237,11724,1157,497,351,1060,392,2434,643,1258,521,4584,757,705,317,811,405,375,203,1851,null,null,1160,null,null,131,null,null,364,null,null,637,null,null,293,null,null,783,null,null,322,null,null,343,null,null,237,null,null,1157,null,null,351,null,null,392,null,null,643,null,null,521,null,null,757,null,null,317,null,null,405,null,null,203,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
