C17010G_001E,C17010G_001M,C17010G_002E,C17010G_002M,C17010G_003E,C17010G_003M,C17010G_004E,C17010G_004M,C17010G_005E,C17010G_005M,C17010G_006E,C17010G_006M,C17010G_007E,C17010G_007M,C17010G_008E,C17010G_008M,C17010G_009E,C17010G_009M,C17010G_010E,C17010G_010M,C17010G_011E,C17010G_011M,C17010G_012E,C17010G_012M,C17010G_013E,C17010G_013M,C17010G_014E,C17010G_014M,C17010G_015E,C17010G_015M,C17010G_016E,C17010G_016M,C17010G_017E,C17010G_017M,C17010G_001M,C17010G_001EA,C17010G_001MA,C17010G_002M,C17010G_002EA,C17010G_002MA,C17010G_003M,C17010G_003EA,C17010G_003MA,C17010G_004M,C17010G_004EA,C17010G_004MA,C17010G_005M,C17010G_005EA,C17010G_005MA,C17010G_006M,C17010G_006EA,C17010G_006MA,C17010G_007M,C17010G_007EA,C17010G_007MA,C17010G_008M,C17010G_008EA,C17010G_008MA,C17010G_009M,C17010G_009EA,C17010G_009MA,C17010G_010M,C17010G_010EA,C17010G_010MA,C17010G_011M,C17010G_011EA,C17010G_011MA,C17010G_012M,C17010G_012EA,C17010G_012MA,C17010G_013M,C17010G_013EA,C17010G_013MA,C17010G_014M,C17010G_014EA,C17010G_014MA,C17010G_015M,C17010G_015EA,C17010G_015MA,C17010G_016M,C17010G_016EA,C17010G_016MA,C17010G_017M,C17010G_017EA,C17010G_017MA,state
78987,4339,12423,2148,5110,1428,3561,1187,7313,1656,605,390,259,298,6708,1536,5700,1344,66564,4045,46551,3906,23497,2614,20013,2290,5703,1401,3019,1190,14310,1885,8758,1647,4339,null,null,2148,null,null,1428,null,null,1187,null,null,1656,null,null,390,null,null,298,null,null,1536,null,null,1344,null,null,4045,null,null,3906,null,null,2614,null,null,2290,null,null,1401,null,null,1190,null,null,1885,null,null,1647,null,null,12
35907,3391,5024,1371,1401,536,1036,463,3623,1155,819,574,653,510,2804,976,2537,940,30883,3017,22837,2431,12319,1963,8046,1502,2713,862,1170,618,5333,1243,3236,980,3391,null,null,1371,null,null,536,null,null,463,null,null,1155,null,null,574,null,null,510,null,null,976,null,null,940,null,null,3017,null,null,2431,null,null,1963,null,null,1502,null,null,862,null,null,618,null,null,1243,null,null,980,null,null,13
56238,3085,3850,888,887,419,581,343,2963,761,763,422,506,295,2200,677,2048,644,52388,3126,36987,2681,21074,2183,15401,1935,5698,1294,3754,1048,9703,1269,4687,834,3085,null,null,888,null,null,419,null,null,343,null,null,761,null,null,422,null,null,295,null,null,677,null,null,644,null,null,3126,null,null,2681,null,null,2183,null,null,1935,null,null,1294,null,null,1048,null,null,1269,null,null,834,null,null,15
6653,1412,700,409,521,353,316,229,179,160,58,69,58,69,121,153,110,151,5953,1422,5215,1338,1925,689,738,457,287,240,136,138,451,340,238,242,1412,null,null,409,null,null,353,null,null,229,null,null,160,null,null,69,null,null,69,null,null,153,null,null,151,null,null,1422,null,null,1338,null,null,689,null,null,457,null,null,240,null,null,138,null,null,340,null,null,242,null,null,16
43934,3240,7226,1178,1517,628,1259,607,5709,1105,760,412,637,432,4949,1082,4582,1069,36708,2808,25084,2534,13576,1753,11624,1767,2977,1000,1255,719,8647,1306,5069,1006,3240,null,null,1178,null,null,628,null,null,607,null,null,1105,null,null,412,null,null,432,null,null,1082,null,null,1069,null,null,2808,null,null,2534,null,null,1753,null,null,1767,null,null,1000,null,null,719,null,null,1306,null,null,1006,null,null,17
17357,2235,3613,1057,881,467,519,340,2732,881,464,280,246,258,2268,822,2112,776,13744,2019,9160,1583,4161,1162,4584,1083,713,372,221,152,3871,1033,2911,1061,2235,null,null,1057,null,null,467,null,null,340,null,null,881,null,null,280,null,null,258,null,null,822,null,null,776,null,null,2019,null,null,1583,null,null,1162,null,null,1083,null,null,372,null,null,152,null,null,1033,null,null,1061,null,null,18
6441,1229,978,584,120,94,77,69,858,569,66,130,66,130,792,530,779,527,5463,996,3646,844,2197,714,1817,766,287,203,245,176,1530,722,1290,673,1229,null,null,584,null,null,94,null,null,69,null,null,569,null,null,130,null,null,130,null,null,530,null,null,527,null,null,996,null,null,844,null,null,714,null,null,766,null,null,203,null,null,176,null,null,722,null,null,673,null,null,19
14993,1615,1845,649,416,239,394,240,1429,582,77,93,27,37,1352,579,1051,574,13148,1554,10201,1503,5645,1146,2947,705,1018,443,902,420,1929,617,1439,575,1615,null,null,649,null,null,239,null,null,240,null,null,582,null,null,93,null,null,37,null,null,579,null,null,574,null,null,1554,null,null,1503,null,null,1146,null,null,705,null,null,443,null,null,420,null,null,617,null,null,575,null,null,20
12450,1877,2600,874,625,310,471,260,1975,787,417,369,417,369,1558,716,1278,634,9850,1463,6300,1190,3026,897,3550,1006,773,438,328,361,2777,944,2116,753,1877,null,null,874,null,null,310,null,null,260,null,null,787,null,null,369,null,null,369,null,null,716,null,null,634,null,null,1463,null,null,1190,null,null,897,null,null,1006,null,null,438,null,null,361,null,null,944,null,null,753,null,null,21
14482,2264,2604,1012,210,167,61,84,2394,1016,132,173,31,51,2262,1018,2180,1033,11878,1913,9271,1749,3842,1237,2607,709,1293,561,814,497,1314,458,938,417,2264,null,null,1012,null,null,167,null,null,84,null,null,1016,null,null,173,null,null,51,null,null,1018,null,null,1033,null,null,1913,null,null,1749,null,null,1237,null,null,709,null,null,561,null,null,497,null,null,458,null,null,417,null,null,22
4269,1066,1016,584,137,182,116,179,879,551,36,65,36,65,843,549,843,549,3253,842,1832,717,1014,526,1421,566,352,306,291,299,1069,474,725,405,1066,null,null,584,null,null,182,null,null,179,null,null,551,null,null,65,null,null,65,null,null,549,null,null,549,null,null,842,null,null,717,null,null,526,null,null,566,null,null,306,null,null,299,null,null,474,null,null,405,null,null,23
27712,2510,3131,814,1128,578,666,416,2003,719,31,52,31,52,1972,708,1705,702,24581,2305,16897,1820,9485,1478,7684,1381,2673,913,1042,517,5011,1046,3221,874,2510,null,null,814,null,null,578,null,null,416,null,null,719,null,null,52,null,null,52,null,null,708,null,null,702,null,null,2305,null,null,1820,null,null,1478,null,null,1381,null,null,913,null,null,517,null,null,1046,null,null,874,null,null,24
30514,3041,4475,1135,1135,530,788,408,3340,960,463,405,463,405,2877,943,2341,881,26039,2821,14430,2087,8227,1536,11609,1776,3877,1042,2041,889,7732,1394,5473,1219,3041,null,null,1135,null,null,530,null,null,408,null,null,960,null,null,405,null,null,405,null,null,943,null,null,881,null,null,2821,null,null,2087,null,null,1536,null,null,1776,null,null,1042,null,null,889,null,null,1394,null,null,1219,null,null,25
44421,3230,7858,1395,2298,660,1631,622,5560,1161,500,327,301,286,5060,1091,4798,1041,36563,2932,23479,2404,11922,1611,13084,1887,5289,1266,3651,1091,7795,1328,5032,1074,3230,null,null,1395,null,null,660,null,null,622,null,null,1161,null,null,327,null,null,286,null,null,1091,null,null,1041,null,null,2932,null,null,2404,null,null,1611,null,null,1887,null,null,1266,null,null,1091,null,null,1328,null,null,1074,null,null,26
18497,1994,2115,721,510,293,459,298,1605,628,281,184,199,164,1324,576,1271,563,16382,1784,10836,1428,6680,1122,5546,1199,1417,612,992,520,4129,1106,3317,1076,1994,null,null,721,null,null,293,null,null,298,null,null,628,null,null,184,null,null,164,null,null,576,null,null,563,null,null,1784,null,null,1428,null,null,1122,null,null,1199,null,null,612,null,null,520,null,null,1106,null,null,1076,null,null,27
4057,1084,894,470,280,267,280,267,614,431,0,213,0,213,614,431,158,114,3163,944,1983,732,1064,577,1180,612,419,453,310,411,761,391,612,367,1084,null,null,470,null,null,267,null,null,267,null,null,431,null,null,213,null,null,213,null,null,431,null,null,114,null,null,944,null,null,732,null,null,577,null,null,612,null,null,453,null,null,411,null,null,391,null,null,367,null,null,28
20062,2189,2743,701,948,455,610,370,1795,524,298,241,183,159,1497,492,1236,475,17319,2130,11572,1761,5548,1119,5747,1302,1519,493,742,321,4228,1209,2751,1117,2189,null,null,701,null,null,455,null,null,370,null,null,524,null,null,241,null,null,159,null,null,492,null,null,475,null,null,2130,null,null,1761,null,null,1119,null,null,1302,null,null,493,null,null,321,null,null,1209,null,null,1117,null,null,29
5065,1026,540,393,237,335,214,335,303,198,56,96,0,168,247,174,206,163,4525,964,3310,799,1785,634,1215,583,521,334,100,119,694,438,304,223,1026,null,null,393,null,null,335,null,null,335,null,null,198,null,null,96,null,null,168,null,null,174,null,null,163,null,null,964,null,null,799,null,null,634,null,null,583,null,null,334,null,null,119,null,null,438,null,null,223,null,null,30
5966,1048,1225,684,707,585,331,413,518,323,114,131,53,75,404,278,343,268,4741,832,3249,731,1833,542,1492,522,681,350,523,334,811,397,652,360,1048,null,null,684,null,null,585,null,null,413,null,null,323,null,null,131,null,null,75,null,null,278,null,null,268,null,null,832,null,null,731,null,null,542,null,null,522,null,null,350,null,null,334,null,null,397,null,null,360,null,null,31
20627,1943,2252,827,428,298,227,218,1824,761,198,177,123,127,1626,743,1531,722,18375,1879,11426,1472,5185,999,6949,1175,1852,554,859,384,5097,1128,3295,864,1943,null,null,827,null,null,298,null,null,218,null,null,761,null,null,177,null,null,127,null,null,743,null,null,722,null,null,1879,null,null,1472,null,null,999,null,null,1175,null,null,554,null,null,384,null,null,1128,null,null,864,null,null,32
3707,859,360,302,0,187,0,187,360,302,0,187,0,187,360,302,360,302,3347,854,1982,668,792,471,1365,552,649,404,601,414,716,401,453,373,859,null,null,302,null,null,187,null,null,187,null,null,302,null,null,187,null,null,187,null,null,302,null,null,302,null,null,854,null,null,668,null,null,471,null,null,552,null,null,404,null,null,414,null,null,401,null,null,373,null,null,33
36620,2842,4536,1461,1049,466,768,415,3487,1358,764,656,682,687,2723,1184,2461,1177,32084,2545,23525,2069,12336,1518,8559,1443,2217,836,1026,577,6342,1231,3583,794,2842,null,null,1461,null,null,466,null,null,415,null,null,1358,null,null,656,null,null,687,null,null,1184,null,null,1177,null,null,2545,null,null,2069,null,null,1518,null,null,1443,null,null,836,null,null,577,null,null,1231,null,null,794,null,null,34
10830,1823,816,416,199,183,80,128,617,347,19,33,19,33,598,343,363,203,10014,1820,7102,1487,3245,1089,2912,861,1134,581,308,238,1778,573,805,407,1823,null,null,416,null,null,183,null,null,128,null,null,347,null,null,33,null,null,33,null,null,343,null,null,203,null,null,1820,null,null,1487,null,null,1089,null,null,861,null,null,581,null,null,238,null,null,573,null,null,407,null,null,35
91583,5744,16721,2386,5232,1110,3985,964,11489,2000,971,468,728,430,10518,1954,9060,1755,74862,4989,49094,3838,26694,3246,25768,3073,6532,1703,3249,1203,19236,2305,11844,1838,5744,null,null,2386,null,null,1110,null,null,964,null,null,2000,null,null,468,null,null,430,null,null,1954,null,null,1755,null,null,4989,null,null,3838,null,null,3246,null,null,3073,null,null,1703,null,null,1203,null,null,2305,null,null,1838,null,null,36
36796,3230,6251,1423,1373,585,1066,516,4878,1290,741,631,648,619,4137,1087,3654,1063,30545,3116,21611,2685,11843,2045,8934,1744,2386,987,1544,853,6548,1521,4350,1147,3230,null,null,1423,null,null,585,null,null,516,null,null,1290,null,null,631,null,null,619,null,null,1087,null,null,1063,null,null,3116,null,null,2685,null,null,2045,null,null,1744,null,null,987,null,null,853,null,null,1521,null,null,1147,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
40669,3143,10289,1824,2454,783,1570,610,7835,1644,1216,566,919,500,6619,1576,6573,1556,30380,2725,20914,2383,11201,1759,9466,1411,2717,763,1705,588,6749,1283,4654,1013,3143,null,null,1824,null,null,783,null,null,610,null,null,1644,null,null,566,null,null,500,null,null,1576,null,null,1556,null,null,2725,null,null,2383,null,null,1759,null,null,1411,null,null,763,null,null,588,null,null,1283,null,null,1013,null,null,39
53827,2654,9166,1231,2914,737,2063,625,6252,1107,1332,527,1291,529,4920,890,4268,821,44661,2502,33371,2313,17796,1753,11290,1375,4000,859,1932,640,7290,1090,4630,810,2654,null,null,1231,null,null,737,null,null,625,null,null,1107,null,null,527,null,null,529,null,null,890,null,null,821,null,null,2502,null,null,2313,null,null,1753,null,null,1375,null,null,859,null,null,640,null,null,1090,null,null,810,null,null,40
34697,3153,5586,1428,2514,1013,1753,838,3072,940,462,326,449,320,2610,920,2280,847,29111,2955,20558,2627,10501,1933,8553,1623,2704,945,1424,686,5849,1261,3126,985,3153,null,null,1428,null,null,1013,null,null,838,null,null,940,null,null,326,null,null,320,null,null,920,null,null,847,null,null,2955,null,null,2627,null,null,1933,null,null,1623,null,null,945,null,null,686,null,null,1261,null,null,985,null,null,41
44075,3337,10053,1830,3024,1006,2508,923,7029,1611,988,643,646,540,6041,1457,5813,1454,34022,2955,21342,2169,12244,1794,12680,1792,3441,839,1815,593,9239,1475,6537,1241,3337,null,null,1830,null,null,1006,null,null,923,null,null,1611,null,null,643,null,null,540,null,null,1457,null,null,1454,null,null,2955,null,null,2169,null,null,1794,null,null,1792,null,null,839,null,null,593,null,null,1475,null,null,1241,null,null,42
4677,1095,1195,528,189,201,59,100,1006,479,76,125,76,125,930,464,930,464,3482,891,1858,636,865,502,1624,651,312,240,196,181,1312,630,763,534,1095,null,null,528,null,null,201,null,null,100,null,null,479,null,null,125,null,null,125,null,null,464,null,null,464,null,null,891,null,null,636,null,null,502,null,null,651,null,null,240,null,null,181,null,null,630,null,null,534,null,null,44
10810,1785,2077,823,494,312,300,219,1583,731,54,64,34,57,1529,724,1475,714,8733,1671,5937,1342,3084,902,2796,930,921,588,545,491,1875,716,1005,623,1785,null,null,823,null,null,312,null,null,219,null,null,731,null,null,64,null,null,57,null,null,724,null,null,714,null,null,1671,null,null,1342,null,null,902,null,null,930,null,null,588,null,null,491,null,null,716,null,null,623,null,null,45
2403,751,616,414,124,198,124,198,492,340,127,206,127,206,365,266,365,266,1787,646,1164,607,552,323,623,252,267,146,158,99,356,221,201,164,751,null,null,414,null,null,198,null,null,198,null,null,340,null,null,206,null,null,206,null,null,266,null,null,266,null,null,646,null,null,607,null,null,323,null,null,252,null,null,146,null,null,99,null,null,221,null,null,164,null,null,46
20196,2168,4150,901,1106,503,499,312,3044,749,623,403,440,316,2421,665,2148,662,16046,1978,11234,1594,4994,1071,4812,1139,1099,457,624,390,3713,1025,2278,895,2168,null,null,901,null,null,503,null,null,312,null,null,749,null,null,403,null,null,316,null,null,665,null,null,662,null,null,1978,null,null,1594,null,null,1071,null,null,1139,null,null,457,null,null,390,null,null,1025,null,null,895,null,null,47
115309,6145,12997,1757,4442,968,2747,758,8555,1534,1585,733,1341,735,6970,1513,6395,1513,102312,6114,73272,5032,39570,3932,29040,3113,9567,1931,5229,1472,19473,2509,11978,1929,6145,null,null,1757,null,null,968,null,null,758,null,null,1534,null,null,733,null,null,735,null,null,1513,null,null,1513,null,null,6114,null,null,5032,null,null,3932,null,null,3113,null,null,1931,null,null,1472,null,null,2509,null,null,1929,null,null,48
12183,1603,1260,659,257,224,163,186,1003,601,140,175,95,161,863,518,863,518,10923,1589,8631,1474,5256,1098,2292,785,661,529,506,502,1631,627,708,452,1603,null,null,659,null,null,224,null,null,186,null,null,601,null,null,175,null,null,161,null,null,518,null,null,518,null,null,1589,null,null,1474,null,null,1098,null,null,785,null,null,529,null,null,502,null,null,627,null,null,452,null,null,49
1327,424,358,274,240,220,76,103,118,114,80,110,80,110,38,37,38,37,969,316,817,298,250,154,152,107,30,34,13,20,122,98,78,81,424,null,null,274,null,null,220,null,null,103,null,null,114,null,null,110,null,null,110,null,null,37,null,null,37,null,null,316,null,null,298,null,null,154,null,null,107,null,null,34,null,null,20,null,null,98,null,null,81,null,null,50
