B07404G_001E,B07404G_001M,B07404G_002E,B07404G_002M,B07404G_003E,B07404G_003M,B07404G_004E,B07404G_004M,B07404G_005E,B07404G_005M,B07404G_001M,B07404G_001EA,B07404G_001MA,B07404G_002M,B07404G_002EA,B07404G_002MA,B07404G_003M,B07404G_003EA,B07404G_003MA,B07404G_004M,B07404G_004EA,B07404G_004MA,B07404G_005M,B07404G_005EA,B07404G_005MA,state
514348,21354,418335,18881,59191,6447,18286,3219,18536,3666,21354,null,null,18881,null,null,6447,null,null,3219,null,null,3666,null,null,12
247214,13963,197642,13220,22711,4588,14937,3151,11924,2725,13963,null,null,13220,null,null,4588,null,null,3151,null,null,2725,null,null,13
335115,13318,291822,12232,29663,4433,2846,1039,10784,2395,13318,null,null,12232,null,null,4433,null,null,1039,null,null,2395,null,null,15
39632,3033,31098,3127,4160,1471,2276,1140,2098,970,3033,null,null,3127,null,null,1471,null,null,1140,null,null,970,null,null,16
311941,13803,248924,12129,39468,4833,11209,2555,12340,3820,13803,null,null,12129,null,null,4833,null,null,2555,null,null,3820,null,null,17
152039,8236,119923,7171,20813,3977,6146,1341,5157,1415,8236,null,null,7171,null,null,3977,null,null,1341,null,null,1415,null,null,18
55124,3848,42430,3881,6417,1695,4100,1727,2177,869,3848,null,null,3881,null,null,1695,null,null,1727,null,null,869,null,null,19
98155,5561,76545,4690,14653,3301,4003,1055,2954,1417,5561,null,null,4690,null,null,3301,null,null,1055,null,null,1417,null,null,20
87750,6642,66254,5579,12030,2391,5917,1673,3549,1532,6642,null,null,5579,null,null,2391,null,null,1673,null,null,1532,null,null,21
86693,8215,70444,7514,10837,2350,2782,1075,2630,941,8215,null,null,7514,null,null,2350,null,null,1075,null,null,941,null,null,22
25083,2590,21239,2457,3204,1215,224,215,416,269,2590,null,null,2457,null,null,1215,null,null,215,null,null,269,null,null,23
196592,10248,162054,10385,17186,3234,8754,2429,8598,2061,10248,null,null,10385,null,null,3234,null,null,2429,null,null,2061,null,null,24
202984,11635,171460,10275,19984,3586,6479,1574,5061,1355,11635,null,null,10275,null,null,3586,null,null,1574,null,null,1355,null,null,25
298297,12330,234039,10884,43511,4883,13397,2126,7350,2957,12330,null,null,10884,null,null,4883,null,null,2126,null,null,2957,null,null,26
151426,8324,118385,7017,16234,2728,11301,2046,5506,1297,8324,null,null,7017,null,null,2728,null,null,2046,null,null,1297,null,null,27
32977,4709,27671,4491,2281,1039,1238,777,1787,804,4709,null,null,4491,null,null,1039,null,null,777,null,null,804,null,null,28
143862,7998,113548,8030,16467,2963,7663,1689,6184,1795,7998,null,null,8030,null,null,2963,null,null,1689,null,null,1795,null,null,29
31631,2826,23782,2800,5095,1636,1651,904,1103,633,2826,null,null,2800,null,null,1636,null,null,904,null,null,633,null,null,30
43623,4548,32202,2962,7888,3185,1689,725,1844,865,4548,null,null,2962,null,null,3185,null,null,725,null,null,865,null,null,31
131934,9705,103926,8616,20947,4097,1065,572,5996,1754,9705,null,null,8616,null,null,4097,null,null,572,null,null,1754,null,null,32
27202,2992,23160,3142,1798,609,1098,532,1146,672,2992,null,null,3142,null,null,609,null,null,532,null,null,672,null,null,33
232011,12506,200076,12090,17723,3737,7294,2271,6918,2066,12506,null,null,12090,null,null,3737,null,null,2271,null,null,2066,null,null,34
64063,6129,49643,5832,9093,2126,1884,905,3443,1203,6129,null,null,5832,null,null,2126,null,null,905,null,null,1203,null,null,35
599470,22405,509635,21650,50749,5380,20574,3347,18512,3204,22405,null,null,21650,null,null,5380,null,null,3347,null,null,3204,null,null,36
251719,11575,198758,10514,30190,4483,14500,3283,8271,1951,11575,null,null,10514,null,null,4483,null,null,3283,null,null,1951,null,null,37
21161,2839,15459,2437,3152,1394,1501,1090,1049,700,2839,null,null,2437,null,null,1394,null,null,1090,null,null,700,null,null,38
309831,12719,240110,11685,46394,5433,15603,2077,7724,1720,12719,null,null,11685,null,null,5433,null,null,2077,null,null,1720,null,null,39
293860,8352,236611,7512,38213,4250,13389,2115,5647,1651,8352,null,null,7512,null,null,4250,null,null,2115,null,null,1651,null,null,40
198783,10487,154939,9153,26749,4587,12243,3914,4852,1280,10487,null,null,9153,null,null,4587,null,null,3914,null,null,1280,null,null,41
307811,12326,250785,10655,37387,5469,11067,2240,8572,1797,12326,null,null,10655,null,null,5469,null,null,2240,null,null,1797,null,null,42
31147,4457,23642,3869,5089,2078,1440,1101,976,566,4457,null,null,3869,null,null,2078,null,null,1101,null,null,566,null,null,44
104738,8495,80962,8125,11330,2282,6708,1838,5738,1979,8495,null,null,8125,null,null,2282,null,null,1838,null,null,1979,null,null,45
20443,2757,14688,2208,3643,1366,992,459,1120,553,2757,null,null,2208,null,null,1366,null,null,459,null,null,553,null,null,46
136037,9982,106856,8546,16869,3445,5824,1728,6488,1855,9982,null,null,8546,null,null,3445,null,null,1728,null,null,1855,null,null,47
684512,20788,551149,17591,77779,7134,34805,4144,20779,2738,20788,null,null,17591,null,null,7134,null,null,4144,null,null,2738,null,null,48
85546,6679,68280,6421,10884,2476,2615,918,3767,1543,6679,null,null,6421,null,null,2476,null,null,918,null,null,1543,null,null,49
11432,1545,9926,1462,1084,621,153,122,269,204,1545,null,null,1462,null,null,621,null,null,122,null,null,204,null,null,50
295239,12178,232565,10566,31621,4517,19311,3075,11742,2344,12178,null,null,10566,null,null,4517,null,null,3075,null,null,2344,null,null,51
392706,14792,313941,13227,50897,4839,16937,2944,10931,2065,14792,null,null,13227,null,null,4839,null,null,2944,null,null,2065,null,null,53
30681,3677,23301,2926,3831,1474,1686,695,1863,887,3677,null,null,2926,null,null,1474,null,null,695,null,null,887,null,null,54
133735,7572,105881,7310,17358,2554,6352,1903,4144,1083,7572,null,null,7310,null,null,2554,null,null,1903,null,null,1083,null,null,55
14790,2002,11385,1890,2539,1104,450,382,416,262,2002,null,null,1890,null,null,1104,null,null,382,null,null,262,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
81469,6982,65019,5307,10846,3413,3160,1228,2444,882,6982,null,null,5307,null,null,3413,null,null,1228,null,null,882,null,null,01
63186,5271,49969,4890,8447,2066,2182,745,2588,1167,5271,null,null,4890,null,null,2066,null,null,745,null,null,1167,null,null,02
237470,13314,184909,12129,35286,5357,5922,1387,11353,2624,13314,null,null,12129,null,null,5357,null,null,1387,null,null,2624,null,null,04
72361,5879,56721,4839,10381,2697,3226,1279,2033,679,5879,null,null,4839,null,null,2697,null,null,1279,null,null,679,null,null,05
1823161,30097,1521183,25842,191130,10035,74098,5918,36750,4342,30097,null,null,25842,null,null,10035,null,null,5918,null,null,4342,null,null,06
178212,10549,143747,9559,17084,2648,9703,1686,7678,2026,10549,null,null,9559,null,null,2648,null,null,1686,null,null,2026,null,null,08
