B22005D_001E,B22005D_001M,B22005D_002E,B22005D_002M,B22005D_003E,B22005D_003M,B22005D_001M,B22005D_001EA,B22005D_001MA,B22005D_002M,B22005D_002EA,B22005D_002MA,B22005D_003M,B22005D_003EA,B22005D_003MA,state
170014,5261,12530,1918,157484,4974,5261,null,null,1918,null,null,4974,null,null,12
124400,4052,7986,1391,116414,4225,4052,null,null,1391,null,null,4225,null,null,13
178552,4222,14768,2017,163784,4350,4222,null,null,2017,null,null,4350,null,null,15
7651,1462,678,367,6973,1524,1462,null,null,367,null,null,1524,null,null,16
223951,4791,20372,2553,203579,4636,4791,null,null,2553,null,null,4636,null,null,17
42879,2180,4921,1078,37958,2112,2180,null,null,1078,null,null,2112,null,null,18
24412,1503,2355,735,22057,1616,1503,null,null,735,null,null,1616,null,null,19
25029,1859,2205,691,22824,1818,1859,null,null,691,null,null,1818,null,null,20
18822,1319,1679,715,17143,1354,1319,null,null,715,null,null,1354,null,null,21
24139,1653,2159,738,21980,1720,1653,null,null,738,null,null,1720,null,null,22
5209,902,1310,548,3899,866,902,null,null,548,null,null,866,null,null,23
120317,3133,8368,1325,111949,3263,3133,null,null,1325,null,null,3263,null,null,24
136364,3396,15908,2025,120456,3693,3396,null,null,2025,null,null,3693,null,null,25
95420,2632,6872,1103,88548,2775,2632,null,null,1103,null,null,2775,null,null,26
70448,2307,11050,1339,59398,2397,2307,null,null,1339,null,null,2397,null,null,27
8744,1350,301,350,8443,1337,1350,null,null,350,null,null,1337,null,null,28
37491,1815,1826,778,35665,1829,1815,null,null,778,null,null,1829,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
12250,1355,1104,541,11146,1340,1355,null,null,541,null,null,1340,null,null,31
78567,3080,5065,1117,73502,3212,3080,null,null,1117,null,null,3212,null,null,32
10532,1216,467,297,10065,1193,1216,null,null,297,null,null,1193,null,null,33
268445,3933,13808,1523,254637,4128,3933,null,null,1523,null,null,4128,null,null,34
9512,1372,899,463,8613,1250,1372,null,null,463,null,null,1250,null,null,35
516925,6826,68126,3854,448799,7879,6826,null,null,3854,null,null,7879,null,null,36
83236,2989,5954,1341,77282,3263,2989,null,null,1341,null,null,3263,null,null,37
3003,785,322,284,2681,725,785,null,null,284,null,null,725,null,null,38
76712,2830,6002,1330,70710,3158,2830,null,null,1330,null,null,3158,null,null,39
24783,1563,1374,509,23409,1583,1563,null,null,509,null,null,1583,null,null,40
55741,2637,6910,1412,48831,2417,2637,null,null,1412,null,null,2417,null,null,41
128726,3903,13961,1690,114765,4118,3903,null,null,1690,null,null,4118,null,null,42
11671,1408,1190,551,10481,1516,1408,null,null,551,null,null,1516,null,null,44
23506,2143,1240,530,22266,2092,2143,null,null,530,null,null,2092,null,null,45
3523,734,324,210,3199,802,734,null,null,210,null,null,802,null,null,46
34409,2118,1784,533,32625,2099,2118,null,null,533,null,null,2099,null,null,47
409370,6909,24488,2860,384882,7067,6909,null,null,2860,null,null,7067,null,null,48
20999,1435,1598,805,19401,1520,1435,null,null,805,null,null,1520,null,null,49
2945,570,735,463,2210,643,570,null,null,463,null,null,643,null,null,50
160874,4344,8176,1395,152698,4260,4344,null,null,1395,null,null,4260,null,null,51
202803,4739,18583,2210,184220,4935,4739,null,null,2210,null,null,4935,null,null,53
5366,937,228,198,5138,963,937,null,null,198,null,null,963,null,null,54
44661,1987,7202,1406,37459,2090,1987,null,null,1406,null,null,2090,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
2113,739,586,387,1527,637,739,null,null,387,null,null,637,null,null,72
20199,1614,771,474,19428,1684,1614,null,null,474,null,null,1684,null,null,01
11635,1220,730,352,10905,1217,1220,null,null,352,null,null,1217,null,null,02
74314,2725,5013,919,69301,2823,2725,null,null,919,null,null,2823,null,null,04
12581,1451,375,296,12206,1420,1451,null,null,296,null,null,1420,null,null,05
1759596,11572,88472,4288,1671124,11517,11572,null,null,4288,null,null,11517,null,null,06
55831,2263,3905,877,51926,2195,2263,null,null,877,null,null,2195,null,null,08
50370,2063,3634,911,46736,2229,2063,null,null,911,null,null,2229,null,null,09
12126,822,199,163,11927,875,822,null,null,163,null,null,875,null,null,10
11775,1052,231,239,11544,1057,1052,null,null,239,null,null,1057,null,null,11
