C17001C_001E,C17001C_001M,C17001C_002E,C17001C_002M,C17001C_003E,C17001C_003M,C17001C_004E,C17001C_004M,C17001C_005E,C17001C_005M,C17001C_006E,C17001C_006M,C17001C_007E,C17001C_007M,C17001C_008E,C17001C_008M,C17001C_009E,C17001C_009M,C17001C_010E,C17001C_010M,C17001C_011E,C17001C_011M,C17001C_012E,C17001C_012M,C17001C_013E,C17001C_013M,C17001C_014E,C17001C_014M,C17001C_015E,C17001C_015M,C17001C_016E,C17001C_016M,C17001C_017E,C17001C_017M,C17001C_018E,C17001C_018M,C17001C_019E,C17001C_019M,C17001C_001M,C17001C_001EA,C17001C_001MA,C17001C_002M,C17001C_002EA,C17001C_002MA,C17001C_003M,C17001C_003EA,C17001C_003MA,C17001C_004M,C17001C_004EA,C17001C_004MA,C17001C_005M,C17001C_005EA,C17001C_005MA,C17001C_006M,C17001C_006EA,C17001C_006MA,C17001C_007M,C17001C_007EA,C17001C_007MA,C17001C_008M,C17001C_008EA,C17001C_008MA,C17001C_009M,C17001C_009EA,C17001C_009MA,C17001C_010M,C17001C_010EA,C17001C_010MA,C17001C_011M,C17001C_011EA,C17001C_011MA,C17001C_012M,C17001C_012EA,C17001C_012MA,C17001C_013M,C17001C_013EA,C17001C_013MA,C17001C_014M,C17001C_014EA,C17001C_014MA,C17001C_015M,C17001C_015EA,C17001C_015MA,C17001C_016M,C17001C_016EA,C17001C_016MA,C17001C_017M,C17001C_017EA,C17001C_017MA,C17001C_018M,C17001C_018EA,C17001C_018MA,C17001C_019M,C17001C_019EA,C17001C_019MA,state
51076,5649,9890,2105,4413,1293,1085,529,2918,1075,410,390,5477,1330,1417,666,3234,901,826,500,41186,5090,22585,3422,3817,1251,15860,2753,2908,712,18601,2578,3106,1031,13020,2123,2475,761,5649,null,null,2105,null,null,1293,null,null,529,null,null,1075,null,null,390,null,null,1330,null,null,666,null,null,901,null,null,500,null,null,5090,null,null,3422,null,null,1251,null,null,2753,null,null,712,null,null,2578,null,null,1031,null,null,2123,null,null,761,null,null,12
37037,5696,10654,3669,5269,1946,2249,1091,2946,1193,74,109,5385,1960,1980,1044,2579,1041,826,492,26383,4157,12229,2478,3221,1238,8495,2217,513,344,14154,2670,3134,1264,9636,1930,1384,574,5696,null,null,3669,null,null,1946,null,null,1091,null,null,1193,null,null,109,null,null,1960,null,null,1044,null,null,1041,null,null,492,null,null,4157,null,null,2478,null,null,1238,null,null,2217,null,null,344,null,null,2670,null,null,1264,null,null,1930,null,null,574,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
25590,2527,6793,1756,3311,1061,1144,661,1883,705,284,228,3482,862,746,317,2358,659,378,343,18797,2899,9415,1772,2591,642,5789,1342,1035,491,9382,1666,3279,830,5383,1205,720,404,2527,null,null,1756,null,null,1061,null,null,661,null,null,705,null,null,228,null,null,862,null,null,317,null,null,659,null,null,343,null,null,2899,null,null,1772,null,null,642,null,null,1342,null,null,491,null,null,1666,null,null,830,null,null,1205,null,null,404,null,null,16
29643,3660,5609,1291,2194,718,726,434,1364,553,104,124,3415,831,544,368,2592,745,279,189,24034,3451,14427,2531,2699,858,9714,1798,2014,896,9607,1587,2231,877,6236,1179,1140,509,3660,null,null,1291,null,null,718,null,null,434,null,null,553,null,null,124,null,null,831,null,null,368,null,null,745,null,null,189,null,null,3451,null,null,2531,null,null,858,null,null,1798,null,null,896,null,null,1587,null,null,877,null,null,1179,null,null,509,null,null,17
16905,2456,2918,1082,1585,938,104,121,1367,822,114,153,1333,610,277,265,967,445,89,160,13987,2332,7174,1296,1291,567,4933,1054,950,429,6813,1646,1094,904,4484,1079,1235,462,2456,null,null,1082,null,null,938,null,null,121,null,null,822,null,null,153,null,null,610,null,null,265,null,null,445,null,null,160,null,null,2332,null,null,1296,null,null,567,null,null,1054,null,null,429,null,null,1646,null,null,904,null,null,1079,null,null,462,null,null,18
10363,1659,2670,973,1113,569,258,325,784,409,71,129,1557,661,389,307,851,523,317,276,7693,1456,3953,986,659,333,2773,756,521,309,3740,1036,824,427,2575,812,341,243,1659,null,null,973,null,null,569,null,null,325,null,null,409,null,null,129,null,null,661,null,null,307,null,null,523,null,null,276,null,null,1456,null,null,986,null,null,333,null,null,756,null,null,309,null,null,1036,null,null,427,null,null,812,null,null,243,null,null,19
20463,2502,3345,867,1756,550,422,272,1178,417,156,179,1589,555,341,228,921,459,327,202,17118,2456,8753,1436,2362,809,5586,1021,805,327,8365,1616,1918,638,5396,1254,1051,406,2502,null,null,867,null,null,550,null,null,272,null,null,417,null,null,179,null,null,555,null,null,228,null,null,459,null,null,202,null,null,2456,null,null,1436,null,null,809,null,null,1021,null,null,327,null,null,1616,null,null,638,null,null,1254,null,null,406,null,null,20
10648,2275,2751,1451,1320,737,330,404,778,510,212,318,1431,1035,0,190,1173,962,258,367,7897,2008,3661,1146,837,574,2307,783,517,414,4236,1459,493,485,2935,1194,808,360,2275,null,null,1451,null,null,737,null,null,404,null,null,510,null,null,318,null,null,1035,null,null,190,null,null,962,null,null,367,null,null,2008,null,null,1146,null,null,574,null,null,783,null,null,414,null,null,1459,null,null,485,null,null,1194,null,null,360,null,null,21
24695,2658,7167,2574,3157,1742,1799,1543,1222,597,136,151,4010,1260,1316,539,2038,819,656,377,17528,2313,8926,1286,1822,832,6090,1015,1014,456,8602,1560,1913,916,5571,1003,1118,494,2658,null,null,2574,null,null,1742,null,null,1543,null,null,597,null,null,151,null,null,1260,null,null,539,null,null,819,null,null,377,null,null,2313,null,null,1286,null,null,832,null,null,1015,null,null,456,null,null,1560,null,null,916,null,null,1003,null,null,494,null,null,22
