B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,B06009_001M,B06009_001EA,B06009_001MA,B06009_002M,B06009_002EA,B06009_002MA,B06009_003M,B06009_003EA,B06009_003MA,B06009_004M,B06009_004EA,B06009_004MA,B06009_005M,B06009_005EA,B06009_005MA,B06009_006M,B06009_006EA,B06009_006MA,B06009_007M,B06009_007EA,B06009_007MA,B06009_008M,B06009_008EA,B06009_008MA,B06009_009M,B06009_009EA,B06009_009MA,B06009_010M,B06009_010EA,B06009_010MA,B06009_011M,B06009_011EA,B06009_011MA,B06009_012M,B06009_012EA,B06009_012MA,B06009_013M,B06009_013EA,B06009_013MA,B06009_014M,B06009_014EA,B06009_014MA,B06009_015M,B06009_015EA,B06009_015MA,B06009_016M,B06009_016EA,B06009_016MA,B06009_017M,B06009_017EA,B06009_017MA,B06009_018M,B06009_018EA,B06009_018MA,B06009_019M,B06009_019EA,B06009_019MA,B06009_020M,B06009_020EA,B06009_020MA,B06009_021M,B06009_021EA,B06009_021MA,B06009_022M,B06009_022EA,B06009_022MA,B06009_023M,B06009_023EA,B06009_023MA,B06009_024M,B06009_024EA,B06009_024MA,B06009_025M,B06009_025EA,B06009_025MA,B06009_026M,B06009_026EA,B06009_026MA,B06009_027M,B06009_027EA,B06009_027MA,B06009_028M,B06009_028EA,B06009_028MA,B06009_029M,B06009_029EA,B06009_029MA,B06009_030M,B06009_030EA,B06009_030MA,state
966569,1470,74138,4368,318369,8116,282924,6685,181434,6126,109704,5063,556164,8809,48713,3429,217332,6594,164517,5568,87434,4776,38168,3064,355857,8779,18502,2324,86827,4063,103970,5111,82485,4318,64073,4177,12977,1791,958,401,2904,757,4114,1059,3330,954,1671,537,41571,3252,5965,1091,11306,2103,10323,1415,8185,1230,5792,1076,1470,null,null,4368,null,null,8116,null,null,6685,null,null,6126,null,null,5063,null,null,8809,null,null,3429,null,null,6594,null,null,5568,null,null,4776,null,null,3064,null,null,8779,null,null,2324,null,null,4063,null,null,5111,null,null,4318,null,null,4177,null,null,1791,null,null,401,null,null,757,null,null,1059,null,null,954,null,null,537,null,null,3252,null,null,1091,null,null,2103,null,null,1415,null,null,1230,null,null,1076,null,null,23
4122508,4229,407229,10360,1046470,17035,1047680,15600,860491,13680,760638,12517,1563545,17634,157403,7107,545985,12965,436278,10693,266178,7635,157701,5801,1704533,17180,86593,4046,344905,8851,442349,11206,409937,9923,420749,8811,65008,4736,3429,857,9383,1719,18409,2466,20132,2506,13655,2265,789422,13642,159804,7501,146197,8733,150644,7411,164244,7668,168533,6382,4229,null,null,10360,null,null,17035,null,null,15600,null,null,13680,null,null,12517,null,null,17634,null,null,7107,null,null,12965,null,null,10693,null,null,7635,null,null,5801,null,null,17180,null,null,4046,null,null,8851,null,null,11206,null,null,9923,null,null,8811,null,null,4736,null,null,857,null,null,1719,null,null,2466,null,null,2506,null,null,2265,null,null,13642,null,null,7501,null,null,8733,null,null,7411,null,null,7668,null,null,6382,null,null,24
4727515,3062,452685,11861,1156496,15493,1097988,14678,1124295,12174,896051,12222,2574147,16753,160750,6869,739169,13420,706665,12173,611212,10347,356351,9095,1049504,13835,40515,3286,147625,6337,197457,6272,326436,8042,337471,7805,144009,6881,41639,3958,40904,3718,27278,2965,18510,2376,15678,2084,959855,14478,209781,8479,228798,8612,166588,7882,168137,6523,186551,7152,3062,null,null,11861,null,null,15493,null,null,14678,null,null,12174,null,null,12222,null,null,16753,null,null,6869,null,null,13420,null,null,12173,null,null,10347,null,null,9095,null,null,13835,null,null,3286,null,null,6337,null,null,6272,null,null,8042,null,null,7805,null,null,6881,null,null,3958,null,null,3718,null,null,2965,null,null,2376,null,null,2084,null,null,14478,null,null,8479,null,null,8612,null,null,7882,null,null,6523,null,null,7152,null,null,25
6760402,4180,647909,10471,1978343,18033,2224320,20896,1162737,15121,747093,12638,4867856,16844,389618,8187,1532088,15355,1719338,18899,800088,11652,426724,10362,1292637,14880,131402,5475,326454,8191,389830,8503,247666,7816,197285,6036,48498,3389,6661,1177,12171,1705,15597,1766,8629,1427,5440,969,551411,10201,120228,5933,107630,6426,99555,4597,106354,4093,117644,5273,4180,null,null,10471,null,null,18033,null,null,20896,null,null,15121,null,null,12638,null,null,16844,null,null,8187,null,null,15355,null,null,18899,null,null,11652,null,null,10362,null,null,14880,null,null,5475,null,null,8191,null,null,8503,null,null,7816,null,null,6036,null,null,3389,null,null,1177,null,null,1705,null,null,1766,null,null,1427,null,null,969,null,null,10201,null,null,5933,null,null,6426,null,null,4597,null,null,4093,null,null,5273,null,null,26
3725283,4171,263888,6966,937937,13211,1226474,12871,860125,12101,436859,9205,2317861,12974,117609,4496,667530,10390,830797,10453,499099,9419,202826,5844,1013386,11318,44046,2695,197862,6392,308957,7207,286010,7466,176511,5425,26603,2519,2574,644,3948,966,7373,1269,8193,1344,4515,851,367433,7931,99659,5009,68597,5145,79347,4848,66823,4417,53007,3796,4171,null,null,6966,null,null,13211,null,null,12871,null,null,12101,null,null,9205,null,null,12974,null,null,4496,null,null,10390,null,null,10453,null,null,9419,null,null,5844,null,null,11318,null,null,2695,null,null,6392,null,null,7207,null,null,7466,null,null,5425,null,null,2519,null,null,644,null,null,966,null,null,1269,null,null,1344,null,null,851,null,null,7931,null,null,5009,null,null,5145,null,null,4848,null,null,4417,null,null,3796,null,null,27
1957022,5315,310734,8061,603335,11745,616690,11602,264865,8398,161398,6858,1320016,11465,229296,6670,415045,10391,409400,9996,169187,6320,97088,5367,573087,11042,65323,4320,171762,6896,193180,7328,86188,4656,56634,3933,14204,2469,1737,917,3301,1086,5359,1335,2190,642,1617,839,49715,3889,14378,2143,13227,2285,8751,1841,7300,1482,6059,1531,5315,null,null,8061,null,null,11745,null,null,11602,null,null,8398,null,null,6858,null,null,11465,null,null,6670,null,null,10391,null,null,9996,null,null,6320,null,null,5367,null,null,11042,null,null,4320,null,null,6896,null,null,7328,null,null,4656,null,null,3933,null,null,2469,null,null,917,null,null,1086,null,null,1335,null,null,642,null,null,839,null,null,3889,null,null,2143,null,null,2285,null,null,1841,null,null,1482,null,null,1531,null,null,28
4121014,6151,429939,10256,1265386,11789,1253039,14916,729511,12712,443139,11618,2478619,17023,257266,7466,840033,10682,758801,12137,404776,9761,217743,7643,1409005,16143,125219,4934,374932,10401,448356,12138,281154,7471,179344,6296,30974,3400,1324,454,7119,1694,11406,2127,8065,1385,3060,640,202416,7883,46130,3968,43302,3798,34476,3445,35516,3172,42992,4029,6151,null,null,10256,null,null,11789,null,null,14916,null,null,12712,null,null,11618,null,null,17023,null,null,7466,null,null,10682,null,null,12137,null,null,9761,null,null,7643,null,null,16143,null,null,4934,null,null,10401,null,null,12138,null,null,7471,null,null,6296,null,null,3400,null,null,454,null,null,1694,null,null,2127,null,null,1385,null,null,640,null,null,7883,null,null,3968,null,null,3798,null,null,3445,null,null,3172,null,null,4029,null,null,29
712616,2841,51238,3317,206415,6968,234357,5515,148944,4923,71662,3903,337171,6905,26025,2563,111114,4803,109930,4274,67381,3464,22721,2371,352782,6659,23238,2569,91478,4892,118088,4318,75372,3715,44606,2719,5713,965,269,192,1172,432,2592,648,825,343,855,434,16950,2120,1706,664,2651,720,3747,893,5366,1435,3480,977,2841,null,null,3317,null,null,6968,null,null,5515,null,null,4923,null,null,3903,null,null,6905,null,null,2563,null,null,4803,null,null,4274,null,null,3464,null,null,2371,null,null,6659,null,null,2569,null,null,4892,null,null,4318,null,null,3715,null,null,2719,null,null,965,null,null,192,null,null,432,null,null,648,null,null,343,null,null,434,null,null,2120,null,null,664,null,null,720,null,null,893,null,null,1435,null,null,977,null,null,30
1243820,2830,113345,4938,328348,7356,411155,7595,261931,6575,129041,4327,736688,6976,40935,2859,216121,5741,255477,6620,156839,5215,67316,3250,391866,7748,25111,2415,89054,3624,134988,4765,92834,4575,49879,2522,9754,1416,893,488,2457,802,3284,790,2064,566,1056,366,105512,3907,46406,3990,20716,2247,17406,2311,10194,1492,10790,1725,2830,null,null,4938,null,null,7356,null,null,7595,null,null,6575,null,null,4327,null,null,6976,null,null,2859,null,null,5741,null,null,6620,null,null,5215,null,null,3250,null,null,7748,null,null,2415,null,null,3624,null,null,4765,null,null,4575,null,null,2522,null,null,1416,null,null,488,null,null,802,null,null,790,null,null,566,null,null,366,null,null,3907,null,null,3990,null,null,2247,null,null,2311,null,null,1492,null,null,1725,null,null,31
2010610,2209,280533,8783,585057,12241,673245,10884,308547,10637,163228,5918,210936,7681,21331,2994,65230,4530,80420,4007,30391,2555,13564,1990,1235380,11298,91691,4838,365740,10013,464514,8828,196670,7745,116765,4788,38615,3524,4438,972,10482,2031,14840,2278,5462,1011,3393,898,525679,10736,163073,7199,143605,7105,113471,6628,76024,5399,29506,2695,2209,null,null,8783,null,null,12241,null,null,10884,null,null,10637,null,null,5918,null,null,7681,null,null,2994,null,null,4530,null,null,4007,null,null,2555,null,null,1990,null,null,11298,null,null,4838,null,null,10013,null,null,8828,null,null,7745,null,null,4788,null,null,3524,null,null,972,null,null,2031,null,null,2278,null,null,1011,null,null,898,null,null,10736,null,null,7199,null,null,7105,null,null,6628,null,null,5399,null,null,2695,null,null,32
947586,2249,67898,4606,256245,6483,276765,6832,213461,6630,133217,5613,314630,7582,29568,3039,104532,4686,99609,4924,57306,3702,23615,2185,556388,7458,27666,3038,133431,5486,161375,5513,139312,5662,94604,4063,12910,1953,1591,721,2297,846,3648,972,3117,938,2257,770,63658,3567,9073,1965,15985,2380,12133,1897,13726,2271,12741,2203,2249,null,null,4606,null,null,6483,null,null,6832,null,null,6630,null,null,5613,null,null,7582,null,null,3039,null,null,4686,null,null,4924,null,null,3702,null,null,2185,null,null,7458,null,null,3038,null,null,5486,null,null,5513,null,null,5662,null,null,4063,null,null,1953,null,null,721,null,null,846,null,null,972,null,null,938,null,null,770,null,null,3567,null,null,1965,null,null,2380,null,null,1897,null,null,2271,null,null,2203,null,null,33
6171172,2256,660676,11757,1706073,21960,1424621,20411,1460518,17545,919284,13279,2583317,16401,173834,7375,824483,16572,677457,13188,605442,11781,302101,7814,1636659,19071,93098,4590,389972,10852,393707,9629,444017,8794,315865,8325,166874,7863,45092,3866,55010,4706,35444,2866,19972,2338,11356,2030,1784322,17682,348652,10039,436608,12482,318013,10943,391087,8699,289962,7697,2256,null,null,11757,null,null,21960,null,null,20411,null,null,17545,null,null,13279,null,null,16401,null,null,7375,null,null,16572,null,null,13188,null,null,11781,null,null,7814,null,null,19071,null,null,4590,null,null,10852,null,null,9629,null,null,8794,null,null,8325,null,null,7863,null,null,3866,null,null,4706,null,null,2866,null,null,2338,null,null,2030,null,null,17682,null,null,10039,null,null,12482,null,null,10943,null,null,8699,null,null,7697,null,null,34
1391381,3935,202941,8144,370508,10216,439699,10482,215691,6623,162542,5902,603090,10636,88878,5214,198239,7934,203092,8104,74067,4997,38814,2912,599188,10174,39880,3090,129635,6027,203210,7481,122951,5032,103512,5100,17708,2531,1296,668,4217,1160,6451,1383,3250,818,2494,913,171395,7474,72887,5667,38417,3559,26946,2815,15423,2420,17722,2144,3935,null,null,8144,null,null,10216,null,null,10482,null,null,6623,null,null,5902,null,null,10636,null,null,5214,null,null,7934,null,null,8104,null,null,4997,null,null,2912,null,null,10174,null,null,3090,null,null,6027,null,null,7481,null,null,5032,null,null,5100,null,null,2531,null,null,668,null,null,1160,null,null,1383,null,null,818,null,null,913,null,null,7474,null,null,5667,null,null,3559,null,null,2815,null,null,2420,null,null,2144,null,null,35
13653592,4583,1868292,21258,3574814,27155,3342674,27020,2749619,27654,2118193,21166,7415048,29206,605735,11836,2116128,19405,2131230,24264,1455945,20040,1106010,14536,1834851,20596,128947,5281,323633,8267,386009,8772,535746,11255,460516,11627,385014,11227,125965,6310,98509,5311,78851,5810,48353,3950,33336,3094,4018679,29108,1007645,19395,1036544,20606,746584,12798,709575,13882,518331,11632,4583,null,null,21258,null,null,27155,null,null,27020,null,null,27654,null,null,21166,null,null,29206,null,null,11836,null,null,19405,null,null,24264,null,null,20040,null,null,14536,null,null,20596,null,null,5281,null,null,8267,null,null,8772,null,null,11255,null,null,11627,null,null,11227,null,null,6310,null,null,5311,null,null,5810,null,null,3950,null,null,3094,null,null,29108,null,null,19395,null,null,20606,null,null,12798,null,null,13882,null,null,11632,null,null,36
6877185,7537,873197,14249,1775886,19498,2136997,22294,1345615,18103,745490,14025,3403925,25926,476329,10701,1053365,16034,1117220,17321,531030,11716,225981,8322,2726047,25716,184460,7897,570610,11679,876591,15984,677232,12843,417154,10831,84794,5134,7535,1705,16395,2507,30202,3004,20655,2406,10007,1586,662419,11676,204873,6966,135516,7170,112984,5839,116698,5336,92348,5286,7537,null,null,14249,null,null,19498,null,null,22294,null,null,18103,null,null,14025,null,null,25926,null,null,10701,null,null,16034,null,null,17321,null,null,11716,null,null,8322,null,null,25716,null,null,7897,null,null,11679,null,null,15984,null,null,12843,null,null,10831,null,null,5134,null,null,1705,null,null,2507,null,null,3004,null,null,2406,null,null,1586,null,null,11676,null,null,6966,null,null,7170,null,null,5839,null,null,5336,null,null,5286,null,null,37
495015,2090,37744,3314,134178,4730,176770,5472,107578,4161,38745,2823,300399,5081,23765,2131,84888,3620,108420,4769,64120,3700,19206,1901,171080,5370,9946,1570,43185,3256,62789,4389,38759,2493,16401,2172,4824,1741,277,227,1742,1184,1619,728,847,438,339,241,18712,1791,3756,1181,4363,1229,3942,1027,3852,964,2799,837,2090,null,null,3314,null,null,4730,null,null,5472,null,null,4161,null,null,2823,null,null,5081,null,null,2131,null,null,3620,null,null,4769,null,null,3700,null,null,1901,null,null,5370,null,null,1570,null,null,3256,null,null,4389,null,null,2493,null,null,2172,null,null,1741,null,null,227,null,null,1184,null,null,728,null,null,438,null,null,241,null,null,1791,null,null,1181,null,null,1229,null,null,1027,null,null,964,null,null,837,null,null,38
7922061,4787,790316,14644,2639028,23263,2313036,20313,1362205,16368,817476,12903,5594213,21041,506949,11354,2018466,21762,1698654,17865,903205,13851,466939,9882,1834330,19394,196607,7296,515573,9216,509896,12999,360414,9681,251840,7025,69540,4588,13484,2045,18115,2158,19102,2191,11227,1803,7612,1481,423978,10876,73276,5640,86874,5502,85384,5436,87359,4493,91085,4788,4787,null,null,14644,null,null,23263,null,null,20313,null,null,16368,null,null,12903,null,null,21041,null,null,11354,null,null,21762,null,null,17865,null,null,13851,null,null,9882,null,null,19394,null,null,7296,null,null,9216,null,null,12999,null,null,9681,null,null,7025,null,null,4588,null,null,2045,null,null,2158,null,null,2191,null,null,1803,null,null,1481,null,null,10876,null,null,5640,null,null,5502,null,null,5436,null,null,4493,null,null,4788,null,null,39
