C27001C_001E,C27001C_001M,C27001C_002E,C27001C_002M,C27001C_003E,C27001C_003M,C27001C_004E,C27001C_004M,C27001C_005E,C27001C_005M,C27001C_006E,C27001C_006M,C27001C_007E,C27001C_007M,C27001C_008E,C27001C_008M,C27001C_009E,C27001C_009M,C27001C_010E,C27001C_010M,C27001C_001M,C27001C_001EA,C27001C_001MA,C27001C_002M,C27001C_002EA,C27001C_002MA,C27001C_003M,C27001C_003EA,C27001C_003MA,C27001C_004M,C27001C_004EA,C27001C_004MA,C27001C_005M,C27001C_005EA,C27001C_005MA,C27001C_006M,C27001C_006EA,C27001C_006MA,C27001C_007M,C27001C_007EA,C27001C_007MA,C27001C_008M,C27001C_008EA,C27001C_008MA,C27001C_009M,C27001C_009EA,C27001C_009MA,C27001C_010M,C27001C_010EA,C27001C_010MA,state
51260,5638,9565,1942,8632,1968,933,575,35076,4298,24839,2856,10237,2641,6619,1362,6109,1226,510,686,5638,null,null,1942,null,null,1968,null,null,575,null,null,4298,null,null,2856,null,null,2641,null,null,1362,null,null,1226,null,null,686,null,null,12
37354,5712,10735,2799,9654,2600,1081,880,23822,3666,13699,2298,10123,2862,2797,860,2605,816,192,300,5712,null,null,2799,null,null,2600,null,null,880,null,null,3666,null,null,2298,null,null,2862,null,null,860,null,null,816,null,null,300,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
25694,2544,7853,1114,7083,1251,770,498,15424,1958,11194,1891,4230,1098,2417,839,2417,839,0,198,2544,null,null,1114,null,null,1251,null,null,498,null,null,1958,null,null,1891,null,null,1098,null,null,839,null,null,839,null,null,198,null,null,16
29881,3671,6200,1527,6185,1536,15,26,20144,2476,16086,2029,4058,1426,3537,1210,3537,1210,0,185,3671,null,null,1527,null,null,1536,null,null,26,null,null,2476,null,null,2029,null,null,1426,null,null,1210,null,null,1210,null,null,185,null,null,17
16957,2451,2766,1096,2766,1096,0,192,11803,1870,10084,1805,1719,650,2388,631,2388,631,0,192,2451,null,null,1096,null,null,1096,null,null,192,null,null,1870,null,null,1805,null,null,650,null,null,631,null,null,631,null,null,192,null,null,18
10368,1701,2226,865,2226,865,0,159,6892,1257,6219,1242,673,336,1250,520,1250,520,0,159,1701,null,null,865,null,null,865,null,null,159,null,null,1257,null,null,1242,null,null,336,null,null,520,null,null,520,null,null,159,null,null,19
20934,2541,5278,1123,4986,1025,292,270,13317,1942,9911,1435,3406,1164,2339,615,2339,615,0,174,2541,null,null,1123,null,null,1025,null,null,270,null,null,1942,null,null,1435,null,null,1164,null,null,615,null,null,615,null,null,174,null,null,20
10786,2278,1660,761,1660,761,0,190,7331,1835,6799,1637,532,435,1795,714,1795,714,0,190,2278,null,null,761,null,null,761,null,null,190,null,null,1835,null,null,1637,null,null,435,null,null,714,null,null,714,null,null,190,null,null,21
24818,2662,6973,1765,6819,1813,154,149,14921,1769,10899,1507,4022,1304,2924,669,2895,667,29,37,2662,null,null,1765,null,null,1813,null,null,149,null,null,1769,null,null,1507,null,null,1304,null,null,669,null,null,667,null,null,37,null,null,22
7893,1203,2202,676,2019,664,183,146,4705,809,3474,717,1231,449,986,296,961,280,25,41,1203,null,null,676,null,null,664,null,null,146,null,null,809,null,null,717,null,null,449,null,null,296,null,null,280,null,null,41,null,null,23
14879,2484,2623,1154,2352,1094,271,402,10291,1941,9507,1808,784,499,1965,497,1965,497,0,198,2484,null,null,1154,null,null,1094,null,null,402,null,null,1941,null,null,1808,null,null,499,null,null,497,null,null,497,null,null,198,null,null,24
12463,2147,2524,754,2524,754,0,203,8894,1706,7938,1685,956,683,1045,557,1045,557,0,203,2147,null,null,754,null,null,754,null,null,203,null,null,1706,null,null,1685,null,null,683,null,null,557,null,null,557,null,null,203,null,null,25
49519,3514,11476,1780,9912,1581,1564,757,32139,2044,27831,1999,4308,979,5904,1040,5904,1040,0,168,3514,null,null,1780,null,null,1581,null,null,757,null,null,2044,null,null,1999,null,null,979,null,null,1040,null,null,1040,null,null,168,null,null,26
60807,3028,21085,1771,18438,1943,2647,884,35587,2000,28179,2068,7408,1157,4135,642,4022,620,113,121,3028,null,null,1771,null,null,1943,null,null,884,null,null,2000,null,null,2068,null,null,1157,null,null,642,null,null,620,null,null,121,null,null,27
12975,1524,3988,695,3626,918,362,515,8512,1078,5330,1093,3182,939,475,308,475,308,0,213,1524,null,null,695,null,null,918,null,null,515,null,null,1078,null,null,1093,null,null,939,null,null,308,null,null,308,null,null,213,null,null,28
30065,3403,8232,1682,8010,1622,222,197,18630,2428,14818,2296,3812,1006,3203,919,3203,919,0,187,3403,null,null,1682,null,null,1622,null,null,197,null,null,2428,null,null,2296,null,null,1006,null,null,919,null,null,919,null,null,187,null,null,29
64396,2559,24583,1837,20676,2077,3907,1206,35159,1618,23341,1997,11818,1283,4654,602,4560,576,94,112,2559,null,null,1837,null,null,2077,null,null,1206,null,null,1618,null,null,1997,null,null,1283,null,null,602,null,null,576,null,null,112,null,null,30
15099,1360,5619,637,4233,690,1386,350,8383,1014,5719,1002,2664,598,1097,354,1067,351,30,32,1360,null,null,637,null,null,690,null,null,350,null,null,1014,null,null,1002,null,null,598,null,null,354,null,null,351,null,null,32,null,null,31
33745,3567,9207,1696,8448,1710,759,478,20575,2028,16524,1758,4051,891,3963,630,3907,635,56,92,3567,null,null,1696,null,null,1710,null,null,478,null,null,2028,null,null,1758,null,null,891,null,null,630,null,null,635,null,null,92,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
19888,3348,5456,1525,5057,1462,399,391,12468,2348,9561,1826,2907,1270,1964,642,1797,609,167,195,3348,null,null,1525,null,null,1462,null,null,391,null,null,2348,null,null,1826,null,null,1270,null,null,642,null,null,609,null,null,195,null,null,34
192368,4648,55452,2583,48439,2783,7013,1269,117434,3385,85433,3580,32001,2995,19482,950,18770,1010,712,263,4648,null,null,2583,null,null,2783,null,null,1269,null,null,3385,null,null,3580,null,null,2995,null,null,950,null,null,1010,null,null,263,null,null,35
71926,6141,17246,2637,16115,2554,1131,571,45669,4073,39565,3654,6104,1649,9011,1470,8858,1438,153,173,6141,null,null,2637,null,null,2554,null,null,571,null,null,4073,null,null,3654,null,null,1649,null,null,1470,null,null,1438,null,null,173,null,null,36
117541,4931,29583,2521,27430,2292,2153,1170,74013,3538,54755,2988,19258,2435,13945,1330,13945,1330,0,203,4931,null,null,2521,null,null,2292,null,null,1170,null,null,3538,null,null,2988,null,null,2435,null,null,1330,null,null,1330,null,null,203,null,null,37
40648,2283,15324,1431,12342,1651,2982,1062,22835,1555,16322,1788,6513,1244,2489,441,2467,445,22,37,2283,null,null,1431,null,null,1651,null,null,1062,null,null,1555,null,null,1788,null,null,1244,null,null,441,null,null,445,null,null,37,null,null,38
17590,2460,3080,1101,2963,1082,117,153,12639,2002,10883,1905,1756,554,1871,574,1871,574,0,189,2460,null,null,1101,null,null,1082,null,null,153,null,null,2002,null,null,1905,null,null,554,null,null,574,null,null,574,null,null,189,null,null,39
291369,7107,88292,4016,70170,3750,18122,1983,175817,4404,114247,3502,61570,2796,27260,1278,27089,1276,171,120,7107,null,null,4016,null,null,3750,null,null,1983,null,null,4404,null,null,3502,null,null,2796,null,null,1278,null,null,1276,null,null,120,null,null,40
