B17001_001E,B17001_001M,B17001_002E,B17001_002M,B17001_003E,B17001_003M,B17001_004E,B17001_004M,B17001_005E,B17001_005M,B17001_006E,B17001_006M,B17001_007E,B17001_007M,B17001_008E,B17001_008M,B17001_009E,B17001_009M,B17001_010E,B17001_010M,B17001_011E,B17001_011M,B17001_012E,B17001_012M,B17001_013E,B17001_013M,B17001_014E,B17001_014M,B17001_015E,B17001_015M,B17001_016E,B17001_016M,B17001_017E,B17001_017M,B17001_018E,B17001_018M,B17001_019E,B17001_019M,B17001_020E,B17001_020M,B17001_021E,B17001_021M,B17001_022E,B17001_022M,B17001_023E,B17001_023M,B17001_024E,B17001_024M,B17001_025E,B17001_025M,B17001_026E,B17001_026M,B17001_027E,B17001_027M,B17001_028E,B17001_028M,B17001_029E,B17001_029M,B17001_030E,B17001_030M,B17001_031E,B17001_031M,B17001_032E,B17001_032M,B17001_033E,B17001_033M,B17001_034E,B17001_034M,B17001_035E,B17001_035M,B17001_036E,B17001_036M,B17001_037E,B17001_037M,B17001_038E,B17001_038M,B17001_039E,B17001_039M,B17001_040E,B17001_040M,B17001_041E,B17001_041M,B17001_042E,B17001_042M,B17001_043E,B17001_043M,B17001_044E,B17001_044M,B17001_045E,B17001_045M,B17001_046E,B17001_046M,B17001_047E,B17001_047M,B17001_048E,B17001_048M,B17001_049E,B17001_049M,B17001_050E,B17001_050M,B17001_051E,B17001_051M,B17001_052E,B17001_052M,B17001_053E,B17001_053M,B17001_054E,B17001_054M,B17001_055E,B17001_055M,B17001_056E,B17001_056M,B17001_057E,B17001_057M,B17001_058E,B17001_058M,B17001_059E,B17001_059M,B17001_001M,B17001_001EA,B17001_001MA,B17001_002M,B17001_002EA,B17001_002MA,B17001_003M,B17001_003EA,B17001_003MA,B17001_004M,B17001_004EA,B17001_004MA,B17001_005M,B17001_005EA,B17001_005MA,B17001_006M,B17001_006EA,B17001_006MA,B17001_007M,B17001_007EA,B17001_007MA,B17001_008M,B17001_008EA,B17001_008MA,B17001_009M,B17001_009EA,B17001_009MA,B17001_010M,B17001_010EA,B17001_010MA,B17001_011M,B17001_011EA,B17001_011MA,B17001_012M,B17001_012EA,B17001_012MA,B17001_013M,B17001_013EA,B17001_013MA,B17001_014M,B17001_014EA,B17001_014MA,B17001_015M,B17001_015EA,B17001_015MA,B17001_016M,B17001_016EA,B17001_016MA,B17001_017M,B17001_017EA,B17001_017MA,B17001_018M,B17001_018EA,B17001_018MA,B17001_019M,B17001_019EA,B17001_019MA,B17001_020M,B17001_020EA,B17001_020MA,B17001_021M,B17001_021EA,B17001_021MA,B17001_022M,B17001_022EA,B17001_022MA,B17001_023M,B17001_023EA,B17001_023MA,B17001_024M,B17001_024EA,B17001_024MA,B17001_025M,B17001_025EA,B17001_025MA,B17001_026M,B17001_026EA,B17001_026MA,B17001_027M,B17001_027EA,B17001_027MA,B17001_028M,B17001_028EA,B17001_028MA,B17001_029M,B17001_029EA,B17001_029MA,B17001_030M,B17001_030EA,B17001_030MA,B17001_031M,B17001_031EA,B17001_031MA,B17001_032M,B17001_032EA,B17001_032MA,B17001_033M,B17001_033EA,B17001_033MA,B17001_034M,B17001_034EA,B17001_034MA,B17001_035M,B17001_035EA,B17001_035MA,B17001_036M,B17001_036EA,B17001_036MA,B17001_037M,B17001_037EA,B17001_037MA,B17001_038M,B17001_038EA,B17001_038MA,B17001_039M,B17001_039EA,B17001_039MA,B17001_040M,B17001_040EA,B17001_040MA,B17001_041M,B17001_041EA,B17001_041MA,B17001_042M,B17001_042EA,B17001_042MA,B17001_043M,B17001_043EA,B17001_043MA,B17001_044M,B17001_044EA,B17001_044MA,B17001_045M,B17001_045EA,B17001_045MA,B17001_046M,B17001_046EA,B17001_046MA,B17001_047M,B17001_047EA,B17001_047MA,B17001_048M,B17001_048EA,B17001_048MA,B17001_049M,B17001_049EA,B17001_049MA,B17001_050M,B17001_050EA,B17001_050MA,B17001_051M,B17001_051EA,B17001_051MA,B17001_052M,B17001_052EA,B17001_052MA,B17001_053M,B17001_053EA,B17001_053MA,B17001_054M,B17001_054EA,B17001_054MA,B17001_055M,B17001_055EA,B17001_055MA,B17001_056M,B17001_056EA,B17001_056MA,B17001_057M,B17001_057EA,B17001_057MA,B17001_058M,B17001_058EA,B17001_058MA,B17001_059M,B17001_059EA,B17001_059MA,state
20191342,6143,2973512,48474,1329354,24853,132928,6083,29060,3469,149217,7554,63823,5031,22725,2894,39715,3588,158578,6576,149090,8908,128690,7553,139627,6686,156550,6088,92472,5821,66879,3410,1644158,31918,123063,7271,22917,2870,140848,8008,66305,5538,24327,3164,43783,3723,180755,7770,226289,9519,187845,8290,173543,8255,195458,7862,133603,5730,125422,5807,17217830,49000,8472150,25300,430120,7184,85432,5842,540029,11247,286105,9613,102649,5060,202085,6600,676059,8886,1145142,11877,1053342,9600,1181658,7922,1115566,6135,954322,6420,699641,4727,8745680,33826,415284,7338,81814,5362,527137,12462,266820,9136,93952,4920,190027,5666,618696,9592,1086473,9198,1053643,9605,1225144,8738,1238283,7138,1079740,6640,868667,6108,6143,null,null,48474,null,null,24853,null,null,6083,null,null,3469,null,null,7554,null,null,5031,null,null,2894,null,null,3588,null,null,6576,null,null,8908,null,null,7553,null,null,6686,null,null,6088,null,null,5821,null,null,3410,null,null,31918,null,null,7271,null,null,2870,null,null,8008,null,null,5538,null,null,3164,null,null,3723,null,null,7770,null,null,9519,null,null,8290,null,null,8255,null,null,7862,null,null,5730,null,null,5807,null,null,49000,null,null,25300,null,null,7184,null,null,5842,null,null,11247,null,null,9613,null,null,5060,null,null,6600,null,null,8886,null,null,11877,null,null,9600,null,null,7922,null,null,6135,null,null,6420,null,null,4727,null,null,33826,null,null,7338,null,null,5362,null,null,12462,null,null,9136,null,null,4920,null,null,5666,null,null,9592,null,null,9198,null,null,9605,null,null,8738,null,null,7138,null,null,6640,null,null,6108,null,null,12
10040201,4550,1603013,34382,698527,16781,85786,5371,13388,1945,107224,6279,43616,4382,10723,1621,23144,2560,86576,5417,83045,5389,69486,4594,58906,3886,66473,4475,34111,2965,16049,1854,904486,20915,85821,5859,14824,2337,104902,6898,38191,3710,13736,2310,24650,2936,114759,6295,142820,7457,114147,6404,80159,4844,86896,4831,47778,3445,35803,2292,8437188,35231,4146654,18222,245627,6110,45896,4131,327635,9498,176471,6282,63034,4340,120647,4515,372534,7507,571176,6848,575212,6655,610956,6342,507805,5007,348854,4253,180807,2779,4290534,23551,227465,7659,47160,4206,310931,8366,170011,6543,58632,4291,113283,5371,329872,7024,567967,7389,602873,7587,635805,5532,559634,5390,409631,4579,257270,3767,4550,null,null,34382,null,null,16781,null,null,5371,null,null,1945,null,null,6279,null,null,4382,null,null,1621,null,null,2560,null,null,5417,null,null,5389,null,null,4594,null,null,3886,null,null,4475,null,null,2965,null,null,1854,null,null,20915,null,null,5859,null,null,2337,null,null,6898,null,null,3710,null,null,2310,null,null,2936,null,null,6295,null,null,7457,null,null,6404,null,null,4844,null,null,4831,null,null,3445,null,null,2292,null,null,35231,null,null,18222,null,null,6110,null,null,4131,null,null,9498,null,null,6282,null,null,4340,null,null,4515,null,null,7507,null,null,6848,null,null,6655,null,null,6342,null,null,5007,null,null,4253,null,null,2779,null,null,23551,null,null,7659,null,null,4206,null,null,8366,null,null,6543,null,null,4291,null,null,5371,null,null,7024,null,null,7389,null,null,7587,null,null,5532,null,null,5390,null,null,4579,null,null,3767,null,null,13
1389442,1866,129569,10361,57530,5306,3401,969,1146,639,4853,1289,2239,787,871,402,2026,743,6257,1100,6541,1403,6625,1497,5797,1162,8643,1504,5840,1452,3291,875,72039,6405,6159,1298,748,387,4707,1162,1963,580,988,491,1406,487,7386,1434,11532,1818,8071,1507,7372,1421,9489,1471,4736,953,7482,1221,1259873,10635,635126,5852,43153,1256,7839,1379,46841,2561,22338,2206,6418,936,14782,1338,51282,1769,98093,2013,82395,1928,81839,1576,80918,1700,61312,1630,37916,1061,624747,6861,35830,1614,8539,1368,42274,2566,21999,1669,7435,1340,13160,1345,46384,1687,85445,2229,80075,1881,80998,1657,84451,1540,66225,1036,51932,1340,1866,null,null,10361,null,null,5306,null,null,969,null,null,639,null,null,1289,null,null,787,null,null,402,null,null,743,null,null,1100,null,null,1403,null,null,1497,null,null,1162,null,null,1504,null,null,1452,null,null,875,null,null,6405,null,null,1298,null,null,387,null,null,1162,null,null,580,null,null,491,null,null,487,null,null,1434,null,null,1818,null,null,1507,null,null,1421,null,null,1471,null,null,953,null,null,1221,null,null,10635,null,null,5852,null,null,1256,null,null,1379,null,null,2561,null,null,2206,null,null,936,null,null,1338,null,null,1769,null,null,2013,null,null,1928,null,null,1576,null,null,1700,null,null,1630,null,null,1061,null,null,6861,null,null,1614,null,null,1368,null,null,2566,null,null,1669,null,null,1340,null,null,1345,null,null,1687,null,null,2229,null,null,1881,null,null,1657,null,null,1540,null,null,1036,null,null,1340,null,null,15
1652592,1607,237445,15728,111162,7601,13357,1946,2506,926,13269,2278,5190,1553,2904,859,4096,911,19727,2460,14431,2014,8445,1436,9390,1948,8317,1511,6098,1355,3432,822,126283,9695,10309,1730,2650,928,11677,2459,5324,1362,1299,714,3685,1194,21597,2716,16953,2154,14447,2362,11415,1983,11154,2002,8683,1675,7090,1297,1415147,15868,711683,8440,44352,2139,9228,1767,63146,3540,32210,2168,9454,1278,22001,1886,56510,2487,93686,2463,92154,2457,88283,2540,91005,1945,68771,1756,40883,1038,703464,10119,44868,2268,7677,1376,62007,2920,29702,2560,10222,1514,19639,1782,50759,2845,91376,2983,88113,3190,87106,2263,94518,2312,70566,1846,46911,1503,1607,null,null,15728,null,null,7601,null,null,1946,null,null,926,null,null,2278,null,null,1553,null,null,859,null,null,911,null,null,2460,null,null,2014,null,null,1436,null,null,1948,null,null,1511,null,null,1355,null,null,822,null,null,9695,null,null,1730,null,null,928,null,null,2459,null,null,1362,null,null,714,null,null,1194,null,null,2716,null,null,2154,null,null,2362,null,null,1983,null,null,2002,null,null,1675,null,null,1297,null,null,15868,null,null,8440,null,null,2139,null,null,1767,null,null,3540,null,null,2168,null,null,1278,null,null,1886,null,null,2487,null,null,2463,null,null,2457,null,null,2540,null,null,1945,null,null,1756,null,null,1038,null,null,10119,null,null,2268,null,null,1376,null,null,2920,null,null,2560,null,null,1514,null,null,1782,null,null,2845,null,null,2983,null,null,3190,null,null,2263,null,null,2312,null,null,1846,null,null,1503,null,null,16
12502057,3937,1621508,35297,711436,19411,73780,4987,14865,2242,91917,5717,37642,2901,12577,1664,24355,2495,96368,5792,83109,4482,68928,4256,70723,4079,80050,3965,34760,2660,22362,1884,910072,20079,71539,5019,13495,1864,90680,5201,39420,3587,12597,1828,28812,2990,128049,5329,132128,5782,108170,4810,86882,4673,89278,4282,54903,2979,54119,3528,10880549,36190,5401889,20453,314236,5261,63425,3860,408062,7125,209925,6964,77013,3228,143045,3692,461427,6986,781509,4865,738132,5300,760800,4747,710927,4484,456468,2856,276920,2729,5478660,21576,297336,5435,59409,4043,380076,7115,206390,5755,68571,3422,144620,4085,418862,6504,738939,5950,719870,5258,777199,5447,759010,4679,513546,3372,394832,3698,3937,null,null,35297,null,null,19411,null,null,4987,null,null,2242,null,null,5717,null,null,2901,null,null,1664,null,null,2495,null,null,5792,null,null,4482,null,null,4256,null,null,4079,null,null,3965,null,null,2660,null,null,1884,null,null,20079,null,null,5019,null,null,1864,null,null,5201,null,null,3587,null,null,1828,null,null,2990,null,null,5329,null,null,5782,null,null,4810,null,null,4673,null,null,4282,null,null,2979,null,null,3528,null,null,36190,null,null,20453,null,null,5261,null,null,3860,null,null,7125,null,null,6964,null,null,3228,null,null,3692,null,null,6986,null,null,4865,null,null,5300,null,null,4747,null,null,4484,null,null,2856,null,null,2729,null,null,21576,null,null,5435,null,null,4043,null,null,7115,null,null,5755,null,null,3422,null,null,4085,null,null,6504,null,null,5950,null,null,5258,null,null,5447,null,null,4679,null,null,3372,null,null,3698,null,null,17
6432804,3045,906077,22930,400731,12755,45857,3793,9225,1803,56992,4284,24013,2711,7595,1432,15678,2002,61852,4865,44669,3074,36425,3090,36710,3352,36379,2861,15063,1674,10273,1193,505346,14033,41008,3175,9134,2020,50195,4038,20241,2274,6522,1200,14696,1936,81463,4504,78050,4451,60898,3545,50584,3500,44295,2964,25383,2404,22877,2017,5526727,23631,2755613,13670,165555,3801,32178,2814,209715,5804,108121,4963,40469,3211,76799,3283,236626,5189,369312,4592,353784,3816,385850,4359,379029,3675,252015,2437,146160,1696,2771114,16538,158202,4381,31899,2975,209089,6010,100543,4503,36390,2693,74213,3233,200910,5531,347148,4722,347317,4316,383105,4237,396791,3781,279183,3018,206324,2546,3045,null,null,22930,null,null,12755,null,null,3793,null,null,1803,null,null,4284,null,null,2711,null,null,1432,null,null,2002,null,null,4865,null,null,3074,null,null,3090,null,null,3352,null,null,2861,null,null,1674,null,null,1193,null,null,14033,null,null,3175,null,null,2020,null,null,4038,null,null,2274,null,null,1200,null,null,1936,null,null,4504,null,null,4451,null,null,3545,null,null,3500,null,null,2964,null,null,2404,null,null,2017,null,null,23631,null,null,13670,null,null,3801,null,null,2814,null,null,5804,null,null,4963,null,null,3211,null,null,3283,null,null,5189,null,null,4592,null,null,3816,null,null,4359,null,null,3675,null,null,2437,null,null,1696,null,null,16538,null,null,4381,null,null,2975,null,null,6010,null,null,4503,null,null,2693,null,null,3233,null,null,5531,null,null,4722,null,null,4316,null,null,4237,null,null,3781,null,null,3018,null,null,2546,null,null,18
3031338,2083,356378,12582,156197,7242,18699,2005,3688,919,19014,2407,6914,1165,2594,704,4162,817,27165,2423,18326,2522,13683,1939,16446,1700,13274,1381,6427,1077,5805,1235,200181,7957,15778,1701,3458,979,17861,2237,6294,1180,2387,653,4183,922,43332,3063,31174,2580,18632,2052,18022,2004,17479,1813,7857,1035,13724,1472,2674960,12482,1345433,6920,81058,2071,16883,1683,105960,3529,51232,3159,15286,1211,39125,1663,108929,3146,178719,3270,170497,2806,178774,2245,190345,1775,126673,1658,81952,1495,1329527,8624,78367,2098,14898,1731,99599,3743,51704,2959,19498,1760,32924,1933,90072,3150,161758,3112,164361,2423,175113,2738,192436,2054,135968,1390,112829,1801,2083,null,null,12582,null,null,7242,null,null,2005,null,null,919,null,null,2407,null,null,1165,null,null,704,null,null,817,null,null,2423,null,null,2522,null,null,1939,null,null,1700,null,null,1381,null,null,1077,null,null,1235,null,null,7957,null,null,1701,null,null,979,null,null,2237,null,null,1180,null,null,653,null,null,922,null,null,3063,null,null,2580,null,null,2052,null,null,2004,null,null,1813,null,null,1035,null,null,1472,null,null,12482,null,null,6920,null,null,2071,null,null,1683,null,null,3529,null,null,3159,null,null,1211,null,null,1663,null,null,3146,null,null,3270,null,null,2806,null,null,2245,null,null,1775,null,null,1658,null,null,1495,null,null,8624,null,null,2098,null,null,1731,null,null,3743,null,null,2959,null,null,1760,null,null,1933,null,null,3150,null,null,3112,null,null,2423,null,null,2738,null,null,2054,null,null,1390,null,null,1801,null,null,19
2825864,1863,342544,14393,154310,7929,16389,2363,2141,782,18592,2560,7066,1244,1463,507,3714,911,32089,3773,17595,2212,15085,1908,13811,1778,14622,1819,6305,1093,5438,981,188234,8480,13481,1880,2874,1025,18607,2300,7190,1596,2624,749,5182,1205,37016,2758,25546,2373,20022,2242,17205,1869,16707,2295,9376,1244,12404,1278,2483320,14383,1245742,8115,85144,3281,16375,1843,103537,4437,52464,3147,16621,1882,38139,2359,107289,3660,165660,3331,161024,2780,156968,2364,165056,2345,110058,1562,67407,1502,1237578,9640,79213,2855,16079,2050,98423,3959,50594,3369,15801,1397,32900,2028,90357,2888,160832,3086,152419,2592,159686,2569,172895,2679,117935,1598,90444,1782,1863,null,null,14393,null,null,7929,null,null,2363,null,null,782,null,null,2560,null,null,1244,null,null,507,null,null,911,null,null,3773,null,null,2212,null,null,1908,null,null,1778,null,null,1819,null,null,1093,null,null,981,null,null,8480,null,null,1880,null,null,1025,null,null,2300,null,null,1596,null,null,749,null,null,1205,null,null,2758,null,null,2373,null,null,2242,null,null,1869,null,null,2295,null,null,1244,null,null,1278,null,null,14383,null,null,8115,null,null,3281,null,null,1843,null,null,4437,null,null,3147,null,null,1882,null,null,2359,null,null,3660,null,null,3331,null,null,2780,null,null,2364,null,null,2345,null,null,1562,null,null,1502,null,null,9640,null,null,2855,null,null,2050,null,null,3959,null,null,3369,null,null,1397,null,null,2028,null,null,2888,null,null,3086,null,null,2592,null,null,2569,null,null,2679,null,null,1598,null,null,1782,null,null,20
4298953,3416,794060,24195,343504,12432,36848,3120,6311,1386,41168,3540,18152,1878,6811,1064,12559,1689,45533,4892,37658,3027,37212,3434,38194,2662,38349,3019,15472,2048,9237,1334,450556,14238,35557,3513,6217,1092,45689,3449,18800,2385,7828,1347,11840,1609,60365,3519,63873,4232,50379,4156,50988,3273,49575,3257,24367,2414,25078,2227,3504893,23747,1756059,13438,98650,3294,18042,2210,133015,4498,64517,3829,21817,1932,48437,2806,149961,4778,231316,3536,229154,4228,249155,3297,241223,3206,174096,2380,96676,1720,1748834,14387,94878,3582,15774,1713,122344,4601,59346,3720,21819,2136,42833,2421,122834,4363,215414,4242,225812,4176,251902,3874,255437,3395,190870,2840,129571,2203,3416,null,null,24195,null,null,12432,null,null,3120,null,null,1386,null,null,3540,null,null,1878,null,null,1064,null,null,1689,null,null,4892,null,null,3027,null,null,3434,null,null,2662,null,null,3019,null,null,2048,null,null,1334,null,null,14238,null,null,3513,null,null,1092,null,null,3449,null,null,2385,null,null,1347,null,null,1609,null,null,3519,null,null,4232,null,null,4156,null,null,3273,null,null,3257,null,null,2414,null,null,2227,null,null,23747,null,null,13438,null,null,3294,null,null,2210,null,null,4498,null,null,3829,null,null,1932,null,null,2806,null,null,4778,null,null,3536,null,null,4228,null,null,3297,null,null,3206,null,null,2380,null,null,1720,null,null,14387,null,null,3582,null,null,1713,null,null,4601,null,null,3720,null,null,2136,null,null,2421,null,null,4363,null,null,4242,null,null,4176,null,null,3874,null,null,3395,null,null,2840,null,null,2203,null,null,21
4546017,4194,918187,25851,398738,13630,50590,5389,6950,1301,56269,4559,25680,3131,7513,1327,16030,2659,51075,4590,45941,3811,32396,3731,32131,2744,43963,3253,18901,1957,11299,1370,519449,15419,41600,4211,7466,1802,58462,4936,21407,2841,8408,1706,13551,1908,68258,5226,86698,5372,56797,4052,49582,3659,52622,3037,30070,2496,24528,1887,3627830,26966,1801035,14707,100759,4251,23594,2808,128602,5933,72885,4573,22176,2192,50045,3497,155615,5308,269073,6424,240241,4660,245982,4115,235499,3202,164237,2765,92327,1877,1826795,15817,108659,4809,19807,2639,122243,4935,65250,4429,22593,2431,46107,2822,137549,5239,248351,5038,239052,4839,247073,4858,257447,3271,184827,2772,127837,2255,4194,null,null,25851,null,null,13630,null,null,5389,null,null,1301,null,null,4559,null,null,3131,null,null,1327,null,null,2659,null,null,4590,null,null,3811,null,null,3731,null,null,2744,null,null,3253,null,null,1957,null,null,1370,null,null,15419,null,null,4211,null,null,1802,null,null,4936,null,null,2841,null,null,1706,null,null,1908,null,null,5226,null,null,5372,null,null,4052,null,null,3659,null,null,3037,null,null,2496,null,null,1887,null,null,26966,null,null,14707,null,null,4251,null,null,2808,null,null,5933,null,null,4573,null,null,2192,null,null,3497,null,null,5308,null,null,6424,null,null,4660,null,null,4115,null,null,3202,null,null,2765,null,null,1877,null,null,15817,null,null,4809,null,null,2639,null,null,4935,null,null,4429,null,null,2431,null,null,2822,null,null,5239,null,null,5038,null,null,4839,null,null,4858,null,null,3271,null,null,2772,null,null,2255,null,null,22
