B20017H_001E,B20017H_001M,B20017H_002E,B20017H_002M,B20017H_003E,B20017H_003M,B20017H_004E,B20017H_004M,B20017H_005E,B20017H_005M,B20017H_006E,B20017H_006M,B20017H_007E,B20017H_007M,B20017H_001M,B20017H_001EA,B20017H_001MA,B20017H_002M,B20017H_002EA,B20017H_002MA,B20017H_003M,B20017H_003EA,B20017H_003MA,B20017H_004M,B20017H_004EA,B20017H_004MA,B20017H_005M,B20017H_005EA,B20017H_005MA,B20017H_006M,B20017H_006EA,B20017H_006MA,B20017H_007M,B20017H_007EA,B20017H_007MA,state
33086,560,39051,725,50615,257,12099,209,29418,544,40846,224,11907,165,560,null,null,725,null,null,257,null,null,209,null,null,544,null,null,224,null,null,165,null,null,12
36132,354,42316,484,52426,659,11233,375,29754,739,42013,444,10104,309,354,null,null,484,null,null,659,null,null,375,null,null,739,null,null,444,null,null,309,null,null,13
41279,1026,46439,2138,61161,1269,16811,2633,35085,4275,50117,2001,14064,1675,1026,null,null,2138,null,null,1269,null,null,2633,null,null,4275,null,null,2001,null,null,1675,null,null,15
28929,1097,35811,732,48026,1465,9878,723,21871,588,36078,798,9961,489,1097,null,null,732,null,null,1465,null,null,723,null,null,588,null,null,798,null,null,489,null,null,16
39973,406,49343,918,61616,311,12130,252,31167,215,45988,383,11607,184,406,null,null,918,null,null,311,null,null,252,null,null,215,null,null,383,null,null,184,null,null,17
32090,177,40642,258,50873,287,10729,284,25950,272,37303,336,10437,204,177,null,null,258,null,null,287,null,null,284,null,null,272,null,null,336,null,null,204,null,null,18
32546,748,40325,304,50727,323,10030,468,27019,417,39340,866,10191,307,748,null,null,304,null,null,323,null,null,468,null,null,417,null,null,866,null,null,307,null,null,19
32529,849,40694,368,50854,424,10451,463,26957,420,39208,911,10107,369,849,null,null,368,null,null,424,null,null,463,null,null,420,null,null,911,null,null,369,null,null,20
31023,237,36898,398,47236,576,10647,358,25330,408,37138,550,9580,272,237,null,null,398,null,null,576,null,null,358,null,null,408,null,null,550,null,null,272,null,null,21
36000,448,46309,773,56110,1251,13080,1208,27098,531,39190,1295,10290,314,448,null,null,773,null,null,1251,null,null,1208,null,null,531,null,null,1295,null,null,314,null,null,22
30943,411,36250,749,48089,1558,10979,534,26409,537,40495,585,11471,454,411,null,null,749,null,null,1558,null,null,534,null,null,537,null,null,585,null,null,454,null,null,23
47268,441,56547,764,72051,718,12065,512,39550,1120,55453,934,12232,313,441,null,null,764,null,null,718,null,null,512,null,null,1120,null,null,934,null,null,313,null,null,24
44497,1013,51804,293,69689,1353,13496,804,36840,415,55150,699,13987,482,1013,null,null,293,null,null,1353,null,null,804,null,null,415,null,null,699,null,null,482,null,null,25
31756,144,40419,214,52181,232,11002,196,25539,219,40683,252,10729,162,144,null,null,214,null,null,232,null,null,196,null,null,219,null,null,252,null,null,162,null,null,26
38933,537,45557,461,56710,528,12036,271,31858,256,46073,436,12549,345,537,null,null,461,null,null,528,null,null,271,null,null,256,null,null,436,null,null,345,null,null,27
32306,621,40465,650,50395,502,10998,644,26303,720,36710,655,9108,659,621,null,null,650,null,null,502,null,null,644,null,null,720,null,null,655,null,null,659,null,null,28
31855,180,38619,837,48507,1054,10822,254,26407,318,37362,427,9969,296,180,null,null,837,null,null,1054,null,null,254,null,null,318,null,null,427,null,null,296,null,null,29
