B27001B_001E,B27001B_001M,B27001B_002E,B27001B_002M,B27001B_003E,B27001B_003M,B27001B_004E,B27001B_004M,B27001B_005E,B27001B_005M,B27001B_006E,B27001B_006M,B27001B_007E,B27001B_007M,B27001B_008E,B27001B_008M,B27001B_009E,B27001B_009M,B27001B_010E,B27001B_010M,B27001B_011E,B27001B_011M,B27001B_012E,B27001B_012M,B27001B_013E,B27001B_013M,B27001B_014E,B27001B_014M,B27001B_015E,B27001B_015M,B27001B_016E,B27001B_016M,B27001B_017E,B27001B_017M,B27001B_018E,B27001B_018M,B27001B_019E,B27001B_019M,B27001B_020E,B27001B_020M,B27001B_021E,B27001B_021M,B27001B_022E,B27001B_022M,B27001B_023E,B27001B_023M,B27001B_024E,B27001B_024M,B27001B_025E,B27001B_025M,B27001B_026E,B27001B_026M,B27001B_027E,B27001B_027M,B27001B_028E,B27001B_028M,B27001B_001M,B27001B_001EA,B27001B_001MA,B27001B_002M,B27001B_002EA,B27001B_002MA,B27001B_003M,B27001B_003EA,B27001B_003MA,B27001B_004M,B27001B_004EA,B27001B_004MA,B27001B_005M,B27001B_005EA,B27001B_005MA,B27001B_006M,B27001B_006EA,B27001B_006MA,B27001B_007M,B27001B_007EA,B27001B_007MA,B27001B_008M,B27001B_008EA,B27001B_008MA,B27001B_009M,B27001B_009EA,B27001B_009MA,B27001B_010M,B27001B_010EA,B27001B_010MA,B27001B_011M,B27001B_011EA,B27001B_011MA,B27001B_012M,B27001B_012EA,B27001B_012MA,B27001B_013M,B27001B_013EA,B27001B_013MA,B27001B_014M,B27001B_014EA,B27001B_014MA,B27001B_015M,B27001B_015EA,B27001B_015MA,B27001B_016M,B27001B_016EA,B27001B_016MA,B27001B_017M,B27001B_017EA,B27001B_017MA,B27001B_018M,B27001B_018EA,B27001B_018MA,B27001B_019M,B27001B_019EA,B27001B_019MA,B27001B_020M,B27001B_020EA,B27001B_020MA,B27001B_021M,B27001B_021EA,B27001B_021MA,B27001B_022M,B27001B_022EA,B27001B_022MA,B27001B_023M,B27001B_023EA,B27001B_023MA,B27001B_024M,B27001B_024EA,B27001B_024MA,B27001B_025M,B27001B_025EA,B27001B_025MA,B27001B_026M,B27001B_026EA,B27001B_026MA,B27001B_027M,B27001B_027EA,B27001B_027MA,B27001B_028M,B27001B_028EA,B27001B_028MA,state
3215738,22182,274409,8033,262097,8180,12312,2723,576336,9149,536824,9882,39512,4623,359605,6455,283058,7639,76547,5432,486180,7487,371318,9673,114862,7372,410241,7305,330245,8425,79996,7210,404856,5229,336034,7171,68822,5246,358011,3931,303325,6329,54686,5240,214153,3463,204304,4440,9849,2390,131947,2497,129232,2686,2715,863,22182,null,null,8033,null,null,8180,null,null,2723,null,null,9149,null,null,9882,null,null,4623,null,null,6455,null,null,7639,null,null,5432,null,null,7487,null,null,9673,null,null,7372,null,null,7305,null,null,8425,null,null,7210,null,null,5229,null,null,7171,null,null,5246,null,null,3931,null,null,6329,null,null,5240,null,null,3463,null,null,4440,null,null,2390,null,null,2497,null,null,2686,null,null,863,null,null,12
3173959,14829,266831,5872,254042,6046,12789,3219,589906,6720,558848,8316,31058,4508,345163,4821,259935,7478,85228,6901,460857,6578,350653,7599,110204,7085,439955,7952,366053,7732,73902,5805,419473,5979,365330,6198,54143,4566,348548,2842,303188,3892,45360,3839,204915,3208,202577,3607,2338,1007,98311,2978,96857,3206,1454,884,14829,null,null,5872,null,null,6046,null,null,3219,null,null,6720,null,null,8316,null,null,4508,null,null,4821,null,null,7478,null,null,6901,null,null,6578,null,null,7599,null,null,7085,null,null,7952,null,null,7732,null,null,5805,null,null,5979,null,null,6198,null,null,4566,null,null,2842,null,null,3892,null,null,3839,null,null,3208,null,null,3607,null,null,1007,null,null,2978,null,null,3206,null,null,884,null,null,13
20264,1918,1673,565,1662,569,11,19,2666,841,2341,841,325,359,2152,866,1955,824,197,253,4375,850,3963,886,412,433,3267,737,3250,737,17,30,3040,638,2934,602,106,142,2202,398,1796,487,406,404,706,277,706,277,0,185,183,152,183,152,0,185,1918,null,null,565,null,null,569,null,null,19,null,null,841,null,null,841,null,null,359,null,null,866,null,null,824,null,null,253,null,null,850,null,null,886,null,null,433,null,null,737,null,null,737,null,null,30,null,null,638,null,null,602,null,null,142,null,null,398,null,null,487,null,null,404,null,null,277,null,null,277,null,null,185,null,null,152,null,null,152,null,null,185,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1751769,9438,136855,3752,134324,3918,2531,952,308356,4933,297740,5645,10616,2501,201570,3299,176367,4399,25203,3114,243579,4378,215199,4825,28380,3030,216298,3184,195107,4535,21191,3039,224208,2558,205609,3488,18599,2228,212794,2060,197772,2709,15022,1899,126406,1522,125560,1634,846,394,81703,1562,81451,1524,252,220,9438,null,null,3752,null,null,3918,null,null,952,null,null,4933,null,null,5645,null,null,2501,null,null,3299,null,null,4399,null,null,3114,null,null,4378,null,null,4825,null,null,3030,null,null,3184,null,null,4535,null,null,3039,null,null,2558,null,null,3488,null,null,2228,null,null,2060,null,null,2709,null,null,1899,null,null,1522,null,null,1634,null,null,394,null,null,1562,null,null,1524,null,null,220,null,null,17
598125,7281,52063,2956,50801,2755,1262,732,124324,4309,121631,4577,2693,1006,67253,2744,58834,3072,8419,1578,82337,3127,70257,2889,12080,1998,74647,2490,61583,3084,13064,2592,73289,2236,65320,2625,7969,1589,65557,1404,59155,1661,6402,1080,36398,1384,35845,1335,553,520,22257,1310,22257,1310,0,192,7281,null,null,2956,null,null,2755,null,null,732,null,null,4309,null,null,4577,null,null,1006,null,null,2744,null,null,3072,null,null,1578,null,null,3127,null,null,2889,null,null,1998,null,null,2490,null,null,3084,null,null,2592,null,null,2236,null,null,2625,null,null,1589,null,null,1404,null,null,1661,null,null,1080,null,null,1384,null,null,1335,null,null,520,null,null,1310,null,null,1310,null,null,192,null,null,18
108207,3357,13065,1562,12574,1641,491,420,22393,1712,22160,1679,233,366,15604,1935,12858,1568,2746,1230,17505,1892,15207,1963,2298,695,14421,1741,13003,1958,1418,649,12220,1936,10706,1899,1514,1135,7290,898,6935,834,355,269,3549,695,3549,695,0,159,2160,498,2160,498,0,159,3357,null,null,1562,null,null,1641,null,null,420,null,null,1712,null,null,1679,null,null,366,null,null,1935,null,null,1568,null,null,1230,null,null,1892,null,null,1963,null,null,695,null,null,1741,null,null,1958,null,null,649,null,null,1936,null,null,1899,null,null,1135,null,null,898,null,null,834,null,null,269,null,null,695,null,null,695,null,null,159,null,null,498,null,null,498,null,null,159,null,null,19
157545,4757,15512,2020,14747,1914,765,633,27504,2609,26653,2630,851,645,19622,2173,14012,2196,5610,1602,22596,1933,17034,1917,5562,1389,18646,1745,15186,1800,3460,960,19710,1493,15147,1657,4563,1184,18245,1117,16744,1242,1501,626,10513,1162,10418,1158,95,118,5197,735,5110,760,87,131,4757,null,null,2020,null,null,1914,null,null,633,null,null,2609,null,null,2630,null,null,645,null,null,2173,null,null,2196,null,null,1602,null,null,1933,null,null,1917,null,null,1389,null,null,1745,null,null,1800,null,null,960,null,null,1493,null,null,1657,null,null,1184,null,null,1117,null,null,1242,null,null,626,null,null,1162,null,null,1158,null,null,118,null,null,735,null,null,760,null,null,131,null,null,20
350298,6462,28280,2214,27658,2294,622,438,67092,3402,64653,3307,2439,1366,43716,2863,39653,3036,4063,1590,47811,2702,42769,2478,5042,1698,42915,2378,39798,2498,3117,905,44929,2083,41600,2127,3329,1108,41124,1841,39403,1896,1721,578,21980,1324,21857,1307,123,158,12451,1212,12268,1176,183,152,6462,null,null,2214,null,null,2294,null,null,438,null,null,3402,null,null,3307,null,null,1366,null,null,2863,null,null,3036,null,null,1590,null,null,2702,null,null,2478,null,null,1698,null,null,2378,null,null,2498,null,null,905,null,null,2083,null,null,2127,null,null,1108,null,null,1841,null,null,1896,null,null,578,null,null,1324,null,null,1307,null,null,158,null,null,1212,null,null,1176,null,null,152,null,null,21
1462552,7568,128375,4116,125252,4120,3123,1242,282910,5100,276850,5367,6060,1744,162459,3721,132318,4519,30141,3919,207156,5692,161935,6191,45221,4016,180563,5121,148580,4744,31983,3733,172105,4784,143849,5442,28256,3543,170537,2043,152024,2788,18513,2388,102857,1966,102180,1960,677,379,55590,2074,55429,2038,161,172,7568,null,null,4116,null,null,4120,null,null,1242,null,null,5100,null,null,5367,null,null,1744,null,null,3721,null,null,4519,null,null,3919,null,null,5692,null,null,6191,null,null,4016,null,null,5121,null,null,4744,null,null,3733,null,null,4784,null,null,5442,null,null,3543,null,null,2043,null,null,2788,null,null,2388,null,null,1966,null,null,1960,null,null,379,null,null,2074,null,null,2038,null,null,172,null,null,22
