B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,B10051F_001M,B10051F_001EA,B10051F_001MA,B10051F_002M,B10051F_002EA,B10051F_002MA,B10051F_003M,B10051F_003EA,B10051F_003MA,B10051F_004M,B10051F_004EA,B10051F_004MA,B10051F_005M,B10051F_005EA,B10051F_005MA,B10051F_006M,B10051F_006EA,B10051F_006MA,B10051F_007M,B10051F_007EA,B10051F_007MA,state
19774,3857,4240,1708,2326,1251,1914,870,15534,3157,6240,2041,9294,2555,3857,null,null,1708,null,null,1251,null,null,870,null,null,3157,null,null,2041,null,null,2555,null,null,12
7085,1964,2141,1002,1393,675,748,602,4944,1629,3164,1272,1780,890,1964,null,null,1002,null,null,675,null,null,602,null,null,1629,null,null,1272,null,null,890,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
32181,4298,6280,1900,4666,1568,1614,732,25901,3810,14336,2700,11565,2420,4298,null,null,1900,null,null,1568,null,null,732,null,null,3810,null,null,2700,null,null,2420,null,null,17
4923,1624,2443,1068,1934,979,509,348,2480,1002,1054,596,1426,669,1624,null,null,1068,null,null,979,null,null,348,null,null,1002,null,null,596,null,null,669,null,null,18
1381,551,385,273,235,229,150,131,996,443,777,393,219,221,551,null,null,273,null,null,229,null,null,131,null,null,443,null,null,393,null,null,221,null,null,19
1998,1009,652,705,652,705,0,174,1346,680,408,339,938,665,1009,null,null,705,null,null,705,null,null,174,null,null,680,null,null,339,null,null,665,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
8269,1873,2550,1127,1570,797,980,627,5719,1376,3453,1124,2266,1003,1873,null,null,1127,null,null,797,null,null,627,null,null,1376,null,null,1124,null,null,1003,null,null,24
