B19013B_001E,B19013B_001M,B19013B_001M,B19013B_001EA,B19013B_001MA,state
37553,670,670,null,null,12
41337,542,542,null,null,13
71858,10093,10093,null,null,15
48060,17889,17889,null,null,16
35517,839,839,null,null,17
32052,859,859,null,null,18
27883,3796,3796,null,null,19
32652,3347,3347,null,null,20
32231,1404,1404,null,null,21
27396,775,775,null,null,22
32390,21899,21899,null,null,23
62919,1506,1506,null,null,24
46381,2382,2382,null,null,25
32444,804,804,null,null,26
33436,2575,2575,null,null,27
29381,1055,1055,null,null,28
36227,969,969,null,null,29
38174,20979,20979,null,null,30
32976,4765,4765,null,null,31
37296,2286,2286,null,null,32
55786,6224,6224,null,null,33
47696,1716,1716,null,null,34
47043,3713,3713,null,null,35
45277,1077,1077,null,null,36
36014,627,627,null,null,37
24810,9666,9666,null,null,38
31035,693,693,null,null,39
30923,1334,1334,null,null,40
35723,6471,6471,null,null,41
36253,1019,1019,null,null,42
42425,5446,5446,null,null,44
32211,784,784,null,null,45
42844,10586,10586,null,null,46
35673,1075,1075,null,null,47
42582,880,880,null,null,48
26795,13239,13239,null,null,49
25635,7482,7482,null,null,50
47346,1198,1198,null,null,51
47410,2658,2658,null,null,53
32850,3878,3878,null,null,54
28276,1694,1694,null,null,55
60320,26069,26069,null,null,56
18185,1182,1182,null,null,72
31617,800,800,null,null,01
60363,17330,17330,null,null,02
41842,1932,1932,null,null,04
30939,1014,1014,null,null,05
46232,889,889,null,null,06
48058,2372,2372,null,null,08
43236,2426,2426,null,null,09
44663,4161,4161,null,null,10
37891,3438,3438,null,null,11
