B12505_001E,B12505_001M,B12505_002E,B12505_002M,B12505_003E,B12505_003M,B12505_004E,B12505_004M,B12505_005E,B12505_005M,B12505_006E,B12505_006M,B12505_007E,B12505_007M,B12505_008E,B12505_008M,B12505_009E,B12505_009M,B12505_010E,B12505_010M,B12505_011E,B12505_011M,B12505_012E,B12505_012M,B12505_013E,B12505_013M,B12505_001M,B12505_001EA,B12505_001MA,B12505_002M,B12505_002EA,B12505_002MA,B12505_003M,B12505_003EA,B12505_003MA,B12505_004M,B12505_004EA,B12505_004MA,B12505_005M,B12505_005EA,B12505_005MA,B12505_006M,B12505_006EA,B12505_006MA,B12505_007M,B12505_007EA,B12505_007MA,B12505_008M,B12505_008EA,B12505_008MA,B12505_009M,B12505_009EA,B12505_009MA,B12505_010M,B12505_010EA,B12505_010MA,B12505_011M,B12505_011EA,B12505_011MA,B12505_012M,B12505_012EA,B12505_012MA,B12505_013M,B12505_013EA,B12505_013MA,state
17195240,5550,8325278,5933,2929277,19817,5396001,19789,3759962,23865,1238745,16816,397294,10766,8869962,5030,2541569,21512,6328393,20678,4476124,27528,1423196,19908,429073,11420,5550,null,null,5933,null,null,19817,null,null,19789,null,null,23865,null,null,16816,null,null,10766,null,null,5030,null,null,21512,null,null,20678,null,null,27528,null,null,19908,null,null,11420,null,null,12
8232061,4501,3957018,5359,1458472,16645,2498546,16690,1798367,18913,530904,10530,169275,6613,4275043,5948,1344777,14673,2930266,14316,2120180,17745,616927,12162,193159,5816,4501,null,null,5359,null,null,16645,null,null,16690,null,null,18913,null,null,10530,null,null,6613,null,null,5948,null,null,14673,null,null,14316,null,null,17745,null,null,12162,null,null,5816,null,null,13
1168033,1222,583715,1510,223677,5630,360038,5609,288761,6233,56464,3574,14813,2000,584318,1217,170598,4641,413720,4484,335966,5409,65188,3267,12566,1681,1222,null,null,1510,null,null,5630,null,null,5609,null,null,6233,null,null,3574,null,null,2000,null,null,1217,null,null,4641,null,null,4484,null,null,5409,null,null,3267,null,null,1681,null,null,15
1320797,1891,655592,2247,201696,6339,453896,6201,316871,7046,99840,4200,37185,3343,665205,2447,162455,6087,502750,6337,345941,7430,113861,5335,42948,3407,1891,null,null,2247,null,null,6339,null,null,6201,null,null,7046,null,null,4200,null,null,3343,null,null,2447,null,null,6087,null,null,6337,null,null,7430,null,null,5335,null,null,3407,null,null,16
10394067,3072,5056969,4040,1940750,14617,3116219,14034,2466036,14967,531446,8399,118737,4783,5337098,4147,1747773,13976,3589325,13172,2839504,16196,609104,10301,140717,5715,3072,null,null,4040,null,null,14617,null,null,14034,null,null,14967,null,null,8399,null,null,4783,null,null,4147,null,null,13976,null,null,13172,null,null,16196,null,null,10301,null,null,5715,null,null,17
5331071,3783,2600798,4287,901195,10269,1699603,10292,1213263,12010,361511,8111,124829,5298,2730273,4074,778923,9235,1951350,9801,1391525,11594,416578,9417,143247,6033,3783,null,null,4287,null,null,10269,null,null,10292,null,null,12010,null,null,8111,null,null,5298,null,null,4074,null,null,9235,null,null,9801,null,null,11594,null,null,9417,null,null,6033,null,null,18
2529447,2234,1245027,3140,415556,7499,829471,6846,638558,7118,150331,4155,40582,2553,1284420,2575,337782,6183,946638,6583,723166,8139,179274,5485,44198,2399,2234,null,null,3140,null,null,7499,null,null,6846,null,null,7118,null,null,4155,null,null,2553,null,null,2575,null,null,6183,null,null,6583,null,null,8139,null,null,5485,null,null,2399,null,null,19
2310304,2733,1142169,3270,386511,7231,755658,7322,559687,8098,142791,3939,53180,3238,1168135,3002,308531,6833,859604,6401,622963,7898,178520,5559,58121,2919,2733,null,null,3270,null,null,7231,null,null,7322,null,null,8098,null,null,3939,null,null,3238,null,null,3002,null,null,6833,null,null,6401,null,null,7898,null,null,5559,null,null,2919,null,null,20
3600690,3442,1752576,4457,579303,8578,1173273,8329,816522,9414,259409,7325,97342,4260,1848114,3452,488955,7772,1359159,7760,951272,10415,299033,8137,108854,4507,3442,null,null,4457,null,null,8578,null,null,8329,null,null,9414,null,null,7325,null,null,4260,null,null,3452,null,null,7772,null,null,7760,null,null,10415,null,null,8137,null,null,4507,null,null,21
3751715,3855,1815491,4285,725764,9677,1089727,9435,788189,10045,228740,8000,72798,4051,1936224,3795,641451,10549,1294773,10294,945699,11714,266186,9040,82888,5089,3855,null,null,4285,null,null,9677,null,null,9435,null,null,10045,null,null,8000,null,null,4051,null,null,3795,null,null,10549,null,null,10294,null,null,11714,null,null,9040,null,null,5089,null,null,22
