C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,C15010A_001M,C15010A_001EA,C15010A_001MA,C15010A_002M,C15010A_002EA,C15010A_002MA,C15010A_003M,C15010A_003EA,C15010A_003MA,C15010A_004M,C15010A_004EA,C15010A_004MA,C15010A_005M,C15010A_005EA,C15010A_005MA,C15010A_006M,C15010A_006EA,C15010A_006MA,state
3487614,31630,1083938,17181,338659,10803,832820,15227,490351,10655,741846,14723,31630,null,null,17181,null,null,10803,null,null,15227,null,null,10655,null,null,14723,null,null,12
1379614,16337,412999,10835,124980,5304,335336,9575,195404,6594,310895,9261,16337,null,null,10835,null,null,5304,null,null,9575,null,null,6594,null,null,9261,null,null,13
113939,4447,44732,2925,10417,1507,18429,2160,11001,1614,29360,2347,4447,null,null,2925,null,null,1507,null,null,2160,null,null,1614,null,null,2347,null,null,15
282929,8357,94933,4991,32101,3179,45558,3438,45786,3238,64551,5321,8357,null,null,4991,null,null,3179,null,null,3438,null,null,3238,null,null,5321,null,null,16
2283604,15776,695722,12644,210725,6358,501040,10705,329978,7342,546139,11020,15776,null,null,12644,null,null,6358,null,null,10705,null,null,7342,null,null,11020,null,null,17
999008,13633,277122,7536,120598,5530,207767,6396,179685,6503,213836,6774,13633,null,null,7536,null,null,5530,null,null,6396,null,null,6503,null,null,6774,null,null,18
547381,10757,153637,5359,54655,3272,119200,5596,104676,4918,115213,5236,10757,null,null,5359,null,null,3272,null,null,5596,null,null,4918,null,null,5236,null,null,19
557111,9221,158077,5826,56574,3028,115669,4592,107391,4281,119400,5319,9221,null,null,5826,null,null,3028,null,null,4592,null,null,4281,null,null,5319,null,null,20
638190,11224,177608,6595,76246,4381,131608,5512,106781,4806,145947,7056,11224,null,null,6595,null,null,4381,null,null,5512,null,null,4806,null,null,7056,null,null,21
554107,12576,152566,6042,72507,4389,114118,5030,91751,5261,123165,5741,12576,null,null,6042,null,null,4389,null,null,5030,null,null,5261,null,null,5741,null,null,22
280657,7607,89377,4547,30154,2420,40523,3308,44886,3205,75717,4300,7607,null,null,4547,null,null,2420,null,null,3308,null,null,3205,null,null,4300,null,null,23
1047742,10922,426334,9136,81315,3664,177650,6422,111726,4896,250717,7639,10922,null,null,9136,null,null,3664,null,null,6422,null,null,4896,null,null,7639,null,null,24
1714049,13564,660957,11321,142059,6325,310783,9222,164679,5943,435571,9062,13564,null,null,11321,null,null,6325,null,null,9222,null,null,5943,null,null,9062,null,null,25
1599701,16260,502491,9302,172976,5490,347014,7950,240767,6128,336453,7460,16260,null,null,9302,null,null,5490,null,null,7950,null,null,6128,null,null,7460,null,null,26
1166067,11651,369224,7024,115965,4075,234759,5937,168652,6272,277467,6174,11651,null,null,7024,null,null,4075,null,null,5937,null,null,6272,null,null,6174,null,null,27
308121,8785,82331,4957,37766,3111,65889,4809,63523,4328,58612,3775,8785,null,null,4957,null,null,3111,null,null,4809,null,null,4328,null,null,3775,null,null,28
1023552,13222,297567,7831,100946,4999,222415,5580,180095,6053,222529,7618,13222,null,null,7831,null,null,4999,null,null,5580,null,null,6053,null,null,7618,null,null,29
207143,5804,75003,3774,24384,2385,32262,2827,34134,2712,41360,3034,5804,null,null,3774,null,null,2385,null,null,2827,null,null,2712,null,null,3034,null,null,30
361383,6945,96436,3899,41751,2559,77900,3062,72482,3337,72814,3490,6945,null,null,3899,null,null,2559,null,null,3062,null,null,3337,null,null,3490,null,null,31
