C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,C14005_001M,C14005_001EA,C14005_001MA,C14005_002M,C14005_002EA,C14005_002MA,C14005_003M,C14005_003EA,C14005_003MA,C14005_004M,C14005_004EA,C14005_004MA,C14005_005M,C14005_005EA,C14005_005MA,C14005_006M,C14005_006EA,C14005_006MA,C14005_007M,C14005_007EA,C14005_007MA,C14005_008M,C14005_008EA,C14005_008MA,C14005_009M,C14005_009EA,C14005_009MA,C14005_010M,C14005_010EA,C14005_010MA,C14005_011M,C14005_011EA,C14005_011MA,C14005_012M,C14005_012EA,C14005_012MA,C14005_013M,C14005_013EA,C14005_013MA,C14005_014M,C14005_014EA,C14005_014MA,C14005_015M,C14005_015EA,C14005_015MA,C14005_016M,C14005_016EA,C14005_016MA,C14005_017M,C14005_017EA,C14005_017MA,C14005_018M,C14005_018EA,C14005_018MA,C14005_019M,C14005_019EA,C14005_019MA,state
979649,11014,498745,7145,415303,8558,83442,5941,54655,4484,39541,3794,15114,2597,28787,3614,15944,2816,12843,1965,480904,7503,420029,7328,60875,4287,44392,3840,29095,2985,15297,2942,16483,2576,6122,1516,10361,2000,11014,null,null,7145,null,null,8558,null,null,5941,null,null,4484,null,null,3794,null,null,2597,null,null,3614,null,null,2816,null,null,1965,null,null,7503,null,null,7328,null,null,4287,null,null,3840,null,null,2985,null,null,2942,null,null,2576,null,null,1516,null,null,2000,null,null,12
588925,10361,303947,7491,247159,6865,56788,4218,38585,3635,29864,3182,8721,1911,18203,2390,7403,1440,10800,1888,284978,7082,246576,6682,38402,3663,26267,3190,17839,2663,8428,1838,12135,2142,6136,1683,5999,1471,10361,null,null,7491,null,null,6865,null,null,4218,null,null,3635,null,null,3182,null,null,1911,null,null,2390,null,null,1440,null,null,1888,null,null,7082,null,null,6682,null,null,3663,null,null,3190,null,null,2663,null,null,1838,null,null,2142,null,null,1683,null,null,1471,null,null,13
62345,2241,32153,1650,24738,1573,7415,1307,6460,1199,5681,1166,779,275,955,445,420,345,535,313,30192,1573,24670,1826,5522,1153,4576,1030,2927,756,1649,752,946,464,346,261,600,400,2241,null,null,1650,null,null,1573,null,null,1307,null,null,1199,null,null,1166,null,null,275,null,null,445,null,null,345,null,null,313,null,null,1573,null,null,1826,null,null,1153,null,null,1030,null,null,756,null,null,752,null,null,464,null,null,261,null,null,400,null,null,15
97297,3297,49621,2646,40239,2627,9382,1364,7370,1320,5441,1318,1929,881,2012,632,560,302,1452,601,47676,2368,40926,2603,6750,1131,5349,1080,4362,1040,987,530,1401,582,879,429,522,352,3297,null,null,2646,null,null,2627,null,null,1364,null,null,1320,null,null,1318,null,null,881,null,null,632,null,null,302,null,null,601,null,null,2368,null,null,2603,null,null,1131,null,null,1080,null,null,1040,null,null,530,null,null,582,null,null,429,null,null,352,null,null,16
683693,6774,343459,4552,291717,5451,51742,3216,37651,2729,28880,2572,8771,1709,14091,1695,6891,1120,7200,1274,340234,4994,302091,5320,38143,2720,26022,2173,19182,2030,6840,1238,12121,1789,5053,1124,7068,1498,6774,null,null,4552,null,null,5451,null,null,3216,null,null,2729,null,null,2572,null,null,1709,null,null,1695,null,null,1120,null,null,1274,null,null,4994,null,null,5320,null,null,2720,null,null,2173,null,null,2030,null,null,1238,null,null,1789,null,null,1124,null,null,1498,null,null,17
372618,5583,189632,3989,160744,4101,28888,2669,17491,1948,12841,1727,4650,1062,11397,1919,5621,1280,5776,1307,182986,4107,159276,4184,23710,2367,16810,2088,14003,1865,2807,763,6900,1223,4351,888,2549,790,5583,null,null,3989,null,null,4101,null,null,2669,null,null,1948,null,null,1727,null,null,1062,null,null,1919,null,null,1280,null,null,1307,null,null,4107,null,null,4184,null,null,2367,null,null,2088,null,null,1865,null,null,763,null,null,1223,null,null,888,null,null,790,null,null,18
179256,3803,94977,2641,81974,2817,13003,1738,9122,1303,7546,1247,1576,563,3881,1158,2356,802,1525,589,84279,2888,75022,2748,9257,1469,5937,1269,4833,1237,1104,481,3320,872,1988,608,1332,607,3803,null,null,2641,null,null,2817,null,null,1738,null,null,1303,null,null,1247,null,null,563,null,null,1158,null,null,802,null,null,589,null,null,2888,null,null,2748,null,null,1469,null,null,1269,null,null,1237,null,null,481,null,null,872,null,null,608,null,null,607,null,null,19
168560,3718,88239,3089,73529,3145,14710,1710,10522,1513,8958,1481,1564,518,4188,767,2086,612,2102,620,80321,2938,70026,3201,10295,1551,7938,1528,5935,1231,2003,867,2357,639,1557,504,800,389,3718,null,null,3089,null,null,3145,null,null,1710,null,null,1513,null,null,1481,null,null,518,null,null,767,null,null,612,null,null,620,null,null,2938,null,null,3201,null,null,1551,null,null,1528,null,null,1231,null,null,867,null,null,639,null,null,504,null,null,389,null,null,20
247992,6598,126176,3711,104373,3782,21803,2158,15143,1901,12034,1752,3109,896,6660,1541,2722,986,3938,1124,121816,4659,103302,4036,18514,2247,12390,1778,9507,1588,2883,803,6124,1294,3182,1245,2942,847,6598,null,null,3711,null,null,3782,null,null,2158,null,null,1901,null,null,1752,null,null,896,null,null,1541,null,null,986,null,null,1124,null,null,4659,null,null,4036,null,null,2247,null,null,1778,null,null,1588,null,null,803,null,null,1294,null,null,1245,null,null,847,null,null,21
254991,6655,131237,5234,105367,4922,25870,3412,15999,2726,10984,2005,5015,1480,9871,1905,4050,1099,5821,1480,123754,4733,104480,4547,19274,2595,12940,2240,8514,1914,4426,1224,6334,1423,2462,1032,3872,1171,6655,null,null,5234,null,null,4922,null,null,3412,null,null,2726,null,null,2005,null,null,1480,null,null,1905,null,null,1099,null,null,1480,null,null,4733,null,null,4547,null,null,2595,null,null,2240,null,null,1914,null,null,1224,null,null,1423,null,null,1032,null,null,1171,null,null,22
67077,2228,33307,1564,29599,1824,3708,976,2953,790,2496,718,457,334,755,365,341,233,414,269,33770,1606,29085,1846,4685,1266,3047,784,2242,687,805,442,1638,838,882,571,756,577,2228,null,null,1564,null,null,1824,null,null,976,null,null,790,null,null,718,null,null,334,null,null,365,null,null,233,null,null,269,null,null,1606,null,null,1846,null,null,1266,null,null,784,null,null,687,null,null,442,null,null,838,null,null,571,null,null,577,null,null,23
302959,5554,156658,4005,133527,3794,23131,2329,16580,1816,13658,1919,2922,772,6551,1327,4067,1085,2484,696,146301,3663,129825,4480,16476,1824,13304,1681,10200,1513,3104,974,3172,1145,1762,966,1410,601,5554,null,null,4005,null,null,3794,null,null,2329,null,null,1816,null,null,1919,null,null,772,null,null,1327,null,null,1085,null,null,696,null,null,3663,null,null,4480,null,null,1824,null,null,1681,null,null,1513,null,null,974,null,null,1145,null,null,966,null,null,601,null,null,24
378651,4937,187826,3804,169302,4270,18524,2379,12965,2149,9812,1845,3153,1076,5559,1197,2371,1059,3188,792,190825,3054,177204,3341,13621,1903,10106,1734,8094,1410,2012,864,3515,1017,1441,783,2074,725,4937,null,null,3804,null,null,4270,null,null,2379,null,null,2149,null,null,1845,null,null,1076,null,null,1197,null,null,1059,null,null,792,null,null,3054,null,null,3341,null,null,1903,null,null,1734,null,null,1410,null,null,864,null,null,1017,null,null,783,null,null,725,null,null,25
536441,6059,273712,4267,233484,4320,40228,3133,24803,2224,19303,1788,5500,1258,15425,2134,7882,1567,7543,1305,262729,3991,227679,4423,35050,2942,24222,2729,18168,2408,6054,1173,10828,1591,4832,1092,5996,1241,6059,null,null,4267,null,null,4320,null,null,3133,null,null,2224,null,null,1788,null,null,1258,null,null,2134,null,null,1567,null,null,1305,null,null,3991,null,null,4423,null,null,2942,null,null,2729,null,null,2408,null,null,1173,null,null,1591,null,null,1092,null,null,1241,null,null,26
285185,4221,146220,3158,127973,3349,18247,1630,13135,1327,10045,1333,3090,914,5112,1049,2882,749,2230,648,138965,3214,125920,3589,13045,1668,8927,1338,7157,1206,1770,514,4118,987,2178,727,1940,576,4221,null,null,3158,null,null,3349,null,null,1630,null,null,1327,null,null,1333,null,null,914,null,null,1049,null,null,749,null,null,648,null,null,3214,null,null,3589,null,null,1668,null,null,1338,null,null,1206,null,null,514,null,null,987,null,null,727,null,null,576,null,null,27
181057,6656,89662,5431,75579,4627,14083,2320,9825,2003,6071,1628,3754,1193,4258,1001,1359,513,2899,913,91395,4846,79345,4749,12050,2036,7871,1711,4015,1330,3856,1204,4179,1254,1372,571,2807,1080,6656,null,null,5431,null,null,4627,null,null,2320,null,null,2003,null,null,1628,null,null,1193,null,null,1001,null,null,513,null,null,913,null,null,4846,null,null,4749,null,null,2036,null,null,1711,null,null,1330,null,null,1204,null,null,1254,null,null,571,null,null,1080,null,null,28
337772,6642,173794,4359,146627,4881,27167,2846,19127,2178,15979,2157,3148,766,8040,1496,3919,935,4121,1134,163978,4450,140586,4372,23392,2442,17336,2126,14086,1850,3250,1047,6056,1316,3679,1103,2377,673,6642,null,null,4359,null,null,4881,null,null,2846,null,null,2178,null,null,2157,null,null,766,null,null,1496,null,null,935,null,null,1134,null,null,4450,null,null,4372,null,null,2442,null,null,2126,null,null,1850,null,null,1047,null,null,1316,null,null,1103,null,null,673,null,null,29
52431,2516,27158,1737,22876,1777,4282,843,2988,669,2565,623,423,340,1294,608,388,333,906,522,25273,1751,19646,1512,5627,1446,4678,1272,3608,957,1070,785,949,431,491,344,458,274,2516,null,null,1737,null,null,1777,null,null,843,null,null,669,null,null,623,null,null,340,null,null,608,null,null,333,null,null,522,null,null,1751,null,null,1512,null,null,1446,null,null,1272,null,null,957,null,null,785,null,null,431,null,null,344,null,null,274,null,null,30
105017,2684,52990,1802,46013,1804,6977,1091,5717,1051,4588,847,1129,579,1260,534,745,426,515,266,52027,1836,46707,1890,5320,1022,4251,957,3275,764,976,508,1069,421,524,323,545,386,2684,null,null,1802,null,null,1804,null,null,1091,null,null,1051,null,null,847,null,null,579,null,null,534,null,null,426,null,null,266,null,null,1836,null,null,1890,null,null,1022,null,null,957,null,null,764,null,null,508,null,null,421,null,null,323,null,null,386,null,null,31
143337,3759,74882,2630,58121,3166,16761,1950,10768,2013,7576,1610,3192,1270,5993,1326,3287,778,2706,1037,68455,2550,57001,2848,11454,1681,7152,1368,4661,1074,2491,843,4302,1145,2903,971,1399,647,3759,null,null,2630,null,null,3166,null,null,1950,null,null,2013,null,null,1610,null,null,1270,null,null,1326,null,null,778,null,null,1037,null,null,2550,null,null,2848,null,null,1681,null,null,1368,null,null,1074,null,null,843,null,null,1145,null,null,971,null,null,647,null,null,32
71829,2563,38303,2137,33607,2092,4696,1166,3955,997,2550,719,1405,657,741,535,280,222,461,490,33526,1346,30041,1483,3485,967,2477,782,2304,758,173,159,1008,518,480,361,528,393,2563,null,null,2137,null,null,2092,null,null,1166,null,null,997,null,null,719,null,null,657,null,null,535,null,null,222,null,null,490,null,null,1346,null,null,1483,null,null,967,null,null,782,null,null,758,null,null,159,null,null,518,null,null,361,null,null,393,null,null,33
455781,5250,234776,3985,207847,4423,26929,2653,19532,2379,12957,1844,6575,1738,7397,1454,3790,1146,3607,982,221005,3954,200533,4378,20472,2178,15644,1848,11406,1655,4238,1055,4828,1113,1174,519,3654,991,5250,null,null,3985,null,null,4423,null,null,2653,null,null,2379,null,null,1844,null,null,1738,null,null,1454,null,null,1146,null,null,982,null,null,3954,null,null,4378,null,null,2178,null,null,1848,null,null,1655,null,null,1055,null,null,1113,null,null,519,null,null,991,null,null,34
118724,3691,61590,3104,50918,3099,10672,1718,5996,1316,4551,1182,1445,611,4676,1177,2737,852,1939,886,57134,2677,47902,2560,9232,1666,5876,1260,3249,927,2627,845,3356,1032,1653,781,1703,651,3691,null,null,3104,null,null,3099,null,null,1718,null,null,1316,null,null,1182,null,null,611,null,null,1177,null,null,852,null,null,886,null,null,2677,null,null,2560,null,null,1666,null,null,1260,null,null,927,null,null,845,null,null,1032,null,null,781,null,null,651,null,null,35
