C18130_001E,C18130_001M,C18130_002E,C18130_002M,C18130_003E,C18130_003M,C18130_004E,C18130_004M,C18130_005E,C18130_005M,C18130_006E,C18130_006M,C18130_007E,C18130_007M,C18130_008E,C18130_008M,C18130_009E,C18130_009M,C18130_010E,C18130_010M,C18130_011E,C18130_011M,C18130_012E,C18130_012M,C18130_013E,C18130_013M,C18130_014E,C18130_014M,C18130_015E,C18130_015M,C18130_016E,C18130_016M,C18130_017E,C18130_017M,C18130_018E,C18130_018M,C18130_019E,C18130_019M,C18130_020E,C18130_020M,C18130_021E,C18130_021M,C18130_022E,C18130_022M,C18130_001M,C18130_001EA,C18130_001MA,C18130_002M,C18130_002EA,C18130_002MA,C18130_003M,C18130_003EA,C18130_003MA,C18130_004M,C18130_004EA,C18130_004MA,C18130_005M,C18130_005EA,C18130_005MA,C18130_006M,C18130_006EA,C18130_006MA,C18130_007M,C18130_007EA,C18130_007MA,C18130_008M,C18130_008EA,C18130_008MA,C18130_009M,C18130_009EA,C18130_009MA,C18130_010M,C18130_010EA,C18130_010MA,C18130_011M,C18130_011EA,C18130_011MA,C18130_012M,C18130_012EA,C18130_012MA,C18130_013M,C18130_013EA,C18130_013MA,C18130_014M,C18130_014EA,C18130_014MA,C18130_015M,C18130_015EA,C18130_015MA,C18130_016M,C18130_016EA,C18130_016MA,C18130_017M,C18130_017EA,C18130_017MA,C18130_018M,C18130_018EA,C18130_018MA,C18130_019M,C18130_019EA,C18130_019MA,C18130_020M,C18130_020EA,C18130_020MA,C18130_021M,C18130_021EA,C18130_021MA,C18130_022M,C18130_022EA,C18130_022MA,state
20145748,7639,4080165,6661,174647,7054,50630,4634,124017,5703,3905518,9472,808081,22934,3097437,24132,12044837,6522,1252777,17014,330755,12796,922022,15781,10792060,18106,1365033,26504,9427027,29951,4020746,4299,1329878,15929,169730,6986,1160148,15220,2690868,15944,248646,9405,2442222,15863,7639,null,null,6661,null,null,7054,null,null,4634,null,null,5703,null,null,9472,null,null,22934,null,null,24132,null,null,6522,null,null,17014,null,null,12796,null,null,15781,null,null,18106,null,null,26504,null,null,29951,null,null,4299,null,null,15929,null,null,6986,null,null,15220,null,null,15944,null,null,9405,null,null,15863,null,null,12
10005966,5761,2472797,5263,115157,7458,37272,5900,77885,5498,2357640,7649,528733,17922,1828907,19764,6202866,6234,695359,14875,180883,8372,514476,14334,5507507,15376,721582,19041,4785925,21801,1330303,3964,486032,9572,62814,4023,423218,9121,844271,10295,70927,4815,773344,9557,5761,null,null,5263,null,null,7458,null,null,5900,null,null,5498,null,null,7649,null,null,17922,null,null,19764,null,null,6234,null,null,14875,null,null,8372,null,null,14334,null,null,15376,null,null,19041,null,null,21801,null,null,3964,null,null,9572,null,null,4023,null,null,9121,null,null,10295,null,null,4815,null,null,9557,null,null,13
1363852,2999,301115,1920,8161,1490,873,427,7288,1454,292954,2448,29634,4178,263320,4677,824003,2767,65806,3894,15120,2596,50686,3435,758197,4982,62222,5355,695975,7130,238734,714,81800,3150,10694,1896,71106,3204,156934,3261,10655,1473,146279,3273,2999,null,null,1920,null,null,1490,null,null,427,null,null,1454,null,null,2448,null,null,4178,null,null,4677,null,null,2767,null,null,3894,null,null,2596,null,null,3435,null,null,4982,null,null,5355,null,null,7130,null,null,714,null,null,3150,null,null,1896,null,null,3204,null,null,3261,null,null,1473,null,null,3273,null,null,15
1649941,1659,430772,2200,17980,2307,5403,1231,12577,2008,412792,3216,70863,7512,341929,8388,966735,2113,115196,4897,31577,3773,83619,4030,851539,5008,104245,6901,747294,8319,252434,1794,91100,3312,11261,1910,79839,3085,161334,3618,14042,2170,147292,4182,1659,null,null,2200,null,null,2307,null,null,1231,null,null,2008,null,null,3216,null,null,7512,null,null,8388,null,null,2113,null,null,4897,null,null,3773,null,null,4030,null,null,5008,null,null,6901,null,null,8319,null,null,1794,null,null,3312,null,null,1910,null,null,3085,null,null,3618,null,null,2170,null,null,4182,null,null,16
12493182,4020,2883787,4142,96258,5041,24916,2573,71342,4589,2787529,6435,486763,17153,2300766,17976,7801485,4103,676629,13711,181238,7534,495391,11982,7124856,14705,762417,18589,6362439,24591,1807910,3613,611381,8189,74422,4675,536959,8332,1196529,8380,91722,5072,1104807,9432,4020,null,null,4142,null,null,5041,null,null,2573,null,null,4589,null,null,6435,null,null,17153,null,null,17976,null,null,4103,null,null,13711,null,null,7534,null,null,11982,null,null,14705,null,null,18589,null,null,24591,null,null,3613,null,null,8189,null,null,4675,null,null,8332,null,null,8380,null,null,5072,null,null,9432,null,null,17
6429624,3231,1544329,4422,66783,4732,22490,3344,44293,3549,1477546,6560,278666,12688,1198880,13229,3928017,3795,481120,9660,128199,5700,352921,9077,3446897,10260,402958,12144,3043939,15327,957278,2718,355036,6101,37354,3111,317682,6419,602242,6535,36242,2922,566000,6782,3231,null,null,4422,null,null,4732,null,null,3344,null,null,3549,null,null,6560,null,null,12688,null,null,13229,null,null,3795,null,null,9660,null,null,5700,null,null,9077,null,null,10260,null,null,12144,null,null,15327,null,null,2718,null,null,6101,null,null,3111,null,null,6419,null,null,6535,null,null,2922,null,null,6782,null,null,18
3029733,2162,711537,3068,30969,2776,6816,1838,24153,2225,680568,3543,98216,6703,582352,7080,1826961,2690,173245,5818,42325,3394,130920,5574,1653716,6074,175208,6872,1478508,9153,491235,2015,156602,4780,15866,1651,140736,4671,334633,4927,17947,1699,316686,4727,2162,null,null,3068,null,null,2776,null,null,1838,null,null,2225,null,null,3543,null,null,6703,null,null,7080,null,null,2690,null,null,5818,null,null,3394,null,null,5574,null,null,6074,null,null,6872,null,null,9153,null,null,2015,null,null,4780,null,null,1651,null,null,4671,null,null,4927,null,null,1699,null,null,4727,null,null,19
2814727,2418,704587,3071,29694,3202,7100,1522,22594,2741,674893,4015,92223,7175,582670,8107,1690773,3581,186710,5243,43140,2961,143570,4743,1504063,6073,166176,8289,1337887,9584,419367,2077,146356,3726,16331,1738,130025,3541,273011,4120,17192,1976,255819,4098,2418,null,null,3071,null,null,3202,null,null,1522,null,null,2741,null,null,4015,null,null,7175,null,null,8107,null,null,3581,null,null,5243,null,null,2961,null,null,4743,null,null,6073,null,null,8289,null,null,9584,null,null,2077,null,null,3726,null,null,1738,null,null,3541,null,null,4120,null,null,1976,null,null,4098,null,null,20
4290711,3965,989252,4592,56222,3977,22157,2626,34065,3178,933030,5494,225623,11199,707407,11062,2636092,3826,436351,11689,148246,6762,288105,9497,2199741,11491,323584,12340,1876157,15720,665367,2166,281315,6489,41359,3272,239956,6046,384052,6447,32795,2803,351257,6762,3965,null,null,4592,null,null,3977,null,null,2626,null,null,3178,null,null,5494,null,null,11199,null,null,11062,null,null,3826,null,null,11689,null,null,6762,null,null,9497,null,null,11491,null,null,12340,null,null,15720,null,null,2166,null,null,6489,null,null,3272,null,null,6046,null,null,6447,null,null,2803,null,null,6762,null,null,21
4533461,4771,1096646,4810,63828,5204,24543,3442,39285,3874,1032818,7761,289383,13627,743435,14745,2782789,3650,382231,10833,121580,6210,260651,8385,2400558,11231,397539,13842,2003019,17720,654026,2581,258603,5987,42045,2553,216558,5979,395423,6490,42753,3253,352670,6177,4771,null,null,4810,null,null,5204,null,null,3442,null,null,3874,null,null,7761,null,null,13627,null,null,14745,null,null,3650,null,null,10833,null,null,6210,null,null,8385,null,null,11231,null,null,13842,null,null,17720,null,null,2581,null,null,5987,null,null,2553,null,null,5979,null,null,6490,null,null,3253,null,null,6177,null,null,22
