C27002_001E,C27002_001M,C27002_002E,C27002_002M,C27002_003E,C27002_003M,C27002_004E,C27002_004M,C27002_005E,C27002_005M,C27002_006E,C27002_006M,C27002_007E,C27002_007M,C27002_008E,C27002_008M,C27002_009E,C27002_009M,C27002_010E,C27002_010M,C27002_011E,C27002_011M,C27002_012E,C27002_012M,C27002_013E,C27002_013M,C27002_014E,C27002_014M,C27002_015E,C27002_015M,C27002_016E,C27002_016M,C27002_017E,C27002_017M,C27002_018E,C27002_018M,C27002_019E,C27002_019M,C27002_020E,C27002_020M,C27002_021E,C27002_021M,C27002_001M,C27002_001EA,C27002_001MA,C27002_002M,C27002_002EA,C27002_002MA,C27002_003M,C27002_003EA,C27002_003MA,C27002_004M,C27002_004EA,C27002_004MA,C27002_005M,C27002_005EA,C27002_005MA,C27002_006M,C27002_006EA,C27002_006MA,C27002_007M,C27002_007EA,C27002_007MA,C27002_008M,C27002_008EA,C27002_008MA,C27002_009M,C27002_009EA,C27002_009MA,C27002_010M,C27002_010EA,C27002_010MA,C27002_011M,C27002_011EA,C27002_011MA,C27002_012M,C27002_012EA,C27002_012MA,C27002_013M,C27002_013EA,C27002_013MA,C27002_014M,C27002_014EA,C27002_014MA,C27002_015M,C27002_015EA,C27002_015MA,C27002_016M,C27002_016EA,C27002_016MA,C27002_017M,C27002_017EA,C27002_017MA,C27002_018M,C27002_018EA,C27002_018MA,C27002_019M,C27002_019EA,C27002_019MA,C27002_020M,C27002_020EA,C27002_020MA,C27002_021M,C27002_021EA,C27002_021MA,state
20294479,4316,9829594,8614,2112080,5936,1116410,16628,995670,16901,5904200,6573,4041790,29343,1862410,29126,1813314,2918,965561,10329,847753,10942,10464885,7394,2024265,6201,1066079,15500,958186,15335,6233188,6388,4354147,23738,1879041,24410,2207432,3525,1118710,11973,1088722,12029,4316,null,null,8614,null,null,5936,null,null,16628,null,null,16901,null,null,6573,null,null,29343,null,null,29126,null,null,2918,null,null,10329,null,null,10942,null,null,7394,null,null,6201,null,null,15500,null,null,15335,null,null,6388,null,null,23738,null,null,24410,null,null,3525,null,null,11973,null,null,12029,null,null,12
10120788,3683,4866326,9202,1278525,6524,712739,13227,565786,12375,3007980,5944,2159038,16810,848942,17260,579821,2820,354645,5961,225176,6394,5254462,8566,1227801,6266,670636,11089,557165,11278,3276179,5335,2377973,15906,898206,16287,750482,3112,434734,8108,315748,7606,3683,null,null,9202,null,null,6524,null,null,13227,null,null,12375,null,null,5944,null,null,16810,null,null,17260,null,null,2820,null,null,5961,null,null,6394,null,null,8566,null,null,6266,null,null,11089,null,null,11278,null,null,5335,null,null,15906,null,null,16287,null,null,3112,null,null,8108,null,null,7606,null,null,13
1378730,2525,677111,2948,158446,1679,113504,3266,44942,3530,410306,2522,335667,5047,74639,4853,108359,748,76172,1980,32187,1900,701619,2294,149115,1601,104358,3139,44757,3170,422129,1392,344348,4591,77781,4308,130375,608,91009,2301,39366,2250,2525,null,null,2948,null,null,1679,null,null,3266,null,null,3530,null,null,2522,null,null,5047,null,null,4853,null,null,748,null,null,1980,null,null,1900,null,null,2294,null,null,1601,null,null,3139,null,null,3170,null,null,1392,null,null,4591,null,null,4308,null,null,608,null,null,2301,null,null,2250,null,null,15
1662867,795,826763,2862,224061,2267,136949,5370,87112,5303,483518,2283,370214,5383,113304,5355,119184,1381,75180,3091,44004,3043,836104,2843,211569,2313,128732,4545,82837,4575,491285,2261,372476,5450,118809,5405,133250,1310,82265,3178,50985,3143,795,null,null,2862,null,null,2267,null,null,5370,null,null,5303,null,null,2283,null,null,5383,null,null,5355,null,null,1381,null,null,3091,null,null,3043,null,null,2843,null,null,2313,null,null,4545,null,null,4575,null,null,2261,null,null,5450,null,null,5405,null,null,1310,null,null,3178,null,null,3143,null,null,16
12620388,1326,6168002,5264,1490060,3503,927124,14792,562936,14307,3887432,3538,2956131,14196,931301,14132,790510,2369,498219,6330,292291,5574,6452386,5163,1429803,3510,880177,10465,549626,10387,4005183,3752,2993394,14503,1011789,14255,1017400,3138,629237,7447,388163,7610,1326,null,null,5264,null,null,3503,null,null,14792,null,null,14307,null,null,3538,null,null,14196,null,null,14132,null,null,2369,null,null,6330,null,null,5574,null,null,5163,null,null,3510,null,null,10465,null,null,10387,null,null,3752,null,null,14503,null,null,14255,null,null,3138,null,null,7447,null,null,7610,null,null,17
6534914,919,3204187,6049,806805,4437,495379,8575,311426,8654,1973871,3957,1505004,11007,468867,10686,423511,2113,275386,4373,148125,4130,3330727,6017,767120,4715,481191,10194,285929,8575,2029840,3460,1523887,12540,505953,11923,533767,2085,342655,5791,191112,5615,919,null,null,6049,null,null,4437,null,null,8575,null,null,8654,null,null,3957,null,null,11007,null,null,10686,null,null,2113,null,null,4373,null,null,4130,null,null,6017,null,null,4715,null,null,10194,null,null,8575,null,null,3460,null,null,12540,null,null,11923,null,null,2085,null,null,5791,null,null,5615,null,null,18
3091437,506,1532095,3125,372234,2393,251393,5230,120841,5723,939004,2421,762371,7041,176633,7089,220857,1607,148738,3110,72119,3213,1559342,3175,352763,2382,234455,5502,118308,5498,936201,2356,751111,5914,185090,5865,270378,1619,178889,2939,91489,2744,506,null,null,3125,null,null,2393,null,null,5230,null,null,5723,null,null,2421,null,null,7041,null,null,7089,null,null,1607,null,null,3110,null,null,3213,null,null,3175,null,null,2382,null,null,5502,null,null,5498,null,null,2356,null,null,5914,null,null,5865,null,null,1619,null,null,2939,null,null,2744,null,null,19
2850862,1447,1408996,4885,366317,3766,247455,6176,118862,6140,853471,3148,680273,6859,173198,6573,189208,1418,125980,2817,63228,2469,1441866,4484,346785,3953,239246,5657,107539,4938,864922,2852,692876,7694,172046,7057,230159,1527,156314,2708,73845,3121,1447,null,null,4885,null,null,3766,null,null,6176,null,null,6140,null,null,3148,null,null,6859,null,null,6573,null,null,1418,null,null,2817,null,null,2469,null,null,4484,null,null,3953,null,null,5657,null,null,4938,null,null,2852,null,null,7694,null,null,7057,null,null,1527,null,null,2708,null,null,3121,null,null,20
4354380,1440,2121338,5132,516709,3262,292928,8076,223781,7649,1309148,4210,913448,10365,395700,9923,295481,1543,184210,3999,111271,3841,2233042,5104,493277,3423,278620,7050,214657,7655,1369879,3380,938676,8978,431203,9006,369886,1850,233966,5315,135920,5241,1440,null,null,5132,null,null,3262,null,null,8076,null,null,7649,null,null,4210,null,null,10365,null,null,9923,null,null,1543,null,null,3999,null,null,3841,null,null,5104,null,null,3423,null,null,7050,null,null,7655,null,null,3380,null,null,8978,null,null,9006,null,null,1850,null,null,5315,null,null,5241,null,null,21
4577182,1950,2208827,5319,571299,5483,276648,9019,294651,9350,1350764,3619,914293,11092,436471,11285,286764,1890,162681,3780,124083,3915,2368355,5285,544158,4971,270519,9851,273639,10025,1456935,2875,980036,12682,476899,12327,367262,1871,206636,4019,160626,4088,1950,null,null,5319,null,null,5483,null,null,9019,null,null,9350,null,null,3619,null,null,11092,null,null,11285,null,null,1890,null,null,3780,null,null,3915,null,null,5285,null,null,4971,null,null,9851,null,null,10025,null,null,2875,null,null,12682,null,null,12327,null,null,1871,null,null,4019,null,null,4088,null,null,22
