B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,B19001F_001M,B19001F_001EA,B19001F_001MA,B19001F_002M,B19001F_002EA,B19001F_002MA,B19001F_003M,B19001F_003EA,B19001F_003MA,B19001F_004M,B19001F_004EA,B19001F_004MA,B19001F_005M,B19001F_005EA,B19001F_005MA,B19001F_006M,B19001F_006EA,B19001F_006MA,B19001F_007M,B19001F_007EA,B19001F_007MA,B19001F_008M,B19001F_008EA,B19001F_008MA,B19001F_009M,B19001F_009EA,B19001F_009MA,B19001F_010M,B19001F_010EA,B19001F_010MA,B19001F_011M,B19001F_011EA,B19001F_011MA,B19001F_012M,B19001F_012EA,B19001F_012MA,B19001F_013M,B19001F_013EA,B19001F_013MA,B19001F_014M,B19001F_014EA,B19001F_014MA,B19001F_015M,B19001F_015EA,B19001F_015MA,B19001F_016M,B19001F_016EA,B19001F_016MA,B19001F_017M,B19001F_017EA,B19001F_017MA,state
155110,6741,15308,1975,9141,1840,8073,1490,11435,1533,8818,1883,11207,1867,9361,2066,8530,1637,6021,1483,16736,2920,13844,2505,13293,2215,8885,1463,5433,1648,3931,1418,5094,1660,6741,null,null,1975,null,null,1840,null,null,1490,null,null,1533,null,null,1883,null,null,1867,null,null,2066,null,null,1637,null,null,1483,null,null,2920,null,null,2505,null,null,2215,null,null,1463,null,null,1648,null,null,1418,null,null,1660,null,null,12
74279,5675,5420,1777,3003,1070,4174,1310,8449,1989,4581,1197,5700,1323,4427,1272,4881,1464,3590,1321,6966,1690,8945,2070,7070,1857,3092,1194,1590,891,795,525,1596,1063,5675,null,null,1777,null,null,1070,null,null,1310,null,null,1989,null,null,1197,null,null,1323,null,null,1272,null,null,1464,null,null,1321,null,null,1690,null,null,2070,null,null,1857,null,null,1194,null,null,891,null,null,525,null,null,1063,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
16329,1899,1508,835,651,491,1065,556,1016,610,773,540,276,214,1835,879,855,628,597,425,2867,964,2583,1079,1478,585,300,221,316,414,95,154,114,183,1899,null,null,835,null,null,491,null,null,556,null,null,610,null,null,540,null,null,214,null,null,879,null,null,628,null,null,425,null,null,964,null,null,1079,null,null,585,null,null,221,null,null,414,null,null,154,null,null,183,null,null,16
214464,6607,12993,1879,11183,1996,9898,1871,11729,1897,12012,1769,13021,2090,16295,2372,13897,1874,10665,1785,18840,2629,22809,2505,30016,3419,14583,2230,7856,1215,5366,1172,3301,902,6607,null,null,1879,null,null,1996,null,null,1871,null,null,1897,null,null,1769,null,null,2090,null,null,2372,null,null,1874,null,null,1785,null,null,2629,null,null,2505,null,null,3419,null,null,2230,null,null,1215,null,null,1172,null,null,902,null,null,17
42437,3160,3299,1046,1382,668,2057,753,4002,1181,2855,946,3138,831,4492,1220,2523,848,2628,1011,3816,944,4636,1349,3057,912,1778,778,1447,697,807,580,520,359,3160,null,null,1046,null,null,668,null,null,753,null,null,1181,null,null,946,null,null,831,null,null,1220,null,null,848,null,null,1011,null,null,944,null,null,1349,null,null,912,null,null,778,null,null,697,null,null,580,null,null,359,null,null,18
11840,1560,942,470,298,185,846,539,856,336,1119,557,939,591,862,407,691,361,975,643,1082,486,1463,823,989,492,421,333,99,130,187,219,71,123,1560,null,null,470,null,null,185,null,null,539,null,null,336,null,null,557,null,null,591,null,null,407,null,null,361,null,null,643,null,null,486,null,null,823,null,null,492,null,null,333,null,null,130,null,null,219,null,null,123,null,null,19
20091,2347,1789,816,362,256,935,570,1276,517,1766,653,1362,715,1360,683,1294,621,1520,661,2384,902,1675,678,2157,989,947,477,535,451,568,461,161,160,2347,null,null,816,null,null,256,null,null,570,null,null,517,null,null,653,null,null,715,null,null,683,null,null,621,null,null,661,null,null,902,null,null,678,null,null,989,null,null,477,null,null,451,null,null,461,null,null,160,null,null,20
9313,1474,759,553,639,494,839,588,390,333,1201,643,351,344,856,569,760,537,248,211,778,447,968,486,1039,467,110,112,210,209,84,121,81,100,1474,null,null,553,null,null,494,null,null,588,null,null,333,null,null,643,null,null,344,null,null,569,null,null,537,null,null,211,null,null,447,null,null,486,null,null,467,null,null,112,null,null,209,null,null,121,null,null,100,null,null,21
20095,2374,1457,801,1409,594,1529,679,1723,858,957,636,1472,738,2562,1231,767,398,736,524,2124,853,2412,912,1692,716,675,440,42,85,279,235,259,267,2374,null,null,801,null,null,594,null,null,679,null,null,858,null,null,636,null,null,738,null,null,1231,null,null,398,null,null,524,null,null,853,null,null,912,null,null,716,null,null,440,null,null,85,null,null,235,null,null,267,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
54131,3403,1075,513,1258,687,1243,580,2598,934,2447,1009,2260,901,2415,892,3294,1047,2889,1062,5657,1282,8111,1342,9024,1610,4816,1072,2628,824,3414,972,1002,368,3403,null,null,513,null,null,687,null,null,580,null,null,934,null,null,1009,null,null,901,null,null,892,null,null,1047,null,null,1062,null,null,1282,null,null,1342,null,null,1610,null,null,1072,null,null,824,null,null,972,null,null,368,null,null,24
90234,5020,11816,2122,5924,1099,6196,1828,4756,1198,4779,1454,3808,970,5435,1193,5377,1553,2995,872,6752,1676,7729,1632,10781,2003,5851,1531,2825,1154,3736,1067,1474,598,5020,null,null,2122,null,null,1099,null,null,1828,null,null,1198,null,null,1454,null,null,970,null,null,1193,null,null,1553,null,null,872,null,null,1676,null,null,1632,null,null,2003,null,null,1531,null,null,1154,null,null,1067,null,null,598,null,null,25
34198,2703,2934,734,1563,647,3550,982,1970,693,2405,781,2813,1031,1928,650,1924,707,1457,635,3625,1047,3059,903,2820,852,1677,553,1490,802,827,365,156,158,2703,null,null,734,null,null,647,null,null,982,null,null,693,null,null,781,null,null,1031,null,null,650,null,null,707,null,null,635,null,null,1047,null,null,903,null,null,852,null,null,553,null,null,802,null,null,365,null,null,158,null,null,26
27541,2053,1238,541,1221,558,2096,774,1629,608,936,511,2001,738,2374,812,1274,613,1301,614,2313,981,3504,1113,3974,990,1682,779,1109,509,534,345,355,252,2053,null,null,541,null,null,558,null,null,774,null,null,608,null,null,511,null,null,738,null,null,812,null,null,613,null,null,614,null,null,981,null,null,1113,null,null,990,null,null,779,null,null,509,null,null,345,null,null,252,null,null,27
7537,1348,580,467,1119,685,641,420,455,491,314,232,464,408,260,225,439,378,736,495,395,325,479,335,703,558,248,436,368,402,86,85,250,342,1348,null,null,467,null,null,685,null,null,420,null,null,491,null,null,232,null,null,408,null,null,225,null,null,378,null,null,495,null,null,325,null,null,335,null,null,558,null,null,436,null,null,402,null,null,85,null,null,342,null,null,28
17504,2092,1468,832,858,489,1428,692,1233,685,1232,532,1576,764,1086,596,570,400,771,552,2112,885,895,539,2127,892,617,377,1042,491,267,246,222,186,2092,null,null,832,null,null,489,null,null,692,null,null,685,null,null,532,null,null,764,null,null,596,null,null,400,null,null,552,null,null,885,null,null,539,null,null,892,null,null,377,null,null,491,null,null,246,null,null,186,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
10354,1717,767,487,695,415,357,288,469,301,1638,932,533,390,559,336,594,331,355,231,736,508,1365,484,1167,574,650,400,231,261,215,177,23,41,1717,null,null,487,null,null,415,null,null,288,null,null,301,null,null,932,null,null,390,null,null,336,null,null,331,null,null,231,null,null,508,null,null,484,null,null,574,null,null,400,null,null,261,null,null,177,null,null,41,null,null,31
73943,4192,5316,1370,3431,962,5156,1199,5027,1290,6142,1477,5604,1021,5601,1347,4829,1022,3678,1152,7031,1448,8779,1565,7373,1435,3597,1111,1519,781,421,245,439,248,4192,null,null,1370,null,null,962,null,null,1199,null,null,1290,null,null,1477,null,null,1021,null,null,1347,null,null,1022,null,null,1152,null,null,1448,null,null,1565,null,null,1435,null,null,1111,null,null,781,null,null,245,null,null,248,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
151413,6087,12338,1644,9379,1769,8746,1586,8685,1484,9671,1931,7906,1522,8490,1331,8269,1588,6733,1316,13497,1920,15733,2081,17630,2021,12597,2206,4150,1060,4379,1108,3210,890,6087,null,null,1644,null,null,1769,null,null,1586,null,null,1484,null,null,1931,null,null,1522,null,null,1331,null,null,1588,null,null,1316,null,null,1920,null,null,2081,null,null,2021,null,null,2206,null,null,1060,null,null,1108,null,null,890,null,null,34
68705,3889,7601,1506,5473,1290,6165,1337,5165,1353,6288,1532,3502,1098,4312,1119,2944,808,3650,1115,4977,1154,5881,1283,6807,1394,3157,1154,1227,532,660,320,896,521,3889,null,null,1506,null,null,1290,null,null,1337,null,null,1353,null,null,1532,null,null,1098,null,null,1119,null,null,808,null,null,1115,null,null,1154,null,null,1283,null,null,1394,null,null,1154,null,null,532,null,null,320,null,null,521,null,null,35
502697,10946,63379,4785,40044,3837,34694,3142,30591,2856,28543,2828,32178,3304,30284,2920,22371,2955,18444,2125,36470,3337,43038,4204,47848,3319,32101,3229,18057,2077,14965,1776,9690,1770,10946,null,null,4785,null,null,3837,null,null,3142,null,null,2856,null,null,2828,null,null,3304,null,null,2920,null,null,2955,null,null,2125,null,null,3337,null,null,4204,null,null,3319,null,null,3229,null,null,2077,null,null,1776,null,null,1770,null,null,36
77260,4385,6275,1658,3859,1553,4348,1228,6484,1366,6135,1374,8576,1912,5778,1420,6012,1363,5292,1455,6602,1632,6957,1415,5070,1398,3655,1251,1174,669,820,552,223,177,4385,null,null,1658,null,null,1553,null,null,1228,null,null,1366,null,null,1374,null,null,1912,null,null,1420,null,null,1363,null,null,1455,null,null,1632,null,null,1415,null,null,1398,null,null,1251,null,null,669,null,null,552,null,null,177,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
32459,2878,3994,1118,1461,826,2672,1012,3318,1077,2703,842,2508,903,906,353,1837,646,1120,512,2639,943,2748,931,3432,981,1338,524,431,238,656,471,696,473,2878,null,null,1118,null,null,826,null,null,1012,null,null,1077,null,null,842,null,null,903,null,null,353,null,null,646,null,null,512,null,null,943,null,null,931,null,null,981,null,null,524,null,null,238,null,null,471,null,null,473,null,null,39
28291,2039,2551,641,1768,622,2099,801,2411,706,1926,572,1878,647,1661,577,2546,702,1674,539,2583,598,3123,774,2294,627,1055,555,187,160,204,181,331,191,2039,null,null,641,null,null,622,null,null,801,null,null,706,null,null,572,null,null,647,null,null,577,null,null,702,null,null,539,null,null,598,null,null,774,null,null,627,null,null,555,null,null,160,null,null,181,null,null,191,null,null,40
28528,2619,1351,723,2040,850,1008,681,1764,749,1095,482,2598,956,1543,764,1283,706,1191,806,3682,1429,4570,1083,3475,1103,1543,608,613,374,575,468,197,144,2619,null,null,723,null,null,850,null,null,681,null,null,749,null,null,482,null,null,956,null,null,764,null,null,706,null,null,806,null,null,1429,null,null,1083,null,null,1103,null,null,608,null,null,374,null,null,468,null,null,144,null,null,41
73961,4091,10815,1703,5483,1253,5724,1328,5426,1132,4322,1116,6031,1375,3207,921,3117,941,3255,936,5605,1427,7020,1508,6953,1434,3441,1225,2289,831,771,511,502,426,4091,null,null,1703,null,null,1253,null,null,1328,null,null,1132,null,null,1116,null,null,1375,null,null,921,null,null,941,null,null,936,null,null,1427,null,null,1508,null,null,1434,null,null,1225,null,null,831,null,null,511,null,null,426,null,null,42
16782,1905,2985,923,1633,726,700,500,750,551,1105,780,1182,537,611,439,990,606,1137,574,1467,608,904,484,1849,847,809,490,310,237,222,213,128,151,1905,null,null,923,null,null,726,null,null,500,null,null,551,null,null,780,null,null,537,null,null,439,null,null,606,null,null,574,null,null,608,null,null,484,null,null,847,null,null,490,null,null,237,null,null,213,null,null,151,null,null,44
21295,2668,1014,496,1404,781,1594,764,1498,822,2250,1021,1850,924,1518,678,1192,821,1145,653,2299,977,1874,1046,2086,801,826,608,44,81,184,189,517,649,2668,null,null,496,null,null,781,null,null,764,null,null,822,null,null,1021,null,null,924,null,null,678,null,null,821,null,null,653,null,null,977,null,null,1046,null,null,801,null,null,608,null,null,81,null,null,189,null,null,649,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
